time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0107852	7.29601	2.67762	0.0334279	-2.64178	-7.2673	0.00708639	12.5483	2.63468	0.029125	-2.59822	-12.5196	
0.05	0.0107914	7.2871	2.67768	0.0334348	-2.64183	-7.25838	0.00709255	12.5397	2.63477	0.0291357	-2.59831	-12.511	
0.075	0.0108019	7.27199	2.67777	0.0334464	-2.64193	-7.24328	0.00710299	12.5251	2.63492	0.0291537	-2.59847	-12.4964	
0.1	0.010817	7.2503	2.67791	0.0334631	-2.64207	-7.22159	0.00711798	12.5042	2.63514	0.0291795	-2.59869	-12.4755	
0.125	0.010837	7.22147	2.67809	0.0334852	-2.64225	-7.19276	0.00713789	12.4764	2.63542	0.0292138	-2.59898	-12.4477	
0.15	0.0108625	7.18476	2.67832	0.0335133	-2.64248	-7.15604	0.00716325	12.4409	2.63579	0.0292574	-2.59935	-12.4122	
0.175	0.0108941	7.13922	2.6786	0.0335479	-2.64277	-7.1105	0.0071947	12.397	2.63624	0.0293112	-2.59981	-12.3683	
0.2	0.0109326	7.08369	2.67894	0.0335898	-2.64311	-7.05497	0.00723305	12.3434	2.63679	0.0293765	-2.60037	-12.3146	
0.225	0.0109791	7.01673	2.67935	0.0336399	-2.64352	-6.98801	0.00727928	12.2787	2.63745	0.0294549	-2.60104	-12.25	
0.25	0.0110346	6.93662	2.67983	0.0336993	-2.64401	-6.9079	0.00733457	12.2013	2.63824	0.0295481	-2.60184	-12.1726	
0.275	0.0111007	6.84129	2.6804	0.033769	-2.64459	-6.81257	0.00740034	12.1092	2.63917	0.0296582	-2.60278	-12.0805	
0.3	0.011179	6.72829	2.68106	0.0338506	-2.64526	-6.69957	0.00747827	12	2.64026	0.0297875	-2.60389	-11.9713	
0.325	0.0112715	6.5947	2.68183	0.0339453	-2.64604	-6.56598	0.00757037	11.8708	2.64155	0.0299387	-2.60519	-11.8421	
0.35	0.0113807	6.43706	2.68272	0.0340548	-2.64695	-6.40834	0.00767899	11.7183	2.64304	0.0301149	-2.60671	-11.6896	
0.375	0.0115092	6.25129	2.68375	0.0341805	-2.64799	-6.22258	0.00780692	11.5384	2.64478	0.0303193	-2.60847	-11.5097	
0.4	0.0116604	6.03259	2.68492	0.0343242	-2.64917	-6.00387	0.00795745	11.3266	2.6468	0.0305557	-2.61052	-11.2979	
0.425	0.0118381	5.77526	2.68625	0.034487	-2.65052	-5.74654	0.00813442	11.0771	2.64913	0.0308277	-2.61288	-11.0484	
0.45	0.0120469	5.47262	2.68774	0.0346701	-2.65204	-5.44391	0.00834238	10.7834	2.65181	0.0311393	-2.6156	-10.7547	
0.475	0.0122922	5.1168	2.68941	0.0348735	-2.65372	-5.08808	0.00858668	10.4377	2.65488	0.0314942	-2.61871	-10.409	
0.5	0.0125802	4.69852	2.69123	0.0350966	-2.65557	-4.6698	0.00887358	10.0308	2.65836	0.0318955	-2.62224	-10.002	
0	0.0125802	4.69852	2.69123	0.0350966	-2.65557	-4.6698	0.00887358	10.0308	2.65836	0.0318955	-2.62224	-10.002	
0.025	0.0129161	4.21	2.69318	0.0353351	-2.65754	-4.18129	0.00920831	9.55475	2.66227	0.0323425	-2.62621	-9.52603	
0.05	0.0132974	3.65483	2.69516	0.0355774	-2.65955	-3.62611	0.00958832	9.01279	2.6665	0.0328222	-2.6305	-8.98408	
0.075	0.0137194	3.03964	2.69707	0.0358103	-2.66148	-3.01093	0.010009	8.41101	2.67092	0.0333188	-2.63498	-8.3823	
0.1	0.0141773	2.37121	2.69878	0.036021	-2.66322	-2.3425	0.0104657	7.75566	2.67541	0.0338168	-2.63952	-7.72694	
0.125	0.0146666	1.65645	2.70022	0.0361977	-2.66467	-1.62774	0.0109538	7.05314	2.67983	0.0343013	-2.644	-7.02442	
0.15	0.0151823	0.902413	2.70129	0.0363298	-2.66574	-0.873697	0.0114686	6.31005	2.68407	0.0347587	-2.6483	-6.28133	
0.175	0.0157198	0.116275	2.7019	0.036408	-2.66636	-0.0875595	0.0120052	5.53316	2.68803	0.035177	-2.65232	-5.50444	
0.2	0.0162742	-0.694662	2.70201	0.0364253	-2.66647	0.723378	0.0125589	4.72943	2.69161	0.0355458	-2.65594	-4.70071	
0.225	0.0168406	-1.52299	2.70156	0.0363761	-2.66601	1.55171	0.013125	3.90599	2.69473	0.0358564	-2.6591	-3.87727	
0.25	0.0174143	-2.36124	2.70055	0.0362576	-2.66498	2.38996	0.0136985	3.07013	2.69733	0.0361027	-2.66174	-3.04141	
0.275	0.0179902	-3.20191	2.69895	0.0360691	-2.66335	3.23063	0.0142745	2.22927	2.69938	0.0362805	-2.66382	-2.20055	
