time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.073	0.0591	1.0811	-3.3359	-1.0992	-3.5802	
0.043	0.0178	-0.0176	1.1238	-2.2977	-0.542	-2.313	
0.075	0.0796	-0.0129	1.0791	-3.4885	-1.0763	-1.374	
0.106	0.0334	-0.0989	1.0586	-3.6107	-0.2901	0.0916	
0.13	0.0522	0.0564	1.0444	-3.4198	-1.6641	-3.9084	
0.161	0.0464	-0.0769	1.0872	-3.4962	-1.4122	-1.8321	
0.192	0.0356	-0.0007	1.0559	-3.6718	-1.2214	-0.7099	
0.222	0.0149	0.009	1.0852	-4.1908	-1.4046	-1.4046	
0.247	0.001	0.002	1.116	-3.9466	-0.6641	-5.8855	
0.278	0.0498	-0.0203	1.0972	-2.9466	-0.9084	-1.7252	
0.309	0.0378	-0.0239	1.0437	-2.542	-0.7023	0.3359	
0.34	0.0354	0.0098	1.0764	-2.7939	-0.7252	-4.626	
0.365	0.0159	-0.0398	1.0466	-3.5725	-1.4046	-2.4962	
0.395	0.0583	-0.0076	1.0752	-3.5191	-1.1298	-0.229	
0.426	0.0144	-0.0879	1.0486	-4.4504	-0.5344	-2.6641	
0.444	0.0759	-0.0999	1.0605	-1.2824	-0.9847	-2.8015	
0.444	0.0759	-0.0999	1.0605	-1.2824	-0.9847	-2.8015	
0.451	0.397	-0.0611	-3.1832	0	0	4.62428e-44	
0.451	0.397	-0.0611	-3.1832	0	0	4.62428e-44	
0.451	0.397	-0.0611	-3.1832	0	0	4.62428e-44	
0.451	0.397	-0.0611	-3.1832	0	0	4.62428e-44	
0.451	0.397	-0.0611	-3.1832	0	0	4.62428e-44	
0.451	0.397	-0.0611	-3.1832	0	0	4.62428e-44	
0.5	0.0347	-0.0491	1.0554	-3.2137	-1.6031	-1.6336	
0.5	0.0347	-0.0491	1.0554	-3.2137	-1.6031	-1.6336	
0.5	0.0347	-0.0491	1.0554	-3.2137	-1.6031	-1.6336	
0.5	0.0347	-0.0491	1.0554	-3.2137	-1.6031	-1.6336	
0.5	0.0347	-0.0491	1.0554	-3.2137	-1.6031	-1.6336	
0.506	0.0574	0.001	1.0823	-3.6947	-0.8855	-1.5802	
0.506	0.0574	0.001	1.0823	-3.6947	-0.8855	-1.5802	
0.506	0.0574	0.001	1.0823	-3.6947	-0.8855	-1.5802	
0.506	0.0574	0.001	1.0823	-3.6947	-0.8855	-1.5802	
0.506	0.0574	0.001	1.0823	-3.6947	-0.8855	-1.5802	
0.506	0.0574	0.001	1.0823	-3.6947	-0.8855	-1.5802	
0.512	0.0178	-0.0552	1.0796	-3.8321	-0.2366	-2.7099	
0.512	0.0178	-0.0552	1.0796	-3.8321	-0.2366	-2.7099	
0.512	0.0178	-0.0552	1.0796	-3.8321	-0.2366	-2.7099	
0.512	0.0178	-0.0552	1.0796	-3.8321	-0.2366	-2.7099	
0.512	0.0178	-0.0552	1.0796	-3.8321	-0.2366	-2.7099	
0.518	0.0505	-0.0417	1.0532	-3.2443	-1.4427	-2.0916	
0.518	0.0505	-0.0417	1.0532	-3.2443	-1.4427	-2.0916	
0.518	0.0505	-0.0417	1.0532	-3.2443	-1.4427	-2.0916	
0.518	0.0505	-0.0417	1.0532	-3.2443	-1.4427	-2.0916	
0.518	0.0505	-0.0417	1.0532	-3.2443	-1.4427	-2.0916	
0.525	0.0198	-0.0347	1.073	-3.0992	-0.4809	-1.9008	
0.525	0.0198	-0.0347	1.073	-3.0992	-0.4809	-1.9008	
0.525	0.0198	-0.0347	1.073	-3.0992	-0.4809	-1.9008	
0.525	0.0198	-0.0347	1.073	-3.0992	-0.4809	-1.9008	
0.525	0.0198	-0.0347	1.073	-3.0992	-0.4809	-1.9008	
0.525	0.0198	-0.0347	1.073	-3.0992	-0.4809	-1.9008	
0.531	0.053	-0.0977	1.1152	-3.458	-0.5573	-0.4656	
0.531	0.053	-0.0977	1.1152	-3.458	-0.5573	-0.4656	
0.531	0.053	-0.0977	1.1152	-3.458	-0.5573	-0.4656	
0.531	0.053	-0.0977	1.1152	-3.458	-0.5573	-0.4656	
0.531	0.053	-0.0977	1.1152	-3.458	-0.5573	-0.4656	
0.531	0.053	-0.0977	1.1152	-3.458	-0.5573	-0.4656	
0.538	-0.0083	-0.0359	1.1101	-2.5267	-0.1679	-2.5802	
0.538	-0.0083	-0.0359	1.1101	-2.5267	-0.1679	-2.5802	
0.538	-0.0083	-0.0359	1.1101	-2.5267	-0.1679	-2.5802	
0.538	-0.0083	-0.0359	1.1101	-2.5267	-0.1679	-2.5802	
0.538	-0.0083	-0.0359	1.1101	-2.5267	-0.1679	-2.5802	
0.544	0.0396	0.0481	1.0627	-4.084	-2.1298	-3.9084	
0.544	0.0396	0.0481	1.0627	-4.084	-2.1298	-3.9084	
0.544	0.0396	0.0481	1.0627	-4.084	-2.1298	-3.9084	
0.544	0.0396	0.0481	1.0627	-4.084	-2.1298	-3.9084	
0.544	0.0396	0.0481	1.0627	-4.084	-2.1298	-3.9084	
0.544	0.0396	0.0481	1.0627	-4.084	-2.1298	-3.9084	
0.55	0.0515	-0.095	1.0239	-1.8092	-0.9389	-1.1679	
0.55	0.0515	-0.095	1.0239	-1.8092	-0.9389	-1.1679	
0.55	0.0515	-0.095	1.0239	-1.8092	-0.9389	-1.1679	
0.55	0.0515	-0.095	1.0239	-1.8092	-0.9389	-1.1679	
0.55	0.0515	-0.095	1.0239	-1.8092	-0.9389	-1.1679	
0.556	0.033	0.0371	1.114	-2.3893	-1.0763	0.3588	
0.556	0.033	0.0371	1.114	-2.3893	-1.0763	0.3588	
0.556	0.033	0.0371	1.114	-2.3893	-1.0763	0.3588	
0.556	0.033	0.0371	1.114	-2.3893	-1.0763	0.3588	
0.556	0.033	0.0371	1.114	-2.3893	-1.0763	0.3588	
0.556	0.033	0.0371	1.114	-2.3893	-1.0763	0.3588	
0.562	0.0391	-0.0083	1.0791	-3.2977	-1.1374	-4.8855	
0.562	0.0391	-0.0083	1.0791	-3.2977	-1.1374	-4.8855	
0.562	0.0391	-0.0083	1.0791	-3.2977	-1.1374	-4.8855	
0.562	0.0391	-0.0083	1.0791	-3.2977	-1.1374	-4.8855	
0.562	0.0391	-0.0083	1.0791	-3.2977	-1.1374	-4.8855	
0.562	0.0391	-0.0083	1.0791	-3.2977	-1.1374	-4.8855	
0.568	0.0374	-0.0874	1.072	-3.4504	-0.916	-2.6183	
0.568	0.0374	-0.0874	1.072	-3.4504	-0.916	-2.6183	
0.568	0.0374	-0.0874	1.072	-3.4504	-0.916	-2.6183	
0.568	0.0374	-0.0874	1.072	-3.4504	-0.916	-2.6183	
0.568	0.0374	-0.0874	1.072	-3.4504	-0.916	-2.6183	
0.575	0.0264	-0.0295	1.0825	-3.1374	-0.7328	-0.1527	
0.575	0.0264	-0.0295	1.0825	-3.1374	-0.7328	-0.1527	
0.575	0.0264	-0.0295	1.0825	-3.1374	-0.7328	-0.1527	
0.575	0.0264	-0.0295	1.0825	-3.1374	-0.7328	-0.1527	
0.575	0.0264	-0.0295	1.0825	-3.1374	-0.7328	-0.1527	
0.581	0.0547	-0.0886	1.0803	-2.5038	-1.3664	-1.8931	
0.581	0.0547	-0.0886	1.0803	-2.5038	-1.3664	-1.8931	
0.581	0.0547	-0.0886	1.0803	-2.5038	-1.3664	-1.8931	
0.581	0.0547	-0.0886	1.0803	-2.5038	-1.3664	-1.8931	
0.581	0.0547	-0.0886	1.0803	-2.5038	-1.3664	-1.8931	
0.587	0.0378	-0.0247	1.0244	-3.8931	-0.5649	-3.9084	
0.587	0.0378	-0.0247	1.0244	-3.8931	-0.5649	-3.9084	
0.587	0.0378	-0.0247	1.0244	-3.8931	-0.5649	-3.9084	
0.587	0.0378	-0.0247	1.0244	-3.8931	-0.5649	-3.9084	
0.587	0.0378	-0.0247	1.0244	-3.8931	-0.5649	-3.9084	
0.587	0.0378	-0.0247	1.0244	-3.8931	-0.5649	-3.9084	
0.593	0.0293	-0.031	1.1169	-4.3282	-1.3817	-2.8702	
0.593	0.0293	-0.031	1.1169	-4.3282	-1.3817	-2.8702	
0.593	0.0293	-0.031	1.1169	-4.3282	-1.3817	-2.8702	
0.593	0.0293	-0.031	1.1169	-4.3282	-1.3817	-2.8702	
0.593	0.0293	-0.031	1.1169	-4.3282	-1.3817	-2.8702	
0.599	0.0337	-0.0815	1.0908	-3.3206	-1.0229	0.6107	
0.599	0.0337	-0.0815	1.0908	-3.3206	-1.0229	0.6107	
0.599	0.0337	-0.0815	1.0908	-3.3206	-1.0229	0.6107	
0.599	0.0337	-0.0815	1.0908	-3.3206	-1.0229	0.6107	
0.599	0.0337	-0.0815	1.0908	-3.3206	-1.0229	0.6107	
0.599	0.0337	-0.0815	1.0908	-3.3206	-1.0229	0.6107	
0.605	0.0784	-0.0061	1.0596	-3.9618	-0.9695	-1.2977	
0.605	0.0784	-0.0061	1.0596	-3.9618	-0.9695	-1.2977	
0.605	0.0784	-0.0061	1.0596	-3.9618	-0.9695	-1.2977	
0.605	0.0784	-0.0061	1.0596	-3.9618	-0.9695	-1.2977	
0.605	0.0784	-0.0061	1.0596	-3.9618	-0.9695	-1.2977	
0.605	0.0784	-0.0061	1.0596	-3.9618	-0.9695	-1.2977	
0.611	0.0364	-0.0195	1.0654	-4.145	-0.2672	-4.9695	
0.611	0.0364	-0.0195	1.0654	-4.145	-0.2672	-4.9695	
0.611	0.0364	-0.0195	1.0654	-4.145	-0.2672	-4.9695	
0.611	0.0364	-0.0195	1.0654	-4.145	-0.2672	-4.9695	
0.611	0.0364	-0.0195	1.0654	-4.145	-0.2672	-4.9695	
0.618	0.0354	-0.1648	1.0691	-3.687	-0.771	0.0992	
0.618	0.0354	-0.1648	1.0691	-3.687	-0.771	0.0992	
0.618	0.0354	-0.1648	1.0691	-3.687	-0.771	0.0992	
0.618	0.0354	-0.1648	1.0691	-3.687	-0.771	0.0992	
0.618	0.0354	-0.1648	1.0691	-3.687	-0.771	0.0992	
0.624	0.0535	0.0676	1.0852	-3.2824	-1.0153	-1.0916	
0.624	0.0535	0.0676	1.0852	-3.2824	-1.0153	-1.0916	
0.624	0.0535	0.0676	1.0852	-3.2824	-1.0153	-1.0916	
0.624	0.0535	0.0676	1.0852	-3.2824	-1.0153	-1.0916	
0.624	0.0535	0.0676	1.0852	-3.2824	-1.0153	-1.0916	
0.624	0.0535	0.0676	1.0852	-3.2824	-1.0153	-1.0916	
0.63	0.0186	-0.0225	1.0698	-4.6107	-0.9084	-5.1832	
0.63	0.0186	-0.0225	1.0698	-4.6107	-0.9084	-5.1832	
0.63	0.0186	-0.0225	1.0698	-4.6107	-0.9084	-5.1832	
