time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0356	0.0779	1.1333	-4.542	-0.9542	-2.1527	
0.043	0.0186	-0.0513	1.115	-3.0534	-1.5038	-5.4885	
0.074	-0.0166	-0.0566	1.041	-2.6183	-0.7634	1.3282	
0.105	0.0378	0.0254	1.0786	-4.7252	-0.4504	-5.7557	
0.129	0.0322	-0.0366	1.1021	-5.542	-1.5191	-6.1679	
0.161	0.0527	-0.0422	1.1052	-3.0076	-0.8168	2.6641	
0.192	0.0278	0.0288	1.1077	-2.7634	-1.4198	-4.6947	
0.222	0.0364	-0.1526	1.054	-1.7328	-0.8931	0.4885	
0.253	0.0125	0.1626	1.1113	-3.1221	-0.4351	-4.4809	
0.278	0.019	-0.0813	1.0977	-3.8397	-1.3817	-4.4656	
0.308	0.0586	-0.0198	1.1023	-3.5725	-1.1374	-0.8473	
0.339	0.0483	-0.0313	1.0337	-2.9618	-2.0687	-5.0763	
0.37	0.0176	-0.1228	1.0916	-1.6565	-0.5038	0.855	
0.395	0.0295	0.021	1.1282	-2.9847	-0.4198	-2.5649	
0.426	0.0269	-0.0867	1.092	-5.6412	-1	-1.0916	
0.451	0.0388	0	1.0454	-2.8092	-1.7405	-1.4885	
0.451	0.0388	0	1.0454	-2.8092	-1.7405	-1.4885	
0.451	0.0388	0	1.0454	-2.8092	-1.7405	-1.4885	
0.451	0.0388	0	1.0454	-2.8092	-1.7405	-1.4885	
0.451	0.0388	0	1.0454	-2.8092	-1.7405	-1.4885	
0.086	-0.0447	1.1477	-3.0534	-0.4809	1.6565	4.62428e-44	
0.086	-0.0447	1.1477	-3.0534	-0.4809	1.6565	4.62428e-44	
0.086	-0.0447	1.1477	-3.0534	-0.4809	1.6565	4.62428e-44	
0.086	-0.0447	1.1477	-3.0534	-0.4809	1.6565	4.62428e-44	
0.086	-0.0447	1.1477	-3.0534	-0.4809	1.6565	4.62428e-44	
0.926	0.0647	0.0801	1.0554	-4.229	-1.6565	-4.542	
0.926	0.0647	0.0801	1.0554	-4.229	-1.6565	-4.542	
