time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0422	0.0366	1.0977	-2.3053	-1.5115	0.1756	
0.044	0.0383	-0.0308	1.0769	-3.4504	-1.084	-3.7939	
0.075	0.031	0.0583	1.0884	-3.8779	-1.1221	-1.7481	
0.106	0.0422	-0.1494	1.1055	-4.1221	0.0763	-2.9618	
0.13	0.0156	-0.0862	1.0701	-2.9313	-1.3435	0.4885	
0.161	0.0242	-0.0071	1.0569	-4.458	-0.7634	-2.0153	
0.192	0.051	-0.2097	1.0779	-1.4656	-2.0611	-3	
0.222	0.0491	0.2439	1.0845	-4.5496	-1.458	-1.7939	
0.253	0.0349	-0.1455	1.0364	-3.8626	-0.7634	-1.7328	
0.279	0.0447	-0.1033	1.0293	-1.1603	-2.2672	-0.4351	
0.309	0.0535	0.1663	1.0708	-3.2519	-1.084	-4.1908	
0.34	0.0576	-0.1167	1.0537	-3.4275	-1.0305	-1.0916	
0.371	0.0264	0.084	1.0884	-3.0153	-0.4122	-2.4275	
0.401	0.0322	-0.1992	1.0867	-4.9542	-0.1298	0.5649	
0.426	0.0452	-0.0164	1.0918	-3.3053	-0.542	-1.2595	
0.444	0.0212	0.0137	1.0574	-3.7481	-1.0534	-1.6183	
0.444	0.0212	0.0137	1.0574	-3.7481	-1.0534	-1.6183	
0.451	0.0381	-0.062	1.0879	-2.9389	-1.5496	-2.4898	
0.451	0.0381	-0.062	1.0879	-2.9389	-1.5496	-2.4898	
0.451	0.0381	-0.062	1.0879	-2.9389	-1.5496	-2.4898	
0.451	0.0381	-0.062	1.0879	-2.9389	-1.5496	-2.4898	
0.451	0.0381	-0.062	1.0879	-2.9389	-1.5496	-2.4898	
0.556	0.0271	0.1145	1.1194	-2.6183	-0.5191	-3.8244	
0.556	0.0271	0.1145	1.1194	-2.6183	-0.5191	-3.8244	
0.556	0.0271	0.1145	1.1194	-2.6183	-0.5191	-3.8244	
0.556	0.0271	0.1145	1.1194	-2.6183	-0.5191	-3.8244	
0.556	0.0271	0.1145	1.1194	-2.6183	-0.5191	-3.8244	
0.562	0.0613	-0.1018	1.0872	-2.5267	-1.374	-2.0534	
0.562	0.0613	-0.1018	1.0872	-2.5267	-1.374	-2.0534	
0.562	0.0613	-0.1018	1.0872	-2.5267	-1.374	-2.0534	
0.562	0.0613	-0.1018	1.0872	-2.5267	-1.374	-2.0534	
0.562	0.0613	-0.1018	1.0872	-2.5267	-1.374	-2.0534	
0.562	0.0613	-0.1018	1.0872	-2.5267	-1.374	-2.0534	
0.568	0.032	-0.0488	1.0293	-3.626	-0.9237	1.5802	
0.568	0.032	-0.0488	1.0293	-3.626	-0.9237	1.5802	
0.568	0.032	-0.0488	1.0293	-3.626	-0.9237	1.5802	
0.568	0.032	-0.0488	1.0293	-3.626	-0.9237	1.5802	
0.568	0.032	-0.0488	1.0293	-3.626	-0.9237	1.5802	
0.575	0.0532	0.0439	1.0471	-2.771	-0.8931	-2.7557	
0.575	0.0532	0.0439	1.0471	-2.771	-0.8931	-2.7557	
0.575	0.0532	0.0439	1.0471	-2.771	-0.8931	-2.7557	
0.575	0.0532	0.0439	1.0471	-2.771	-0.8931	-2.7557	
0.575	0.0532	0.0439	1.0471	-2.771	-0.8931	-2.7557	
0.575	0.0532	0.0439	1.0471	-2.771	-0.8931	-2.7557	
0.581	0.0383	-0.1182	1.0708	-3.1679	-1.2214	-1.8779	
0.581	0.0383	-0.1182	1.0708	-3.1679	-1.2214	-1.8779	
0.581	0.0383	-0.1182	1.0708	-3.1679	-1.2214	-1.8779	
0.581	0.0383	-0.1182	1.0708	-3.1679	-1.2214	-1.8779	
0.581	0.0383	-0.1182	1.0708	-3.1679	-1.2214	-1.8779	
0.581	0.0383	-0.1182	1.0708	-3.1679	-1.2214	-1.8779	
0.587	0.0237	-0.0698	1.073	-3.8626	0.0534	-0.6336	
0.587	0.0237	-0.0698	1.073	-3.8626	0.0534	-0.6336	
0.587	0.0237	-0.0698	1.073	-3.8626	0.0534	-0.6336	
0.587	0.0237	-0.0698	1.073	-3.8626	0.0534	-0.6336	
0.587	0.0237	-0.0698	1.073	-3.8626	0.0534	-0.6336	
