time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.025	-4.65518e-05	0.000959063	0.21266	-7.51192e-05	-0.00798893	-2.71938e-05	-7.42325e-05	0.0769837	-2.72526e-05	0	0.000810723	0.00463451	-0.0118046	0.264098
0.05	-4.65496e-05	0.000989509	0.21266	-7.51208e-05	-0.00798886	-2.71959e-05	-7.42342e-05	0.0769838	-2.72554e-05	0	0.0016422	0.00463444	-0.0117625	0.264096
0.075	-4.6546e-05	0.00104112	0.21266	-7.51235e-05	-0.00798875	-2.71994e-05	-7.4237e-05	0.0769839	-2.72601e-05	0	0.00251572	0.00463432	-0.0116913	0.264094
0.1	-4.65407e-05	0.00111521	0.21266	-7.51274e-05	-0.00798858	-2.72045e-05	-7.42411e-05	0.0769841	-2.72669e-05	0	0.00345365	0.00463416	-0.011589	0.26409
0.125	-4.65338e-05	0.00121369	0.21266	-7.51326e-05	-0.00798836	-2.72113e-05	-7.42465e-05	0.0769843	-2.7276e-05	0	0.00447999	0.00463394	-0.0114531	0.264085
0.15	-4.65249e-05	0.00133907	0.212661	-7.51391e-05	-0.00798808	-2.72198e-05	-7.42533e-05	0.0769846	-2.72874e-05	0	0.00562103	0.00463367	-0.0112801	0.264078
0.175	-4.6514e-05	0.00149456	0.212661	-7.51473e-05	-0.00798773	-2.72304e-05	-7.42618e-05	0.0769849	-2.73015e-05	0	0.00690598	0.00463333	-0.0110655	0.26407
0.2	-4.65008e-05	0.00168414	0.212661	-7.51572e-05	-0.0079873	-2.72431e-05	-7.42722e-05	0.0769853	-2.73185e-05	0	0.00836772	0.00463292	-0.0108039	0.264061
0.225	-4.64849e-05	0.00191268	0.212661	-7.51691e-05	-0.00798679	-2.72583e-05	-7.42847e-05	0.0769859	-2.73389e-05	0	0.0100437	0.00463242	-0.0104886	0.264049
0.25	-4.64661e-05	0.00218601	0.212662	-7.51834e-05	-0.00798617	-2.72762e-05	-7.42996e-05	0.0769865	-2.73631e-05	0	0.0119768	0.00463183	-0.0101116	0.264035
0.275	-4.64439e-05	0.00251114	0.212662	-7.52003e-05	-0.00798544	-2.72971e-05	-7.43173e-05	0.0769872	-2.73915e-05	0	0.0142165	0.00463114	-0.00966313	0.264019
0.3	-4.64178e-05	0.00289639	0.212662	-7.52203e-05	-0.00798458	-2.73214e-05	-7.43382e-05	0.0769881	-2.74246e-05	0	0.0168202	0.00463033	-0.00913189	0.264
0.325	-4.63873e-05	0.00335163	0.212663	-7.52439e-05	-0.00798355	-2.73495e-05	-7.43629e-05	0.0769891	-2.74631e-05	0	0.0198545	0.00462938	-0.00850428	0.263977
0.35	-4.63519e-05	0.00388851	0.212664	-7.52717e-05	-0.00798235	-2.73817e-05	-7.4392e-05	0.0769903	-2.75076e-05	0	0.0233971	0.00462828	-0.00776431	0.263952
0.375	-4.6311e-05	0.00452078	0.212664	-7.53043e-05	-0.00798093	-2.74182e-05	-7.44261e-05	0.0769917	-2.75586e-05	0	0.0275387	0.004627	-0.00689314	0.263922
0.4	-4.62637e-05	0.00526464	0.212665	-7.53424e-05	-0.00797926	-2.74594e-05	-7.4466e-05	0.0769934	-2.76168e-05	0	0.0323854	0.00462554	-0.00586861	0.263887
0.425	-4.62096e-05	0.00613913	0.212666	-7.53871e-05	-0.0079773	-2.75053e-05	-7.45128e-05	0.0769953	-2.76827e-05	0	0.0380611	0.00462385	-0.00466466	0.263848
0.45	-4.61479e-05	0.00716664	0.212667	-7.54393e-05	-0.00797499	-2.75557e-05	-7.45676e-05	0.0769976	-2.77566e-05	0	0.0447112	0.00462194	-0.00325071	0.263802
0.475	-4.60781e-05	0.00837349	0.212668	-7.55001e-05	-0.00797228	-2.761e-05	-7.46314e-05	0.0770003	-2.78385e-05	0	0.0525061	0.00461977	-0.00159089	0.263751
0.5	-4.59999e-05	0.00979058	0.21267	-7.5571e-05	-0.00796911	-2.76671e-05	-7.47059e-05	0.0770035	-2.79278e-05	0	0.0616451	0.00461735	0.000356901	0.263694
0	-4.59999e-05	0.00979058	0.21267	-7.5571e-05	-0.00796911	-2.76671e-05	-7.47059e-05	0.0770035	-2.79278e-05	0	0.0616451	0.00461735	0.000356901	0.263694
0.025	-4.59138e-05	0.0114436	0.212671	-7.5653e-05	-0.00796541	-2.77243e-05	-7.47921e-05	0.0770072	-2.80228e-05	0	0.0710745	0.00461468	0.00262745	0.263632
0.05	-4.58227e-05	0.01332	0.212673	-7.57449e-05	-0.00796121	-2.77772e-05	-7.4889e-05	0.0770114	-2.81185e-05	0	0.0795867	0.00461187	0.00520276	0.263565
0.075	-4.57305e-05	0.0153967	0.212675	-7.58454e-05	-0.00795656	-2.78205e-05	-7.4995e-05	0.077016	-2.82091e-05	0	0.0871759	0.00460903	0.00805092	0.263498
0.1	-4.56405e-05	0.0176507	0.212676	-7.59529e-05	-0.00795153	-2.78493e-05	-7.51086e-05	0.0770211	-2.82893e-05	0	0.0938365	0.00460627	0.01114	0.263433
0.125	-4.55563e-05	0.020059	0.212678	-7.60659e-05	-0.00794615	-2.7859e-05	-7.52284e-05	0.0770264	-2.83539e-05	0	0.0995625	0.00460369	0.0144379	0.263371
