time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.009	0.0054	1.1082	-2.2672	-1.1756	-7.0916	
0.043	0.0344	0.0791	1.0925	-3.626	-0.3893	-2.1908	
0.074	0.0344	-0.0273	1.0798	-4.771	-0.4809	2.5344	
0.105	0.0049	-0.0884	1.0725	-3.3053	-0.3206	-5.8092	
0.13	0.0342	-0.1672	1.0977	-3.458	-1.0687	-0.771	
0.161	0.0229	-0.0115	1.0388	-2.5344	-2.084	-3.8397	
0.191	0.0552	0.0483	1.0764	-2.6107	-0.8397	-3.8092	
0.222	0.033	-0.0039	1.084	-3.2977	-1.0153	-3.1527	
0.247	0.0178	-0.1636	1.0583	-4.7634	-1.7023	-2.0153	
0.277	0.0293	-0.1135	1.0554	-2.3511	-0.145	0.4885	
0.308	0.0046	-0.1985	1.1099	-3.8626	-0.4504	-2.5115	
0.34	0.0164	0.0264	1.0972	-2.6412	-0.6794	-3.4351	
0.371	0.0154	0.0234	1.0581	-4.1832	-0.6336	-0.1145	
0.395	0.041	0.0251	1.042	-2.2977	-1.2214	-3.3511	
0.426	0.0098	-0.0234	1.0308	-3.1527	-1.5038	-3.3969	
0.444	0.03	-0.0413	1.083	-3.2977	-0.8321	-4.7634	
0.444	0.03	-0.0413	1.083	-3.2977	-0.8321	-4.7634	
0.444	0.03	-0.0413	1.083	-3.2977	-0.8321	-4.7634	
0.444	0.03	-0.0413	1.083	-3.2977	-0.8321	-4.7634	
0.451	0.0125	-0.2092	1.0869	-2.145	-1.3588	8	
0.783	0.03	-0.1335	1.0911	-3	-0.6641	-2.7328	
0.79	0.0417	-0.095	1.0781	-2.7557	-1.8779	0.0916	
0.79	0.0417	-0.095	1.0781	-2.7557	-1.8779	0.0916	
0.797	0.0139	-0.0378	1.1006	-2.374	0.3206	-1.8321	
0.797	0.0139	-0.0378	1.1006	-2.374	0.3206	-1.8321	
0.797	0.0139	-0.0378	1.1006	-2.374	0.3206	-1.8321	
0.797	0.0139	-0.0378	1.1006	-2.374	0.3206	-1.8321	
0.797	0.0139	-0.0378	1.1006	-2.374	0.3206	-1.8321	
0.803	0.0215	0.0808	1.0742	-4.5649	-0.3511	-5.4122	
0.803	0.0215	0.0808	1.0742	-4.5649	-0.3511	-5.4122	
0.803	0.0215	0.0808	1.0742	-4.5649	-0.3511	-5.4122	
0.803	0.0215	0.0808	1.0742	-4.5649	-0.3511	-5.4122	
0.803	0.0215	0.0808	1.0742	-4.5649	-0.3511	-5.4122	
0.803	0.0215	0.0808	1.0742	-4.5649	-0.3511	-5.4122	
0.809	0.0164	-0.0959	1.0813	-2.7634	-1.4733	-1.8015	
0.809	0.0164	-0.0959	1.0813	-2.7634	-1.4733	-1.8015	
0.809	0.0164	-0.0959	1.0813	-2.7634	-1.4733	-1.8015	
0.809	0.0164	-0.0959	1.0813	-2.7634	-1.4733	-1.8015	
0.809	0.0164	-0.0959	1.0813	-2.7634	-1.4733	-1.8015	
0.815	0.0256	0.0256	1.0935	-3.0763	-1.0305	2.6489	
0.815	0.0256	0.0256	1.0935	-3.0763	-1.0305	2.6489	
0.815	0.0256	0.0256	1.0935	-3.0763	-1.0305	2.6489	
0.815	0.0256	0.0256	1.0935	-3.0763	-1.0305	2.6489	
0.815	0.0256	0.0256	1.0935	-3.0763	-1.0305	2.6489	
0.815	0.0256	0.0256	1.0935	-3.0763	-1.0305	2.6489	
0.815	0.0256	0.0256	1.0935	-3.0763	-1.0305	2.6489	
0.821	0.0486	0.1079	1.0613	-4.4046	-1.2443	-3.1221	
0.821	0.0486	0.1079	1.0613	-4.4046	-1.2443	-3.1221	
0.821	0.0486	0.1079	1.0613	-4.4046	-1.2443	-3.1221	
0.821	0.0486	0.1079	1.0613	-4.4046	-1.2443	-3.1221	
0.821	0.0486	0.1079	1.0613	-4.4046	-1.2443	-3.1221	
0.827	0.0244	-0.1555	1.083	-3.1374	-1.1374	-3.771	
0.827	0.0244	-0.1555	1.083	-3.1374	-1.1374	-3.771	
0.827	0.0244	-0.1555	1.083	-3.1374	-1.1374	-3.771	
0.827	0.0244	-0.1555	1.083	-3.1374	-1.1374	-3.771	
0.827	0.0244	-0.1555	1.083	-3.1374	-1.1374	-3.771	
0.834	0.0457	-0.1985	1.0784	-4.4656	-0.1603	3.2519	
0.834	0.0457	-0.1985	1.0784	-4.4656	-0.1603	3.2519	
0.834	0.0457	-0.1985	1.0784	-4.4656	-0.1603	3.2519	
0.834	0.0457	-0.1985	1.0784	-4.4656	-0.1603	3.2519	
0.834	0.0457	-0.1985	1.0784	-4.4656	-0.1603	3.2519	
0.834	0.0457	-0.1985	1.0784	-4.4656	-0.1603	3.2519	
0.84	0.0313	0.0505	1.0688	-3.6336	-0.5115	-2.7252	
0.84	0.0313	0.0505	1.0688	-3.6336	-0.5115	-2.7252	
0.84	0.0313	0.0505	1.0688	-3.6336	-0.5115	-2.7252	
0.84	0.0313	0.0505	1.0688	-3.6336	-0.5115	-2.7252	
0.84	0.0313	0.0505	1.0688	-3.6336	-0.5115	-2.7252	
0.846	0.0208	-0.1934	1.0522	-0.9389	-0.8168	-5.5802	
0.846	0.0208	-0.1934	1.0522	-0.9389	-0.8168	-5.5802	
