time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0938	0.0552	1.0813	-5.0076	-0.8855	-3.9924	
0.043	0.0378	0.0049	1.0706	-2.9695	-1.9618	-3.4427	
0.074	0.0154	-0.0916	1.0925	-3.3359	0.3359	1.4351	
0.105	-0.0017	-0.0586	1.0825	-3.6107	-1.5038	-3.6183	
0.129	0.0051	-0.0879	1.0476	-2.8855	-0.0153	-2.5573	
0.16	0.0413	-0.0049	1.0637	-3.1374	-0.4504	-0.0534	
0.191	0.0598	-0.0679	1.0496	-2.8321	-0.9008	-2.5725	
0.221	0.0557	0.0352	1.0967	-1.8473	-0.916	-1.2366	
0.246	0.0188	0.0002	1.0649	-4.2977	-0.855	-2.8397	
0.278	0.0586	0.032	1.1218	-3.6641	-0.3817	-1.8397	
0.308	0.0171	-0.0986	1.0955	-3.7252	-0.5115	0.9313	
0.339	0.0459	-0.0193	1.0854	-2.2137	-1.2214	-6.0458	
0.364	0.0261	-0.1152	1.0732	-3.3969	0.4122	-1.3969	
0.394	0.05	-0.0544	1.0266	-2.855	-1.6336	-0.5649	
0.425	0.0305	-0.0789	1.0906	-3.6947	-1.771	-4.229	
0.443	0.0115	0.0632	1.115	-4	-0.771	-3.4962	
0.443	0.0115	0.0632	1.115	-4	-0.771	-3.4962	
0.443	0.0115	0.0632	1.115	-4	-0.771	-3.4962	
0.443	0.0115	0.0632	1.115	-4	-0.771	-3.4962	
0.45	0.0713	-0.0999	1.0803	-3.03054	1.084	-1.7939	
0.45	0.0713	-0.0999	1.0803	-3.03054	1.084	-1.7939	
0.45	0.0713	-0.0999	1.0803	-3.03054	1.084	-1.7939	
0.45	0.0713	-0.0999	1.0803	-3.03054	1.084	-1.7939	
0.45	0.0713	-0.0999	1.0803	-3.03054	1.084	-1.7939	
0.604	0.0557	-0.0039	1.1082	-4.3435	-0.9771	-0.9466	
0.604	0.0557	-0.0039	1.1082	-4.3435	-0.9771	-0.9466	
0.604	0.0557	-0.0039	1.1082	-4.3435	-0.9771	-0.9466	
0.604	0.0557	-0.0039	1.1082	-4.3435	-0.9771	-0.9466	
0.604	0.0557	-0.0039	1.1082	-4.3435	-0.9771	-0.9466	
0.604	0.0557	-0.0039	1.1082	-4.3435	-0.9771	-0.9466	
0.604	0.0557	-0.0039	1.1082	-4.3435	-0.9771	-0.9466	
0.61	0.0381	-0.0537	1.0923	-2.7939	-0.084	-3.5496	
0.61	0.0381	-0.0537	1.0923	-2.7939	-0.084	-3.5496	
0.61	0.0381	-0.0537	1.0923	-2.7939	-0.084	-3.5496	
0.61	0.0381	-0.0537	1.0923	-2.7939	-0.084	-3.5496	
0.61	0.0381	-0.0537	1.0923	-2.7939	-0.084	-3.5496	
0.617	0.0071	-0.1089	1.043	-2.2061	-2.084	0.5038	
0.617	0.0071	-0.1089	1.043	-2.2061	-2.084	0.5038	
0.617	0.0071	-0.1089	1.043	-2.2061	-2.084	0.5038	
0.617	0.0071	-0.1089	1.043	-2.2061	-2.084	0.5038	
0.617	0.0071	-0.1089	1.043	-2.2061	-2.084	0.5038	
0.623	0.0537	-0.042	1.0154	-4.6718	-0.5038	-1.1374	
0.623	0.0537	-0.042	1.0154	-4.6718	-0.5038	-1.1374	
0.623	0.0537	-0.042	1.0154	-4.6718	-0.5038	-1.1374	
0.623	0.0537	-0.042	1.0154	-4.6718	-0.5038	-1.1374	
0.623	0.0537	-0.042	1.0154	-4.6718	-0.5038	-1.1374	
0.623	0.0537	-0.042	1.0154	-4.6718	-0.5038	-1.1374	
0.629	0.0313	-0.02	1.0669	-3.4198	-1.1298	-5.6718	
0.629	0.0313	-0.02	1.0669	-3.4198	-1.1298	-5.6718	
0.629	0.0313	-0.02	1.0669	-3.4198	-1.1298	-5.6718	
0.629	0.0313	-0.02	1.0669	-3.4198	-1.1298	-5.6718	
0.629	0.0313	-0.02	1.0669	-3.4198	-1.1298	-5.6718	
0.635	0.0569	-0.0588	1.0427	-2.8702	-1.5878	-1.6489	
0.635	0.0569	-0.0588	1.0427	-2.8702	-1.5878	-1.6489	
0.635	0.0569	-0.0588	1.0427	-2.8702	-1.5878	-1.6489	
0.635	0.0569	-0.0588	1.0427	-2.8702	-1.5878	-1.6489	
0.635	0.0569	-0.0588	1.0427	-2.8702	-1.5878	-1.6489	
0.635	0.0569	-0.0588	1.0427	-2.8702	-1.5878	-1.6489	
0.641	0.0491	-0.0081	1.0952	-2.9618	-0.1374	0.3282	
0.641	0.0491	-0.0081	1.0952	-2.9618	-0.1374	0.3282	
0.641	0.0491	-0.0081	1.0952	-2.9618	-0.1374	0.3282	
0.641	0.0491	-0.0081	1.0952	-2.9618	-0.1374	0.3282	
0.641	0.0491	-0.0081	1.0952	-2.9618	-0.1374	0.3282	
0.641	0.0491	-0.0081	1.0952	-2.9618	-0.1374	0.3282	
0.647	0.0652	0.0354	1.0732	-3.0305	-1.7863	-2.9618	
0.647	0.0652	0.0354	1.0732	-3.0305	-1.7863	-2.9618	
0.647	0.0652	0.0354	1.0732	-3.0305	-1.7863	-2.9618	
0.647	0.0652	0.0354	1.0732	-3.0305	-1.7863	-2.9618	
0.647	0.0652	0.0354	1.0732	-3.0305	-1.7863	-2.9618	
0.647	0.0652	0.0354	1.0732	-3.0305	-1.7863	-2.9618	
0.653	0.0405	-0.1062	1.0234	-4.0611	-0.4962	-2.5496	
0.653	0.0405	-0.1062	1.0234	-4.0611	-0.4962	-2.5496	
0.653	0.0405	-0.1062	1.0234	-4.0611	-0.4962	-2.5496	
0.653	0.0405	-0.1062	1.0234	-4.0611	-0.4962	-2.5496	
0.653	0.0405	-0.1062	1.0234	-4.0611	-0.4962	-2.5496	
0.66	0.0293	-0.0396	1.0532	-2.771	0.5802	-1.4733	
0.66	0.0293	-0.0396	1.0532	-2.771	0.5802	-1.4733	
0.66	0.0293	-0.0396	1.0532	-2.771	0.5802	-1.4733	
0.66	0.0293	-0.0396	1.0532	-2.771	0.5802	-1.4733	
