time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0015	0.0671	1.0505	-3.2748	-2.4275	-2.7634	
0.043	0.0181	-0.1238	1.0662	-3.7176	-0.8779	0.2061	
0.074	0.0076	-0.0256	1.1038	-3.6336	1.1679	-2.5038	
0.099	-0.0083	0.0269	1.0962	-2.9847	-0.374	-3.1221	
0.13	0.0405	-0.085	1.0876	-2.6489	-0.542	-0.7786	
0.16	-0.0039	0.0767	1.0845	-3.0229	0.9847	-3.3282	
0.191	0.0535	-0.0361	1.0659	-3.3359	-0.2519	-1.1679	
0.216	0.0493	-0.0276	1.0737	-3.229	-1.0763	-1.2214	
0.246	0.0354	-0.0549	1.0691	-3.5878	-0.8397	-2.458	
0.277	0.0515	-0.0781	1.0569	-3.1832	-1.8092	-1.0076	
0.309	-0.0291	0.0007	1.053	-3.7634	-1.6107	-1.229	
0.333	0.0784	0.0491	1.0344	-3.3282	-3.2824	-3.0534	
0.364	-0.0452	-0.0283	1.0996	-2.9389	-1.8168	-1.2977	
0.395	0.0217	-0.0315	1.0881	-4.8244	1.3588	0.2595	
0.426	0.0374	-0.032	1.062	-3.6794	-1.5954	-3.2061	
0.444	0.0447	-0.0432	1.1025	-3.0305	-1.9084	-2.3588	
0.444	0.0447	-0.0432	1.1025	-3.0305	-1.9084	-2.3588	
0.45	396	0	0	0	0	6.86636e-44	
0.45	396	0	0	0	0	6.86636e-44	
0.45	396	0	0	0	0	6.86636e-44	
0.592	0.0171	0.0037	1.0776	-3.687	-0.9618	-1.9695	
0.592	0.0171	0.0037	1.0776	-3.687	-0.9618	-1.9695	
0.592	0.0171	0.0037	1.0776	-3.687	-0.9618	-1.9695	
0.592	0.0171	0.0037	1.0776	-3.687	-0.9618	-1.9695	
0.592	0.0171	0.0037	1.0776	-3.687	-0.9618	-1.9695	
0.592	0.0171	0.0037	1.0776	-3.687	-0.9618	-1.9695	
0.599	0.0562	-0.0342	1.0793	-3.4427	0.4198	-1.458	
0.599	0.0562	-0.0342	1.0793	-3.4427	0.4198	-1.458	
0.599	0.0562	-0.0342	1.0793	-3.4427	0.4198	-1.458	
0.599	0.0562	-0.0342	1.0793	-3.4427	0.4198	-1.458	
0.599	0.0562	-0.0342	1.0793	-3.4427	0.4198	-1.458	
0.605	0.0151	-0.011	1.0417	-3.5496	-2.5649	-1.5802	
0.605	0.0151	-0.011	1.0417	-3.5496	-2.5649	-1.5802	
0.605	0.0151	-0.011	1.0417	-3.5496	-2.5649	-1.5802	
0.605	0.0151	-0.011	1.0417	-3.5496	-2.5649	-1.5802	
0.605	0.0151	-0.011	1.0417	-3.5496	-2.5649	-1.5802	
0.605	0.0151	-0.011	1.0417	-3.5496	-2.5649	-1.5802	
0.611	0.0098	-0.0156	1.0691	-2.7252	-0.0229	-2.542	
0.611	0.0098	-0.0156	1.0691	-2.7252	-0.0229	-2.542	
0.611	0.0098	-0.0156	1.0691	-2.7252	-0.0229	-2.542	
0.611	0.0098	-0.0156	1.0691	-2.7252	-0.0229	-2.542	
0.611	0.0098	-0.0156	1.0691	-2.7252	-0.0229	-2.542	
0.617	0.0608	-0.1196	1.0767	-3.771	-1.7099	-1.771	
0.617	0.0608	-0.1196	1.0767	-3.771	-1.7099	-1.771	
0.617	0.0608	-0.1196	1.0767	-3.771	-1.7099	-1.771	
0.617	0.0608	-0.1196	1.0767	-3.771	-1.7099	-1.771	
0.617	0.0608	-0.1196	1.0767	-3.771	-1.7099	-1.771	
0.623	0.0244	-0.032	1.0872	-3.0153	-0.4122	-1.8702	
0.623	0.0244	-0.032	1.0872	-3.0153	-0.4122	-1.8702	
0.623	0.0244	-0.032	1.0872	-3.0153	-0.4122	-1.8702	
0.623	0.0244	-0.032	1.0872	-3.0153	-0.4122	-1.8702	
0.623	0.0244	-0.032	1.0872	-3.0153	-0.4122	-1.8702	
0.623	0.0244	-0.032	1.0872	-3.0153	-0.4122	-1.8702	
0.623	0.0244	-0.032	1.0872	-3.0153	-0.4122	-1.8702	
0.629	0.0598	-0.0474	1.0818	-3.8931	-1.0382	-2.0458	
0.629	0.0598	-0.0474	1.0818	-3.8931	-1.0382	-2.0458	
0.629	0.0598	-0.0474	1.0818	-3.8931	-1.0382	-2.0458	
0.629	0.0598	-0.0474	1.0818	-3.8931	-1.0382	-2.0458	
0.629	0.0598	-0.0474	1.0818	-3.8931	-1.0382	-2.0458	
0.635	-0.0061	0.0049	1.0576	-3.3893	0.0076	-2.3053	
0.635	-0.0061	0.0049	1.0576	-3.3893	0.0076	-2.3053	
0.635	-0.0061	0.0049	1.0576	-3.3893	0.0076	-2.3053	
0.635	-0.0061	0.0049	1.0576	-3.3893	0.0076	-2.3053	
0.635	-0.0061	0.0049	1.0576	-3.3893	0.0076	-2.3053	
0.635	-0.0061	0.0049	1.0576	-3.3893	0.0076	-2.3053	
0.642	0.0645	-0.0337	1.0308	-3.6489	-2.5115	-1.4504	
0.642	0.0645	-0.0337	1.0308	-3.6489	-2.5115	-1.4504	
0.642	0.0645	-0.0337	1.0308	-3.6489	-2.5115	-1.4504	
0.642	0.0645	-0.0337	1.0308	-3.6489	-2.5115	-1.4504	
0.642	0.0645	-0.0337	1.0308	-3.6489	-2.5115	-1.4504	
0.648	0.0112	0.0007	1.0715	-3.1756	0.2901	-1.3588	
0.648	0.0112	0.0007	1.0715	-3.1756	0.2901	-1.3588	
0.648	0.0112	0.0007	1.0715	-3.1756	0.2901	-1.3588	
0.648	0.0112	0.0007	1.0715	-3.1756	0.2901	-1.3588	
0.648	0.0112	0.0007	1.0715	-3.1756	0.2901	-1.3588	
0.654	0.0518	-0.0525	1.0708	-4.1298	-1.3969	-1.6031	
0.654	0.0518	-0.0525	1.0708	-4.1298	-1.3969	-1.6031	
0.654	0.0518	-0.0525	1.0708	-4.1298	-1.3969	-1.6031	
0.654	0.0518	-0.0525	1.0708	-4.1298	-1.3969	-1.6031	
0.654	0.0518	-0.0525	1.0708	-4.1298	-1.3969	-1.6031	
0.654	0.0518	-0.0525	1.0708	-4.1298	-1.3969	-1.6031	
0.66	0.002	0.0127	1.1011	-2.8168	-1.7023	-3.5725	
0.66	0.002	0.0127	1.1011	-2.8168	-1.7023	-3.5725	
0.66	0.002	0.0127	1.1011	-2.8168	-1.7023	-3.5725	
0.66	0.002	0.0127	1.1011	-2.8168	-1.7023	-3.5725	
