time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0486	-0.0452	1.0801	-3.2824	-0.8702	-0.9389	
0.043	0.0286	-0.0266	1.063	-2.4275	-1.2672	-1.0382	
0.074	0.0085	-0.0967	1.1179	-2.2901	-0.0916	0.3817	
0.098	0.0369	0.0664	1.0674	-3.7328	-1.0153	-0.6565	
0.129	0.019	-0.115	1.0444	-4	-1.229	-3.9695	
0.161	0.0339	-0.0146	1.0896	-4.1756	-0.4275	-0.0534	
0.192	0.0859	-0.1001	1.0601	-4.1756	-0.9618	-2.4275	
0.222	0.0354	-0.1104	1.05	-2.4656	-2.2595	-3.542	
0.247	0.0408	-0.0957	1.051	-1.9389	-1.2061	0.0992	
0.278	0.0171	0.0012	1.094	-3.3664	-0.8779	-4.9466	
0.308	0.0288	-0.0027	1.0688	-4.9924	-1.2824	-2.8092	
0.339	0.041	-0.0679	1.0403	-3.855	-0.6947	-0.4809	
0.364	0.0342	0.051	1.0942	-2.8321	-1.5496	-2.8321	
0.395	0.0369	-0.0386	1.0867	-3.9542	-0.8397	-3.4504	
0.426	0.0095	-0.0334	1.0845	-3.4656	-0.2519	2.2824	
0.445	0.0413	-0.1025	1.1062	-2.6641	-1.0687	1.0687	
0.445	0.0413	-0.1025	1.1062	-2.6641	-1.0687	1.0687	
0.451	0.0901	0.0613	1.0493	-3.1298	-0.90715	4.62428e-44	
0.451	0.0901	0.0613	1.0493	-3.1298	-0.90715	4.62428e-44	
0.451	0.0901	0.0613	1.0493	-3.1298	-0.90715	4.62428e-44	
0.451	0.0901	0.0613	1.0493	-3.1298	-0.90715	4.62428e-44	
0.5	0.0264	0.0857	1.1057	-3.1527	0.0382	-6.5038	
0.5	0.0264	0.0857	1.1057	-3.1527	0.0382	-6.5038	
0.5	0.0264	0.0857	1.1057	-3.1527	0.0382	-6.5038	
0.5	0.0264	0.0857	1.1057	-3.1527	0.0382	-6.5038	
0.5	0.0264	0.0857	1.1057	-3.1527	0.0382	-6.5038	
0.5	0.0264	0.0857	1.1057	-3.1527	0.0382	-6.5038	
0.506	0.0295	-0.1975	1.092	-4.4504	-1.0382	-1.2901	
0.506	0.0295	-0.1975	1.092	-4.4504	-1.0382	-1.2901	
0.506	0.0295	-0.1975	1.092	-4.4504	-1.0382	-1.2901	
0.506	0.0295	-0.1975	1.092	-4.4504	-1.0382	-1.2901	
0.506	0.0295	-0.1975	1.092	-4.4504	-1.0382	-1.2901	
0.512	0.0076	0.0093	1.0403	-3.0305	-1.2214	1.5267	
