time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	-0.0081	-0.0811	1.1372	-3.2366	-0.084	-1.458	
0.043	0.0254	-0.1707	1.1313	-2.9847	0.3206	-2.1145	
0.073	0.0117	-0.1235	1.1033	-3.4046	-0.5267	-2.7481	
0.098	0.009	0.0334	1.071	-3.1985	-1.2595	-1.2519	
0.13	0.0308	-0.0378	1.0176	-2.229	-1.6336	-2.4809	
0.161	0.0708	-0.0032	1.093	-1.5725	-1.084	-1.9466	
0.191	0.0798	0.0288	1.0945	-3.5573	-1.3511	-2.1069	
0.216	-0.0554	0.0095	1.0471	-3.9008	-1.2748	-0.6947	
0.247	-0.0371	-0.1001	1.0815	-4.2595	-1.0687	-0.9084	
0.277	0.0515	-0.1006	1.1472	-3.916	0.084	-2.6947	
0.308	0.0181	-0.0959	1.0842	-3.5191	-0.4351	-2.9313	
0.334	0.0396	0.0095	1.0879	-4.6489	-0.9847	-2.7099	
0.364	-0.0137	-0.0588	1.0759	-2.7099	-0.7634	-2.6489	
0.395	0.0073	-0.0774	1.1243	-2.4122	-0.4351	-1.5878	
0.426	0.0391	0.0203	1.0789	-2.8473	-1.3588	-1.2061	
0.444	0.0149	-0.0898	1.0806	-2.4733	-0.8779	-1.3588	
0.444	0.0149	-0.0898	1.0806	-2.4733	-0.8779	-1.3588	
0.444	0.0149	-0.0898	1.0806	-2.4733	-0.8779	-1.3588	
463.145	-1.1527	-2.1069	0	0	0	4.62428e-44	
463.145	-1.1527	-2.1069	0	0	0	4.62428e-44	
463.145	-1.1527	-2.1069	0	0	0	4.62428e-44	
463.145	-1.1527	-2.1069	0	0	0	4.62428e-44	
463.145	-1.1527	-2.1069	0	0	0	4.62428e-44	
463.145	-1.1527	-2.1069	0	0	0	4.62428e-44	
0.525	0.041	-0.0894	1.0732	-4.2137	-0.5878	-1.8397	
0.525	0.041	-0.0894	1.0732	-4.2137	-0.5878	-1.8397	
0.525	0.041	-0.0894	1.0732	-4.2137	-0.5878	-1.8397	
0.525	0.041	-0.0894	1.0732	-4.2137	-0.5878	-1.8397	
0.525	0.041	-0.0894	1.0732	-4.2137	-0.5878	-1.8397	
0.531	0.0288	0.0386	1.0554	-4.0534	-0.6336	-2.5954	
0.531	0.0288	0.0386	1.0554	-4.0534	-0.6336	-2.5954	
0.531	0.0288	0.0386	1.0554	-4.0534	-0.6336	-2.5954	
0.531	0.0288	0.0386	1.0554	-4.0534	-0.6336	-2.5954	
0.531	0.0288	0.0386	1.0554	-4.0534	-0.6336	-2.5954	
0.531	0.0288	0.0386	1.0554	-4.0534	-0.6336	-2.5954	
0.537	0.0579	-0.0608	1.0557	-3.458	-0.687	-1.3664	
0.537	0.0579	-0.0608	1.0557	-3.458	-0.687	-1.3664	
0.537	0.0579	-0.0608	1.0557	-3.458	-0.687	-1.3664	
0.537	0.0579	-0.0608	1.0557	-3.458	-0.687	-1.3664	
0.537	0.0579	-0.0608	1.0557	-3.458	-0.687	-1.3664	
0.543	-0.0112	-0.0447	1.0645	-4.5878	-1.2214	-1.8855	
0.543	-0.0112	-0.0447	1.0645	-4.5878	-1.2214	-1.8855	
0.543	-0.0112	-0.0447	1.0645	-4.5878	-1.2214	-1.8855	
0.543	-0.0112	-0.0447	1.0645	-4.5878	-1.2214	-1.8855	
0.543	-0.0112	-0.0447	1.0645	-4.5878	-1.2214	-1.8855	
0.55	0.062	-0.0906	1.0684	-4.855	-1.6718	-1.5496	
0.55	0.062	-0.0906	1.0684	-4.855	-1.6718	-1.5496	
0.55	0.062	-0.0906	1.0684	-4.855	-1.6718	-1.5496	
0.55	0.062	-0.0906	1.0684	-4.855	-1.6718	-1.5496	
0.55	0.062	-0.0906	1.0684	-4.855	-1.6718	-1.5496	
0.55	0.062	-0.0906	1.0684	-4.855	-1.6718	-1.5496	
0.55	0.062	-0.0906	1.0684	-4.855	-1.6718	-1.5496	
0.556	0.011	-0.0427	1.0457	-1.0382	-1.1298	-2.2977	
0.556	0.011	-0.0427	1.0457	-1.0382	-1.1298	-2.2977	
0.556	0.011	-0.0427	1.0457	-1.0382	-1.1298	-2.2977	
0.556	0.011	-0.0427	1.0457	-1.0382	-1.1298	-2.2977	
0.556	0.011	-0.0427	1.0457	-1.0382	-1.1298	-2.2977	
0.562	0.0947	0.0698	1.1111	-3.8397	-0.5649	-1.2595	
0.562	0.0947	0.0698	1.1111	-3.8397	-0.5649	-1.2595	
0.562	0.0947	0.0698	1.1111	-3.8397	-0.5649	-1.2595	
0.562	0.0947	0.0698	1.1111	-3.8397	-0.5649	-1.2595	
0.562	0.0947	0.0698	1.1111	-3.8397	-0.5649	-1.2595	
0.562	0.0947	0.0698	1.1111	-3.8397	-0.5649	-1.2595	
0.568	-0.0154	-0.0789	1.0486	-1.542	-0.7939	-1.2824	
0.568	-0.0154	-0.0789	1.0486	-1.542	-0.7939	-1.2824	
0.568	-0.0154	-0.0789	1.0486	-1.542	-0.7939	-1.2824	
0.568	-0.0154	-0.0789	1.0486	-1.542	-0.7939	-1.2824	
0.568	-0.0154	-0.0789	1.0486	-1.542	-0.7939	-1.2824	
0.574	0.0491	0.0251	1.1174	-4.1985	-0.2977	-2.5267	
0.574	0.0491	0.0251	1.1174	-4.1985	-0.2977	-2.5267	
