time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.013	0.0386	0.0068	1.0657	-4.3282	-1.0382	-0.5725	
0.044	0.0527	0.0491	1.1047	-2.0687	-0.6794	-3.0229	
0.075	0.0183	-0.1123	1.064	-3.3435	-0.8855	-1.0763	
0.1	0.019	-0.0942	1.0129	-1.9924	-1.0153	-0.7328	
0.13	0.0938	-0.0059	1.1187	-2.8321	-0.3664	-3.7863	
0.161	-0.0168	-0.1965	1.0859	-5.229	-0.9084	-1.1527	
0.192	0.0757	0.0276	1.1157	-3.4962	-1.0763	-1.5649	
0.216	0.0974	0.0378	1.0908	-4.2977	-0.8015	-1.3817	
0.248	0.0508	0.0195	1.051	-3.8244	-0.8092	-2.6412	
0.279	0.0283	-0.0952	1.0757	-3.7405	-1.0229	-1.1374	
0.309	0.0752	-0.062	1.1013	-3.3435	-0.1298	-2.6489	
0.334	0.0635	0.002	1.0991	-3.1832	-1.2748	-3.0763	
0.365	0.0088	0.0005	1.0625	-3.5878	-1.3206	-1.3817	
0.395	0.0679	0.0674	1.0886	-4.6336	-1.3817	-1.5573	
0.427	0.04	-0.04	1.0608	-2.6565	-1	-1.8321	
0.446	0.0513	-0.0032	1.0427	-2	-1.0153	-1.9542	
0.47	0.0195	0.0103	1.0664	-4.2672	-0.9084	-2.1756	
0.47	0.0195	0.0103	1.0664	-4.2672	-0.9084	-2.1756	
0.47	0.0195	0.0103	1.0664	-4.2672	-0.9084	-2.1756	
0.47	0.0195	0.0103	1.0664	-4.2672	-0.9084	-2.1756	
0.47	0.0195	0.0103	1.0664	-4.2672	-0.9084	-2.1756	
0.476	0.0542	-0.0461	1.0591	-3.0076	-0.9618	-2.1527	
0.476	0.0542	-0.0461	1.0591	-3.0076	-0.9618	-2.1527	
0.476	0.0542	-0.0461	1.0591	-3.0076	-0.9618	-2.1527	
0.476	0.0542	-0.0461	1.0591	-3.0076	-0.9618	-2.1527	
0.476	0.0542	-0.0461	1.0591	-3.0076	-0.9618	-2.1527	
0.476	0.0542	-0.0461	1.0591	-3.0076	-0.9618	-2.1527	
0.483	0.0396	-0.043	1.04	-2.3206	-1.5344	-1.6565	
0.483	0.0396	-0.043	1.04	-2.3206	-1.5344	-1.6565	
0.483	0.0396	-0.043	1.04	-2.3206	-1.5344	-1.6565	
0.483	0.0396	-0.043	1.04	-2.3206	-1.5344	-1.6565	
0.483	0.0396	-0.043	1.04	-2.3206	-1.5344	-1.6565	
0.483	0.0396	-0.043	1.04	-2.3206	-1.5344	-1.6565	
0.489	0.0325	-0.0354	1.0728	-2.8702	-0.5344	-2	
0.489	0.0325	-0.0354	1.0728	-2.8702	-0.5344	-2	
0.489	0.0325	-0.0354	1.0728	-2.8702	-0.5344	-2	
0.489	0.0325	-0.0354	1.0728	-2.8702	-0.5344	-2	
0.489	0.0325	-0.0354	1.0728	-2.8702	-0.5344	-2	
0.489	0.0325	-0.0354	1.0728	-2.8702	-0.5344	-2	
0.495	0.0217	-0.0288	1.0896	-2.2977	-1.0458	-1.0153	
0.495	0.0217	-0.0288	1.0896	-2.2977	-1.0458	-1.0153	
0.495	0.0217	-0.0288	1.0896	-2.2977	-1.0458	-1.0153	
0.495	0.0217	-0.0288	1.0896	-2.2977	-1.0458	-1.0153	
0.495	0.0217	-0.0288	1.0896	-2.2977	-1.0458	-1.0153	
0.501	0.0256	0.0874	1.0986	-4	-0.458	-1.916	
0.501	0.0256	0.0874	1.0986	-4	-0.458	-1.916	
0.501	0.0256	0.0874	1.0986	-4	-0.458	-1.916	
0.501	0.0256	0.0874	1.0986	-4	-0.458	-1.916	
0.501	0.0256	0.0874	1.0986	-4	-0.458	-1.916	
0.501	0.0256	0.0874	1.0986	-4	-0.458	-1.916	
0.507	0.033	-0.0483	1.0549	-2.6718	-0.6641	-0.8397	
0.507	0.033	-0.0483	1.0549	-2.6718	-0.6641	-0.8397	
0.507	0.033	-0.0483	1.0549	-2.6718	-0.6641	-0.8397	
0.507	0.033	-0.0483	1.0549	-2.6718	-0.6641	-0.8397	
0.507	0.033	-0.0483	1.0549	-2.6718	-0.6641	-0.8397	
0.513	0.0327	-0.042	1.1062	-4.2214	-1.0458	-2.6412	
0.513	0.0327	-0.042	1.1062	-4.2214	-1.0458	-2.6412	
0.513	0.0327	-0.042	1.1062	-4.2214	-1.0458	-2.6412	
0.513	0.0327	-0.042	1.1062	-4.2214	-1.0458	-2.6412	
0.513	0.0327	-0.042	1.1062	-4.2214	-1.0458	-2.6412	
0.513	0.0327	-0.042	1.1062	-4.2214	-1.0458	-2.6412	
0.519	0.0244	-0.0854	1.0537	-4.4656	-1.1527	-0.916	
0.519	0.0244	-0.0854	1.0537	-4.4656	-1.1527	-0.916	
0.519	0.0244	-0.0854	1.0537	-4.4656	-1.1527	-0.916	
0.519	0.0244	-0.0854	1.0537	-4.4656	-1.1527	-0.916	
0.519	0.0244	-0.0854	1.0537	-4.4656	-1.1527	-0.916	
0.526	0.0872	0.0623	1.0686	-2.3817	-0.7328	-2.8779	
0.526	0.0872	0.0623	1.0686	-2.3817	-0.7328	-2.8779	
0.526	0.0872	0.0623	1.0686	-2.3817	-0.7328	-2.8779	
0.526	0.0872	0.0623	1.0686	-2.3817	-0.7328	-2.8779	
0.526	0.0872	0.0623	1.0686	-2.3817	-0.7328	-2.8779	
