time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0195	-0.022	1.0361	-4.1069	-1.1832	-2.771	
0.043	-0.0063	-0.1145	1.0403	-3.374	-1.1603	-0.8779	
0.074	0.042	-0.0002	1.1228	-3.8397	-0.2137	-2.5725	
0.099	0.0989	0.0818	1.0947	-3.7176	-0.5344	-1.8244	
0.13	0.0107	-0.0503	1.0581	-4.2977	-0.626	-1.5038	
0.16	0.0129	-0.0349	1.0771	-3.3664	-0.6031	-1.8092	
0.191	0.0791	-0.0728	1.0654	-2.9924	-0.4427	-1.9084	
0.216	0.0776	0.0864	1.105	-4.0153	-0.7252	-1.458	
0.246	0.0569	0.0447	1.0632	-3.7023	-0.8855	-1.9237	
0.278	0.0339	-0.0518	1.0745	-3.7786	-0.542	-1.6107	
0.309	0.0137	-0.053	1.0576	-0.4351	-1.3206	-2.4198	
0.333	0.0327	-0.146	1.0681	-2.6183	-0.9847	-2.2748	
0.364	0.0798	0.0464	1.0757	-3.5725	-1.0382	-1.0916	
0.395	0.0227	0.0723	1.0962	-5.0687	-1.6336	-2.0305	
0.426	0.0171	0.0198	1.0339	-4.1832	-1.4427	-1.2443	
0.445	0.0503	0.0146	1.0605	-3.4122	-0.8244	-2.6565	
0.445	0.0503	0.0146	1.0605	-3.4122	-0.8244	-2.6565	
1	-0.5	0	0	0	0	6.86636e-44	
1	-0.5	0	0	0	0	6.86636e-44	
1	-0.5	0	0	0	0	6.86636e-44	
1	-0.5	0	0	0	0	6.86636e-44	
1	-0.5	0	0	0	0	6.86636e-44	
0.5	0.0229	-0.127	1.0735	-4.5115	-0.9618	-0.5496	
0.5	0.0229	-0.127	1.0735	-4.5115	-0.9618	-0.5496	
0.5	0.0229	-0.127	1.0735	-4.5115	-0.9618	-0.5496	
0.5	0.0229	-0.127	1.0735	-4.5115	-0.9618	-0.5496	
0.5	0.0229	-0.127	1.0735	-4.5115	-0.9618	-0.5496	
0.507	0.0164	-0.0295	1.0947	-3.4656	-0.5878	-3.4962	
0.507	0.0164	-0.0295	1.0947	-3.4656	-0.5878	-3.4962	
0.507	0.0164	-0.0295	1.0947	-3.4656	-0.5878	-3.4962	
0.507	0.0164	-0.0295	1.0947	-3.4656	-0.5878	-3.4962	
0.507	0.0164	-0.0295	1.0947	-3.4656	-0.5878	-3.4962	
0.507	0.0164	-0.0295	1.0947	-3.4656	-0.5878	-3.4962	
0.513	0.0364	0.0996	1.0693	-3.3588	-1.7328	-0.9313	
0.513	0.0364	0.0996	1.0693	-3.3588	-1.7328	-0.9313	
0.513	0.0364	0.0996	1.0693	-3.3588	-1.7328	-0.9313	
0.513	0.0364	0.0996	1.0693	-3.3588	-1.7328	-0.9313	
0.513	0.0364	0.0996	1.0693	-3.3588	-1.7328	-0.9313	
0.519	0.0552	0.0059	1.0659	-5.0687	-0.4427	-2.4809	
0.519	0.0552	0.0059	1.0659	-5.0687	-0.4427	-2.4809	
0.519	0.0552	0.0059	1.0659	-5.0687	-0.4427	-2.4809	
0.519	0.0552	0.0059	1.0659	-5.0687	-0.4427	-2.4809	
0.519	0.0552	0.0059	1.0659	-5.0687	-0.4427	-2.4809	
0.519	0.0552	0.0059	1.0659	-5.0687	-0.4427	-2.4809	
0.525	0.0273	-0.158	1.0654	-4.9847	-0.3435	-1.0534	
0.525	0.0273	-0.158	1.0654	-4.9847	-0.3435	-1.0534	
0.525	0.0273	-0.158	1.0654	-4.9847	-0.3435	-1.0534	
0.525	0.0273	-0.158	1.0654	-4.9847	-0.3435	-1.0534	
0.525	0.0273	-0.158	1.0654	-4.9847	-0.3435	-1.0534	
0.531	0.0171	-0.0583	1.0586	-2.9695	-0.5038	-2.8931	
0.531	0.0171	-0.0583	1.0586	-2.9695	-0.5038	-2.8931	
0.531	0.0171	-0.0583	1.0586	-2.9695	-0.5038	-2.8931	
