time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0361	0.0022	1.0789	-3.5038	-0.313	-2.9466	
0.043	0.0034	-0.0601	1.0801	-3.7634	-0.9389	-2.6336	
0.073	-0.0083	-0.1736	1.0706	-3.5115	-0.6031	-1.1756	
0.098	0.0464	-0.012	1.04	-3.5802	-0.9542	-1.7176	
0.129	0.0659	0.0286	1.0774	-3.7023	-1.2366	-1.313	
0.159	0.0562	-0.0371	1.063	-2.6641	-0.8473	-2.2061	
0.19	0.0449	-0.0928	1.0803	-3	-0.4656	-2.145	
0.215	0.0759	0.0774	1.0457	-4.7405	-1.1221	-2.5038	
0.247	0.0352	0.0166	1.0742	-2.8931	-1.1908	-3.1908	
0.277	-0.0085	-0.1074	1.1003	-2.7557	-0.8702	-2.4962	
0.308	-0.0039	-0.1311	1.0847	-2.8244	-0.7405	-1.0229	
0.333	0.0242	-0.0696	1.0688	-4.4046	-0.7634	-1.7252	
0.363	0.0432	-0.0889	1.0659	-2.4122	-1.229	-1.2824	
0.394	0.0347	-0.1013	1.0552	-3.3969	-0.6183	-2.084	
0.425	0.0564	-0.043	1.0818	-2.7939	-0.9084	-1.9771	
0.444	0.0283	-0.0227	1.0588	-3.6947	-0.8244	-2.1374	
0.444	0.0283	-0.0227	1.0588	-3.6947	-0.8244	-2.1374	
0.444	0.0283	-0.0227	1.0588	-3.6947	-0.8244	-2.1374	
0.444	0.0283	-0.0227	1.0588	-3.6947	-0.8244	-2.1374	
0.444	0.0283	-0.0227	1.0588	-3.6947	-0.8244	-2.1374	
1.27	0.0398	-0.0554	1.061	-3.7557	-0.8321	-0.9847	
1.27	0.0398	-0.0554	1.061	-3.7557	-0.8321	-0.9847	
1.27	0.0398	-0.0554	1.061	-3.7557	-0.8321	-0.9847	
1.27	0.0398	-0.0554	1.061	-3.7557	-0.8321	-0.9847	
1.27	0.0398	-0.0554	1.061	-3.7557	-0.8321	-0.9847	
1.27	0.0398	-0.0554	1.061	-3.7557	-0.8321	-0.9847	
0.493	0.053	-0.0332	1.0671	-1.6794	-0.5038	-2.5802	
0.493	0.053	-0.0332	1.0671	-1.6794	-0.5038	-2.5802	
0.493	0.053	-0.0332	1.0671	-1.6794	-0.5038	-2.5802	
0.493	0.053	-0.0332	1.0671	-1.6794	-0.5038	-2.5802	
0.493	0.053	-0.0332	1.0671	-1.6794	-0.5038	-2.5802	
0.499	0.0095	-0.0732	1.0962	-3.7634	-1.313	-1.1527	
0.499	0.0095	-0.0732	1.0962	-3.7634	-1.313	-1.1527	
0.499	0.0095	-0.0732	1.0962	-3.7634	-1.313	-1.1527	
0.499	0.0095	-0.0732	1.0962	-3.7634	-1.313	-1.1527	
0.499	0.0095	-0.0732	1.0962	-3.7634	-1.313	-1.1527	
0.499	0.0095	-0.0732	1.0962	-3.7634	-1.313	-1.1527	
0.506	0.0503	-0.0105	1.0767	-1.145	-1	-1.8931	
0.506	0.0503	-0.0105	1.0767	-1.145	-1	-1.8931	
0.506	0.0503	-0.0105	1.0767	-1.145	-1	-1.8931	
