time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0559	-0.0024	1.0615	-2.2748	-0.9389	-2.2443	
0.043	0.0845	0.011	1.0371	-2.6489	-1.0382	-2.4198	
0.074	0.0313	-0.1138	1.0701	-3.2519	-0.9847	-0.9237	
0.098	0.0552	-0.0659	1.0967	-4.5573	-1.0153	-0.6565	
0.129	0.0369	-0.011	1.0698	-4.8244	-1.0382	-1.6031	
0.16	0.0757	0.0549	1.0696	-2.8092	-1.3511	-2.855	
0.191	0.0598	-0.0081	1.062	-2.3893	-0.6336	-2.4809	
0.216	0.05	-0.0723	1.0745	-3.9695	-1.2977	-2.1985	
0.247	0.0601	0.0046	1.0962	-3.4962	-0.855	-2.2748	
0.278	0.0437	-0.0759	1.0632	-4.7481	-0.7634	-1.6947	
0.308	0.0488	0.0278	1.0659	-3.2824	-0.4733	-3.0458	
0.333	0.0464	-0.1074	1.0537	-1.542	-1.313	-1.9695	
0.364	0.0491	0.0054	1.0808	-4.084	-0.6641	-1.2061	
0.394	0.0972	0.0271	1.1189	-3.626	-0.7023	-1.9695	
0.426	0.0425	0.0017	1.0569	-3.7099	-1.1756	-2.0076	
0.445	0.021	-0.0769	1.0942	-4.0916	-1.1603	-1.9771	
0.445	0.021	-0.0769	1.0942	-4.0916	-1.1603	-1.9771	
0.445	0.021	-0.0769	1.0942	-4.0916	-1.1603	-1.9771	
0.7618	-1.0916	-2.5038	0	4.10266e-08	4.74199e-42	4.62428e-44	
0.7618	-1.0916	-2.5038	0	4.10266e-08	4.74199e-42	4.62428e-44	
0.7618	-1.0916	-2.5038	0	4.10266e-08	4.74199e-42	4.62428e-44	
0.7618	-1.0916	-2.5038	0	4.10266e-08	4.74199e-42	4.62428e-44	
0.7618	-1.0916	-2.5038	0	4.10266e-08	4.74199e-42	4.62428e-44	
1.123	0.0698	0.0315	1.1101	-3.4198	-0.8473	-0.3969	
