time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0889	0.0249	1.0686	-2.2214	-0.3359	-2.7405	
0.044	0.0354	-0.0374	1.0645	-3.0611	-1.0611	-2.687	
0.074	0.054	0.0874	1.074	-2.9008	-1.8473	-0.3588	
0.105	0.0378	0.0288	1.0547	-2.8397	-1.4275	-2.2901	
0.13	0.0178	-0.1304	1.0715	-2.2672	-0.7939	-1.5191	
0.16	0.0601	-0.0115	1.092	-4.8397	-0.2366	-2.2137	
0.191	0.0801	0.0139	1.0679	-2.6183	-0.8702	-1.8244	
0.222	0.0842	0.0679	1.0525	-2.0992	-1.3206	-1.9389	
0.246	0.0107	-0.1079	1.074	-3.9466	-0.313	-0.9695	
0.277	0.052	-0.0059	1.0632	-2.9847	-0.8931	-2.0916	
0.309	0.1169	0.0957	1.063	-1.4351	-0.5191	-2.6031	
0.333	-0.0276	-0.0093	1.0706	-3.9618	-1.4809	-1.7099	
0.364	0.0481	-0.0762	1.0784	-3.8779	-1.0992	-1.7328	
0.395	0.0171	-0.1255	1.1047	-4.5802	-0.7481	-2.6794	
0.426	-0.019	-0.1509	1.0723	-3.4733	-1.1527	-1.3053	
0.444	0.0942	0.0439	1.0908	-3.0458	-0.9084	-1.771	
0.444	0.0942	0.0439	1.0908	-3.0458	-0.9084	-1.771	
0.469	0.0457	-0.0413	1.0405	-3.2443	-1.4885	-0.5496	
0.469	0.0457	-0.0413	1.0405	-3.2443	-1.4885	-0.5496	
0.469	0.0457	-0.0413	1.0405	-3.2443	-1.4885	-0.5496	
0.469	0.0457	-0.0413	1.0405	-3.2443	-1.4885	-0.5496	
0.469	0.0457	-0.0413	1.0405	-3.2443	-1.4885	-0.5496	
0.469	0.0457	-0.0413	1.0405	-3.2443	-1.4885	-0.5496	
0.475	0.0137	-0.0925	1.1096	-3.9695	-0.5954	-2.855	
0.475	0.0137	-0.0925	1.1096	-3.9695	-0.5954	-2.855	
0.475	0.0137	-0.0925	1.1096	-3.9695	-0.5954	-2.855	
0.475	0.0137	-0.0925	1.1096	-3.9695	-0.5954	-2.855	
0.475	0.0137	-0.0925	1.1096	-3.9695	-0.5954	-2.855	
0.481	0.02	-0.061	1.0322	-2.8092	-1.4275	-1.0534	
0.481	0.02	-0.061	1.0322	-2.8092	-1.4275	-1.0534	
0.481	0.02	-0.061	1.0322	-2.8092	-1.4275	-1.0534	
0.481	0.02	-0.061	1.0322	-2.8092	-1.4275	-1.0534	
0.481	0.02	-0.061	1.0322	-2.8092	-1.4275	-1.0534	
0.487	0.0273	-0.0557	1.115	-3.7328	-0.8855	-1.8092	
0.487	0.0273	-0.0557	1.115	-3.7328	-0.8855	-1.8092	
0.487	0.0273	-0.0557	1.115	-3.7328	-0.8855	-1.8092	
0.487	0.0273	-0.0557	1.115	-3.7328	-0.8855	-1.8092	
0.487	0.0273	-0.0557	1.115	-3.7328	-0.8855	-1.8092	
0.487	0.0273	-0.0557	1.115	-3.7328	-0.8855	-1.8092	
0.494	-0.0078	-0.064	1.0608	-4.5878	-1.2214	-2.3817	
0.494	-0.0078	-0.064	1.0608	-4.5878	-1.2214	-2.3817	
0.494	-0.0078	-0.064	1.0608	-4.5878	-1.2214	-2.3817	
0.494	-0.0078	-0.064	1.0608	-4.5878	-1.2214	-2.3817	
0.494	-0.0078	-0.064	1.0608	-4.5878	-1.2214	-2.3817	
0.494	-0.0078	-0.064	1.0608	-4.5878	-1.2214	-2.3817	
0.5	0.104	0.1941	1.0698	-2.8015	-1.3511	-1.2519	
0.5	0.104	0.1941	1.0698	-2.8015	-1.3511	-1.2519	
0.5	0.104	0.1941	1.0698	-2.8015	-1.3511	-1.2519	
0.5	0.104	0.1941	1.0698	-2.8015	-1.3511	-1.2519	
0.5	0.104	0.1941	1.0698	-2.8015	-1.3511	-1.2519	
0.506	0.0125	-0.1714	1.0935	-5.1374	-0.5191	-1.916	
0.506	0.0125	-0.1714	1.0935	-5.1374	-0.5191	-1.916	
0.506	0.0125	-0.1714	1.0935	-5.1374	-0.5191	-1.916	
0.506	0.0125	-0.1714	1.0935	-5.1374	-0.5191	-1.916	
0.506	0.0125	-0.1714	1.0935	-5.1374	-0.5191	-1.916	
0.513	0.0334	-0.1477	1.0251	-3.4504	-1.1298	-1.1527	
0.513	0.0334	-0.1477	1.0251	-3.4504	-1.1298	-1.1527	
0.513	0.0334	-0.1477	1.0251	-3.4504	-1.1298	-1.1527	
0.513	0.0334	-0.1477	1.0251	-3.4504	-1.1298	-1.1527	
0.513	0.0334	-0.1477	1.0251	-3.4504	-1.1298	-1.1527	
0.519	0.0344	-0.0049	1.1252	-2.1221	-0.2977	-3.2366	
0.519	0.0344	-0.0049	1.1252	-2.1221	-0.2977	-3.2366	
0.519	0.0344	-0.0049	1.1252	-2.1221	-0.2977	-3.2366	
0.519	0.0344	-0.0049	1.1252	-2.1221	-0.2977	-3.2366	
0.519	0.0344	-0.0049	1.1252	-2.1221	-0.2977	-3.2366	
