time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	-0.0894	0.002	1.0071	-3.5725	-1.9313	-0.2901	
0.043	0.0625	0.2078	1.0872	-4.1603	-1.7634	-1.5267	
0.074	0.0215	-0.0037	1.0371	-3.626	-1.458	-2.4504	
0.104	0.053	-0.0461	1.0801	-3.3206	-0.9542	-2.5573	
0.129	-0.0593	-0.0339	1.0562	-2.3359	-2.0763	-2.2061	
0.16	0.0647	0.0518	1.0894	-2.9771	-0.3588	-1.9466	
0.191	-0.0288	-0.1553	1.0903	-4.0458	-0.9466	-1.9542	
0.222	0.0029	-0.168	1.0837	-3.8855	-0.3511	-1.5802	
0.247	0.0159	-0.1055	1.051	-1.687	-0.855	-2.2519	
0.278	0.1157	-0.02	1.1052	-3.4962	-0.1145	-1.7634	
0.308	0.0898	-0.0806	1.1021	-3.0763	-0.8397	-4	
0.333	0.0642	0.0239	1.1008	-5.1145	-1.916	-2.1069	
0.365	-0.002	0.0601	1.0322	-3.9771	-2.2748	-1.4962	
0.395	0.0759	0.0149	1.0632	-2.7939	-1.7557	-1.9618	
0.426	0.0198	0.0757	1.1091	-4.0458	-0.5344	-4.0916	
0.444	-0.0559	-0.063	1.0203	-3.229	-2.916	0.0687	
0.444	-0.0559	-0.063	1.0203	-3.229	-2.916	0.0687	
0.444	-0.0559	-0.063	1.0203	-3.229	-2.916	0.0687	
0.444	-0.0559	-0.063	1.0203	-3.229	-2.916	0.0687	
0.451	0.08015	1.1243	-3.4656	0.229	-1.3817	4.62428e-44	
0.451	0.08015	1.1243	-3.4656	0.229	-1.3817	4.62428e-44	
0.451	0.08015	1.1243	-3.4656	0.229	-1.3817	4.62428e-44	
0.451	0.08015	1.1243	-3.4656	0.229	-1.3817	4.62428e-44	
0.451	0.08015	1.1243	-3.4656	0.229	-1.3817	4.62428e-44	
0.451	0.08015	1.1243	-3.4656	0.229	-1.3817	4.62428e-44	
0.685	-0.0564	-0.0925	1.0823	-3.6489	-0.0458	-2.1298	
0.685	-0.0564	-0.0925	1.0823	-3.6489	-0.0458	-2.1298	
0.685	-0.0564	-0.0925	1.0823	-3.6489	-0.0458	-2.1298	
0.685	-0.0564	-0.0925	1.0823	-3.6489	-0.0458	-2.1298	
0.685	-0.0564	-0.0925	1.0823	-3.6489	-0.0458	-2.1298	
0.692	0.0923	0.1602	1.1091	-3.3588	-1.5802	-2.458	
0.692	0.0923	0.1602	1.1091	-3.3588	-1.5802	-2.458	
0.692	0.0923	0.1602	1.1091	-3.3588	-1.5802	-2.458	
0.692	0.0923	0.1602	1.1091	-3.3588	-1.5802	-2.458	
0.692	0.0923	0.1602	1.1091	-3.3588	-1.5802	-2.458	
0.692	0.0923	0.1602	1.1091	-3.3588	-1.5802	-2.458	
0.698	-0.0759	-0.1409	1.0447	-4.4504	-1.1603	-2.0229	
0.698	-0.0759	-0.1409	1.0447	-4.4504	-1.1603	-2.0229	
0.698	-0.0759	-0.1409	1.0447	-4.4504	-1.1603	-2.0229	
0.698	-0.0759	-0.1409	1.0447	-4.4504	-1.1603	-2.0229	
0.698	-0.0759	-0.1409	1.0447	-4.4504	-1.1603	-2.0229	
0.698	-0.0759	-0.1409	1.0447	-4.4504	-1.1603	-2.0229	
0.705	0.0918	-0.0083	1.0811	-5.2137	-0.6183	-1.3206	
0.705	0.0918	-0.0083	1.0811	-5.2137	-0.6183	-1.3206	
0.705	0.0918	-0.0083	1.0811	-5.2137	-0.6183	-1.3206	
0.705	0.0918	-0.0083	1.0811	-5.2137	-0.6183	-1.3206	
0.705	0.0918	-0.0083	1.0811	-5.2137	-0.6183	-1.3206	
0.711	0.0398	-0.1477	1.0842	-3.1756	-0.7557	-2.2901	
0.711	0.0398	-0.1477	1.0842	-3.1756	-0.7557	-2.2901	
0.711	0.0398	-0.1477	1.0842	-3.1756	-0.7557	-2.2901	
0.711	0.0398	-0.1477	1.0842	-3.1756	-0.7557	-2.2901	
0.711	0.0398	-0.1477	1.0842	-3.1756	-0.7557	-2.2901	
0.711	0.0398	-0.1477	1.0842	-3.1756	-0.7557	-2.2901	
0.717	0.0232	-0.041	1.0679	-3.3969	-1.6107	-1.3282	
0.717	0.0232	-0.041	1.0679	-3.3969	-1.6107	-1.3282	
0.717	0.0232	-0.041	1.0679	-3.3969	-1.6107	-1.3282	
0.717	0.0232	-0.041	1.0679	-3.3969	-1.6107	-1.3282	
0.717	0.0232	-0.041	1.0679	-3.3969	-1.6107	-1.3282	
0.723	0.0374	-0.031	1.0435	-2.8931	-0.3511	-1.7634	
0.723	0.0374	-0.031	1.0435	-2.8931	-0.3511	-1.7634	
0.723	0.0374	-0.031	1.0435	-2.8931	-0.3511	-1.7634	
0.723	0.0374	-0.031	1.0435	-2.8931	-0.3511	-1.7634	
0.723	0.0374	-0.031	1.0435	-2.8931	-0.3511	-1.7634	
0.723	0.0374	-0.031	1.0435	-2.8931	-0.3511	-1.7634	
0.729	-0.0186	0.012	1.072	-3.8168	-1.3893	-1.4885	
0.729	-0.0186	0.012	1.072	-3.8168	-1.3893	-1.4885	
