time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0789	0.0259	1.0659	-3.1603	-0.8321	-3.6107	
0.043	-0.0374	-0.178	1.1016	-3	-0.4046	-2.145	
0.073	-0.0078	-0.1726	1.1067	-3.2595	0.1298	-2.1527	
0.098	0.1211	-0.0051	1.092	-3.6794	-0.8092	-3.4275	
0.13	-0.0042	-0.0398	1.0737	-2.8626	-1.1832	-2.2901	
0.16	0.0208	0.0215	1.0654	-2.771	-0.4733	-2.7328	
0.191	-0.0012	-0.0081	1.0876	-2.3588	-0.4122	-1.687	
0.216	0.1047	-0.0432	1.1016	-4.2824	-0.2366	-1.9847	
0.246	0.0515	0.094	1.1228	-2.5115	-0.6107	-4.4809	
0.277	-0.0574	-0.0586	1.0691	-2.0076	-1.1374	-2.0458	
0.308	0.0354	-0.1094	1.1201	-4.1298	-0.1221	0.0534	
0.332	0.0728	-0.0913	1.0842	-5.4351	-1.0382	-1.9008	
0.364	0.0181	-0.1335	1.0608	-5.0992	-1.2672	-0.6947	
0.395	0.0303	-0.009	1.0601	-2.6641	-0.7786	-1.9389	
0.426	0.0928	-0.0251	1.0906	-3.4351	-0.5191	-2.4427	
0.444	0.0107	0.0044	1.0747	-2.9847	-0.6336	-2.9618	
0.444	0.0107	0.0044	1.0747	-2.9847	-0.6336	-2.9618	
0.444	0.0107	0.0044	1.0747	-2.9847	-0.6336	-2.9618	
0.444	0.0107	0.0044	1.0747	-2.9847	-0.6336	-2.9618	
0.9	-0.106	1.0862	-4.5649	-0.1298	-2.2977	4.62428e-44	
0.9	-0.106	1.0862	-4.5649	-0.1298	-2.2977	4.62428e-44	
0.9	-0.106	1.0862	-4.5649	-0.1298	-2.2977	4.62428e-44	
0.9	-0.106	1.0862	-4.5649	-0.1298	-2.2977	4.62428e-44	
0.9	-0.106	1.0862	-4.5649	-0.1298	-2.2977	4.62428e-44	
0.9	-0.106	1.0862	-4.5649	-0.1298	-2.2977	4.62428e-44	
0.543	0.0449	-0.1443	1.0659	-5.2519	-0.6412	-1.084	
0.543	0.0449	-0.1443	1.0659	-5.2519	-0.6412	-1.084	
0.543	0.0449	-0.1443	1.0659	-5.2519	-0.6412	-1.084	
0.543	0.0449	-0.1443	1.0659	-5.2519	-0.6412	-1.084	
0.543	0.0449	-0.1443	1.0659	-5.2519	-0.6412	-1.084	
0.549	0.0569	-0.01	1.0312	-1.2901	-0.3817	-2.4962	
0.549	0.0569	-0.01	1.0312	-1.2901	-0.3817	-2.4962	
0.549	0.0569	-0.01	1.0312	-1.2901	-0.3817	-2.4962	
0.549	0.0569	-0.01	1.0312	-1.2901	-0.3817	-2.4962	
0.549	0.0569	-0.01	1.0312	-1.2901	-0.3817	-2.4962	
0.549	0.0569	-0.01	1.0312	-1.2901	-0.3817	-2.4962	
0.549	0.0569	-0.01	1.0312	-1.2901	-0.3817	-2.4962	
0.556	0.0063	-0.0774	1.0898	-2.4809	-1.084	-1.0153	
0.556	0.0063	-0.0774	1.0898	-2.4809	-1.084	-1.0153	
0.556	0.0063	-0.0774	1.0898	-2.4809	-1.084	-1.0153	
0.556	0.0063	-0.0774	1.0898	-2.4809	-1.084	-1.0153	
0.556	0.0063	-0.0774	1.0898	-2.4809	-1.084	-1.0153	
0.562	0.0022	0.0942	1.1199	-3.9466	-1.4427	-3.2443	
0.562	0.0022	0.0942	1.1199	-3.9466	-1.4427	-3.2443	
0.562	0.0022	0.0942	1.1199	-3.9466	-1.4427	-3.2443	
0.562	0.0022	0.0942	1.1199	-3.9466	-1.4427	-3.2443	
0.562	0.0022	0.0942	1.1199	-3.9466	-1.4427	-3.2443	
0.562	0.0022	0.0942	1.1199	-3.9466	-1.4427	-3.2443	
0.568	0.1047	-0.0056	1.0837	-5.1832	-1.7252	-0.542	
0.568	0.1047	-0.0056	1.0837	-5.1832	-1.7252	-0.542	
0.568	0.1047	-0.0056	1.0837	-5.1832	-1.7252	-0.542	
0.568	0.1047	-0.0056	1.0837	-5.1832	-1.7252	-0.542	
0.568	0.1047	-0.0056	1.0837	-5.1832	-1.7252	-0.542	
0.574	0.0425	-0.0083	1.0671	-3.2137	-0.4962	-3.5954	
0.574	0.0425	-0.0083	1.0671	-3.2137	-0.4962	-3.5954	
0.574	0.0425	-0.0083	1.0671	-3.2137	-0.4962	-3.5954	
0.574	0.0425	-0.0083	1.0671	-3.2137	-0.4962	-3.5954	
0.574	0.0425	-0.0083	1.0671	-3.2137	-0.4962	-3.5954	
0.58	0.0723	-0.0637	1.0754	-4.3969	-0.3282	-0.2061	
0.58	0.0723	-0.0637	1.0754	-4.3969	-0.3282	-0.2061	
0.58	0.0723	-0.0637	1.0754	-4.3969	-0.3282	-0.2061	
0.58	0.0723	-0.0637	1.0754	-4.3969	-0.3282	-0.2061	
0.58	0.0723	-0.0637	1.0754	-4.3969	-0.3282	-0.2061	
0.58	0.0723	-0.0637	1.0754	-4.3969	-0.3282	-0.2061	
0.58	0.0723	-0.0637	1.0754	-4.3969	-0.3282	-0.2061	
0.586	-0.0222	-0.0718	1.0378	-1.1832	-0.6336	-2.6107	
0.586	-0.0222	-0.0718	1.0378	-1.1832	-0.6336	-2.6107	
0.586	-0.0222	-0.0718	1.0378	-1.1832	-0.6336	-2.6107	
0.586	-0.0222	-0.0718	1.0378	-1.1832	-0.6336	-2.6107	
0.586	-0.0222	-0.0718	1.0378	-1.1832	-0.6336	-2.6107	
0.592	0.0371	-0.0259	1.0745	-4.458	-1.2977	-1.2519	
0.592	0.0371	-0.0259	1.0745	-4.458	-1.2977	-1.2519	
0.592	0.0371	-0.0259	1.0745	-4.458	-1.2977	-1.2519	
0.592	0.0371	-0.0259	1.0745	-4.458	-1.2977	-1.2519	
0.592	0.0371	-0.0259	1.0745	-4.458	-1.2977	-1.2519	
0.599	0.0317	0.0952	1.0693	-2.4198	-1.0763	-2.4733	
0.599	0.0317	0.0952	1.0693	-2.4198	-1.0763	-2.4733	
0.599	0.0317	0.0952	1.0693	-2.4198	-1.0763	-2.4733	
0.599	0.0317	0.0952	1.0693	-2.4198	-1.0763	-2.4733	
0.599	0.0317	0.0952	1.0693	-2.4198	-1.0763	-2.4733	
0.605	0.0537	-0.0708	1.0649	-5.1527	-1.2824	-1.3435	
0.605	0.0537	-0.0708	1.0649	-5.1527	-1.2824	-1.3435	
0.605	0.0537	-0.0708	1.0649	-5.1527	-1.2824	-1.3435	
0.605	0.0537	-0.0708	1.0649	-5.1527	-1.2824	-1.3435	
0.605	0.0537	-0.0708	1.0649	-5.1527	-1.2824	-1.3435	
0.605	0.0537	-0.0708	1.0649	-5.1527	-1.2824	-1.3435	
0.611	0.0222	-0.094	1.084	-4.8321	-0.7252	-2.6031	
