time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.017	-0.0349	-0.0369	1.0178	-0.0024	-0.018	0.0165	
0.057	0.0103	-0.0044	0.968	-0.0022	-0.0154	0.0164	
0.097	-0.0696	-0.0828	0.9827	-0.0024	-0.0156	0.0141	
0.138	-0.0107	-0.0496	0.9517	-0.0023	-0.0099	0.0131	
0.171	-0.0061	-0.0063	0.9871	-0.0026	-0.0074	0.0112	
0.211	-0.0117	-0.0227	1.0105	-0.0027	-0.0128	0.0128	
0.252	-0.0371	-0.033	1.0273	-0.0026	-0.0156	0.0122	
0.293	0.01	0.0242	1.0183	-0.0029	-0.0108	0.0117	
0.333	0.0068	-0.0942	1.0222	-0.003	-0.0129	0.0119	
0.366	-0.0376	-0.1079	1.0234	-0.0027	-0.0109	0.0155	
0.407	-0.0334	-0.0994	1.0366	-0.0029	-0.0081	0.0162	
0.447	0.0081	0.0823	1.0022	-0.003	-0.009	0.0148	
0.479	-0.0271	-0.0303	0.9639	-0.0027	-0.0161	0.017	
0.479	-0.0271	-0.0303	0.9639	-0.0027	-0.0161	0.017	
0.479	-0.0271	-0.0303	0.9639	-0.0027	-0.0161	0.017	
0.488	-0.0071	-0.0022	1.0229	-0.0027	-0.0144	0.0158	
0.488	-0.0071	-0.0022	1.0229	-0.0027	-0.0144	0.0158	
0.488	-0.0071	-0.0022	1.0229	-0.0027	-0.0144	0.0158	
0.488	-0.0071	-0.0022	1.0229	-0.0027	-0.0144	0.0158	
0.488	-0.0071	-0.0022	1.0229	-0.0027	-0.0144	0.0158	
0.488	-0.0071	-0.0022	1.0229	-0.0027	-0.0144	0.0158	
0.488	-0.0071	-0.0022	1.0229	-0.0027	-0.0144	0.0158	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.496	-0.0032	0.0518	1.0095	-0.0026	-0.0124	0.0154	
0.504	-0.031	-0.0698	0.9709	-0.0026	-0.0141	0.0159	
0.504	-0.031	-0.0698	0.9709	-0.0026	-0.0141	0.0159	
0.504	-0.031	-0.0698	0.9709	-0.0026	-0.0141	0.0159	
0.504	-0.031	-0.0698	0.9709	-0.0026	-0.0141	0.0159	
0.504	-0.031	-0.0698	0.9709	-0.0026	-0.0141	0.0159	
0.504	-0.031	-0.0698	0.9709	-0.0026	-0.0141	0.0159	
0.504	-0.031	-0.0698	0.9709	-0.0026	-0.0141	0.0159	
0.512	-0.0217	0.0278	0.9807	-0.0028	-0.0122	0.0162	
0.512	-0.0217	0.0278	0.9807	-0.0028	-0.0122	0.0162	
0.512	-0.0217	0.0278	0.9807	-0.0028	-0.0122	0.0162	
0.512	-0.0217	0.0278	0.9807	-0.0028	-0.0122	0.0162	
0.512	-0.0217	0.0278	0.9807	-0.0028	-0.0122	0.0162	
0.512	-0.0217	0.0278	0.9807	-0.0028	-0.0122	0.0162	
0.512	-0.0217	0.0278	0.9807	-0.0028	-0.0122	0.0162	
0.52	-0.0347	0.0583	0.9963	-0.0028	-0.0102	0.0167	
0.52	-0.0347	0.0583	0.9963	-0.0028	-0.0102	0.0167	
0.52	-0.0347	0.0583	0.9963	-0.0028	-0.0102	0.0167	
0.52	-0.0347	0.0583	0.9963	-0.0028	-0.0102	0.0167	
0.52	-0.0347	0.0583	0.9963	-0.0028	-0.0102	0.0167	
0.52	-0.0347	0.0583	0.9963	-0.0028	-0.0102	0.0167	
0.52	-0.0347	0.0583	0.9963	-0.0028	-0.0102	0.0167	
0.529	-0.0066	-0.0193	1.0024	-0.0028	-0.0116	0.0152	
0.529	-0.0066	-0.0193	1.0024	-0.0028	-0.0116	0.0152	
0.529	-0.0066	-0.0193	1.0024	-0.0028	-0.0116	0.0152	
0.529	-0.0066	-0.0193	1.0024	-0.0028	-0.0116	0.0152	
0.529	-0.0066	-0.0193	1.0024	-0.0028	-0.0116	0.0152	
0.529	-0.0066	-0.0193	1.0024	-0.0028	-0.0116	0.0152	
0.529	-0.0066	-0.0193	1.0024	-0.0028	-0.0116	0.0152	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.537	-0.0264	-0.0359	0.9995	-0.0028	-0.0135	0.016	
0.545	-0.01	-0.0281	1.0015	-0.0027	-0.0153	0.0152	
0.545	-0.01	-0.0281	1.0015	-0.0027	-0.0153	0.0152	
0.545	-0.01	-0.0281	1.0015	-0.0027	-0.0153	0.0152	
0.545	-0.01	-0.0281	1.0015	-0.0027	-0.0153	0.0152	
0.545	-0.01	-0.0281	1.0015	-0.0027	-0.0153	0.0152	
0.545	-0.01	-0.0281	1.0015	-0.0027	-0.0153	0.0152	
0.545	-0.01	-0.0281	1.0015	-0.0027	-0.0153	0.0152	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.553	-0.0188	0.0549	0.9866	-0.0027	-0.0131	0.0153	
0.561	-0.0183	0.0173	0.989	-0.0027	-0.0111	0.0154	
0.561	-0.0183	0.0173	0.989	-0.0027	-0.0111	0.0154	
0.561	-0.0183	0.0173	0.989	-0.0027	-0.0111	0.0154	
0.561	-0.0183	0.0173	0.989	-0.0027	-0.0111	0.0154	
0.561	-0.0183	0.0173	0.989	-0.0027	-0.0111	0.0154	
0.561	-0.0183	0.0173	0.989	-0.0027	-0.0111	0.0154	
0.561	-0.0183	0.0173	0.989	-0.0027	-0.0111	0.0154	
0.569	-0.0159	-0.0229	1.0061	-0.0027	-0.013	0.0154	
0.569	-0.0159	-0.0229	1.0061	-0.0027	-0.013	0.0154	
0.569	-0.0159	-0.0229	1.0061	-0.0027	-0.013	0.0154	
0.569	-0.0159	-0.0229	1.0061	-0.0027	-0.013	0.0154	
0.569	-0.0159	-0.0229	1.0061	-0.0027	-0.013	0.0154	
0.569	-0.0159	-0.0229	1.0061	-0.0027	-0.013	0.0154	
0.569	-0.0159	-0.0229	1.0061	-0.0027	-0.013	0.0154	
0.578	-0.0088	-0.0671	0.9514	-0.0029	-0.0149	0.0151	
0.578	-0.0088	-0.0671	0.9514	-0.0029	-0.0149	0.0151	
0.578	-0.0088	-0.0671	0.9514	-0.0029	-0.0149	0.0151	
0.578	-0.0088	-0.0671	0.9514	-0.0029	-0.0149	0.0151	
0.578	-0.0088	-0.0671	0.9514	-0.0029	-0.0149	0.0151	
0.578	-0.0088	-0.0671	0.9514	-0.0029	-0.0149	0.0151	
0.578	-0.0088	-0.0671	0.9514	-0.0029	-0.0149	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.586	-0.0032	0.084	0.9836	-0.003	-0.0128	0.0151	
0.594	-0.0212	0.041	0.9971	-0.0029	-0.0108	0.0153	
0.594	-0.0212	0.041	0.9971	-0.0029	-0.0108	0.0153	
0.594	-0.0212	0.041	0.9971	-0.0029	-0.0108	0.0153	
0.594	-0.0212	0.041	0.9971	-0.0029	-0.0108	0.0153	
0.594	-0.0212	0.041	0.9971	-0.0029	-0.0108	0.0153	
0.594	-0.0212	0.041	0.9971	-0.0029	-0.0108	0.0153	
0.594	-0.0212	0.041	0.9971	-0.0029	-0.0108	0.0153	
0.601	0.0054	-0.0676	0.9814	-0.0029	-0.0129	0.0146	
0.601	0.0054	-0.0676	0.9814	-0.0029	-0.0129	0.0146	
0.601	0.0054	-0.0676	0.9814	-0.0029	-0.0129	0.0146	
0.601	0.0054	-0.0676	0.9814	-0.0029	-0.0129	0.0146	
0.601	0.0054	-0.0676	0.9814	-0.0029	-0.0129	0.0146	
0.601	0.0054	-0.0676	0.9814	-0.0029	-0.0129	0.0146	
0.601	0.0054	-0.0676	0.9814	-0.0029	-0.0129	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.609	-0.0154	-0.0649	1.0068	-0.0028	-0.0148	0.0146	
0.618	-0.042	0.0076	0.9854	-0.0027	-0.0136	0.0161	
0.618	-0.042	0.0076	0.9854	-0.0027	-0.0136	0.0161	
0.618	-0.042	0.0076	0.9854	-0.0027	-0.0136	0.0161	
0.618	-0.042	0.0076	0.9854	-0.0027	-0.0136	0.0161	
