time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.016	0.0007	0.1111	1.0195	-0.0034	-0.0199	0.0183	
0.056	-0.0491	0.127	1.0134	-0.0032	-0.0213	0.0202	
0.097	0.0103	0.1057	0.9648	-0.0031	-0.0196	0.0198	
0.138	-0.0237	0.0667	1.0117	-0.003	-0.0173	0.0192	
0.17	-0.0305	-0.0227	0.9976	-0.0031	-0.0202	0.0206	
0.21	-0.0117	0.1626	1.0344	-0.0032	-0.0207	0.0238	
0.251	-0.0342	0.0789	1.0022	-0.0033	-0.0236	0.026	
0.291	-0.0303	-0.0588	1.0063	-0.0031	-0.0225	0.0248	
0.324	-0.0261	0.0134	0.9954	-0.0031	-0.0226	0.0245	
0.365	-0.0293	-0.0271	1.0134	-0.0029	-0.0236	0.0247	
0.405	-0.0059	0.0154	0.9907	-0.0031	-0.0215	0.0229	
0.446	0.0032	0.019	0.9807	-0.0029	-0.0198	0.0224	
0.487	-0.0061	-0.0166	0.9705	-0.0028	-0.0171	0.0174	
0.52	-0.0371	0.0491	1.0278	-0.0033	-0.0167	0.0192	
0.56	-0.0652	0.0081	1.0085	-0.003	-0.0186	0.0197	
0.584	-0.033	-0.0015	0.9785	-0.0029	-0.0174	0.0204	
0.584	-0.033	-0.0015	0.9785	-0.0029	-0.0174	0.0204	
0.584	-0.033	-0.0015	0.9785	-0.0029	-0.0174	0.0204	
0.592	-0.0273	-0.0056	1.0029	-0.0029	-0.0156	0.0215	
0.592	-0.0273	-0.0056	1.0029	-0.0029	-0.0156	0.0215	
0.592	-0.0273	-0.0056	1.0029	-0.0029	-0.0156	0.0215	
0.592	-0.0273	-0.0056	1.0029	-0.0029	-0.0156	0.0215	
0.592	-0.0273	-0.0056	1.0029	-0.0029	-0.0156	0.0215	
0.592	-0.0273	-0.0056	1.0029	-0.0029	-0.0156	0.0215	
0.788	-0.0237	-0.0527	1.0269	-0.003	-0.0175	0.0154	
0.788	-0.0237	-0.0527	1.0269	-0.003	-0.0175	0.0154	
0.788	-0.0237	-0.0527	1.0269	-0.003	-0.0175	0.0154	
0.788	-0.0237	-0.0527	1.0269	-0.003	-0.0175	0.0154	
0.788	-0.0237	-0.0527	1.0269	-0.003	-0.0175	0.0154	
0.788	-0.0237	-0.0527	1.0269	-0.003	-0.0175	0.0154	
0.788	-0.0237	-0.0527	1.0269	-0.003	-0.0175	0.0154	
0.796	-0.0249	-0.0098	0.9685	-0.0031	-0.0162	0.017	
0.796	-0.0249	-0.0098	0.9685	-0.0031	-0.0162	0.017	
0.796	-0.0249	-0.0098	0.9685	-0.0031	-0.0162	0.017	
0.796	-0.0249	-0.0098	0.9685	-0.0031	-0.0162	0.017	
0.796	-0.0249	-0.0098	0.9685	-0.0031	-0.0162	0.017	
0.836	-0.0537	-0.1377	1.0264	-0.0032	-0.0161	0.016	
0.836	-0.0537	-0.1377	1.0264	-0.0032	-0.0161	0.016	
0.836	-0.0537	-0.1377	1.0264	-0.0032	-0.0161	0.016	
0.836	-0.0537	-0.1377	1.0264	-0.0032	-0.0161	0.016	
0.844	-0.0405	-0.0249	1.0437	-0.0033	-0.0165	0.0181	
0.844	-0.0405	-0.0249	1.0437	-0.0033	-0.0165	0.0181	
0.844	-0.0405	-0.0249	1.0437	-0.0033	-0.0165	0.0181	
0.844	-0.0405	-0.0249	1.0437	-0.0033	-0.0165	0.0181	
0.844	-0.0405	-0.0249	1.0437	-0.0033	-0.0165	0.0181	
0.844	-0.0405	-0.0249	1.0437	-0.0033	-0.0165	0.0181	
0.844	-0.0405	-0.0249	1.0437	-0.0033	-0.0165	0.0181	
0.853	-0.0708	-0.1792	1.0261	-0.0033	-0.0188	0.0187	
0.853	-0.0708	-0.1792	1.0261	-0.0033	-0.0188	0.0187	
0.853	-0.0708	-0.1792	1.0261	-0.0033	-0.0188	0.0187	
0.853	-0.0708	-0.1792	1.0261	-0.0033	-0.0188	0.0187	
0.853	-0.0708	-0.1792	1.0261	-0.0033	-0.0188	0.0187	
0.853	-0.0708	-0.1792	1.0261	-0.0033	-0.0188	0.0187	
0.853	-0.0708	-0.1792	1.0261	-0.0033	-0.0188	0.0187	
0.861	-0.0232	0.031	1.0193	-0.0034	-0.0167	0.0191	
0.861	-0.0232	0.031	1.0193	-0.0034	-0.0167	0.0191	
0.861	-0.0232	0.031	1.0193	-0.0034	-0.0167	0.0191	
0.861	-0.0232	0.031	1.0193	-0.0034	-0.0167	0.0191	
0.861	-0.0232	0.031	1.0193	-0.0034	-0.0167	0.0191	
0.861	-0.0232	0.031	1.0193	-0.0034	-0.0167	0.0191	
0.861	-0.0232	0.031	1.0193	-0.0034	-0.0167	0.0191	
0.869	-0.0408	-0.0544	1.0554	-0.0033	-0.0188	0.02	
0.869	-0.0408	-0.0544	1.0554	-0.0033	-0.0188	0.02	
0.869	-0.0408	-0.0544	1.0554	-0.0033	-0.0188	0.02	
0.869	-0.0408	-0.0544	1.0554	-0.0033	-0.0188	0.02	
0.869	-0.0408	-0.0544	1.0554	-0.0033	-0.0188	0.02	
0.869	-0.0408	-0.0544	1.0554	-0.0033	-0.0188	0.02	
0.869	-0.0408	-0.0544	1.0554	-0.0033	-0.0188	0.02	
0.877	-0.0562	-0.0354	1.0422	-0.0033	-0.0194	0.0218	
0.877	-0.0562	-0.0354	1.0422	-0.0033	-0.0194	0.0218	
0.877	-0.0562	-0.0354	1.0422	-0.0033	-0.0194	0.0218	
0.877	-0.0562	-0.0354	1.0422	-0.0033	-0.0194	0.0218	
0.877	-0.0562	-0.0354	1.0422	-0.0033	-0.0194	0.0218	
