time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.017	-0.0557	-0.0625	0.9988	1.6538	-0.0149	0.017	
0.058	-0.0161	-0.1355	0.9875	1.6536	-0.0172	0.0178	
0.098	-0.0188	-0.1396	0.978	1.6536	-0.0156	0.0174	
0.139	-0.0356	-0.1592	1.0244	1.6532	-0.0134	0.0172	
0.18	-0.0105	0.0776	1.0417	1.6534	-0.0076	0.0189	
0.221	-0.0144	-0.0645	0.9509	1.6533	-0.01	0.0176	
0.261	-0.0076	-0.0698	1.0417	1.6532	-0.012	0.0211	
0.293	-0.0037	0.0991	0.9985	1.6532	-0.0083	0.02	
0.334	-0.0281	-0.0063	1.0027	1.6531	-0.0107	0.0202	
0.375	-0.001	-0.0549	1.0083	1.6529	-0.0147	0.0209	
0.415	-0.0034	-0.0298	0.9846	1.6529	-0.0172	0.0167	
0.456	-0.0054	-0.0002	1.0181	1.653	-0.016	0.017	
0.497	-0.0249	0.0645	1.0244	1.6531	-0.0158	0.0152	
0.538	-0.0112	0.0369	1.002	1.6529	-0.0138	0.0149	
0.579	0.0164	-0.0605	0.9832	1.6529	-0.013	0.015	
0.604	0.0044	0.0479	0.9983	1.6527	-0.015	0.0156	
0.604	0.0044	0.0479	0.9983	1.6527	-0.015	0.0156	
0.604	0.0044	0.0479	0.9983	1.6527	-0.015	0.0156	
0.604	0.0044	0.0479	0.9983	1.6527	-0.015	0.0156	
0.604	0.0044	0.0479	0.9983	1.6527	-0.015	0.0156	
0.604	0.0044	0.0479	0.9983	1.6527	-0.015	0.0156	
0.604	0.0044	0.0479	0.9983	1.6527	-0.015	0.0156	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.611	0.0125	0.043	1.0071	1.6528	-0.0134	0.0148	
0.619	-0.0159	-0.0911	1.0215	1.6528	-0.0157	0.0148	
0.619	-0.0159	-0.0911	1.0215	1.6528	-0.0157	0.0148	
0.619	-0.0159	-0.0911	1.0215	1.6528	-0.0157	0.0148	
0.619	-0.0159	-0.0911	1.0215	1.6528	-0.0157	0.0148	
0.619	-0.0159	-0.0911	1.0215	1.6528	-0.0157	0.0148	
0.619	-0.0159	-0.0911	1.0215	1.6528	-0.0157	0.0148	
0.619	-0.0159	-0.0911	1.0215	1.6528	-0.0157	0.0148	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.627	-0.042	-0.0063	1.0029	1.6527	-0.0148	0.0165	
0.635	0.0149	0.0176	1.0232	1.6526	-0.0132	0.0149	
0.635	0.0149	0.0176	1.0232	1.6526	-0.0132	0.0149	
0.635	0.0149	0.0176	1.0232	1.6526	-0.0132	0.0149	
0.635	0.0149	0.0176	1.0232	1.6526	-0.0132	0.0149	
0.635	0.0149	0.0176	1.0232	1.6526	-0.0132	0.0149	
0.635	0.0149	0.0176	1.0232	1.6526	-0.0132	0.0149	
0.635	0.0149	0.0176	1.0232	1.6526	-0.0132	0.0149	
0.644	0	0.0994	0.9714	1.6528	-0.0112	0.0145	
0.644	0	0.0994	0.9714	1.6528	-0.0112	0.0145	
0.644	0	0.0994	0.9714	1.6528	-0.0112	0.0145	
0.644	0	0.0994	0.9714	1.6528	-0.0112	0.0145	
0.644	0	0.0994	0.9714	1.6528	-0.0112	0.0145	
0.644	0	0.0994	0.9714	1.6528	-0.0112	0.0145	
0.644	0	0.0994	0.9714	1.6528	-0.0112	0.0145	
0.652	-0.002	-0.0371	1.0029	1.6528	-0.0132	0.0137	
0.652	-0.002	-0.0371	1.0029	1.6528	-0.0132	0.0137	
0.652	-0.002	-0.0371	1.0029	1.6528	-0.0132	0.0137	
0.652	-0.002	-0.0371	1.0029	1.6528	-0.0132	0.0137	
0.652	-0.002	-0.0371	1.0029	1.6528	-0.0132	0.0137	
0.652	-0.002	-0.0371	1.0029	1.6528	-0.0132	0.0137	
0.652	-0.002	-0.0371	1.0029	1.6528	-0.0132	0.0137	
0.66	-0.0483	-0.0444	1.0303	1.6528	-0.0146	0.015	
0.66	-0.0483	-0.0444	1.0303	1.6528	-0.0146	0.015	
0.66	-0.0483	-0.0444	1.0303	1.6528	-0.0146	0.015	
0.66	-0.0483	-0.0444	1.0303	1.6528	-0.0146	0.015	
0.66	-0.0483	-0.0444	1.0303	1.6528	-0.0146	0.015	
0.66	-0.0483	-0.0444	1.0303	1.6528	-0.0146	0.015	
0.66	-0.0483	-0.0444	1.0303	1.6528	-0.0146	0.015	
0.668	-0.0313	-0.1069	0.9578	1.6529	-0.0166	0.0154	
0.668	-0.0313	-0.1069	0.9578	1.6529	-0.0166	0.0154	
