time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	-0.1172	-0.4402	1.1089	135.017	-8.5759	-1.8273	
0.08	0.0588	-0.0723	1.0959	134.652	-8.2979	-1.9931	
0.12	0.0361	-0.3098	1.0134	134.419	-8.9027	-2.0286	
0.17	-0.1538	-0.3362	1.0789	134.279	-9.2289	-2.05	
0.22	-0.0286	0.1814	1.0674	134.092	-9.0888	-1.9701	
0.26	0.0601	-0.6533	1.083	133.825	-9.3482	-2.0071	
0.31	-0.0664	-0.3228	1.0388	133.597	-9.3439	-2.0211	
0.36	-0.0598	0.0085	1.0479	133.512	-9.5135	-1.9978	
0.4	-0.0898	-0.4761	1.1338	133.468	-9.7695	-1.7535	
0.45	-0.0208	-0.1311	1.0447	133.09	-9.4505	-1.7682	
0.5	0.0088	0.178	1.0186	132.827	-9.7815	-1.9165	
0.54	-0.0752	-0.3745	1.1001	132.703	-9.969	-1.7699	
0.59	-0.0156	0.0376	1.0454	132.508	-9.9262	-1.8494	
0.63	0.0278	-0.6675	1.1646	132.296	-9.9717	-1.732	
0.68	-0.0332	-0.4065	1.022	131.954	-10.1957	-1.8156	
0.71	-0.0701	-0.5176	0.9927	131.896	-10.2013	-1.7878	
0.71	-0.0701	-0.5176	0.9927	131.896	-10.2013	-1.7878	
0.8	131	0	0	0	0	6.86636e-44	
0.84	0.1165	0.5957	1.1206	131.6	-10.4235	-1.5873	
0.84	0.1165	0.5957	1.1206	131.6	-10.4235	-1.5873	
0.84	0.1165	0.5957	1.1206	131.6	-10.4235	-1.5873	
0.85	0.0061	0.0366	1.0984	131.527	-10.3273	-1.5759	
0.85	0.0061	0.0366	1.0984	131.527	-10.3273	-1.5759	
0.86	0.0173	-0.3691	1.1724	131.475	-10.4342	-1.5023	
0.86	0.0173	-0.3691	1.1724	131.475	-10.4342	-1.5023	
0.86	0.0173	-0.3691	1.1724	131.475	-10.4342	-1.5023	
0.87	0.2351	0.5896	1.1685	131.33	-10.2301	-1.6181	
0.87	0.2351	0.5896	1.1685	131.33	-10.2301	-1.6181	
0.88	-0.031	0.072	1.0264	131.276	-10.1613	-1.6153	
