time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0352	-0.0112	1.1016	-7.7139	-3.4815	-1.6589	
0.08	0.0393	-0.0295	1.1021	-7.9676	-3.4534	-1.7072	
0.13	0.0481	0.01	1.0864	-8.182	-3.5323	-1.7321	
0.17	-0.0071	-0.1069	1.1079	-8.3978	-3.0559	-1.632	
0.22	0.0178	-0.0496	1.0505	-8.6446	-3.2443	-1.6978	
0.27	0.05	0	1.0554	-8.882	-3.1719	-1.5745	
0.32	0.0071	-0.0703	1.0813	-9.1425	-2.9646	-1.9082	
0.36	0.033	-0.0725	1.0994	-9.337	-2.952	-1.8502	
0.41	0.0354	-0.1287	1.0996	-9.5708	-3.1322	-1.988	
0.45	0.0457	-0.041	1.0625	-9.7738	-2.9817	-1.784	
0.46	0.0198	-0.0549	1.0969	-9.8236	-2.8809	-1.7228	
0.46	0.0198	-0.0549	1.0969	-9.8236	-2.8809	-1.7228	
0.47	0.0295	-0.0544	1.0852	-9.8601	-2.9984	-1.7282	
0.47	0.0295	-0.0544	1.0852	-9.8601	-2.9984	-1.7282	
0.47	0.0295	-0.0544	1.0852	-9.8601	-2.9984	-1.7282	
0.48	0.0469	0.0469	1.1074	-9.9178	-2.7992	-1.6779	
0.48	0.0469	0.0469	1.1074	-9.9178	-2.7992	-1.6779	
0.49	0.0508	-0.0149	1.0957	-9.9534	-2.8913	-1.7259	
0.49	0.0508	-0.0149	1.0957	-9.9534	-2.8913	-1.7259	
0.49	0.0508	-0.0149	1.0957	-9.9534	-2.8913	-1.7259	
0.5	0.0417	0.0093	1.0894	-10.0008	-3.0316	-1.8239	
0.5	0.0417	0.0093	1.0894	-10.0008	-3.0316	-1.8239	
0.51	0.0488	-0.0254	1.1062	-10.0472	-2.8626	-1.8868	
0.51	0.0488	-0.0254	1.1062	-10.0472	-2.8626	-1.8868	
0.51	0.0488	-0.0254	1.1062	-10.0472	-2.8626	-1.8868	
0.52	0.0205	-0.0615	1.0664	-10.1285	-2.8066	-1.8787	
0.52	0.0205	-0.0615	1.0664	-10.1285	-2.8066	-1.8787	
0.52	0.0205	-0.0615	1.0664	-10.1285	-2.8066	-1.8787	
0.53	0.0466	-0.072	1.0852	-10.1668	-3.0719	-1.9352	
0.53	0.0466	-0.072	1.0852	-10.1668	-3.0719	-1.9352	
0.54	0.054	0.0317	1.1072	-10.2128	-3.0051	-2.0638	
0.54	0.054	0.0317	1.1072	-10.2128	-3.0051	-2.0638	
0.54	0.054	0.0317	1.1072	-10.2128	-3.0051	-2.0638	
0.55	0.0229	-0.0854	1.0513	-10.2539	-3.0621	-2.0288	
0.55	0.0229	-0.0854	1.0513	-10.2539	-3.0621	-2.0288	
0.56	0.0452	0.0122	1.1169	-10.3215	-3.0765	-1.9216	
0.56	0.0452	0.0122	1.1169	-10.3215	-3.0765	-1.9216	
0.56	0.0452	0.0122	1.1169	-10.3215	-3.0765	-1.9216	
0.57	0.0427	0.021	1.0706	-10.3782	-2.9064	-1.9549	
0.57	0.0427	0.021	1.0706	-10.3782	-2.9064	-1.9549	
0.58	0.0117	-0.084	1.0815	-10.4269	-2.9481	-1.9177	
0.58	0.0117	-0.084	1.0815	-10.4269	-2.9481	-1.9177	
0.58	0.0117	-0.084	1.0815	-10.4269	-2.9481	-1.9177	
0.59	0.0347	-0.0469	1.0566	-10.4637	-2.9878	-1.9064	
0.59	0.0347	-0.0469	1.0566	-10.4637	-2.9878	-1.9064	
0.59	0.0347	-0.0469	1.0566	-10.4637	-2.9878	-1.9064	
0.6	0.0085	-0.0305	1.0706	-10.5315	-2.8091	-1.8666	
0.6	0.0085	-0.0305	1.0706	-10.5315	-2.8091	-1.8666	
0.61	0.03	-0.019	1.0701	-10.5698	-2.9546	-1.7156	
0.61	0.03	-0.019	1.0701	-10.5698	-2.9546	-1.7156	
0.61	0.03	-0.019	1.0701	-10.5698	-2.9546	-1.7156	
0.62	0.0378	-0.0542	1.0933	-10.6137	-2.8539	-1.8411	
0.62	0.0378	-0.0542	1.0933	-10.6137	-2.8539	-1.8411	
0.63	0.0496	0.0298	1.1094	-10.6759	-2.7253	-1.9663	
0.63	0.0496	0.0298	1.1094	-10.6759	-2.7253	-1.9663	
0.63	0.0496	0.0298	1.1094	-10.6759	-2.7253	-1.9663	
0.64	0.0586	-0.1064	1.0527	-10.7072	-3.0127	-2.0002	
0.64	0.0586	-0.1064	1.0527	-10.7072	-3.0127	-2.0002	
0.65	0.033	0.1035	1.0891	-10.7487	-3.0732	-2.0305	
0.65	0.033	0.1035	1.0891	-10.7487	-3.0732	-2.0305	
0.65	0.033	0.1035	1.0891	-10.7487	-3.0732	-2.0305	
0.66	0.0264	-0.0645	1.0566	-10.7942	-2.9329	-2.0155	
0.66	0.0264	-0.0645	1.0566	-10.7942	-2.9329	-2.0155	
0.67	0.0356	-0.0818	1.0986	-10.848	-3.3004	-1.8751	
0.67	0.0356	-0.0818	1.0986	-10.848	-3.3004	-1.8751	
0.67	0.0356	-0.0818	1.0986	-10.848	-3.3004	-1.8751	
0.68	0.0342	0.0654	1.0791	-10.8974	-3.1263	-1.8896	
0.68	0.0342	0.0654	1.0791	-10.8974	-3.1263	-1.8896	
0.68	0.0342	0.0654	1.0791	-10.8974	-3.1263	-1.8896	
0.69	0.0049	-0.0889	1.0701	-10.937	-3.2602	-1.9777	
0.69	0.0049	-0.0889	1.0701	-10.937	-3.2602	-1.9777	
0.7	0.0825	-0.0151	1.0935	-10.9745	-3.2772	-1.9077	
0.7	0.0825	-0.0151	1.0935	-10.9745	-3.2772	-1.9077	
0.71	0.0198	-0.0183	1.0659	-11.0419	-3.2076	-1.8647	
0.71	0.0198	-0.0183	1.0659	-11.0419	-3.2076	-1.8647	
0.71	0.0198	-0.0183	1.0659	-11.0419	-3.2076	-1.8647	
0.72	0.0393	-0.0845	1.0635	-11.0848	-3.2946	-1.9019	
0.72	0.0393	-0.0845	1.0635	-11.0848	-3.2946	-1.9019	
0.72	0.0393	-0.0845	1.0635	-11.0848	-3.2946	-1.9019	
0.73	-0.0071	-0.0317	1.0732	-11.1258	-3.3875	-1.9975	
0.73	-0.0071	-0.0317	1.0732	-11.1258	-3.3875	-1.9975	
0.74	0.0183	-0.0669	1.1018	-11.183	-3.3354	-1.85	
0.74	0.0183	-0.0669	1.1018	-11.183	-3.3354	-1.85	
0.74	0.0183	-0.0669	1.1018	-11.183	-3.3354	-1.85	
0.75	-0.0061	-0.0532	1.0576	-11.2224	-3.4816	-1.8036	
0.75	-0.0061	-0.0532	1.0576	-11.2224	-3.4816	-1.8036	
0.76	0.062	0.0039	1.0942	-11.2672	-3.559	-1.921	
0.76	0.062	0.0039	1.0942	-11.2672	-3.559	-1.921	
0.76	0.062	0.0039	1.0942	-11.2672	-3.559	-1.921	
0.77	0.0283	-0.0144	1.0884	-11.3156	-3.4086	-1.9906	
0.77	0.0283	-0.0144	1.0884	-11.3156	-3.4086	-1.9906	
0.78	0.0232	-0.0549	1.0891	-11.3904	-3.3215	-1.7902	
0.78	0.0232	-0.0549	1.0891	-11.3904	-3.3215	-1.7902	
0.78	0.0232	-0.0549	1.0891	-11.3904	-3.3215	-1.7902	
0.79	0.0586	0.0337	1.1028	-11.4424	-3.1565	-1.8447	
