time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0371	-0.1189	1.1221	73.7442	-3.5858	-2.0123	
0.08	0.0425	-0.0466	1.0837	73.5117	-3.364	-1.9791	
0.13	0.0425	0.0103	1.105	73.2849	-3.3857	-2.0275	
0.17	0.019	-0.0334	1.0557	73.0905	-3.3201	-1.9826	
0.22	0.0134	-0.1506	1.1167	72.8602	-3.5221	-1.9172	
0.27	0.0017	0.01	1.0408	72.6328	-3.5743	-2.0088	
0.32	0.0845	-0.0471	1.0498	72.3772	-3.3095	-2.1246	
0.36	-0.0125	-0.0254	1.0706	72.1897	-3.2785	-1.9195	
0.41	0.01	0.0122	1.0632	71.9706	-3.3269	-1.8899	
0.46	0.0369	-0.0662	1.0825	71.7522	-3.5085	-1.9683	
0.48	0.0518	-0.0278	1.0706	71.6522	-3.3632	-1.8134	
0.49	0.0095	0.0442	1.0251	71.6013	-3.2163	-1.8348	
0.49	0.0095	0.0442	1.0251	71.6013	-3.2163	-1.8348	
0.49	0.0095	0.0442	1.0251	71.6013	-3.2163	-1.8348	
0.5	0.0544	-0.1306	1.0762	71.5306	-3.2273	-1.937	
0.5	0.0544	-0.1306	1.0762	71.5306	-3.2273	-1.937	
0.5	0.0544	-0.1306	1.0762	71.5306	-3.2273	-1.937	
0.51	-0.0063	-0.0251	1.0134	71.4814	-3.1073	-1.8415	
0.51	-0.0063	-0.0251	1.0134	71.4814	-3.1073	-1.8415	
0.52	0.0127	-0.0715	1.1101	71.4427	-3.1107	-1.8604	
0.52	0.0127	-0.0715	1.1101	71.4427	-3.1107	-1.8604	
0.52	0.0127	-0.0715	1.1101	71.4427	-3.1107	-1.8604	
0.53	0.0095	0.0403	1.0605	71.4014	-3.1064	-1.7287	
0.53	0.0095	0.0403	1.0605	71.4014	-3.1064	-1.7287	
0.54	0.053	-0.0945	1.0989	71.3343	-3.1357	-1.8569	
0.54	0.053	-0.0945	1.0989	71.3343	-3.1357	-1.8569	
0.54	0.053	-0.0945	1.0989	71.3343	-3.1357	-1.8569	
0.55	0.0479	-0.0945	1.1013	71.2961	-3.4184	-1.8947	
0.55	0.0479	-0.0945	1.1013	71.2961	-3.4184	-1.8947	
0.56	0.0515	-0.0837	1.0522	71.2556	-3.4436	-1.8776	
0.56	0.0515	-0.0837	1.0522	71.2556	-3.4436	-1.8776	
0.56	0.0515	-0.0837	1.0522	71.2556	-3.4436	-1.8776	
0.57	0.0381	-0.0044	1.0801	71.2156	-3.5113	-2.0027	
0.57	0.0381	-0.0044	1.0801	71.2156	-3.5113	-2.0027	
0.58	0.0378	-0.0715	1.0557	71.1541	-3.6595	-1.9775	
0.58	0.0378	-0.0715	1.0557	71.1541	-3.6595	-1.9775	
