time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0181	-0.0979	1.0771	45.9647	-3.8775	-1.436	
0.08	0.0515	-0.0361	1.1086	45.733	-4.0097	-1.8385	
0.13	0.0093	-0.0132	1.0857	45.458	-3.5213	-1.6848	
0.17	-0.0193	-0.0356	1.0493	45.2794	-3.5452	-1.4751	
0.22	0.0254	-0.0347	1.103	45.0768	-3.8156	-1.311	
0.27	-0.0012	-0.0098	1.0732	44.8763	-3.7565	-1.3129	
0.31	0.0129	0.0508	1.0769	44.6861	-3.482	-1.323	
0.36	0.0012	0.0347	1.103	44.4688	-3.9552	-1.3747	
0.41	-0.011	-0.0771	1.0688	44.2826	-4.1366	-1.3787	
0.46	0.0273	-0.1016	1.0491	44.0428	-4.1577	-1.1788	
0.47	0.0569	0.0891	1.0737	44.0127	-4.1789	-1.1324	
0.47	0.0569	0.0891	1.0737	44.0127	-4.1789	-1.1324	
0.47	0.0569	0.0891	1.0737	44.0127	-4.1789	-1.1324	
0.48	0.0032	-0.1521	1.0684	43.9481	-4.4041	-1.1509	
0.48	0.0032	-0.1521	1.0684	43.9481	-4.4041	-1.1509	
0.49	0.0444	0.0005	1.0481	43.8967	-4.231	-1.2002	
0.49	0.0444	0.0005	1.0481	43.8967	-4.231	-1.2002	
0.49	0.0444	0.0005	1.0481	43.8967	-4.231	-1.2002	
0.5	-0.009	-0.0535	1.084	43.868	-4.3308	-1.2351	
0.5	-0.009	-0.0535	1.084	43.868	-4.3308	-1.2351	
0.51	0.0337	-0.0352	1.0798	43.8257	-4.2664	-1.0653	
0.51	0.0337	-0.0352	1.0798	43.8257	-4.2664	-1.0653	
0.51	0.0337	-0.0352	1.0798	43.8257	-4.2664	-1.0653	
0.52	0.0481	-0.0469	1.074	43.7591	-4.0845	-1.2608	
0.52	0.0481	-0.0469	1.074	43.7591	-4.0845	-1.2608	
0.53	0.0173	-0.0349	1.093	43.7143	-3.9735	-1.1849	
0.53	0.0173	-0.0349	1.093	43.7143	-3.9735	-1.1849	
0.53	0.0173	-0.0349	1.093	43.7143	-3.9735	-1.1849	
0.54	0.0569	-0.0112	1.1067	43.6827	-3.9929	-1.2823	
0.54	0.0569	-0.0112	1.1067	43.6827	-3.9929	-1.2823	
0.55	0.0764	0.0078	1.0764	43.6179	-3.8863	-1.3133	
0.55	0.0764	0.0078	1.0764	43.6179	-3.8863	-1.3133	
0.55	0.0764	0.0078	1.0764	43.6179	-3.8863	-1.3133	
0.56	0.0872	-0.0276	1.0828	43.5773	-3.8448	-1.3398	
0.56	0.0872	-0.0276	1.0828	43.5773	-3.8448	-1.3398	
0.57	0.0154	-0.0173	1.0928	43.5426	-3.9024	-1.3661	
0.57	0.0154	-0.0173	1.0928	43.5426	-3.9024	-1.3661	
0.57	0.0154	-0.0173	1.0928	43.5426	-3.9024	-1.3661	
0.58	0.0977	-0.0146	1.0452	43.5005	-3.8545	-1.2525	
0.58	0.0977	-0.0146	1.0452	43.5005	-3.8545	-1.2525	
0.58	0.0977	-0.0146	1.0452	43.5005	-3.8545	-1.2525	
0.59	0.0059	0.0056	1.092	43.4277	-3.6626	-1.3331	
0.59	0.0059	0.0056	1.092	43.4277	-3.6626	-1.3331	
0.6	0.0696	-0.0691	1.1213	43.3738	-3.6192	-1.4316	
0.6	0.0696	-0.0691	1.1213	43.3738	-3.6192	-1.4316	
0.6	0.0696	-0.0691	1.1213	43.3738	-3.6192	-1.4316	
0.61	0.0127	-0.0215	1.0476	43.3263	-3.5974	-1.5608	
0.61	0.0127	-0.0215	1.0476	43.3263	-3.5974	-1.5608	
0.62	0.0496	-0.1118	1.0447	43.2523	-3.6227	-1.6769	
0.62	0.0496	-0.1118	1.0447	43.2523	-3.6227	-1.6769	
0.62	0.0496	-0.1118	1.0447	43.2523	-3.6227	-1.6769	
0.63	0.0046	-0.019	1.0686	43.2031	-3.4759	-1.6832	
