time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0029	-0.0332	1.1011	24.0651	-3.4755	-1.92	
0.08	-0.0083	0.0166	1.0535	23.8172	-3.5892	-1.7346	
0.13	-0.1035	0.0381	1.0383	23.5755	-3.6274	-1.873	
0.17	0.0366	-0.05	1.1101	23.3516	-3.732	-2.0079	
0.22	0.0073	0.0972	1.0715	23.1135	-3.8548	-2.1138	
0.27	0.0332	0.0317	1.0916	22.9234	-4.0695	-2.3185	
0.32	0.0481	0.0061	1.0879	22.7068	-4.3409	-2.3079	
0.36	0.0181	-0.1311	1.0366	22.5656	-4.484	-2.5972	
0.41	-0.0588	0.0452	1.0449	22.3178	-4.3087	-2.4638	
0.46	-0.0417	-0.0071	1.064	22.0719	-3.9943	-2.5684	
0.51	0.0015	0.0286	1.095	21.7909	-4.0179	-2.548	
0.55	0.0181	-0.001	1.0867	21.5778	-3.8503	-2.4859	
0.6	-0.0361	-0.0254	1.041	21.328	-3.396	-2.2523	
0.65	0.0105	-0.1106	1.0549	21.0935	-3.5254	-2.3156	
0.69	0.0051	-0.0393	1.0815	20.9097	-3.5568	-2.3237	
0.73	0.0134	0.0667	1.0879	20.7228	-3.7756	-2.2826	
0.73	0.0134	0.0667	1.0879	20.7228	-3.7756	-2.2826	
-3.151	-3.7409	-2.0203	0	1.02551e-08	1.21222e-39	4.62428e-44	
-3.151	-3.7409	-2.0203	0	1.02551e-08	1.21222e-39	4.62428e-44	
1.02	0.0806	-0.1321	1.0688	19.2862	-3.8152	-2.1422	
1.02	0.0806	-0.1321	1.0688	19.2862	-3.8152	-2.1422	
1.03	0.0415	-0.0161	1.0752	19.2295	-3.8982	-2.1167	
1.03	0.0415	-0.0161	1.0752	19.2295	-3.8982	-2.1167	
1.03	0.0415	-0.0161	1.0752	19.2295	-3.8982	-2.1167	
1.04	-0.0117	-0.0486	1.0364	19.1888	-3.8307	-2.0041	
1.04	-0.0117	-0.0486	1.0364	19.1888	-3.8307	-2.0041	
1.05	0.0608	-0.1108	1.1116	19.1428	-3.8814	-1.994	
1.05	0.0608	-0.1108	1.1116	19.1428	-3.8814	-1.994	
1.05	0.0608	-0.1108	1.1116	19.1428	-3.8814	-1.994	
1.06	0.0146	0.0317	1.084	19.1074	-3.9389	-2.051	
1.06	0.0146	0.0317	1.084	19.1074	-3.9389	-2.051	
1.07	0.0349	-0.022	1.0842	19.027	-3.9529	-2.0437	
1.07	0.0349	-0.022	1.0842	19.027	-3.9529	-2.0437	
1.07	0.0349	-0.022	1.0842	19.027	-3.9529	-2.0437	
1.08	-0.0032	0.05	1.061	18.9767	-3.9653	-1.9514	
1.08	-0.0032	0.05	1.061	18.9767	-3.9653	-1.9514	
1.09	0.0598	-0.1533	1.0962	18.9422	-4.0325	-2.0266	
1.09	0.0598	-0.1533	1.0962	18.9422	-4.0325	-2.0266	
1.09	0.0598	-0.1533	1.0962	18.9422	-4.0325	-2.0266	
1.1	0.0007	-0.0759	1.0427	18.9058	-4.151	-1.9569	
1.1	0.0007	-0.0759	1.0427	18.9058	-4.151	-1.9569	
1.1	0.0007	-0.0759	1.0427	18.9058	-4.151	-1.9569	
1.11	0.0691	-0.1248	1.1179	18.8416	-4.2574	-2.0138	
1.11	0.0691	-0.1248	1.1179	18.8416	-4.2574	-2.0138	
1.12	0.0005	0.01	1.0786	18.803	-4.3277	-1.9852	
1.12	0.0005	0.01	1.0786	18.803	-4.3277	-1.9852	
1.12	0.0005	0.01	1.0786	18.803	-4.3277	-1.9852	
1.13	0.0764	-0.0176	1.1172	18.7664	-4.1892	-2.0098	
1.13	0.0764	-0.0176	1.1172	18.7664	-4.1892	-2.0098	
1.14	0.0469	0.0339	1.1086	18.6925	-3.9764	-2.1766	
1.14	0.0469	0.0339	1.1086	18.6925	-3.9764	-2.1766	
1.14	0.0469	0.0339	1.1086	18.6925	-3.9764	-2.1766	
1.15	0.0242	0.0144	1.0674	18.6353	-3.8446	-2.127	
1.15	0.0242	0.0144	1.0674	18.6353	-3.8446	-2.127	
1.16	0.0208	-0.0964	1.103	18.5932	-4.121	-2.106	
1.16	0.0208	-0.0964	1.103	18.5932	-4.121	-2.106	
1.16	0.0208	-0.0964	1.103	18.5932	-4.121	-2.106	
1.17	-0.0222	0.0381	1.0581	18.5669	-4.1519	-2.02	
1.17	-0.0222	0.0381	1.0581	18.5669	-4.1519	-2.02	
1.17	-0.0222	0.0381	1.0581	18.5669	-4.1519	-2.02	
1.18	0.054	-0.1748	1.0823	18.5031	-4.1729	-1.949	
1.18	0.054	-0.1748	1.0823	18.5031	-4.1729	-1.949	
1.19	0.0261	0.0295	1.0667	18.4502	-4.0997	-2.0535	
1.19	0.0261	0.0295	1.0667	18.4502	-4.0997	-2.0535	
1.19	0.0261	0.0295	1.0667	18.4502	-4.0997	-2.0535	
1.2	-0.0449	-0.0613	1.0464	18.4075	-4.0532	-1.9485	
1.2	-0.0449	-0.0613	1.0464	18.4075	-4.0532	-1.9485	
1.21	-0.0288	-0.0874	1.0898	18.3717	-3.9807	-1.847	
1.21	-0.0288	-0.0874	1.0898	18.3717	-3.9807	-1.847	
1.21	-0.0288	-0.0874	1.0898	18.3717	-3.9807	-1.847	
1.22	-0.0068	0.1265	1.0745	18.3067	-3.8778	-1.7893	
1.22	-0.0068	0.1265	1.0745	18.3067	-3.8778	-1.7893	
1.23	0.0251	-0.0586	1.0542	18.2372	-3.7814	-1.6768	
1.23	0.0251	-0.0586	1.0542	18.2372	-3.7814	-1.6768	
1.23	0.0251	-0.0586	1.0542	18.2372	-3.7814	-1.6768	
1.24	0.0332	-0.061	1.0378	18.1809	-3.6227	-1.6612	
1.24	0.0332	-0.061	1.0378	18.1809	-3.6227	-1.6612	
1.25	0.063	-0.0417	1.0684	18.1388	-3.5219	-1.7411	
1.25	0.063	-0.0417	1.0684	18.1388	-3.5219	-1.7411	
1.25	0.063	-0.0417	1.0684	18.1388	-3.5219	-1.7411	
