time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0249	-0.1174	1.0867	-5.5888	-3.7623	-1.8885	
0.08	0.0286	-0.0796	1.0981	-5.8402	-3.7181	-1.9196	
0.13	0.0234	0.0405	1.0928	-6.0615	-3.7475	-2.1926	
0.17	0.0361	-0.0386	1.0659	-6.2922	-3.3738	-1.9861	
0.22	0.0608	-0.0244	1.0903	-6.5056	-3.5996	-1.9079	
0.27	0.0369	0.0688	1.103	-6.7298	-4.1086	-1.5508	
0.32	0.0251	0.0266	1.0581	-6.9839	-3.9089	-1.7022	
0.36	-0.0142	-0.1091	1.0396	-7.1347	-4.1988	-1.871	
0.41	0.0059	-0.1548	1.0544	-7.3383	-4.4501	-1.7687	
0.46	0.0427	-0.228	1.094	-7.5889	-4.1073	-1.9537	
0.46	0.0427	-0.228	1.094	-7.5889	-4.1073	-1.9537	
0.47	0.0269	0.0452	1.0715	-7.6285	-3.979	-1.8694	
0.47	0.0269	0.0452	1.0715	-7.6285	-3.979	-1.8694	
0.47	0.0269	0.0452	1.0715	-7.6285	-3.979	-1.8694	
0.48	0.0791	-0.0498	1.0879	-7.6808	-3.8215	-1.9417	
0.48	0.0791	-0.0498	1.0879	-7.6808	-3.8215	-1.9417	
0.48	0.0791	-0.0498	1.0879	-7.6808	-3.8215	-1.9417	
0.49	-0.0054	-0.0281	1.075	-7.7582	-3.7221	-1.8807	
0.49	-0.0054	-0.0281	1.075	-7.7582	-3.7221	-1.8807	
0.5	0.0283	-0.0208	1.1023	-7.8097	-3.5599	-1.8723	
0.5	0.0283	-0.0208	1.1023	-7.8097	-3.5599	-1.8723	
0.5	0.0283	-0.0208	1.1023	-7.8097	-3.5599	-1.8723	
0.51	0.0151	-0.1934	1.0752	-7.8485	-3.6157	-1.8824	
0.51	0.0151	-0.1934	1.0752	-7.8485	-3.6157	-1.8824	
0.52	0.0518	0.062	1.0647	-7.8792	-3.6988	-1.8088	
0.52	0.0518	0.062	1.0647	-7.8792	-3.6988	-1.8088	
0.52	0.0518	0.062	1.0647	-7.8792	-3.6988	-1.8088	
0.53	0.0596	-0.1206	1.0886	-7.937	-3.6798	-1.9173	
0.53	0.0596	-0.1206	1.0886	-7.937	-3.6798	-1.9173	
0.54	0.0295	-0.1953	1.1047	-7.9723	-3.7682	-1.9832	
0.54	0.0295	-0.1953	1.1047	-7.9723	-3.7682	-1.9832	
0.54	0.0295	-0.1953	1.1047	-7.9723	-3.7682	-1.9832	
0.55	0.0828	0.0562	1.0833	-8.0148	-3.6225	-2.0106	
0.55	0.0828	0.0562	1.0833	-8.0148	-3.6225	-2.0106	
0.56	0.0396	-0.1023	1.0874	-8.0672	-3.7046	-2.0251	
0.56	0.0396	-0.1023	1.0874	-8.0672	-3.7046	-2.0251	
0.56	0.0396	-0.1023	1.0874	-8.0672	-3.7046	-2.0251	
0.57	0.0186	0.0503	1.1084	-8.1433	-3.7008	-1.9563	
0.57	0.0186	0.0503	1.1084	-8.1433	-3.7008	-1.9563	
0.58	0.0552	-0.1379	1.0547	-8.1976	-3.557	-1.9321	
0.58	0.0552	-0.1379	1.0547	-8.1976	-3.557	-1.9321	
0.58	0.0552	-0.1379	1.0547	-8.1976	-3.557	-1.9321	
0.59	-0.0051	-0.1194	1.054	-8.2222	-3.8344	-1.9384	
0.59	-0.0051	-0.1194	1.054	-8.2222	-3.8344	-1.9384	
0.6	0.0591	0.1338	1.0769	-8.2558	-3.8669	-1.9147	
0.6	0.0591	0.1338	1.0769	-8.2558	-3.8669	-1.9147	
0.6	0.0591	0.1338	1.0769	-8.2558	-3.8669	-1.9147	
0.61	0.0598	-0.1646	1.0874	-8.2936	-4.062	-2.0742	
0.61	0.0598	-0.1646	1.0874	-8.2936	-4.062	-2.0742	
0.61	0.0598	-0.1646	1.0874	-8.2936	-4.062	-2.0742	
0.62	0.0149	0.0781	1.0593	-8.3446	-4.1305	-1.9558	
0.62	0.0149	0.0781	1.0593	-8.3446	-4.1305	-1.9558	
0.63	0.0691	0.0024	1.0554	-8.3906	-3.9747	-1.9742	
0.63	0.0691	0.0024	1.0554	-8.3906	-3.9747	-1.9742	
0.63	0.0691	0.0024	1.0554	-8.3906	-3.9747	-1.9742	
0.64	0.0098	-0.135	1.0442	-8.4572	-4.1891	-1.9273	
0.64	0.0098	-0.135	1.0442	-8.4572	-4.1891	-1.9273	
0.65	0.0208	0.0112	1.0776	-8.5066	-4.1458	-1.8366	
0.65	0.0208	0.0112	1.0776	-8.5066	-4.1458	-1.8366	
0.66	0.0295	-0.1316	1.0222	-8.5567	-3.9972	-1.9001	
0.66	0.0295	-0.1316	1.0222	-8.5567	-3.9972	-1.9001	
0.66	0.0295	-0.1316	1.0222	-8.5567	-3.9972	-1.9001	
0.67	-0.0242	-0.2371	1.0337	-8.5887	-4.2993	-1.8976	
0.67	-0.0242	-0.2371	1.0337	-8.5887	-4.2993	-1.8976	
0.67	-0.0242	-0.2371	1.0337	-8.5887	-4.2993	-1.8976	
0.68	0.0359	0.0505	1.0676	-8.6453	-4.2506	-1.8917	
0.68	0.0359	0.0505	1.0676	-8.6453	-4.2506	-1.8917	
0.69	0.033	-0.2197	1.0774	-8.6897	-4.3265	-1.9136	
0.69	0.033	-0.2197	1.0774	-8.6897	-4.3265	-1.9136	
0.69	0.033	-0.2197	1.0774	-8.6897	-4.3265	-1.9136	
0.7	-0.0027	-0.0242	1.0732	-8.7195	-4.4861	-1.7263	
0.7	-0.0027	-0.0242	1.0732	-8.7195	-4.4861	-1.7263	
0.71	0.0747	-0.0061	1.1389	-8.7555	-4.3521	-1.7341	
0.71	0.0747	-0.0061	1.1389	-8.7555	-4.3521	-1.7341	
0.71	0.0747	-0.0061	1.1389	-8.7555	-4.3521	-1.7341	
0.72	0.0085	0.0166	1.0837	-8.8222	-4.3556	-1.7423	
0.72	0.0085	0.0166	1.0837	-8.8222	-4.3556	-1.7423	
0.73	0.0674	0.0857	1.095	-8.8671	-4.3477	-1.6948	
0.73	0.0674	0.0857	1.095	-8.8671	-4.3477	-1.6948	
0.73	0.0674	0.0857	1.095	-8.8671	-4.3477	-1.6948	
0.74	0.0046	-0.124	1.1082	-8.925	-4.1925	-1.7818	
0.74	0.0046	-0.124	1.1082	-8.925	-4.1925	-1.7818	
0.75	0.0022	0.0117	1.0762	-8.9655	-4.3304	-1.6177	
0.75	0.0022	0.0117	1.0762	-8.9655	-4.3304	-1.6177	
0.75	0.0022	0.0117	1.0762	-8.9655	-4.3304	-1.6177	
0.76	0.0603	-0.0386	1.1125	-9.0296	-4.1494	-1.7769	
0.76	0.0603	-0.0386	1.1125	-9.0296	-4.1494	-1.7769	
0.77	0.0435	0.0273	1.0659	-9.068	-4.2234	-1.7753	
0.77	0.0435	0.0273	1.0659	-9.068	-4.2234	-1.7753	
0.77	0.0435	0.0273	1.0659	-9.068	-4.2234	-1.7753	
