time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0315	-0.0334	1.0815	133.532	-3.5149	-1.4722	
0.08	-0.0007	-0.1028	1.093	133.257	-3.5345	-1.4735	
0.12	0.0415	0.0068	1.0842	133.085	-3.3436	-1.374	
0.17	0.0625	0.093	1.0522	132.861	-3.7932	-1.4038	
0.22	0.0125	-0.0867	1.0571	132.652	-4.1049	-1.607	
0.26	0.0381	0.012	1.0488	132.522	-4.3417	-1.5432	
0.31	0.022	0.0215	1.1165	132.264	-3.9985	-1.7576	
0.36	0.0176	-0.0496	1.0591	132.018	-4.0085	-1.8599	
0.4	0.033	-0.0012	1.0413	131.846	-3.9587	-1.762	
0.45	0.0352	-0.0378	1.1179	131.603	-3.765	-1.808	
0.5	0.0361	-0.0566	1.0659	131.319	-3.2902	-1.7977	
0.52	-0.0024	-0.0684	1.0583	131.25	-3.4475	-1.7301	
0.52	-0.0024	-0.0684	1.0583	131.25	-3.4475	-1.7301	
0.53	0.0308	-0.1487	1.093	131.209	-3.4066	-1.5926	
0.53	0.0308	-0.1487	1.093	131.209	-3.4066	-1.5926	
0.54	0.04	0.0708	1.1084	131.168	-3.4264	-1.5637	
0.54	0.04	0.0708	1.1084	131.168	-3.4264	-1.5637	
0.54	0.04	0.0708	1.1084	131.168	-3.4264	-1.5637	
0.55	0.032	-0.0327	1.052	131.124	-3.2822	-1.6302	
0.55	0.032	-0.0327	1.052	131.124	-3.2822	-1.6302	
0.56	0.0242	-0.0857	1.0747	131.078	-3.3558	-1.6791	
0.56	0.0242	-0.0857	1.0747	131.078	-3.3558	-1.6791	
0.56	0.0242	-0.0857	1.0747	131.078	-3.3558	-1.6791	
0.57	0.0276	-0.0908	1.0425	131.039	-3.4157	-1.7195	
0.57	0.0276	-0.0908	1.0425	131.039	-3.4157	-1.7195	
0.58	0.0435	-0.0164	1.075	131.004	-3.6326	-1.7055	
0.58	0.0435	-0.0164	1.075	131.004	-3.6326	-1.7055	
0.58	0.0435	-0.0164	1.075	131.004	-3.6326	-1.7055	
0.59	0.0444	-0.0508	1.0918	130.958	-3.684	-1.7042	
0.59	0.0444	-0.0508	1.0918	130.958	-3.684	-1.7042	
0.59	0.0444	-0.0508	1.0918	130.958	-3.684	-1.7042	
0.6	0.0173	-0.0635	1.0654	130.927	-3.7492	-1.7401	
0.6	0.0173	-0.0635	1.0654	130.927	-3.7492	-1.7401	
0.61	0.0581	-0.0625	1.103	130.875	-3.6591	-1.6453	
0.61	0.0581	-0.0625	1.103	130.875	-3.6591	-1.6453	
0.61	0.0581	-0.0625	1.103	130.875	-3.6591	-1.6453	
0.62	0.0808	0.0059	1.0945	130.796	-3.5067	-1.8634	
0.62	0.0808	0.0059	1.0945	130.796	-3.5067	-1.8634	
0.63	0.0232	-0.0322	1.116	130.752	-3.5683	-1.8563	
0.63	0.0232	-0.0322	1.116	130.752	-3.5683	-1.8563	
0.63	0.0232	-0.0322	1.116	130.752	-3.5683	-1.8563	
0.64	0.0417	-0.0928	1.052	130.702	-3.5565	-1.9548	
0.64	0.0417	-0.0928	1.052	130.702	-3.5565	-1.9548	
0.65	0.0088	-0.0713	1.0994	130.656	-3.602	-2.0053	
0.65	0.0088	-0.0713	1.0994	130.656	-3.602	-2.0053	
0.65	0.0088	-0.0713	1.0994	130.656	-3.602	-2.0053	
0.66	0.0461	-0.0769	1.0532	130.587	-3.677	-2.001	
0.66	0.0461	-0.0769	1.0532	130.587	-3.677	-2.001	
0.66	0.0461	-0.0769	1.0532	130.587	-3.677	-2.001	
0.67	0.0352	-0.0498	1.0728	130.553	-3.7831	-2.0647	
0.67	0.0352	-0.0498	1.0728	130.553	-3.7831	-2.0647	
0.68	0.0427	-0.0461	1.103	130.502	-3.6132	-2.0166	
0.68	0.0427	-0.0461	1.103	130.502	-3.6132	-2.0166	
0.68	0.0427	-0.0461	1.103	130.502	-3.6132	-2.0166	
0.69	0.0432	-0.0339	1.0691	130.424	-3.3698	-2.0698	
0.69	0.0432	-0.0339	1.0691	130.424	-3.3698	-2.0698	
0.7	0.0242	-0.0781	1.0537	130.38	-3.4191	-1.99	
0.7	0.0242	-0.0781	1.0537	130.38	-3.4191	-1.99	
0.7	0.0242	-0.0781	1.0537	130.38	-3.4191	-1.99	
0.71	0.0261	0.0276	1.0679	130.347	-3.3998	-1.8564	
0.71	0.0261	0.0276	1.0679	130.347	-3.3998	-1.8564	
0.72	0.0239	-0.0806	1.0884	130.306	-3.2405	-1.9044	
0.72	0.0239	-0.0806	1.0884	130.306	-3.2405	-1.9044	
0.72	0.0239	-0.0806	1.0884	130.306	-3.2405	-1.9044	
0.73	0.011	-0.0928	1.043	130.25	-3.4322	-1.7465	
0.73	0.011	-0.0928	1.043	130.25	-3.4322	-1.7465	
0.74	0.0396	-0.061	1.094	130.215	-3.3698	-1.7905	
0.74	0.0396	-0.061	1.094	130.215	-3.3698	-1.7905	
0.74	0.0396	-0.061	1.094	130.215	-3.3698	-1.7905	
0.75	0.0386	0.0347	1.1096	130.172	-3.2673	-1.7116	
0.75	0.0386	0.0347	1.1096	130.172	-3.2673	-1.7116	
0.75	0.0386	0.0347	1.1096	130.172	-3.2673	-1.7116	
0.76	0.0398	-0.0234	1.1099	130.143	-3.3443	-1.714	
0.76	0.0398	-0.0234	1.1099	130.143	-3.3443	-1.714	
0.77	0.0481	-0.0286	1.1365	130.1	-3.3392	-1.7811	
0.77	0.0481	-0.0286	1.1365	130.1	-3.3392	-1.7811	
0.77	0.0481	-0.0286	1.1365	130.1	-3.3392	-1.7811	
0.78	0.061	-0.0708	1.1201	130.033	-3.2529	-1.9163	
0.78	0.061	-0.0708	1.1201	130.033	-3.2529	-1.9163	
0.79	0.0596	0.0215	1.0486	129.988	-3.4332	-1.9539	
0.79	0.0596	0.0215	1.0486	129.988	-3.4332	-1.9539	
0.79	0.0596	0.0215	1.0486	129.988	-3.4332	-1.9539	
0.8	0.0103	-0.0598	1.1008	129.954	-3.5021	-1.8852	
0.8	0.0103	-0.0598	1.1008	129.954	-3.5021	-1.8852	
0.81	0.0276	0.0039	1.0859	129.903	-3.3534	-1.9167	
0.81	0.0276	0.0039	1.0859	129.903	-3.3534	-1.9167	
0.81	0.0276	0.0039	1.0859	129.903	-3.3534	-1.9167	
0.82	0.0437	-0.0352	1.106	129.862	-3.434	-1.9091	
0.82	0.0437	-0.0352	1.106	129.862	-3.434	-1.9091	
