time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.011	-0.0601	1.0654	10.1293	-3.5824	-1.4794	
0.08	-0.0149	-0.0159	1.0791	9.9184	-3.8331	-1.764	
0.13	0.0015	-0.0178	1.094	9.7442	-4.0793	-1.8292	
0.18	0.0369	0.0107	1.0464	9.5446	-3.9393	-1.7973	
0.23	0.0061	-0.0718	1.0652	9.3529	-3.8364	-1.7644	
0.27	0.0088	0.0232	1.0417	9.1539	-3.9659	-1.7288	
0.32	-0.0149	-0.1438	1.0566	8.9284	-3.8871	-1.6653	
0.37	-0.0078	-0.1943	1.0701	8.6897	-4.2047	-1.3526	
0.42	0.0298	-0.1086	1.0789	8.4262	-4.0341	-1.4871	
0.45	0.0315	-0.136	1.0537	8.2612	-4.1364	-1.6013	
0.46	-0.0193	-0.1077	1.0937	8.232	-4.2212	-1.5696	
0.46	-0.0193	-0.1077	1.0937	8.232	-4.2212	-1.5696	
0.47	0.0127	0.0166	1.0466	8.2	-4.3088	-1.3791	
0.47	0.0127	0.0166	1.0466	8.2	-4.3088	-1.3791	
0.47	0.0127	0.0166	1.0466	8.2	-4.3088	-1.3791	
0.48	0.0508	-0.126	1.0935	8.1324	-4.2909	-1.4838	
0.48	0.0508	-0.126	1.0935	8.1324	-4.2909	-1.4838	
0.49	0.0117	-0.0647	1.0291	8.0828	-4.1687	-1.3989	
0.49	0.0117	-0.0647	1.0291	8.0828	-4.1687	-1.3989	
0.49	0.0117	-0.0647	1.0291	8.0828	-4.1687	-1.3989	
0.5	0.0466	-0.1228	1.1099	8.0312	-4.0182	-1.4035	
0.5	0.0466	-0.1228	1.1099	8.0312	-4.0182	-1.4035	
0.51	-0.0154	-0.1001	1.071	7.985	-4.0602	-1.4703	
0.51	-0.0154	-0.1001	1.071	7.985	-4.0602	-1.4703	
0.51	-0.0154	-0.1001	1.071	7.985	-4.0602	-1.4703	
0.52	-0.0029	-0.0889	1.0569	7.9433	-4.147	-1.2971	
0.52	-0.0029	-0.0889	1.0569	7.9433	-4.147	-1.2971	
0.53	-0.0029	-0.0674	1.0635	7.9098	-4.0735	-1.2622	
0.53	-0.0029	-0.0674	1.0635	7.9098	-4.0735	-1.2622	
0.53	-0.0029	-0.0674	1.0635	7.9098	-4.0735	-1.2622	
0.54	0.0522	-0.0789	1.085	7.8757	-3.9345	-1.2817	
0.54	0.0522	-0.0789	1.085	7.8757	-3.9345	-1.2817	
0.54	0.0522	-0.0789	1.085	7.8757	-3.9345	-1.2817	
0.55	-0.0081	-0.074	1.0947	7.8366	-4.0992	-1.3163	
0.55	-0.0081	-0.074	1.0947	7.8366	-4.0992	-1.3163	
0.56	0.0005	-0.0923	1.0442	7.7953	-4.2706	-1.2512	
0.56	0.0005	-0.0923	1.0442	7.7953	-4.2706	-1.2512	
0.56	0.0005	-0.0923	1.0442	7.7953	-4.2706	-1.2512	
0.57	0.0105	-0.0405	1.0801	7.7573	-4.0993	-1.2376	
0.57	0.0105	-0.0405	1.0801	7.7573	-4.0993	-1.2376	
0.58	0.011	-0.0176	1.0339	7.717	-4.0779	-1.1788	
0.58	0.011	-0.0176	1.0339	7.717	-4.0779	-1.1788	
0.58	0.011	-0.0176	1.0339	7.717	-4.0779	-1.1788	
