time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0166	-0.0137	1.0994	64.1668	-3.4702	-1.541	
0.08	0.0496	-0.0061	1.0244	63.8939	-3.3266	-1.6392	
0.13	0.02	-0.155	1.0901	63.7134	-3.6754	-1.577	
0.17	0.031	0.0371	1.095	63.5611	-3.5892	-1.5621	
0.22	0.0188	-0.0488	1.0847	63.3287	-3.5652	-1.4657	
0.27	0.0095	-0.1047	1.0952	63.1137	-3.6652	-1.5744	
0.32	0.0464	0.0396	1.0867	62.8957	-3.5624	-1.4995	
0.36	0.0298	-0.0369	1.0967	62.6838	-3.3509	-1.4978	
0.41	0.0366	-0.0281	1.0764	62.4436	-3.1475	-1.7935	
0.46	0.0591	-0.0527	1.0737	62.2409	-2.9783	-1.7597	
0.51	0.0413	-0.0137	1.123	62.0213	-3.2818	-1.8938	
0.55	0.0442	0.1387	1.0874	61.8066	-3.1428	-1.9518	
0.6	0.0491	-0.0193	1.0598	61.6135	-3.6822	-1.7745	
0.65	0.0295	-0.0686	1.0547	61.41	-3.7918	-1.6753	
0.68	0.0239	-0.0354	1.0864	61.2862	-3.8295	-1.4925	
0.69	0.0305	0.0024	1.0903	61.247	-3.6557	-1.4767	
0.69	0.0305	0.0024	1.0903	61.247	-3.6557	-1.4767	
0.69	0.0305	0.0024	1.0903	61.247	-3.6557	-1.4767	
0.7	0.0374	-0.0566	1.1042	61.2007	-3.6614	-1.6038	
0.7	0.0374	-0.0566	1.1042	61.2007	-3.6614	-1.6038	
0.71	0.0334	0.0125	1.0784	61.1531	-3.6876	-1.691	
0.71	0.0334	0.0125	1.0784	61.1531	-3.6876	-1.691	
0.71	0.0334	0.0125	1.0784	61.1531	-3.6876	-1.691	
0.72	0.0352	-0.0686	1.095	61.0992	-3.5452	-1.6997	
0.72	0.0352	-0.0686	1.095	61.0992	-3.5452	-1.6997	
0.73	0.0447	-0.0942	1.0969	61.0555	-3.5365	-1.7978	
0.73	0.0447	-0.0942	1.0969	61.0555	-3.5365	-1.7978	
0.73	0.0447	-0.0942	1.0969	61.0555	-3.5365	-1.7978	
0.74	0.0254	-0.0061	1.1006	60.9972	-3.5183	-1.8762	
0.74	0.0254	-0.0061	1.1006	60.9972	-3.5183	-1.8762	
0.74	0.0254	-0.0061	1.1006	60.9972	-3.5183	-1.8762	
0.75	0.0283	-0.1492	1.0649	60.9479	-3.422	-1.9151	
0.75	0.0283	-0.1492	1.0649	60.9479	-3.422	-1.9151	
0.76	0.0071	-0.0535	1.0674	60.9018	-3.4971	-1.8797	
0.76	0.0071	-0.0535	1.0674	60.9018	-3.4971	-1.8797	
0.76	0.0071	-0.0535	1.0674	60.9018	-3.4971	-1.8797	
0.77	0.0803	-0.021	1.0869	60.8285	-3.365	-1.8757	
0.77	0.0803	-0.021	1.0869	60.8285	-3.365	-1.8757	
0.78	0.0186	-0.0505	1.0801	60.7799	-3.2552	-1.7795	
0.78	0.0186	-0.0505	1.0801	60.7799	-3.2552	-1.7795	
0.78	0.0186	-0.0505	1.0801	60.7799	-3.2552	-1.7795	
0.79	0.0381	-0.0918	1.0952	60.7419	-3.4783	-1.7731	
0.79	0.0381	-0.0918	1.0952	60.7419	-3.4783	-1.7731	
0.8	0.0063	-0.0117	1.0662	60.7034	-3.5394	-1.8297	
0.8	0.0063	-0.0117	1.0662	60.7034	-3.5394	-1.8297	
0.8	0.0063	-0.0117	1.0662	60.7034	-3.5394	-1.8297	
0.81	-0.0117	-0.1084	1.0679	60.6325	-3.531	-1.6669	
0.81	-0.0117	-0.1084	1.0679	60.6325	-3.531	-1.6669	
0.82	0.0662	-0.0994	1.0828	60.6038	-3.7692	-1.7846	
0.82	0.0662	-0.0994	1.0828	60.6038	-3.7692	-1.7846	
0.82	0.0662	-0.0994	1.0828	60.6038	-3.7692	-1.7846	
0.83	-0.0044	-0.0212	1.0793	60.5683	-3.7215	-1.7189	
0.83	-0.0044	-0.0212	1.0793	60.5683	-3.7215	-1.7189	
0.87	-0.0017	-0.1404	1.0769	60.3889	-3.7813	-1.6549	
0.87	-0.0017	-0.1404	1.0769	60.3889	-3.7813	-1.6549	
0.87	-0.0017	-0.1404	1.0769	60.3889	-3.7813	-1.6549	
0.88	-0.0022	-0.0073	1.0977	60.3354	-3.7692	-1.557	
0.88	-0.0022	-0.0073	1.0977	60.3354	-3.7692	-1.557	
0.89	0.0132	0.0313	1.0544	60.3025	-3.6203	-1.5376	
0.89	0.0132	0.0313	1.0544	60.3025	-3.6203	-1.5376	
0.89	0.0132	0.0313	1.0544	60.3025	-3.6203	-1.5376	
0.9	0.0132	0.0261	1.083	60.2664	-3.6966	-1.5443	
0.9	0.0132	0.0261	1.083	60.2664	-3.6966	-1.5443	
0.91	0.0562	0.0173	1.0923	60.2408	-3.7622	-1.5206	
0.91	0.0562	0.0173	1.0923	60.2408	-3.7622	-1.5206	
0.91	0.0562	0.0173	1.0923	60.2408	-3.7622	-1.5206	
0.92	0.0425	-0.0059	1.0989	60.1744	-3.5445	-1.5264	
0.92	0.0425	-0.0059	1.0989	60.1744	-3.5445	-1.5264	
0.93	0.0408	-0.0596	1.0708	60.131	-3.4635	-1.6033	
0.93	0.0408	-0.0596	1.0708	60.131	-3.4635	-1.6033	
0.93	0.0408	-0.0596	1.0708	60.131	-3.4635	-1.6033	
0.94	0.0581	-0.0056	1.1006	60.0846	-3.3176	-1.5944	
0.94	0.0581	-0.0056	1.1006	60.0846	-3.3176	-1.5944	
0.95	0.0273	-0.0093	1.0762	60.0431	-3.194	-1.744	
0.95	0.0273	-0.0093	1.0762	60.0431	-3.194	-1.744	
0.95	0.0273	-0.0093	1.0762	60.0431	-3.194	-1.744	
0.96	0.0154	-0.0571	1.0942	59.984	-3.2203	-1.5453	
0.96	0.0154	-0.0571	1.0942	59.984	-3.2203	-1.5453	
0.97	0.0884	-0.0127	1.1316	59.9451	-3.0995	-1.7194	
0.97	0.0884	-0.0127	1.1316	59.9451	-3.0995	-1.7194	
0.97	0.0884	-0.0127	1.1316	59.9451	-3.0995	-1.7194	
0.98	0.0029	0.0083	1.0588	59.9161	-3.1724	-1.7101	
0.98	0.0029	0.0083	1.0588	59.9161	-3.1724	-1.7101	
0.99	0.0889	-0.042	1.0874	59.863	-3.2445	-1.7819	
0.99	0.0889	-0.042	1.0874	59.863	-3.2445	-1.7819	
0.99	0.0889	-0.042	1.0874	59.863	-3.2445	-1.7819	
1	0.0469	-0.0806	1.0696	59.8365	-3.2962	-1.899	
1	0.0469	-0.0806	1.0696	59.8365	-3.2962	-1.899	
1.01	0.04	-0.0176	1.0691	59.7931	-3.2153	-1.7486	
1.01	0.04	-0.0176	1.0691	59.7931	-3.2153	-1.7486	
1.01	0.04	-0.0176	1.0691	59.7931	-3.2153	-1.7486	
1.02	0.0474	-0.0278	1.1145	59.7564	-3.2713	-1.8373	
1.02	0.0474	-0.0278	1.1145	59.7564	-3.2713	-1.8373	
1.03	-0.0364	-0.0081	1.0486	59.7011	-3.2219	-1.6952	
1.03	-0.0364	-0.0081	1.0486	59.7011	-3.2219	-1.6952	
1.03	-0.0364	-0.0081	1.0486	59.7011	-3.2219	-1.6952	
1.04	0.0728	-0.0149	1.0933	59.6591	-3.2797	-1.8025	
1.04	0.0728	-0.0149	1.0933	59.6591	-3.2797	-1.8025	
1.04	0.0728	-0.0149	1.0933	59.6591	-3.2797	-1.8025	
1.05	-0.009	0.0386	1.0449	59.624	-3.2475	-1.7698	
1.05	-0.009	0.0386	1.0449	59.624	-3.2475	-1.7698	
1.06	0.0166	-0.0833	1.125	59.5785	-3.4362	-1.6781	
1.06	0.0166	-0.0833	1.125	59.5785	-3.4362	-1.6781	
1.06	0.0166	-0.0833	1.125	59.5785	-3.4362	-1.6781	
1.07	0.0149	-0.0112	1.0791	59.5473	-3.4877	-1.7182	
1.07	0.0149	-0.0112	1.0791	59.5473	-3.4877	-1.7182	
1.08	0.0598	-0.0479	1.0483	59.5023	-3.3454	-1.6937	
1.08	0.0598	-0.0479	1.0483	59.5023	-3.3454	-1.6937	
1.09	0.0435	-0.0205	1.1006	59.4642	-3.41	-1.7196	
1.09	0.0435	-0.0205	1.1006	59.4642	-3.41	-1.7196	
1.09	0.0435	-0.0205	1.1006	59.4642	-3.41	-1.7196	
1.1	-0.0498	-0.0708	1.0547	59.4162	-3.3307	-1.5743	
1.1	-0.0498	-0.0708	1.0547	59.4162	-3.3307	-1.5743	
1.11	0.0449	-0.0806	1.0637	59.3852	-3.5743	-1.4941	
1.11	0.0449	-0.0806	1.0637	59.3852	-3.5743	-1.4941	
1.11	0.0449	-0.0806	1.0637	59.3852	-3.5743	-1.4941	
