time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0398	-0.082	1.1008	-26.6378	-4.4363	-1.9186	
0.08	0.0298	-0.0222	1.0872	-26.9144	-4.1498	-1.778	
0.12	0.061	-0.0134	1.0896	-27.1285	-4.0827	-2.0315	
0.17	0.01	0.0168	1.0937	-27.3592	-3.8449	-2.0829	
0.22	0.0181	0.02	1.0571	-27.6327	-3.4977	-2.1049	
0.26	0.0938	-0.0354	1.1321	-27.829	-3.3681	-2.3639	
0.31	0.0166	0.0164	1.0813	-28.0407	-3.3998	-2.2155	
0.36	-0.0044	-0.0591	1.0337	-28.2826	-3.201	-2.1197	
0.4	0.0291	0.0073	1.0767	-28.4428	-3.1447	-1.9151	
0.45	0.0154	0.0615	1.0679	-28.6955	-2.8141	-1.8123	
0.5	0.0571	-0.0278	1.0435	-28.9297	-3.1209	-1.9879	
0.54	-0.0015	0.0027	1.061	-29.1278	-3.506	-2.0751	
0.59	0.0327	0.0288	1.0488	-29.3855	-3.3393	-1.928	
0.6	0.0359	-0.0903	1.0764	-29.4425	-3.3114	-1.9931	
0.6	0.0359	-0.0903	1.0764	-29.4425	-3.3114	-1.9931	
0.61	0.0225	-0.0447	1.082	-29.4849	-3.2251	-1.8593	
0.61	0.0225	-0.0447	1.082	-29.4849	-3.2251	-1.8593	
0.61	0.0225	-0.0447	1.082	-29.4849	-3.2251	-1.8593	
0.62	0.0408	0.0134	1.1003	-29.5341	-3.1148	-1.8862	
0.62	0.0408	0.0134	1.1003	-29.5341	-3.1148	-1.8862	
0.63	0.0159	-0.0669	1.094	-29.5774	-3.2616	-1.81	
0.63	0.0159	-0.0669	1.094	-29.5774	-3.2616	-1.81	
0.63	0.0159	-0.0669	1.094	-29.5774	-3.2616	-1.81	
0.64	0.0742	0.0361	1.082	-29.6165	-3.1564	-1.9592	
0.64	0.0742	0.0361	1.082	-29.6165	-3.1564	-1.9592	
0.65	0.0107	-0.0432	1.0452	-29.6645	-3.0237	-1.8941	
0.65	0.0107	-0.0432	1.0452	-29.6645	-3.0237	-1.8941	
0.65	0.0107	-0.0432	1.0452	-29.6645	-3.0237	-1.8941	
0.66	0.0374	-0.0459	1.0872	-29.7161	-2.9143	-1.8124	
0.66	0.0374	-0.0459	1.0872	-29.7161	-2.9143	-1.8124	
0.67	0.0442	-0.0391	1.0742	-29.7852	-2.7026	-1.9541	
0.67	0.0442	-0.0391	1.0742	-29.7852	-2.7026	-1.9541	
0.67	0.0442	-0.0391	1.0742	-29.7852	-2.7026	-1.9541	
0.68	0.0203	-0.0222	1.0857	-29.8262	-2.7694	-1.9232	
0.68	0.0203	-0.0222	1.0857	-29.8262	-2.7694	-1.9232	
0.69	0.0244	-0.0103	1.0779	-29.8696	-2.6243	-1.8728	
0.69	0.0244	-0.0103	1.0779	-29.8696	-2.6243	-1.8728	
0.69	0.0244	-0.0103	1.0779	-29.8696	-2.6243	-1.8728	
0.7	0.0447	-0.175	1.0344	-29.9195	-2.6746	-1.9235	
0.7	0.0447	-0.175	1.0344	-29.9195	-2.6746	-1.9235	
0.71	-0.0232	-0.0645	1.1045	-29.9671	-2.7991	-1.7686	
0.71	-0.0232	-0.0645	1.1045	-29.9671	-2.7991	-1.7686	
0.71	-0.0232	-0.0645	1.1045	-29.9671	-2.7991	-1.7686	
0.72	0.0718	-0.0405	1.0718	-30.0011	-2.7251	-1.9131	
0.72	0.0718	-0.0405	1.0718	-30.0011	-2.7251	-1.9131	
0.73	-0.0039	-0.0725	1.0962	-30.0347	-2.9948	-1.8616	
0.73	-0.0039	-0.0725	1.0962	-30.0347	-2.9948	-1.8616	
0.73	-0.0039	-0.0725	1.0962	-30.0347	-2.9948	-1.8616	
0.74	0.0203	0.0146	1.0479	-30.0491	-3.2188	-1.7689	
0.74	0.0203	0.0146	1.0479	-30.0491	-3.2188	-1.7689	
0.75	0.0415	-0.0195	1.114	-30.0919	-3.1579	-1.8877	
0.75	0.0415	-0.0195	1.114	-30.0919	-3.1579	-1.8877	
0.75	0.0415	-0.0195	1.114	-30.0919	-3.1579	-1.8877	
0.76	0.0342	-0.0386	1.0776	-30.1417	-3.0191	-1.824	
0.76	0.0342	-0.0386	1.0776	-30.1417	-3.0191	-1.824	
0.77	0.0442	0.0786	1.0732	-30.1786	-3.048	-1.9306	
0.77	0.0442	0.0786	1.0732	-30.1786	-3.048	-1.9306	
0.77	0.0442	0.0786	1.0732	-30.1786	-3.048	-1.9306	
0.78	0.0105	-0.0691	1.093	-30.208	-3.2187	-1.8347	
0.78	0.0105	-0.0691	1.093	-30.208	-3.2187	-1.8347	
0.78	0.0105	-0.0691	1.093	-30.208	-3.2187	-1.8347	
0.79	0.0571	0.0642	1.0037	-30.2472	-3.0812	-1.8231	
0.79	0.0571	0.0642	1.0037	-30.2472	-3.0812	-1.8231	
0.8	0.0215	-0.0098	1.1335	-30.2901	-3.1332	-2.0698	
0.8	0.0215	-0.0098	1.1335	-30.2901	-3.1332	-2.0698	
0.8	0.0215	-0.0098	1.1335	-30.2901	-3.1332	-2.0698	
0.81	0.0137	0.0159	1.074	-30.3299	-3.2171	-2.0203	
0.81	0.0137	0.0159	1.074	-30.3299	-3.2171	-2.0203	
0.82	0.0168	-0.0313	1.106	-30.3806	-3.023	-1.9802	
0.82	0.0168	-0.0313	1.106	-30.3806	-3.023	-1.9802	
0.82	0.0168	-0.0313	1.106	-30.3806	-3.023	-1.9802	
0.83	0.0132	-0.0393	1.0833	-30.4137	-3.1195	-1.9485	
0.83	0.0132	-0.0393	1.0833	-30.4137	-3.1195	-1.9485	
0.84	0.0508	-0.0261	1.0496	-30.4624	-2.9692	-1.9585	
0.84	0.0508	-0.0261	1.0496	-30.4624	-2.9692	-1.9585	
0.84	0.0508	-0.0261	1.0496	-30.4624	-2.9692	-1.9585	
0.85	0.0208	-0.0081	1.1003	-30.5004	-3.0396	-1.9748	
0.85	0.0208	-0.0081	1.1003	-30.5004	-3.0396	-1.9748	
0.86	0.0588	0.0249	1.0378	-30.5803	-2.8139	-2.0065	
0.86	0.0588	0.0249	1.0378	-30.5803	-2.8139	-2.0065	
0.86	0.0588	0.0249	1.0378	-30.5803	-2.8139	-2.0065	
0.87	0.0225	-0.157	1.0881	-30.6109	-3.1033	-1.9661	
0.87	0.0225	-0.157	1.0881	-30.6109	-3.1033	-1.9661	
0.88	0.0698	-0.0198	1.0327	-30.6418	-3.1645	-2.0124	
0.88	0.0698	-0.0198	1.0327	-30.6418	-3.1645	-2.0124	
0.88	0.0698	-0.0198	1.0327	-30.6418	-3.1645	-2.0124	
0.89	0.0088	-0.0806	1.0542	-30.6729	-3.1885	-1.9906	
0.89	0.0088	-0.0806	1.0542	-30.6729	-3.1885	-1.9906	
0.9	0.0256	-0.1731	1.1016	-30.7257	-3.452	-2.0357	
0.9	0.0256	-0.1731	1.1016	-30.7257	-3.452	-2.0357	
0.9	0.0256	-0.1731	1.1016	-30.7257	-3.452	-2.0357	
0.91	-0.0134	-0.0066	1.075	-30.7623	-3.2955	-1.9984	
0.91	-0.0134	-0.0066	1.075	-30.7623	-3.2955	-1.9984	
0.92	0.0527	-0.0835	1.1021	-30.7977	-3.4137	-1.9667	
0.92	0.0527	-0.0835	1.1021	-30.7977	-3.4137	-1.9667	
0.92	0.0527	-0.0835	1.1021	-30.7977	-3.4137	-1.9667	
0.93	0.0139	0.0215	1.0854	-30.8446	-3.5454	-1.9582	
0.93	0.0139	0.0215	1.0854	-30.8446	-3.5454	-1.9582	
0.94	0.0017	0.0176	1.0925	-30.8945	-3.4109	-1.9609	
0.94	0.0017	0.0176	1.0925	-30.8945	-3.4109	-1.9609	
0.94	0.0017	0.0176	1.0925	-30.8945	-3.4109	-1.9609	
0.95	0.0007	-0.1528	1.0996	-30.9524	-3.2768	-2.0843	
0.95	0.0007	-0.1528	1.0996	-30.9524	-3.2768	-2.0843	
0.96	0.0483	-0.0876	1.1079	-30.9931	-3.3234	-2.031	
0.96	0.0483	-0.0876	1.1079	-30.9931	-3.3234	-2.031	
0.96	0.0483	-0.0876	1.1079	-30.9931	-3.3234	-2.031	
0.97	0.0828	0.0002	1.0974	-31.0685	-3.327	-2.1904	
0.97	0.0828	0.0002	1.0974	-31.0685	-3.327	-2.1904	
0.97	0.0828	0.0002	1.0974	-31.0685	-3.327	-2.1904	
0.98	-0.0059	-0.0854	1.0754	-31.1105	-3.3371	-2.1146	
0.98	-0.0059	-0.0854	1.0754	-31.1105	-3.3371	-2.1146	
0.99	0.0471	-0.0044	1.0574	-31.1543	-3.3155	-2.0088	
0.99	0.0471	-0.0044	1.0574	-31.1543	-3.3155	-2.0088	
1	0.0366	-0.0593	1.1328	-31.2044	-3.1495	-2.0888	
1	0.0366	-0.0593	1.1328	-31.2044	-3.1495	-2.0888	
1	0.0366	-0.0593	1.1328	-31.2044	-3.1495	-2.0888	
1.01	-0.0066	-0.1733	1.0735	-31.2584	-3.3953	-1.9207	
1.01	-0.0066	-0.1733	1.0735	-31.2584	-3.3953	-1.9207	
1.02	0.0798	0.1428	1.0955	-31.2878	-3.4481	-2.0093	
1.02	0.0798	0.1428	1.0955	-31.2878	-3.4481	-2.0093	
1.02	0.0798	0.1428	1.0955	-31.2878	-3.4481	-2.0093	
1.03	0.0129	-0.054	1.0762	-31.3229	-3.4031	-1.9381	
1.03	0.0129	-0.054	1.0762	-31.3229	-3.4031	-1.9381	
1.03	0.0129	-0.054	1.0762	-31.3229	-3.4031	-1.9381	
1.04	0.0281	-0.1218	1.0923	-31.3624	-3.53	-1.8336	
1.04	0.0281	-0.1218	1.0923	-31.3624	-3.53	-1.8336	
1.05	0.0156	0.115	1.051	-31.4101	-3.5048	-1.8112	
1.05	0.0156	0.115	1.051	-31.4101	-3.5048	-1.8112	
1.05	0.0156	0.115	1.051	-31.4101	-3.5048	-1.8112	
1.06	0.0278	-0.1348	1.0378	-31.4412	-3.5938	-1.8186	
1.06	0.0278	-0.1348	1.0378	-31.4412	-3.5938	-1.8186	
1.07	0.0229	0.0457	1.1042	-31.4704	-3.6222	-1.8651	
1.07	0.0229	0.0457	1.1042	-31.4704	-3.6222	-1.8651	
1.07	0.0229	0.0457	1.1042	-31.4704	-3.6222	-1.8651	
1.08	0.0081	-0.0186	1.0801	-31.5191	-3.4145	-1.8009	
1.08	0.0081	-0.0186	1.0801	-31.5191	-3.4145	-1.8009	
1.09	0.032	-0.2605	1.0671	-31.5513	-3.7037	-1.817	
1.09	0.032	-0.2605	1.0671	-31.5513	-3.7037	-1.817	
1.09	0.032	-0.2605	1.0671	-31.5513	-3.7037	-1.817	
1.1	0.042	0.1306	1.0986	-31.5918	-3.5209	-1.8082	
1.1	0.042	0.1306	1.0986	-31.5918	-3.5209	-1.8082	
1.11	0.0171	-0.0874	1.0825	-31.6189	-3.5996	-1.8009	
1.11	0.0171	-0.0874	1.0825	-31.6189	-3.5996	-1.8009	
1.11	0.0171	-0.0874	1.0825	-31.6189	-3.5996	-1.8009	
1.12	0.0317	0.0293	1.1177	-31.6752	-3.753	-1.697	
1.12	0.0317	0.0293	1.1177	-31.6752	-3.753	-1.697	
1.13	0.0466	0.0225	1.0435	-31.7238	-3.5849	-1.7428	
1.13	0.0466	0.0225	1.0435	-31.7238	-3.5849	-1.7428	
1.13	0.0466	0.0225	1.0435	-31.7238	-3.5849	-1.7428	
1.14	0.0374	-0.0479	1.1257	-31.7639	-3.6337	-1.8107	
1.14	0.0374	-0.0479	1.1257	-31.7639	-3.6337	-1.8107	
1.15	0.0208	0.0867	1.1104	-31.7948	-3.669	-1.7605	
1.15	0.0208	0.0867	1.1104	-31.7948	-3.669	-1.7605	
1.15	0.0208	0.0867	1.1104	-31.7948	-3.669	-1.7605	
1.16	0.04	0.0322	1.0581	-31.8524	-3.6276	-1.8811	
1.16	0.04	0.0322	1.0581	-31.8524	-3.6276	-1.8811	
1.16	0.04	0.0322	1.0581	-31.8524	-3.6276	-1.8811	
1.17	0.0747	-0.0024	1.1118	-31.8982	-3.6862	-1.7724	
1.17	0.0747	-0.0024	1.1118	-31.8982	-3.6862	-1.7724	
1.18	0.054	0.0239	1.1282	-31.9408	-3.5304	-1.8247	
1.18	0.054	0.0239	1.1282	-31.9408	-3.5304	-1.8247	
1.19	0.0527	0.031	1.0803	-31.9698	-3.6169	-1.8176	
1.19	0.0527	0.031	1.0803	-31.9698	-3.6169	-1.8176	
1.19	0.0527	0.031	1.0803	-31.9698	-3.6169	-1.8176	
1.2	0.0146	-0.0667	1.0933	-32.0232	-3.6145	-1.6404	
1.2	0.0146	-0.0667	1.0933	-32.0232	-3.6145	-1.6404	
1.21	0.0344	0.0698	1.0723	-32.072	-3.5042	-1.7496	
1.21	0.0344	0.0698	1.0723	-32.072	-3.5042	-1.7496	
1.21	0.0344	0.0698	1.0723	-32.072	-3.5042	-1.7496	
1.22	0.0073	-0.062	1.1196	-32.1015	-3.5782	-1.6982	
1.22	0.0073	-0.062	1.1196	-32.1015	-3.5782	-1.6982	
1.23	0.0999	0.0146	1.0618	-32.155	-3.6404	-1.7161	
1.23	0.0999	0.0146	1.0618	-32.155	-3.6404	-1.7161	
1.23	0.0999	0.0146	1.0618	-32.155	-3.6404	-1.7161	
1.24	-0.0222	0.0598	1.0549	-32.1849	-3.5088	-1.6495	
1.24	-0.0222	0.0598	1.0549	-32.1849	-3.5088	-1.6495	
1.24	-0.0222	0.0598	1.0549	-32.1849	-3.5088	-1.6495	
1.25	0.0632	-0.042	1.0879	-32.2235	-3.5746	-1.6252	
1.25	0.0632	-0.042	1.0879	-32.2235	-3.5746	-1.6252	
1.26	0.0376	0.1345	1.1086	-32.2635	-3.4487	-1.7491	
1.26	0.0376	0.1345	1.1086	-32.2635	-3.4487	-1.7491	
1.26	0.0376	0.1345	1.1086	-32.2635	-3.4487	-1.7491	
1.27	0.0381	0.0176	1.0754	-32.3222	-3.4501	-1.734	
1.27	0.0381	0.0176	1.0754	-32.3222	-3.4501	-1.734	
1.28	0.0488	-0.0439	1.1016	-32.3735	-3.4994	-1.8366	
1.28	0.0488	-0.0439	1.1016	-32.3735	-3.4994	-1.8366	
1.28	0.0488	-0.0439	1.1016	-32.3735	-3.4994	-1.8366	
1.29	0.0354	-0.0264	1.093	-32.4173	-3.5161	-1.9382	
1.29	0.0354	-0.0264	1.093	-32.4173	-3.5161	-1.9382	
1.3	0.0483	-0.1011	1.0679	-32.4713	-3.3509	-1.9595	
1.3	0.0483	-0.1011	1.0679	-32.4713	-3.3509	-1.9595	
1.3	0.0483	-0.1011	1.0679	-32.4713	-3.3509	-1.9595	
