L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
6.9011	2.59341	0.0165964	-2.52747	-6.9011	11.1154	2.50549	0.0136414	-2.41758	-11.033	86.08	115.67	118.36	419.64	-48.42	-104.91	56.49	67.25	
6.9011	2.59341	0.0165964	-2.52747	-6.81319	11.1154	2.50549	0.0136414	-2.41758	-11.033	64.56	118.36	96.84	570.28	-48.42	-107.6	59.18	115.67	
6.9011	2.59341	0.0165964	-2.52747	-6.9011	11.1154	2.50549	0.0136414	-2.41758	-11.033	134.5	115.67	102.22	433.09	-48.42	-104.91	59.18	115.67	
6.9011	2.59341	0.0165964	-2.52747	-6.81319	11.1154	2.50549	0.0136414	-2.41758	-11.033	75.32	115.67	99.53	519.17	-86.08	-102.22	56.49	67.25	
6.9011	2.59341	0.0165964	-2.52747	-6.9011	11.1154	2.50549	0.0136414	-2.41758	-11.033	67.25	115.67	153.33	451.92	-110.29	-102.22	53.8	69.94	
6.9011	2.59341	0.0165964	-2.52747	-6.9011	11.0275	2.50549	0.0136414	-2.41758	-10.9451	67.25	115.67	96.84	207.13	-34.97	-104.91	59.18	75.32	
6.81319	2.59341	0.0165964	-2.61538	-6.72527	11.0275	2.50549	0.0136414	-2.41758	-10.9451	91.46	115.67	110.29	529.93	-96.84	-104.91	59.18	228.65	
6.81319	2.59341	0.0165964	-2.52747	-6.81319	10.9396	2.50549	0.0136414	-2.41758	-10.9451	61.87	123.74	134.5	500.34	80.7	-102.22	56.49	99.53	
6.72527	2.59341	0.0165964	-2.52747	-6.72527	10.7637	2.50549	0.0136414	-2.41758	-10.9451	69.94	112.98	150.64	166.78	172.16	-104.91	56.49	-29.59	
6.72527	2.59341	0.0165964	-2.52747	-6.63736	10.8516	2.50549	0.0136414	-2.41758	-10.7692	134.5	110.29	96.84	605.25	-72.63	-102.22	56.49	91.46	
6.63736	2.59341	0.0165964	-2.61538	-6.54945	10.7637	2.50549	0.0136414	-2.41758	-10.7692	86.08	115.67	96.84	987.23	-64.56	-102.22	53.8	99.53	
6.54945	2.59341	0.0165964	-2.52747	-6.46154	10.6758	2.50549	0.0136414	-2.41758	-10.7692	91.46	112.98	188.3	841.97	231.34	-96.84	53.8	225.96	
6.46154	2.59341	0.0165964	-2.52747	-6.37363	10.5879	2.50549	0.0136414	-2.41758	-10.5055	61.87	118.36	94.15	548.76	-131.81	-91.46	53.8	43.04	
6.28571	2.59341	0.0165964	-2.52747	-6.28571	10.3242	2.50549	0.0136414	-2.41758	-10.4176	61.87	112.98	88.77	742.44	-26.9	-102.22	56.49	32.28	
6.1978	2.59341	0.0165964	-2.52747	-6.10989	10.3242	2.50549	0.0136414	-2.41758	-10.2418	-153.33	115.67	94.15	949.57	352.39	-99.53	51.11	298.59	
6.10989	2.59341	0.0165964	-2.52747	-5.84615	10.1484	2.50549	0.0136414	-2.41758	-10.1538	61.87	115.67	164.09	352.39	-67.25	-145.26	53.8	29.59	
5.84615	2.59341	0.0165964	-2.52747	-5.75824	9.97253	2.50549	0.0136414	-2.41758	-9.89011	161.4	118.36	94.15	696.71	-83.39	-99.53	51.11	40.35	
5.67033	2.59341	0.017318	-2.52747	-5.58242	9.7967	2.50549	0.0146035	-2.41758	-9.71429	-435.78	118.36	112.98	422.33	-312.04	-99.53	56.49	204.44	
5.23077	2.59341	0.0174555	-2.52747	-5.14286	9.53297	2.50549	0.0148097	-2.41758	-9.45055	94.15	118.36	96.84	344.32	-209.82	-104.91	59.18	45.73	
5.14286	2.59341	0.0171806	-2.52747	-5.05495	9.35714	2.50549	0.0150502	-2.41758	-9.18681	425.02	112.98	91.46	451.92	-282.45	-99.53	51.11	355.08	
4.87912	2.59341	0.017318	-2.52747	-4.7033	9.18132	2.50549	0.0155312	-2.41758	-8.83516	876.94	104.91	83.39	694.02	-930.74	-107.6	56.49	53.8	
4.61538	2.59341	0.0173868	-2.52747	-4.43956	8.65385	2.50549	0.0154625	-2.41758	-8.65934	277.07	110.29	88.77	586.42	-166.78	-102.22	53.8	40.35	
4.26374	2.59341	0.017318	-2.52747	-4.08791	8.12637	2.50549	0.0159779	-2.41758	-8.21978	408.88	115.67	102.22	906.53	-121.05	-96.84	56.49	-13.45	
3.64835	2.59341	0.0173868	-2.52747	-3.64835	7.77473	2.50549	0.0159779	-2.41758	-7.78022	303.97	115.67	107.6	586.42	-51.11	-96.84	51.11	88.77	
3.20879	2.59341	0.0184863	-2.52747	-3.12088	7.33516	2.50549	0.0170088	-2.41758	-7.16484	147.95	99.53	91.46	672.5	-548.76	-99.53	64.56	207.13	
2.59341	2.59341	0.0186581	-2.52747	-2.59341	6.71978	2.50549	0.0175242	-2.50549	-6.72527	398.12	112.98	104.91	718.23	-180.23	-99.53	145.26	-156.02	
1.97802	2.59341	0.0187612	-2.61538	-1.89011	5.84066	2.50549	0.0183832	-2.41758	-6.02198	260.93	112.98	91.46	131.81	293.21	-96.84	94.15	83.39	
1.18681	2.59341	0.0188986	-2.61538	-1.18681	5.4011	2.50549	0.0184176	-2.50549	-5.31868	293.21	112.98	91.46	640.22	-107.6	-104.91	118.36	-43.04	
0.571429	2.59341	0.0188986	-2.61538	-0.395604	4.6978	2.50549	0.0188986	-2.50549	-4.52747	831.21	110.29	86.08	473.44	5.38	-102.22	129.12	13.45	
-0.131868	2.59341	0.0188986	-2.61538	0.307692	3.90659	2.50549	0.0192766	-2.50549	-3.82418	290.52	118.36	96.84	295.9	559.52	-102.22	88.77	-207.13	
-0.835165	2.59341	0.0188986	-2.61538	1.01099	3.29121	2.50549	0.019792	-2.50549	-3.20879	309.35	115.67	91.46	43.04	-2.69	-104.91	64.56	-145.26	
-1.62637	2.59341	0.0187268	-2.61538	1.8022	2.5	2.50549	0.0198608	-2.50549	-2.32967	104.91	121.05	96.84	72.63	-129.12	-104.91	56.49	-137.19	
-2.32967	2.59341	0.0181771	-2.61538	2.59341	1.7967	2.50549	0.0200326	-2.50549	-1.62637	247.48	115.67	88.77	301.28	-91.46	-102.22	53.8	-355.08	
-3.12088	2.59341	0.0179365	-2.61538	3.47253	1.00549	2.50549	0.0199982	-2.50549	-0.835165	217.89	110.29	182.92	107.6	-220.58	-107.6	59.18	-40.35	
-3.82418	2.59341	0.0180053	-2.52747	4.17582	0.302198	2.50549	0.0199982	-2.50549	-0.131868	247.48	112.98	137.19	18.83	86.08	-104.91	53.8	-234.03	
-4.61538	2.59341	0.0169744	-2.52747	4.7033	-0.489011	2.50549	0.0198608	-2.50549	0.483516	874.25	72.63	94.15	-465.37	223.27	-102.22	53.8	-422.33	
-5.31868	2.59341	0.0170088	-2.52747	5.49451	-1.19231	2.50549	0.0197233	-2.50549	1.27473	804.31	110.29	126.43	59.18	-204.44	-104.91	56.49	-395.43	
-6.02198	2.59341	0.0169744	-2.52747	6.10989	-1.80769	2.50549	0.019792	-2.50549	1.97802	118.36	112.98	94.15	-91.46	-169.47	-107.6	61.87	34.97	
-6.54945	2.59341	0.0168713	-2.52747	6.81319	-2.51099	2.50549	0.019792	-2.50549	2.59341	118.36	40.35	91.46	-64.56	-21.52	-102.22	59.18	-317.42	
-7.16484	2.59341	0.0167339	-2.52747	7.42857	-3.12637	2.50549	0.0198264	-2.50549	3.20879	137.19	104.91	94.15	99.53	-115.67	-102.22	67.25	-381.98	
-7.86813	2.59341	0.0155656	-2.52747	7.86813	-3.65385	2.50549	0.0192079	-2.50549	3.73626	427.71	72.63	91.46	-190.99	-180.23	-107.6	134.5	-225.96	
-8.21978	2.59341	0.0151189	-2.52747	8.3956	-4.00549	2.59341	0.0187956	-2.50549	4.17582	-271.69	37.66	91.46	-190.99	-341.63	-107.6	196.37	-435.78	
-8.30769	2.59341	0.0147753	-2.52747	8.3956	-4.09341	2.50549	0.0190361	-2.50549	4.26374	118.36	40.35	88.77	161.4	-145.26	-129.12	67.25	-632.15	
-8.57143	2.50549	0.0146035	-2.52747	8.83516	-4.53297	2.59341	0.0188299	-2.50549	4.52747	-551.45	72.63	24.21	-94.15	-190.99	-110.29	53.8	-847.35	
