time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-4.9799e-05	0.00898001	0.222559	-7.45451e-05	1.13602e-05	-2.07748e-07	-7.3814e-05	0.0812146	-2.86216e-07	0.00475392	-0.00356089	0.280792	0	0	0	0	0	0	0	0.000797862	0	0	0.032175	0	
0.05	-4.97973e-05	0.00900996	0.222559	-7.45466e-05	1.14277e-05	-2.09443e-07	-7.38156e-05	0.0812147	-2.88477e-07	0.00475387	-0.00351916	0.28079	-2.16235e-06	0.00166911	-5.28081e-05	-8.64942e-05	0.0667642	-0.00211232	0	0.00161533	0	0	0.0333562	0	
0.075	-4.97944e-05	0.00906069	0.222559	-7.45492e-05	1.15421e-05	-2.12307e-07	-7.38182e-05	0.0812148	-2.92301e-07	0.00475378	-0.00344848	0.280788	-3.65858e-06	0.00282733	-8.93496e-05	-5.98491e-05	0.046329	-0.00146166	0	0.0024725	0	0	0.0353572	0	
0.1	-4.97902e-05	0.00913345	0.222559	-7.45529e-05	1.17062e-05	-2.16399e-07	-7.38221e-05	0.081215	-2.97769e-07	0.00475365	-0.00334711	0.280785	-5.23775e-06	0.00405495	-0.000127919	-6.31668e-05	0.049105	-0.00154277	0	0.00339043	0	0	0.0382271	0	
0.125	-4.97847e-05	0.00923003	0.222559	-7.45578e-05	1.19239e-05	-2.21804e-07	-7.38272e-05	0.0812152	-3.05001e-07	0.00475347	-0.00321256	0.280781	-6.93493e-06	0.0053821	-0.000169374	-6.78872e-05	0.0530859	-0.00165819	0	0.00439168	0	0	0.0420364	0	
0.15	-4.97777e-05	0.0093528	0.222559	-7.4564e-05	1.22007e-05	-2.28631e-07	-7.38337e-05	0.0812155	-3.14149e-07	0.00475325	-0.00304152	0.280775	-8.78702e-06	0.00684133	-0.000214617	-7.40835e-05	0.0583693	-0.00180972	0	0.00550085	0	0	0.0468788	0	
0.175	-4.9769e-05	0.00950478	0.222559	-7.45717e-05	1.25433e-05	-2.37013e-07	-7.38417e-05	0.0812158	-3.25405e-07	0.00475298	-0.00282981	0.280769	-1.08332e-05	0.00846844	-0.000264606	-8.1846e-05	0.0650841	-0.00199959	0	0.00674521	0	0	0.0528733	0	
0.2	-4.97586e-05	0.0096897	0.22256	-7.45811e-05	1.29602e-05	-2.47108e-07	-7.38515e-05	0.0812162	-3.38998e-07	0.00475265	-0.00257223	0.280761	-1.31151e-05	0.0103033	-0.000320365	-9.12779e-05	0.0733945	-0.00223034	0	0.00815533	0	0	0.0601671	0	
0.225	-4.97461e-05	0.00991211	0.22256	-7.45924e-05	1.34616e-05	-2.591e-07	-7.38632e-05	0.0812167	-3.55196e-07	0.00475226	-0.00226246	0.280751	-1.56773e-05	0.0123909	-0.000382983	-0.000102489	0.0835034	-0.00250472	0	0.00976588	0	0	0.0689395	0	
0.25	-4.97313e-05	0.0101775	0.22256	-7.46058e-05	1.40597e-05	-2.73193e-07	-7.38772e-05	0.0812173	-3.74307e-07	0.0047518	-0.0018929	0.28074	-1.8567e-05	0.0147823	-0.000453618	-0.000115586	0.0956573	-0.00282539	0	0.0116164	0	0	0.0794062	0	
0.275	-4.97139e-05	0.0104923	0.22256	-7.46216e-05	1.47692e-05	-2.89611e-07	-7.38938e-05	0.081218	-3.96679e-07	0.00475125	-0.0014545	0.280726	-2.18334e-05	0.0175361	-0.000533483	-0.000130657	0.110153	-0.0031946	0	0.0137524	0	0	0.0918242	0	
0.3	-4.96935e-05	0.0108644	0.222561	-7.46404e-05	1.56076e-05	-3.08587e-07	-7.39133e-05	0.0812189	-4.22692e-07	0.00475061	-0.000936503	0.280711	-2.55272e-05	0.0207197	-0.000623825	-0.000147753	0.127342	-0.00361369	0	0.0162264	0	0	0.106499	0	
0.325	-4.96698e-05	0.0113028	0.222561	-7.46624e-05	1.65954e-05	-3.30357e-07	-7.39363e-05	0.0812198	-4.52752e-07	0.00474987	-0.000326233	0.280693	-2.96985e-05	0.0244108	-0.000725882	-0.000166851	0.147645	-0.00408228	0	0.0190992	0	0	0.123791	0	
0.35	-4.96424e-05	0.0118183	0.222562	-7.46882e-05	1.77567e-05	-3.55137e-07	-7.39632e-05	0.081221	-4.87281e-07	0.00474901	0.000391258	0.280672	-3.43938e-05	0.0286996	-0.000840811	-0.000187811	0.171553	-0.00459718	0	0.0224413	0	0	0.144125	0	
