L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.49451	-5.23077	0	-96.84	40.35	
5.49451	-5.23077	0	-102.22	37.66	
5.49451	-5.23077	0	-96.84	40.35	
5.49451	-5.23077	0	-102.22	32.28	
5.49451	-5.23077	0	-94.15	32.28	
5.49451	-5.23077	0	-99.53	37.66	
5.49451	-5.23077	0	-94.15	40.35	
5.49451	-5.23077	0	-86.08	56.49	
5.49451	-5.23077	0	-102.22	56.49	
5.49451	-5.23077	0	-102.22	56.49	
5.49451	-5.23077	0	-102.22	56.49	
5.49451	-5.23077	0	-107.6	59.18	
5.49451	-5.23077	0	-107.6	56.49	
5.40659	-5.23077	0	-110.29	51.11	
5.49451	-5.23077	0	-110.29	56.49	
5.40659	-5.23077	0	-110.29	69.94	
5.49451	-5.23077	0	-131.81	72.63	
5.49451	-5.23077	0	-131.81	72.63	
5.49451	-5.14286	0	-131.81	83.39	
5.40659	-5.23077	0	-145.26	96.84	
5.49451	-5.14286	0	-158.71	102.22	
5.49451	-5.23077	0	-161.4	99.53	
5.49451	-5.14286	0	-172.16	104.91	
5.40659	-5.14286	0	-169.47	131.81	
5.40659	-5.05495	0	-217.89	139.88	
5.40659	-5.05495	0	-180.23	29.59	
5.40659	-4.96703	0	-236.72	158.71	
5.40659	-4.96703	0	-247.48	145.26	
5.31868	-4.79121	0	-236.72	131.81	
5.23077	-4.7033	0	-279.76	166.78	
5.14286	-4.61538	0	-303.97	188.3	
5.05495	-4.43956	0	-285.14	188.3	
4.79121	-4.26374	0	-336.25	212.51	
4.61538	-4.08791	0	-303.97	209.82	
4.17582	-3.64835	0	-217.89	193.68	
3.64835	-3.38462	0	-255.55	225.96	
3.2967	-2.94505	0	-303.97	228.65	
2.85714	-2.41758	0	-295.9	234.03	
2.06593	-1.89011	0	-239.41	244.79	
1.27473	-1.0989	0	-242.1	255.55	
0.395604	-0.21978	0	-255.55	212.51	
-0.307692	0.483516	0	-223.27	220.58	
-0.923077	1.18681	0	-231.34	142.57	
-1.71429	2.15385	0	-204.44	104.91	
-2.85714	3.2967	0	-166.78	34.97	
-3.73626	4.35165	0	-13.45	-32.28	
-4.96703	5.58242	0	13.45	-123.74	
-5.93407	6.46154	0	69.94	-196.37	
-6.63736	7.25275	0	185.61	-336.25	
-7.34066	8.04396	0	271.69	-400.81	
-8.04396	8.83516	0	344.32	-473.44	
-8.74725	9.45055	0	360.46	-511.1	
-9.01099	9.8022	0	352.39	-441.16	
-9.36264	10.0659	0	425.02	-527.24	
-9.97802	10.0659	0	567.59	-543.38	
-10.4176	10.4176	0	486.89	-532.62	
