time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.025	0	0.000115401	0.25	-8.15815e-05	-0.00996735	6.34652e-05	-8.09516e-05	0.0700117	6.32199e-05	0	0.000112292
0.05	0	0.000119638	0.25	-8.15816e-05	-0.00996735	6.34653e-05	-8.09517e-05	0.0700117	6.322e-05	0	0.000227343
0.075	0	0.000126814	0.25	-8.15818e-05	-0.00996734	6.34654e-05	-8.0952e-05	0.0700117	6.322e-05	0	0.000347981
0.1	0	0.000137108	0.25	-8.15822e-05	-0.00996732	6.34656e-05	-8.09523e-05	0.0700118	6.32201e-05	0	0.000477171
0.125	0	0.000150771	0.25	-8.15826e-05	-0.0099673	6.34658e-05	-8.09527e-05	0.0700118	6.32202e-05	0	0.000618088
0.15	0	0.000168139	0.25	-8.15831e-05	-0.00996727	6.34662e-05	-8.09533e-05	0.0700118	6.32203e-05	0	0.000774194
0.175	0	0.000189639	0.25	-8.15838e-05	-0.00996724	6.34665e-05	-8.0954e-05	0.0700118	6.32204e-05	0	0.000949326
0.2	0	0.000215799	0.25	-8.15846e-05	-0.00996719	6.3467e-05	-8.09548e-05	0.0700119	6.32206e-05	0	0.00114779
0.225	0	0.000247263	0.25	-8.15855e-05	-0.00996714	6.34676e-05	-8.09559e-05	0.0700119	6.32208e-05	0	0.00137446
0.25	0	0.000284803	0.25	-8.15867e-05	-0.00996708	6.34683e-05	-8.09571e-05	0.070012	6.3221e-05	0	0.0016349
0.275	0	0.000329343	0.25	-8.1588e-05	-0.00996701	6.34691e-05	-8.09585e-05	0.0700121	6.32213e-05	0	0.00193553
0.3	0	0.000381976	0.25	-8.15896e-05	-0.00996693	6.34701e-05	-8.09602e-05	0.0700121	6.32216e-05	0	0.00228372
0.325	0	0.000443996	0.25	-8.15915e-05	-0.00996683	6.34712e-05	-8.09622e-05	0.0700122	6.32221e-05	0	0.00268803
0.35	0	0.000516927	0.25	-8.15937e-05	-0.00996671	6.34725e-05	-8.09646e-05	0.0700124	6.32225e-05	0	0.0031584
0.375	0	0.000602562	0.25	-8.15964e-05	-0.00996658	6.34741e-05	-8.09674e-05	0.0700125	6.32231e-05	0	0.00370639
0.4	0	0.000703005	0.25	-8.15994e-05	-0.00996642	6.3476e-05	-8.09706e-05	0.0700127	6.32238e-05	0	0.00434547
0.425	0	0.000820725	0.25	-8.1603e-05	-0.00996623	6.34782e-05	-8.09744e-05	0.0700128	6.32246e-05	0	0.00509133
0.45	0	0.000958614	0.25	-8.16072e-05	-0.00996601	6.34807e-05	-8.09789e-05	0.0700131	6.32255e-05	0	0.00596232
0.475	0	0.00112006	0.25	-8.16121e-05	-0.00996575	6.34838e-05	-8.09841e-05	0.0700133	6.32266e-05	0	0.00697983
0.5	0	0.00130903	0.25	-8.16179e-05	-0.00996545	6.34873e-05	-8.09902e-05	0.0700136	6.32279e-05	0	0.00816887
0.525	0	0.00153018	0.25	-8.16246e-05	-0.0099651	6.34915e-05	-8.09973e-05	0.070014	6.32295e-05	0	0.00955867
0.55	0	0.00178892	0.25	-8.16325e-05	-0.00996468	6.34964e-05	-8.10057e-05	0.0700144	6.32314e-05	0	0.0111834
0.575	0	0.00209163	0.25	-8.16416e-05	-0.0099642	6.35023e-05	-8.10154e-05	0.0700149	6.32336e-05	0	0.0130829
0.6	0	0.00244575	0.25	-8.16524e-05	-0.00996363	6.35092e-05	-8.10268e-05	0.0700154	6.32363e-05	0	0.0153039
0.625	0	0.00285996	0.25	-8.16649e-05	-0.00996297	6.35173e-05	-8.10401e-05	0.0700161	6.32396e-05	0	0.0179011
0.65	0	0.00334446	0.25	-8.16796e-05	-0.0099622	6.3527e-05	-8.10557e-05	0.0700169	6.32435e-05	0	0.0209382
0.675	0	0.00391115	0.25	-8.16967e-05	-0.00996129	6.35385e-05	-8.10739e-05	0.0700178	6.32483e-05	0	0.0244898
0.7	0	0.00457396	0.25	-8.17167e-05	-0.00996023	6.35521e-05	-8.10951e-05	0.0700188	6.32541e-05	0	0.0286432
0.725	0	0.00534918	0.25	-8.174e-05	-0.009959	6.35684e-05	-8.11199e-05	0.0700201	6.32612e-05	0	0.0335006
0.75	0	0.00625585	0.25	-8.17671e-05	-0.00995755	6.3588e-05	-8.11488e-05	0.0700215	6.327e-05	0	0.0391813
0.775	0	0.00731626	0.25	-8.17988e-05	-0.00995586	6.36114e-05	-8.11825e-05	0.0700232	6.32809e-05	0	0.0458248
0.8	0	0.00855647	0.25	-8.18357e-05	-0.00995387	6.36397e-05	-8.12218e-05	0.0700252	6.32945e-05	0	0.0535945
0.825	0	0.010007	0.25	-8.18787e-05	-0.00995156	6.3674e-05	-8.12676e-05	0.0700275	6.33116e-05	0	0.0626813
0.85	0	0.0117034	0.25	-8.19287e-05	-0.00994885	6.37156e-05	-8.13209e-05	0.0700302	6.33331e-05	0	0.0733085
0.875	0	0.0136874	0.25	-8.19867e-05	-0.00994568	6.37665e-05	-8.13829e-05	0.0700334	6.33604e-05	0	0.0857373
0.9	0	0.0160078	0.25	-8.20541e-05	-0.00994198	6.3829e-05	-8.14549e-05	0.0700371	6.33954e-05	0	0.100273
0.925	0	0.0187216	0.25	-8.21322e-05	-0.00993764	6.39061e-05	-8.15385e-05	0.0700414	6.34402e-05	0	0.117273
0.95	0	0.0218954	0.25	-8.22226e-05	-0.00993258	6.40019e-05	-8.16354e-05	0.0700465	6.34983e-05	0	0.137155
0.975	0	0.0256074	0.25	-8.23268e-05	-0.00992665	6.41215e-05	-8.17474e-05	0.0700524	6.35737e-05	0	0.160408
1	0	0.0299486	0.25	-8.24468e-05	-0.00991972	6.42718e-05	-8.18766e-05	0.0700594	6.36723e-05	0	0.187602
0	0	0.0299486	0.25	-8.24468e-05	-0.00991972	6.42718e-05	-8.18766e-05	0.0700594	6.36723e-05	0	0.187602
0.025	0	0.0342885	0.25	-8.25717e-05	-0.0100357	0.000187356	-8.20039e-05	0.0700663	6.37821e-05	0	0.160296
0.05	0	0.0379962	0.25	-8.26917e-05	-0.0103955	0.000553245	-8.21111e-05	0.0700722	6.38848e-05	0	0.136928
0.075	0	0.0411629	0.25	-8.28091e-05	-0.01099	0.00115293	-8.22015e-05	0.0700773	6.39789e-05	0	0.116926
0.1	0	0.0438664	0.25	-8.29257e-05	-0.0118042	0.00197166	-8.22778e-05	0.0700816	6.4064e-05	0	0.0997969
0.125	0	0.0461732	0.25	-8.30423e-05	-0.0128179	0.00298928	-8.23423e-05	0.0700853	6.41401e-05	0	0.0851204
0.15	0	0.0481399	0.25	-7.48434e-05	-0.0140176	0.00417486	-8.23968e-05	0.0700884	6.42074e-05	0	0.0725359
0.175	0	0.0498148	0.25	-7.49486e-05	-0.0153511	0.00551101	-8.24429e-05	0.0700911	6.42666e-05	0	0.0617339
0.2	0	0.0512392	0.25	-7.50531e-05	-0.0167965	0.00695877	-8.24818e-05	0.0700933	6.43182e-05	0	0.0524491
0.225	0	0.052448	0.25	-7.51562e-05	-0.0183182	0.00848252	-8.25146e-05	0.0700953	6.4363e-05	0	0.0444531
0.25	0	0.0534709	0.25	-7.52565e-05	-0.0198786	0.0100447	-8.25423e-05	0.0700969	6.44015e-05	0	0.0375497
0.275	0	0.0543332	0.25	-7.53529e-05	-0.0214392	0.0116069	-8.25655e-05	0.0700983	6.44345e-05	0	0.031569
0.3	0	0.0550559	0.25	-7.54439e-05	-0.0229615	0.0131307	-8.25849e-05	0.0700994	6.44625e-05	0	0.0263641
0.325	0	0.0556568	0.25	-7.55283e-05	-0.024408	0.0145784	-8.2601e-05	0.0701004	6.4486e-05	0	0.0218072
0.35	0	0.0561507	0.25	-7.56045e-05	-0.025743	0.0159145	-8.26142e-05	0.0701012	6.45055e-05	0	0.0177861
