time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.025	0	0.000115401	0.25	-8.12713e-05	1.66764e-05	6.3313e-05	-8.1271e-05	0.0600277	6.33129e-05	0	0.000112292
0.05	0	0.000119638	0.25	-8.12715e-05	1.66831e-05	6.33131e-05	-8.12711e-05	0.0600277	6.3313e-05	0	0.000227343
0.075	0	0.000126814	0.25	-8.12717e-05	1.66946e-05	6.33132e-05	-8.12714e-05	0.0600277	6.33131e-05	0	0.000347981
0.1	0	0.000137108	0.25	-8.1272e-05	1.6711e-05	6.33133e-05	-8.12717e-05	0.0600277	6.33132e-05	0	0.000477171
0.125	0	0.000150771	0.25	-8.12725e-05	1.67329e-05	6.33135e-05	-8.12721e-05	0.0600277	6.33133e-05	0	0.000618088
0.15	0	0.000168139	0.25	-8.1273e-05	1.67606e-05	6.33137e-05	-8.12727e-05	0.0600278	6.33136e-05	0	0.000774194
0.175	0	0.000189639	0.25	-8.12737e-05	1.67949e-05	6.3314e-05	-8.12733e-05	0.0600278	6.33138e-05	0	0.000949326
0.2	0	0.000215799	0.25	-8.12745e-05	1.68367e-05	6.33143e-05	-8.12742e-05	0.0600278	6.33141e-05	0	0.00114779
0.225	0	0.000247263	0.25	-8.12755e-05	1.68869e-05	6.33147e-05	-8.12751e-05	0.0600279	6.33145e-05	0	0.00137446
0.25	0	0.000284803	0.25	-8.12767e-05	1.69469e-05	6.33151e-05	-8.12763e-05	0.060028	6.3315e-05	0	0.0016349
0.275	0	0.000329343	0.25	-8.12781e-05	1.7018e-05	6.33157e-05	-8.12777e-05	0.060028	6.33155e-05	0	0.00193553
0.3	0	0.000381976	0.25	-8.12797e-05	1.71021e-05	6.33163e-05	-8.12794e-05	0.0600281	6.33162e-05	0	0.00228372
0.325	0	0.000443996	0.25	-8.12817e-05	1.72011e-05	6.33171e-05	-8.12813e-05	0.0600282	6.3317e-05	0	0.00268803
0.35	0	0.000516927	0.25	-8.1284e-05	1.73176e-05	6.3318e-05	-8.12836e-05	0.0600283	6.33179e-05	0	0.0031584
0.375	0	0.000602562	0.25	-8.12867e-05	1.74543e-05	6.33191e-05	-8.12863e-05	0.0600285	6.3319e-05	0	0.00370639
0.4	0	0.000703005	0.25	-8.12898e-05	1.76147e-05	6.33204e-05	-8.12895e-05	0.0600286	6.33202e-05	0	0.00434547
0.425	0	0.000820725	0.25	-8.12935e-05	1.78027e-05	6.33218e-05	-8.12932e-05	0.0600288	6.33217e-05	0	0.00509133
0.45	0	0.000958614	0.25	-8.12979e-05	1.80229e-05	6.33236e-05	-8.12975e-05	0.060029	6.33235e-05	0	0.00596232
0.475	0	0.00112006	0.25	-8.13029e-05	1.82807e-05	6.33257e-05	-8.13026e-05	0.0600293	6.33255e-05	0	0.00697983
0.5	0	0.00130903	0.25	-8.13089e-05	1.85825e-05	6.33281e-05	-8.13085e-05	0.0600296	6.3328e-05	0	0.00816887
0.525	0	0.00153018	0.25	-8.13158e-05	1.89356e-05	6.3331e-05	-8.13154e-05	0.0600299	6.33308e-05	0	0.00955867
0.55	0	0.00178892	0.25	-8.13239e-05	1.93488e-05	6.33344e-05	-8.13236e-05	0.0600304	6.33342e-05	0	0.0111834
0.575	0	0.00209163	0.25	-8.13334e-05	1.98322e-05	6.33384e-05	-8.1333e-05	0.0600308	6.33383e-05	0	0.0130829
0.6	0	0.00244575	0.25	-8.13445e-05	2.03977e-05	6.33432e-05	-8.13441e-05	0.0600314	6.33431e-05	0	0.0153039
0.625	0	0.00285996	0.25	-8.13574e-05	2.10591e-05	6.33489e-05	-8.13571e-05	0.0600321	6.33488e-05	0	0.0179011
0.65	0	0.00334446	0.25	-8.13725e-05	2.18328e-05	6.33557e-05	-8.13722e-05	0.0600328	6.33556e-05	0	0.0209382
0.675	0	0.00391115	0.25	-8.13902e-05	2.27378e-05	6.33638e-05	-8.13898e-05	0.0600337	6.33637e-05	0	0.0244898
0.7	0	0.00457396	0.25	-8.14108e-05	2.37963e-05	6.33736e-05	-8.14105e-05	0.0600348	6.33734e-05	0	0.0286432
0.725	0	0.00534918	0.25	-8.14349e-05	2.50342e-05	6.33853e-05	-8.14345e-05	0.060036	6.33851e-05	0	0.0335006
0.75	0	0.00625585	0.25	-8.14629e-05	2.64821e-05	6.33995e-05	-8.14626e-05	0.0600375	6.33993e-05	0	0.0391813
0.775	0	0.00731626	0.25	-8.14956e-05	2.81755e-05	6.34166e-05	-8.14953e-05	0.0600392	6.34165e-05	0	0.0458248
0.8	0	0.00855647	0.25	-8.15338e-05	3.01561e-05	6.34376e-05	-8.15334e-05	0.0600412	6.34374e-05	0	0.0535945
0.825	0	0.010007	0.25	-8.15782e-05	3.24724e-05	6.34632e-05	-8.15778e-05	0.0600435	6.3463e-05	0	0.0626813
0.85	0	0.0117034	0.25	-8.16299e-05	3.51815e-05	6.34948e-05	-8.16295e-05	0.0600462	6.34946e-05	0	0.0733085
0.875	0	0.0136874	0.25	-8.16899e-05	3.83498e-05	6.35339e-05	-8.16896e-05	0.0600494	6.35337e-05	0	0.0857373
0.9	0	0.0160078	0.25	-8.17597e-05	4.20552e-05	6.35826e-05	-8.17594e-05	0.0600531	6.35823e-05	0	0.100273
0.925	0	0.0187216	0.25	-8.18406e-05	4.63888e-05	6.36436e-05	-8.18403e-05	0.0600574	6.36433e-05	0	0.117273
0.95	0	0.0218954	0.25	-8.19343e-05	5.14569e-05	6.37205e-05	-8.1934e-05	0.0600625	6.37202e-05	0	0.137155
0.975	0	0.0256074	0.25	-8.20426e-05	5.73838e-05	6.3818e-05	-8.20422e-05	0.0600684	6.38177e-05	0	0.160408
1	0	0.0299486	0.25	-8.21673e-05	6.43149e-05	6.39424e-05	-8.2167e-05	0.0600753	6.39421e-05	0	0.187602
0	0	0.0299486	0.25	-8.21673e-05	6.43149e-05	6.39424e-05	-8.2167e-05	0.0600753	6.39421e-05	0	0.187602
0.025	0	0.0342885	0.25	-8.23009e-05	-5.1669e-05	0.000309918	-8.22897e-05	0.0600823	6.40777e-05	0	0.160296
0.05	0	0.0379962	0.25	-8.24366e-05	-0.000411456	0.00104151	-8.23928e-05	0.0600882	6.42024e-05	0	0.136928
0.075	0	0.0411629	0.25	-8.25768e-05	-0.00100589	0.00224071	-8.24797e-05	0.0600932	6.43154e-05	0	0.116926
0.1	0	0.0438664	0.25	-8.27227e-05	-0.00182007	0.00387799	-8.2553e-05	0.0600975	6.44166e-05	0	0.0997969
