time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.025	-5.00854e-05	0.000249379	0.222541	-6.94954e-05	-0.00998979	6.23224e-05	-6.88483e-05	0.0699893	6.22462e-05	0	0.000112292
0.05	-5.00853e-05	0.000253596	0.222541	-6.94956e-05	-0.00998978	6.23221e-05	-6.88486e-05	0.0699893	6.22459e-05	0	0.000227343
0.075	-5.00851e-05	0.000260741	0.222541	-6.9496e-05	-0.00998976	6.23217e-05	-6.88489e-05	0.0699893	6.22454e-05	0	0.000347981
0.1	-5.00848e-05	0.000270987	0.222541	-6.94965e-05	-0.00998974	6.23211e-05	-6.88495e-05	0.0699893	6.22446e-05	0	0.000477171
0.125	-5.00844e-05	0.000284588	0.222541	-6.94972e-05	-0.00998971	6.23204e-05	-6.88502e-05	0.0699894	6.22436e-05	0	0.000618088
0.15	-5.00839e-05	0.000301877	0.222541	-6.94981e-05	-0.00998967	6.23194e-05	-6.88511e-05	0.0699894	6.22423e-05	0	0.000774194
0.175	-5.00833e-05	0.00032328	0.222541	-6.94992e-05	-0.00998962	6.23182e-05	-6.88523e-05	0.0699895	6.22407e-05	0	0.000949326
0.2	-5.00825e-05	0.000349321	0.222541	-6.95005e-05	-0.00998955	6.23167e-05	-6.88537e-05	0.0699895	6.22388e-05	0	0.00114779
0.225	-5.00816e-05	0.000380642	0.222541	-6.95021e-05	-0.00998948	6.23149e-05	-6.88553e-05	0.0699896	6.22365e-05	0	0.00137446
0.25	-5.00805e-05	0.000418012	0.222541	-6.9504e-05	-0.00998939	6.23128e-05	-6.88573e-05	0.0699897	6.22338e-05	0	0.0016349
0.275	-5.00792e-05	0.000462349	0.222541	-6.95063e-05	-0.00998928	6.23103e-05	-6.88597e-05	0.0699898	6.22305e-05	0	0.00193553
0.3	-5.00777e-05	0.000514743	0.222541	-6.9509e-05	-0.00998916	6.23074e-05	-6.88625e-05	0.0699899	6.22266e-05	0	0.00228372
0.325	-5.00759e-05	0.000576482	0.222541	-6.95121e-05	-0.00998901	6.2304e-05	-6.88658e-05	0.0699901	6.22221e-05	0	0.00268803
0.35	-5.00738e-05	0.000649082	0.222541	-6.95158e-05	-0.00998884	6.22999e-05	-6.88696e-05	0.0699902	6.22168e-05	0	0.0031584
0.375	-5.00714e-05	0.000734329	0.222541	-6.95202e-05	-0.00998864	6.22952e-05	-6.88742e-05	0.0699904	6.22106e-05	0	0.00370639
0.4	-5.00685e-05	0.000834316	0.222541	-6.95252e-05	-0.0099884	6.22898e-05	-6.88795e-05	0.0699907	6.22034e-05	0	0.00434547
0.425	-5.00652e-05	0.000951502	0.222541	-6.95312e-05	-0.00998812	6.22834e-05	-6.88857e-05	0.069991	6.21949e-05	0	0.00509133
0.45	-5.00613e-05	0.00108877	0.222541	-6.95382e-05	-0.0099878	6.2276e-05	-6.8893e-05	0.0699913	6.21851e-05	0	0.00596232
0.475	-5.00567e-05	0.00124948	0.222541	-6.95464e-05	-0.00998742	6.22674e-05	-6.89015e-05	0.0699917	6.21737e-05	0	0.00697983
0.5	-5.00514e-05	0.0014376	0.222541	-6.95559e-05	-0.00998697	6.22574e-05	-6.89115e-05	0.0699921	6.21605e-05	0	0.00816887
0.525	-5.00453e-05	0.00165774	0.222541	-6.95671e-05	-0.00998645	6.22459e-05	-6.89231e-05	0.0699926	6.21451e-05	0	0.00955867
0.55	-5.00381e-05	0.00191531	0.222541	-6.95801e-05	-0.00998584	6.22327e-05	-6.89368e-05	0.0699932	6.21274e-05	0	0.0111834
0.575	-5.00298e-05	0.00221665	0.222541	-6.95953e-05	-0.00998512	6.22176e-05	-6.89527e-05	0.069994	6.21069e-05	0	0.0130829
0.6	-5.00203e-05	0.00256916	0.222542	-6.96131e-05	-0.00998428	6.22003e-05	-6.89712e-05	0.0699948	6.20834e-05	0	0.0153039
0.625	-5.00092e-05	0.0029815	0.222542	-6.96338e-05	-0.00998331	6.21806e-05	-6.89929e-05	0.0699958	6.20565e-05	0	0.0179011
0.65	-4.99965e-05	0.00346381	0.222542	-6.9658e-05	-0.00998216	6.21583e-05	-6.90182e-05	0.0699969	6.20258e-05	0	0.0209382
0.675	-4.99819e-05	0.00402794	0.222542	-6.96862e-05	-0.00998082	6.21333e-05	-6.90477e-05	0.0699983	6.19909e-05	0	0.0244898
0.7	-4.99652e-05	0.00468776	0.222542	-6.97191e-05	-0.00997926	6.21056e-05	-6.9082e-05	0.0699998	6.19516e-05	0	0.0286432
0.725	-4.99462e-05	0.00545947	0.222543	-6.97573e-05	-0.00997743	6.20751e-05	-6.9122e-05	0.0700016	6.19075e-05	0	0.0335006
0.75	-4.99248e-05	0.00636206	0.222543	-6.98017e-05	-0.00997529	6.20422e-05	-6.91686e-05	0.0700038	6.18588e-05	0	0.0391813
0.775	-4.99006e-05	0.00741769	0.222543	-6.98534e-05	-0.00997279	6.20074e-05	-6.92227e-05	0.0700063	6.18055e-05	0	0.0458248
0.8	-4.98738e-05	0.00865233	0.222544	-6.99133e-05	-0.00996986	6.19719e-05	-6.92856e-05	0.0700092	6.17482e-05	0	0.0535945
0.825	-4.98442e-05	0.0100963	0.222544	-6.99828e-05	-0.00996644	6.19374e-05	-6.93585e-05	0.0700126	6.16884e-05	0	0.0626813
0.85	-4.98123e-05	0.0117851	0.222545	-7.00631e-05	-0.00996245	6.19068e-05	-6.94429e-05	0.0700166	6.1628e-05	0	0.0733085
0.875	-4.97785e-05	0.0137602	0.222545	-7.01559e-05	-0.00995778	6.18843e-05	-6.95405e-05	0.0700213	6.15707e-05	0	0.0857373
0.9	-4.97439e-05	0.0160703	0.222546	-7.02626e-05	-0.00995231	6.18762e-05	-6.9653e-05	0.0700268	6.1522e-05	0	0.100273
0.925	-4.97101e-05	0.0187719	0.222547	-7.03851e-05	-0.00994593	6.18919e-05	-6.97823e-05	0.0700331	6.149e-05	0	0.117273
0.95	-4.96799e-05	0.0219317	0.222547	-7.0525e-05	-0.00993847	6.19447e-05	-6.99305e-05	0.0700406	6.14871e-05	0	0.137155
0.975	-4.96574e-05	0.0256271	0.222547	-7.06841e-05	-0.00992974	6.20539e-05	-7.00997e-05	0.0700493	6.15311e-05	0	0.160408
1	-4.96486e-05	0.0299491	0.222548	-7.08638e-05	-0.00991955	6.22466e-05	-7.02915e-05	0.0700595	6.16475e-05	0	0.187602
0	-4.96486e-05	0.0299491	0.222548	-7.08638e-05	-0.00991955	6.22466e-05	-7.02915e-05	0.0700595	6.16475e-05	0	0.187602
0.025	-4.96486e-05	0.0342697	0.222548	-7.10414e-05	-0.00990935	0.00016078	-7.0479e-05	0.0700697	6.17707e-05	0	0.160296
