time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0116173	6.09284	2.69261	-0.0216281	-2.65686	-6.06413	0.00917124	9.60807	2.66953	-0.0243552	-2.63346	-9.57936	
0.05	0.0116181	6.09173	2.69262	-0.0216273	-2.65687	-6.06302	0.009172	9.60699	2.66954	-0.024354	-2.63347	-9.57827	
0.075	0.0116194	6.08986	2.69263	-0.0216258	-2.65688	-6.06114	0.00917329	9.60515	2.66956	-0.0243519	-2.63349	-9.57643	
0.1	0.0116212	6.08717	2.69264	-0.0216238	-2.65689	-6.05846	0.00917514	9.60251	2.66958	-0.024349	-2.63351	-9.57379	
0.125	0.0116237	6.0836	2.69266	-0.021621	-2.65691	-6.05489	0.0091776	9.59901	2.66961	-0.024345	-2.63354	-9.57029	
0.15	0.0116268	6.07906	2.69268	-0.0216176	-2.65693	-6.05035	0.00918073	9.59455	2.66964	-0.02434	-2.63357	-9.56584	
0.175	0.0116307	6.07345	2.69271	-0.0216133	-2.65696	-6.04473	0.0091846	9.58904	2.66969	-0.0243338	-2.63362	-9.56032	
0.2	0.0116354	6.06661	2.69275	-0.0216081	-2.657	-6.0379	0.0091893	9.58233	2.66974	-0.0243262	-2.63367	-9.55362	
0.225	0.0116411	6.05839	2.69279	-0.0216018	-2.65704	-6.02968	0.00919497	9.57426	2.66981	-0.0243171	-2.63374	-9.54555	
0.25	0.0116479	6.04858	2.69284	-0.0215943	-2.6571	-6.01987	0.00920172	9.56464	2.66988	-0.0243063	-2.63382	-9.53592	
0.275	0.0116559	6.03695	2.69291	-0.0215855	-2.65716	-6.00823	0.00920974	9.55321	2.66997	-0.0242935	-2.63391	-9.5245	
0.3	0.0116654	6.02319	2.69298	-0.021575	-2.65723	-5.99448	0.00921921	9.53972	2.67008	-0.0242783	-2.63402	-9.511	
0.325	0.0116766	6.00699	2.69306	-0.0215627	-2.65732	-5.97827	0.00923037	9.52381	2.67021	-0.0242605	-2.63415	-9.49509	
0.35	0.0116898	5.98793	2.69316	-0.0215483	-2.65742	-5.95921	0.00924349	9.5051	2.67036	-0.0242396	-2.6343	-9.47638	
0.375	0.0117052	5.96554	2.69328	-0.0215315	-2.65753	-5.93683	0.0092589	9.48313	2.67053	-0.0242151	-2.63448	-9.45441	
