L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
9.71429	-9.62637	0	-110.29	67.25	
9.62637	-9.62637	0	-147.95	88.77	
9.62637	-9.62637	0	-137.19	88.77	
9.62637	-9.62637	0	-161.4	134.5	
9.62637	-9.62637	0	-137.19	61.87	
9.62637	-9.62637	0	-139.88	67.25	
9.62637	-9.62637	0	-201.75	153.33	
9.62637	-9.62637	0	-147.95	69.94	
9.62637	-9.62637	0	-118.36	137.19	
9.62637	-9.62637	0	-166.78	67.25	
9.62637	-9.62637	0	-161.4	123.74	
9.62637	-9.53846	0	-188.3	94.15	
9.62637	-9.53846	0	-131.81	72.63	
9.62637	-9.62637	0	-438.47	67.25	
9.53846	-9.53846	0	-314.73	61.87	
9.53846	-9.53846	0	-139.88	61.87	
9.53846	-9.53846	0	-225.96	69.94	
9.53846	-9.45055	0	-492.27	78.01	
9.45055	-9.36264	0	-922.67	984.54	
9.45055	-9.45055	0	-174.85	91.46	
9.36264	-9.27473	0	-306.66	75.32	
9.36264	-9.27473	0	-430.4	86.08	
9.18681	-9.27473	0	-250.17	-190.99	
9.18681	-9.0989	0	-217.89	373.91	
9.0989	-9.01099	0	-540.69	217.89	
8.92308	-8.92308	0	-156.02	59.18	
8.83516	-8.83516	0	-147.95	344.32	
8.65934	-8.65934	0	-150.64	231.34	
8.48352	-8.30769	0	-180.23	688.64	
8.48352	-8.30769	0	-190.99	551.45	
8.13187	-8.04396	0	-129.12	78.01	
7.86813	-7.86813	0	-427.71	312.04	
7.51648	-7.42857	0	-287.83	-702.09	
7.16484	-7.07692	0	-172.16	72.63	
6.72527	-6.63736	0	-234.03	64.56	
6.1978	-6.10989	0	-777.41	1145.94	
5.58242	-5.49451	0	-131.81	145.26	
4.87912	-4.79121	0	-145.26	51.11	
4.08791	-3.91209	0	-271.69	742.44	
3.12088	-3.03297	0	-333.56	107.6	
1.97802	-1.71429	0	279.76	-139.88	
1.89011	-1.71429	0	-720.92	0	
1.01099	-0.659341	0	-21.52	-196.37	
-0.21978	0.483516	0	-204.44	-234.03	
-1.01099	1.18681	0	306.66	-61.87	
-1.71429	1.89011	0	-352.39	-282.45	
-2.41758	2.50549	0	-2.69	-250.17	
-2.85714	3.03297	0	-112.98	-901.15	
-3.38462	3.47253	0	486.89	-379.29	
-3.82418	3.82418	0	-51.11	-234.03	
-4.08791	4.17582	0	-107.6	-322.8	
-4.35165	4.43956	0	338.94	-137.19	
-4.61538	4.61538	0	365.84	-142.57	
-4.79121	4.7033	0	419.64	102.22	
-4.96703	4.87912	0	199.06	419.64	
-5.14286	4.96703	0	-37.66	769.34	
-5.23077	5.05495	0	347.01	459.99	
-5.31868	5.14286	0	325.49	769.34	
-5.40659	5.14286	0	317.42	887.7	
-5.49451	5.14286	0	234.03	871.56	
-5.40659	5.23077	0	223.27	903.84	
-5.49451	5.23077	0	161.4	906.53	
-5.49451	5.23077	0	137.19	906.53	
-5.49451	5.23077	0	-306.66	503.03	
-5.31868	5.23077	0	457.3	494.96	
-5.31868	5.14286	0	788.17	656.36	
-5.14286	5.05495	0	121.05	559.52	
-5.14286	4.96703	0	199.06	69.94	
-4.96703	4.79121	0	341.63	941.5	
-4.79121	4.7033	0	325.49	137.19	
-4.61538	4.52747	0	34.97	129.12	
-4.43956	4.43956	0	-207.13	-129.12	
-4.26374	4.08791	0	-320.11	-158.71	
-3.82418	3.82418	0	-282.45	-126.43	
-3.56044	3.47253	0	209.82	-427.71	
-3.03297	3.03297	0	172.16	-182.92	
-2.59341	2.59341	0	586.42	-1046.41	
-1.97802	1.89011	0	180.23	-642.91	
-1.27473	1.27473	0	193.68	-556.83	
-0.483516	0.307692	0	115.67	-656.36	
0.659341	-0.571429	0	-134.5	-306.66	
1.8022	-1.71429	0	-411.57	-131.81	
1.89011	-1.89011	0	731.68	-201.75	
3.03297	-3.03297	0	710.16	-80.7	
4	-3.91209	0	-355.08	279.76	
4.7033	-4.79121	0	-457.3	201.75	
5.40659	-5.58242	0	94.15	88.77	
6.10989	-6.02198	0	-368.53	1035.65	
6.72527	-6.72527	0	621.39	-255.55	
7.16484	-7.07692	0	-344.32	91.46	
7.69231	-7.42857	0	-126.43	508.41	
7.95604	-7.86813	0	-252.86	312.04	
8.21978	-8.21978	0	-357.77	-153.33	
8.48352	-8.13187	0	-505.72	858.11	
8.74725	-8.74725	0	-282.45	-917.29	
8.83516	-9.27473	0	-201.75	-1108.28	
9.18681	-9.0989	0	34.97	1382.66	
9.36264	-9.18681	0	-8.07	-153.33	
9.36264	-9.71429	0	-852.73	-1377.28	
9.45055	-9.36264	0	-398.12	1487.57	
9.62637	-9.45055	0	-177.54	258.24	
9.62637	-9.97802	0	-446.54	-1770.02	
9.62637	-9.53846	0	-139.88	234.03	
9.71429	-9.27473	0	-204.44	1815.75	
9.71429	-9.18681	0	-508.41	737.06	
9.45055	-9.97802	0	-317.42	-1974.46	
