time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.025	-5.17439e-05	0.000962665	0.222539	-6.91419e-05	-0.0079933	6.22917e-05	-0.000793187	0.0732104	6.22312e-05	0	0.000797862
0.05	-5.1743e-05	0.000992631	0.222539	-6.91435e-05	-0.00799323	6.22898e-05	-0.000793189	0.0732105	6.22288e-05	0	0.00161533
0.075	-5.17414e-05	0.00104339	0.222539	-6.91461e-05	-0.00799311	6.22867e-05	-0.000793191	0.0732106	6.22247e-05	0	0.0024725
0.1	-5.17391e-05	0.0011162	0.222539	-6.91499e-05	-0.00799293	6.22821e-05	-0.000793195	0.0732108	6.22187e-05	0	0.00339043
0.125	-5.17361e-05	0.00121283	0.222539	-6.91549e-05	-0.0079927	6.2276e-05	-0.0007932	0.073211	6.22109e-05	0	0.00439168
0.15	-5.17322e-05	0.00133567	0.222539	-6.91612e-05	-0.00799241	6.22684e-05	-0.000793207	0.0732113	6.2201e-05	0	0.00550085
0.175	-5.17275e-05	0.00148774	0.222539	-6.91691e-05	-0.00799205	6.2259e-05	-0.000793215	0.0732117	6.21888e-05	0	0.00674521
0.2	-5.17217e-05	0.00167277	0.222539	-6.91786e-05	-0.00799161	6.22477e-05	-0.000793225	0.0732121	6.2174e-05	0	0.00815533
0.225	-5.17149e-05	0.00189532	0.22254	-6.91901e-05	-0.00799108	6.22343e-05	-0.000793237	0.0732126	6.21565e-05	0	0.00976588
0.25	-5.17067e-05	0.00216084	0.22254	-6.92037e-05	-0.00799045	6.22185e-05	-0.000793251	0.0732133	6.21358e-05	0	0.0116164
0.275	-5.16972e-05	0.00247586	0.22254	-6.92199e-05	-0.0079897	6.22001e-05	-0.000793268	0.073214	6.21115e-05	0	0.0137524
0.3	-5.1686e-05	0.00284813	0.22254	-6.92389e-05	-0.00798882	6.21789e-05	-0.000793288	0.0732149	6.20833e-05	0	0.0162264
0.325	-5.1673e-05	0.0032868	0.22254	-6.92614e-05	-0.00798778	6.21544e-05	-0.000793312	0.0732159	6.20506e-05	0	0.0190992
0.35	-5.1658e-05	0.00380265	0.22254	-6.92876e-05	-0.00798655	6.21265e-05	-0.000793339	0.0732172	6.20132e-05	0	0.0224413
0.375	-5.16407e-05	0.00440835	0.222541	-6.93184e-05	-0.00798512	6.2095e-05	-0.000793371	0.0732186	6.19704e-05	0	0.0263349
0.4	-5.16208e-05	0.00511879	0.222541	-6.93543e-05	-0.00798343	6.20597e-05	-0.000793409	0.0732203	6.19218e-05	0	0.0308757
0.425	-5.15981e-05	0.00595143	0.222541	-6.93961e-05	-0.00798146	6.20206e-05	-0.000793452	0.0732223	6.18672e-05	0	0.0361753
0.45	-5.15724e-05	0.00692674	0.222542	-6.94449e-05	-0.00797914	6.1978e-05	-0.000793503	0.0732246	6.18065e-05	0	0.0423639
0.475	-5.15436e-05	0.00806868	0.222542	-6.95015e-05	-0.00797644	6.19325e-05	-0.000793563	0.0732273	6.17397e-05	0	0.0495935
