time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0113481	6.4823	2.72213	-0.0218726	-2.68635	-6.45358	0.00875249	10.2038	2.82358	-0.0249823	-2.78744	-10.1751	
0.05	0.0113536	6.47444	2.72217	-0.0218662	-2.68639	-6.44573	0.0087579	10.1961	2.82365	-0.024973	-2.78751	-10.1674	
0.075	0.0113628	6.46114	2.72225	-0.0218554	-2.68647	-6.43242	0.00876708	10.1831	2.82377	-0.0249574	-2.78763	-10.1544	
0.1	0.011376	6.44206	2.72235	-0.0218399	-2.68658	-6.41334	0.00878023	10.1644	2.82394	-0.0249349	-2.7878	-10.1357	
0.125	0.0113935	6.41673	2.72249	-0.0218193	-2.68672	-6.38801	0.0087977	10.1396	2.82416	-0.0249053	-2.78803	-10.1109	
0.15	0.0114158	6.38452	2.72267	-0.0217934	-2.6869	-6.3558	0.0088199	10.1081	2.82444	-0.0248676	-2.78832	-10.0793	
0.175	0.0114433	6.34465	2.72289	-0.0217614	-2.68712	-6.31593	0.00884738	10.069	2.82479	-0.0248212	-2.78867	-10.0403	
0.2	0.0114769	6.29613	2.72316	-0.0217227	-2.68739	-6.26741	0.00888082	10.0215	2.82522	-0.0247649	-2.7891	-9.99276	
0.225	0.0115172	6.23775	2.72348	-0.0216765	-2.68772	-6.20904	0.00892104	9.9643	2.82573	-0.0246976	-2.78962	-9.93559	
0.25	0.0115653	6.16809	2.72385	-0.021622	-2.6881	-6.13938	0.00896903	9.89605	2.82633	-0.0246179	-2.79023	-9.86734	
0.275	0.0116225	6.08542	2.72429	-0.0215581	-2.68854	-6.05671	0.00902596	9.81504	2.82704	-0.024524	-2.79095	-9.78633	
0.3	0.0116899	5.98769	2.72481	-0.0214835	-2.68906	-5.95898	0.00909325	9.71926	2.82788	-0.024414	-2.79179	-9.69054	
0.325	0.0117695	5.8725	2.7254	-0.0213972	-2.68967	-5.84378	0.00917254	9.60632	2.82885	-0.0242859	-2.79278	-9.5776	
0.35	0.011863	5.73697	2.72609	-0.0212977	-2.69036	-5.70825	0.00926579	9.47341	2.82998	-0.0241372	-2.79392	-9.4447	
0.375	0.0119728	5.57776	2.72688	-0.0211836	-2.69116	-5.54904	0.00937529	9.31722	2.83129	-0.0239653	-2.79525	-9.2885	
0.4	0.0121016	5.39091	2.72778	-0.0210536	-2.69207	-5.36219	0.00950373	9.13384	2.8328	-0.0237674	-2.79678	-9.10512	
0.425	0.0122525	5.17178	2.7288	-0.0209065	-2.6931	-5.14306	0.00965427	8.91867	2.83453	-0.0235407	-2.79854	-8.88995	
0.45	0.0124293	4.91492	2.72994	-0.0207415	-2.69426	-4.88621	0.00983063	8.6663	2.83652	-0.0232823	-2.80055	-8.63759	
0.475	0.0126364	4.61394	2.73121	-0.0205583	-2.69555	-4.58522	0.0100371	8.37038	2.83878	-0.0229894	-2.80284	-8.34166	
