L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
10.2418	-10.2418	0	-102.22	18.83	
10.2418	-10.2418	0	-96.84	18.83	
10.2418	-10.2418	0	-96.84	16.14	
10.2418	-10.2418	0	-102.22	18.83	
10.2418	-10.2418	0	-104.91	-21.52	
10.2418	-10.1538	0	-414.26	24.21	
10.1538	-10.1538	0	-180.23	40.35	
10.1538	-10.1538	0	-104.91	102.22	
10.1538	-10.0659	0	-414.26	344.32	
9.97802	-10.0659	0	-118.36	352.39	
9.97802	-9.89011	0	-102.22	341.63	
9.97802	-9.8022	0	-406.19	196.37	
9.8022	-9.71429	0	-333.56	34.97	
9.62637	-9.71429	0	-123.74	220.58	
9.53846	-9.36264	0	-188.3	519.17	
9.45055	-9.36264	0	260.93	34.97	
9.27473	-9.18681	0	-45.73	-2.69	
9.01099	-9.01099	0	-196.37	269	
8.74725	-8.57143	0	-408.88	0	
8.48352	-8.21978	0	-387.36	115.67	
8.04396	-8.04396	0	-102.22	-231.34	
8.13187	-8.04396	0	-150.64	174.85	
7.78022	-7.69231	0	-379.29	18.83	
7.25275	-7.07692	0	-86.08	650.98	
6.81319	-6.72527	0	-317.42	-56.49	
6.1978	-6.02198	0	-129.12	796.24	
5.75824	-5.49451	0	301.28	147.95	
4.96703	-4.87912	0	-287.83	-29.59	
4.35165	-4.26374	0	-10.76	-946.88	
3.56044	-3.56044	0	-110.29	-158.71	
2.94505	-2.68132	0	-365.84	-250.17	
2.24176	-2.06593	0	-34.97	-217.89	
1.62637	-1.36264	0	-78.01	-115.67	
0.835165	-0.571429	0	-188.3	-88.77	
0.131868	-0.043956	0	-360.46	-481.51	
-0.483516	0.571429	0	-199.06	-161.4	
-1.0989	1.36264	0	-34.97	-430.4	
-1.71429	1.97802	0	-67.25	-190.99	
-2.41758	2.50549	0	-217.89	-406.19	
-2.94505	3.12088	0	-61.87	-13.45	
-3.47253	3.64835	0	-379.29	-387.36	
-3.91209	4.08791	0	263.62	-468.06	
-4.08791	4.08791	0	-435.78	-18.83	
-4.26374	4.43956	0	166.78	-836.59	
-4.61538	4.7033	0	-10.76	-118.36	
-5.14286	4.96703	0	-511.1	-169.47	
-5.05495	5.23077	0	212.51	-712.85	
-5.14286	5.31868	0	228.65	-575.66	
-5.49451	5.31868	0	-153.33	-489.58	
-5.58242	5.49451	0	325.49	26.9	
-5.67033	5.58242	0	244.79	-40.35	
-5.67033	5.49451	0	266.31	449.23	
-5.58242	5.40659	0	320.11	529.93	
-5.67033	5.49451	0	61.87	559.52	
-5.58242	5.31868	0	61.87	659.05	
-5.49451	5.31868	0	172.16	516.48	
-5.49451	5.23077	0	-177.54	519.17	
-5.31868	5.14286	0	-18.83	425.02	
-4.96703	4.87912	0	-107.6	277.07	
-4.87912	4.7033	0	-250.17	102.22	
-4.79121	4.61538	0	-1067.93	164.09	
-4.43956	4.35165	0	-360.46	-83.39	
-4.17582	4.08791	0	-462.68	-277.07	
-4	4	0	511.1	-640.22	
-3.47253	3.82418	0	712.85	-1100.21	
-3.12088	3.2967	0	715.54	-664.43	
-2.76923	2.94505	0	-465.37	-1180.91	
-2.06593	2.41758	0	683.26	-1366.52	
-1.53846	1.71429	0	-129.12	-1662.42	
-1.01099	1.0989	0	-172.16	-1129.8	
-0.21978	0.483516	0	-2.69	-1431.08	
0.395604	-0.21978	0	-371.22	-1006.06	
1.18681	-1.0989	0	-212.51	-841.97	
1.89011	-1.89011	0	1188.98	-400.81	
2.32967	-2.59341	0	-734.37	-64.56	
3.2967	-3.2967	0	-150.64	293.21	
3.91209	-4.08791	0	121.05	164.09	
4.43956	-4.52747	0	-852.73	-88.77	
5.23077	-5.23077	0	422.33	110.29	
