L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
10.2418	-10.2418	0	-34.97	-32.28	
10.2418	-10.2418	0	-129.12	-37.66	
10.2418	-10.2418	0	-45.73	-29.59	
10.2418	-10.2418	0	-137.19	-32.28	
10.2418	-10.2418	0	-118.36	145.26	
10.2418	-10.2418	0	-368.53	-26.9	
10.2418	-10.1538	0	-75.32	-32.28	
10.1538	-10.1538	0	-72.63	212.51	
10.1538	-10.1538	0	145.26	-24.21	
9.97802	-9.97802	0	-102.22	252.86	
9.97802	-9.89011	0	-201.75	164.09	
9.97802	-9.8022	0	-290.52	139.88	
9.8022	-9.71429	0	-303.97	5.38	
9.62637	-9.62637	0	-78.01	287.83	
9.53846	-9.36264	0	-156.02	277.07	
9.45055	-9.27473	0	-37.66	-8.07	
9.27473	-9.18681	0	322.8	-24.21	
9.01099	-8.92308	0	-182.92	223.27	
8.83516	-8.65934	0	-780.1	-435.78	
8.30769	-8.30769	0	158.71	8.07	
8.04396	-7.95604	0	-239.41	-67.25	
8.21978	-8.04396	0	427.71	102.22	
7.69231	-7.69231	0	-847.35	-196.37	
7.42857	-7.07692	0	965.71	492.27	
6.72527	-6.63736	0	-234.03	-150.64	
6.1978	-6.10989	0	-10.76	-182.92	
5.75824	-5.49451	0	274.38	-242.1	
5.05495	-4.87912	0	40.35	45.73	
4.17582	-4.08791	0	-1188.98	107.6	
3.82418	-3.47253	0	451.92	-252.86	
2.94505	-2.68132	0	48.42	-112.98	
2.24176	-2.06593	0	-344.32	-274.38	
1.71429	-1.45055	0	433.09	-215.2	
0.835165	-0.659341	0	-118.36	-156.02	
0.307692	-0.043956	0	115.67	-231.34	
-0.483516	0.659341	0	172.16	-247.48	
-1.27473	1.36264	0	-236.72	-239.41	
-1.71429	1.97802	0	274.38	-209.82	
-2.41758	2.59341	0	242.1	-508.41	
-2.94505	3.12088	0	-242.1	-285.14	
-3.38462	3.64835	0	156.02	-508.41	
-4	4.08791	0	-67.25	-554.14	
-4.08791	4.08791	0	255.55	-220.58	
-4.26374	4.43956	0	-2.69	-989.92	
-4.61538	4.7033	0	-24.21	-481.51	
-4.87912	4.96703	0	392.74	-51.11	
-5.05495	5.14286	0	411.57	-997.99	
-5.23077	5.40659	0	478.82	-807	
-5.49451	5.49451	0	-355.08	-355.08	
-5.58242	5.49451	0	56.49	-48.42	
-5.67033	5.58242	0	400.81	250.17	
-5.67033	5.49451	0	164.09	282.45	
-5.67033	5.40659	0	363.15	416.95	
-5.58242	5.40659	0	403.5	540.69	
-5.67033	5.49451	0	398.12	661.74	
-5.67033	5.49451	0	414.26	718.23	
-5.67033	5.40659	0	430.4	589.11	
-5.67033	5.40659	0	379.29	745.13	
-5.67033	5.40659	0	341.63	745.13	
-5.67033	5.40659	0	411.57	739.75	
-5.67033	5.49451	0	414.26	607.94	
-5.67033	5.40659	0	433.09	785.48	
-5.58242	5.40659	0	419.64	675.19	
-5.67033	5.40659	0	433.09	648.29	
-5.58242	5.40659	0	425.02	645.6	
-5.67033	5.40659	0	425.02	763.96	
-5.67033	5.49451	0	277.07	632.15	
-5.67033	5.40659	0	419.64	742.44	
-5.67033	5.49451	0	325.49	527.24	
-5.58242	5.40659	0	209.82	505.72	
-5.67033	5.40659	0	363.15	761.27	
-5.67033	5.40659	0	435.78	613.32	
-5.67033	5.40659	0	441.16	425.02	
-5.67033	5.49451	0	400.81	712.85	
-5.67033	5.58242	0	422.33	158.71	
-5.67033	5.58242	0	443.85	-13.45	
-5.67033	5.67033	0	355.08	-328.18	
-5.67033	5.58242	0	449.23	-422.33	
-5.67033	5.58242	0	371.22	-435.78	
-5.67033	5.67033	0	435.78	-473.44	
