time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0315	-0.1118	1.0774	-2.9313	-0.9847	-0.9389	
0.043	0.0022	-0.0476	1.0405	-0.2137	-2.3511	-1.5267	
0.073	0.0588	-0.0432	1.0591	-4.8092	-2.2519	-4.687	
0.098	0.0649	0.0144	1.051	-4.1756	-1.4733	-3.2672	
0.129	0.0237	-0.0581	1.0337	-3.5573	-0.6107	-0.5573	
0.159	0.0544	0.0571	1.0525	-4.0611	-2.0687	-4.6336	
0.191	-0.0046	-0.1443	1.0471	-4.1756	0.229	0.084	
0.222	0.0166	-0.0078	1.0601	-3.916	-1.1679	-2.626	
0.246	0.0208	0.0034	1.0461	-4.3969	-1.7481	-3.4962	
0.277	0.0173	-0.1509	1.0718	-2.626	-0.6031	-1.7252	
0.308	0.0459	-0.0525	1.061	-3.6031	-2.1298	-2.9847	
0.339	-0.0273	-0.0054	1.116	-3.1069	0.2901	-1.9847	
0.363	0.0349	-0.0225	1.1057	-2.8779	-0.4122	-2.4962	
0.394	0.0452	-0.0649	1.0786	-2.5878	-0.4122	-2	
0.426	0.0313	-0.0811	1.0823	-3.3817	-1.542	-3.7939	
0.444	0.0515	-0.0708	1.0518	-4.2748	-0.4809	-2.2061	
0.444	0.0515	-0.0708	1.0518	-4.2748	-0.4809	-2.2061	
0.45	0.0503	0.0225	1.1016	6	-0	4.62428e-44	
0.45	0.0503	0.0225	1.1016	6	-0	4.62428e-44	
0.45	0.0503	0.0225	1.1016	6	-0	4.62428e-44	
0.45	0.0503	0.0225	1.1016	6	-0	4.62428e-44	
0.642	0.0676	-0.0125	1.043	-3.4885	-1.3206	-1.6412	
0.642	0.0676	-0.0125	1.043	-3.4885	-1.3206	-1.6412	
0.642	0.0676	-0.0125	1.043	-3.4885	-1.3206	-1.6412	
0.642	0.0676	-0.0125	1.043	-3.4885	-1.3206	-1.6412	
0.642	0.0676	-0.0125	1.043	-3.4885	-1.3206	-1.6412	
0.648	0.0354	0.0784	1.1025	-6.145	0.7252	-2.7099	
0.648	0.0354	0.0784	1.1025	-6.145	0.7252	-2.7099	
0.648	0.0354	0.0784	1.1025	-6.145	0.7252	-2.7099	
0.648	0.0354	0.0784	1.1025	-6.145	0.7252	-2.7099	
0.648	0.0354	0.0784	1.1025	-6.145	0.7252	-2.7099	
0.648	0.0354	0.0784	1.1025	-6.145	0.7252	-2.7099	
0.648	0.0354	0.0784	1.1025	-6.145	0.7252	-2.7099	
0.654	0.0068	-0.147	1.0713	-3.0229	-1.6565	-1.6107	
0.654	0.0068	-0.147	1.0713	-3.0229	-1.6565	-1.6107	
0.654	0.0068	-0.147	1.0713	-3.0229	-1.6565	-1.6107	
0.654	0.0068	-0.147	1.0713	-3.0229	-1.6565	-1.6107	
0.654	0.0068	-0.147	1.0713	-3.0229	-1.6565	-1.6107	
0.66	0.0396	-0.0447	1.0405	-4.4733	-0.542	0.7939	
0.66	0.0396	-0.0447	1.0405	-4.4733	-0.542	0.7939	
0.66	0.0396	-0.0447	1.0405	-4.4733	-0.542	0.7939	
0.66	0.0396	-0.0447	1.0405	-4.4733	-0.542	0.7939	
0.66	0.0396	-0.0447	1.0405	-4.4733	-0.542	0.7939	
0.666	0.0322	0.0051	0.998	-3.2137	-2.1527	-5.0076	
0.666	0.0322	0.0051	0.998	-3.2137	-2.1527	-5.0076	
0.666	0.0322	0.0051	0.998	-3.2137	-2.1527	-5.0076	
0.666	0.0322	0.0051	0.998	-3.2137	-2.1527	-5.0076	
0.666	0.0322	0.0051	0.998	-3.2137	-2.1527	-5.0076	
0.666	0.0322	0.0051	0.998	-3.2137	-2.1527	-5.0076	
0.672	0.0408	-0.0977	1.0842	-2.5267	-0.1985	-2.9618	
0.672	0.0408	-0.0977	1.0842	-2.5267	-0.1985	-2.9618	
0.672	0.0408	-0.0977	1.0842	-2.5267	-0.1985	-2.9618	
0.672	0.0408	-0.0977	1.0842	-2.5267	-0.1985	-2.9618	
