time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0104823	7.7323	2.82347	0.0498724	-2.78758	-7.70358	0.00629429	13.6484	2.76868	0.0449563	-2.73205	-13.6197	
0.05	0.0104886	7.72312	2.82353	0.0498796	-2.78765	-7.69441	0.00630063	13.6396	2.76878	0.0449676	-2.73216	-13.6109	
0.075	0.0104995	7.70756	2.82364	0.0498918	-2.78776	-7.67884	0.0063114	13.6247	2.76896	0.0449867	-2.73234	-13.596	
0.1	0.010515	7.68518	2.8238	0.0499093	-2.78792	-7.65647	0.00632687	13.6033	2.76922	0.0450141	-2.7326	-13.5746	
0.125	0.0105358	7.6554	2.824	0.0499325	-2.78813	-7.62668	0.00634747	13.5748	2.76956	0.0450506	-2.73294	-13.5461	
0.15	0.0105622	7.61741	2.82427	0.049962	-2.7884	-7.58869	0.00637373	13.5384	2.76999	0.045097	-2.73338	-13.5097	
0.175	0.010595	7.57019	2.8246	0.0499985	-2.78873	-7.54148	0.00640637	13.4932	2.77052	0.0451544	-2.73392	-13.4645	
0.2	0.0106352	7.51248	2.82499	0.0500427	-2.78913	-7.48377	0.00644625	13.4379	2.77117	0.0452244	-2.73458	-13.4092	
0.225	0.0106836	7.44273	2.82547	0.0500958	-2.78961	-7.41401	0.00649444	13.3711	2.77196	0.0453085	-2.73537	-13.3424	
0.25	0.0107418	7.35905	2.82603	0.0501588	-2.79018	-7.33034	0.00655224	13.2909	2.77289	0.0454088	-2.73632	-13.2622	
0.275	0.0108111	7.25921	2.8267	0.0502332	-2.79086	-7.23049	0.00662118	13.1952	2.774	0.0455277	-2.73745	-13.1664	
0.3	0.0108936	7.1405	2.82748	0.0503203	-2.79165	-7.11179	0.00670311	13.0813	2.77531	0.0456677	-2.73877	-13.0526	
0.325	0.0109913	6.99973	2.82839	0.0504219	-2.79257	-6.97102	0.00680022	12.9462	2.77685	0.0458321	-2.74033	-12.9175	
0.35	0.0111068	6.8331	2.82945	0.0505397	-2.79364	-6.80438	0.00691511	12.7862	2.77866	0.0460243	-2.74216	-12.7575	
0.375	0.0112433	6.63609	2.83067	0.0506755	-2.79488	-6.60738	0.00705085	12.5969	2.78076	0.0462481	-2.7443	-12.5682	
0.4	0.0114045	6.40338	2.83206	0.0508311	-2.79629	-6.37467	0.00721109	12.3731	2.78321	0.0465079	-2.74678	-12.3444	
0.425	0.0115945	6.12865	2.83365	0.0510082	-2.7979	-6.09993	0.0074001	12.1087	2.78606	0.046808	-2.74966	-12.0799	
0.45	0.0118185	5.80444	2.83544	0.0512079	-2.79971	-5.77572	0.00762295	11.7962	2.78934	0.0471531	-2.75299	-11.7675	
0.475	0.0120825	5.42191	2.83744	0.0514307	-2.80174	-5.3932	0.00788562	11.4271	2.79311	0.0475478	-2.75682	-11.3983	
0.5	0.0123936	4.97066	2.83964	0.0516758	-2.80396	-4.94195	0.00819515	10.9909	2.79742	0.047996	-2.76118	-10.9622	
0	0.0123936	4.97066	2.83964	0.0516758	-2.80396	-4.94195	0.00819515	10.9909	2.79742	0.047996	-2.76118	-10.9622	
0.025	0.0127575	4.4419	2.84199	0.0519384	-2.80634	-4.41318	0.00855742	10.4788	2.80228	0.0484971	-2.7661	-10.4501	
0.05	0.0131715	3.83952	2.84438	0.0522054	-2.80875	-3.81081	0.00896966	9.89407	2.80755	0.0490365	-2.77144	-9.86535	
0.075	0.0136303	3.17089	2.84666	0.0524619	-2.81106	-3.14218	0.00942676	9.24341	2.81307	0.0495961	-2.77704	-9.21469	
0.1	0.0141289	2.44352	2.84871	0.0526935	-2.81313	-2.4148	0.00992357	8.53358	2.81869	0.0501583	-2.78273	-8.50486	
0.125	0.0146618	1.66508	2.85039	0.0528865	-2.81484	-1.63636	0.0104549	7.77158	2.82424	0.0507062	-2.78835	-7.74287	
0.15	0.0152239	0.843408	2.8516	0.053029	-2.81606	-0.814692	0.0110156	6.96464	2.82957	0.0512242	-2.79376	-6.93592	
0.175	0.0158098	-0.0134776	2.85224	0.0531107	-2.8167	0.0421936	0.0116004	6.12019	2.83456	0.0516986	-2.79881	-6.09147	
0.2	0.0164143	-0.897434	2.85224	0.0531232	-2.81669	0.92615	0.0122039	5.2459	2.83907	0.0521173	-2.80338	-5.21718	
0.225	0.0170319	-1.8002	2.85153	0.0530607	-2.81598	1.82892	0.0128209	4.34967	2.84302	0.0524706	-2.80738	-4.32095	
0.25	0.0176572	-2.71345	2.85011	0.0529199	-2.81453	2.74216	0.013446	3.43958	2.84632	0.0527514	-2.81071	-3.41086	
0.275	0.0182848	-3.62879	2.84795	0.0527003	-2.81234	3.65751	0.0140738	2.52388	2.84891	0.0529553	-2.81334	-2.49516	
0.3	0.0189094	-4.53787	2.84509	0.0524037	-2.80944	4.56658	0.0146989	1.61095	2.85078	0.0530801	-2.81523	-1.58223	
0.325	0.0195254	-5.43237	2.84158	0.0520356	-2.80587	5.46109	0.0153157	0.709235	2.85191	0.0531271	-2.81637	-0.680519	
0.35	0.0201273	-6.30401	2.8375	0.0516029	-2.80173	6.33273	0.0159187	-0.172718	2.85234	0.0530994	-2.8168	0.201434	
0.375	0.0207097	-7.14479	2.83291	0.0511167	-2.79708	7.1735	0.0165025	-1.02649	2.85209	0.0530043	-2.81654	1.05521	
0.4	0.0191416	-7.94991	2.82584	0.0505936	-2.79353	7.97576	0.0170617	-1.84379	2.85117	0.0528505	-2.81561	1.8725	
0.425	0.0196157	-8.70499	2.82068	0.0500379	-2.7883	8.73084	0.0175901	-2.61557	2.84988	0.0526467	-2.8143	2.64429	
0.45	0.0200572	-9.40558	2.81545	0.0494716	-2.78301	9.43142	0.0180824	-3.33383	2.84822	0.052407	-2.81262	3.36255	
0.475	0.020461	-10.0441	2.81032	0.0489126	-2.77781	10.07	0.018533	-3.99029	2.84632	0.0521456	-2.81069	4.01901	
0.5	0.0208222	-10.6132	2.80546	0.0483796	-2.77289	10.639	0.0189361	-4.57677	2.8443	0.0518779	-2.80865	4.60549	
