time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.041	-0.1287	1.0823	-3.9389	0.1069	-2.3893	
0.043	0.082	0.043	1.0457	-2.1832	-2.1603	-4.9313	
0.075	0.0095	-0.0933	1.0937	-3.0916	-0.3359	1.1221	
0.105	0.0859	0.0513	1.0645	-4.4656	-1.3435	-2.9313	
0.13	0.054	-0.1301	1.0586	-1.0229	-0.8855	-2.4656	
0.161	0.0435	0.0957	1.1221	-3.6565	-0.5802	-3.3511	
0.191	0.043	-0.064	1.123	-3.9542	-0.8244	-1.8626	
0.222	0.0212	-0.062	1.0803	-3.687	-0.1145	-2.3359	
0.247	0.0247	-0.0103	1.0596	-3.6107	-1.0153	-2.3053	
0.277	-0.0029	-0.1809	1.0737	-4.2595	-0.6794	-0.1985	
0.309	0.0588	-0.0544	1.0857	-3.8702	-0.3511	-3.9389	
0.34	0.032	-0.0806	1.1113	-4.1679	-1.1985	-2.5267	
0.364	-0.02	-0.1101	1.0664	-1.8473	-0.2824	-0.5344	
0.395	0.085	0.0051	1.0269	-2	-0.9847	-2.916	
0.426	0.0173	-0.061	1.073	-2.374	0.8397	-4.0763	
0.444	0.0608	-0.061	1.0513	-3.5573	-1.374	-1.6794	
0.444	0.0608	-0.061	1.0513	-3.5573	-1.374	-1.6794	
0.444	0.0608	-0.061	1.0513	-3.5573	-1.374	-1.6794	
0.444	0.0608	-0.061	1.0513	-3.5573	-1.374	-1.6794	
0.45	0.0442	0.0295	1.0801	-0.0278	1.1084	-4.4656	
0.45	0.0442	0.0295	1.0801	-0.0278	1.1084	-4.4656	
0.45	0.0442	0.0295	1.0801	-0.0278	1.1084	-4.4656	
0.45	0.0442	0.0295	1.0801	-0.0278	1.1084	-4.4656	
0.45	0.0442	0.0295	1.0801	-0.0278	1.1084	-4.4656	
0.45	0.0442	0.0295	1.0801	-0.0278	1.1084	-4.4656	
0.544	0.0396	0.0376	1.0735	-2.4885	-2.6718	-7.3969	
0.544	0.0396	0.0376	1.0735	-2.4885	-2.6718	-7.3969	
0.544	0.0396	0.0376	1.0735	-2.4885	-2.6718	-7.3969	
0.544	0.0396	0.0376	1.0735	-2.4885	-2.6718	-7.3969	
0.544	0.0396	0.0376	1.0735	-2.4885	-2.6718	-7.3969	
0.55	0.0491	-0.0835	1.106	-2.916	-0.7405	-0.7634	
0.55	0.0491	-0.0835	1.106	-2.916	-0.7405	-0.7634	
0.55	0.0491	-0.0835	1.106	-2.916	-0.7405	-0.7634	
0.55	0.0491	-0.0835	1.106	-2.916	-0.7405	-0.7634	
0.55	0.0491	-0.0835	1.106	-2.916	-0.7405	-0.7634	
0.55	0.0491	-0.0835	1.106	-2.916	-0.7405	-0.7634	
0.556	0.0752	0.0408	1.0764	-4.145	-0.0382	2.4351	
0.556	0.0752	0.0408	1.0764	-4.145	-0.0382	2.4351	
0.556	0.0752	0.0408	1.0764	-4.145	-0.0382	2.4351	
0.556	0.0752	0.0408	1.0764	-4.145	-0.0382	2.4351	
0.556	0.0752	0.0408	1.0764	-4.145	-0.0382	2.4351	
0.556	0.0752	0.0408	1.0764	-4.145	-0.0382	2.4351	
0.562	0.0486	0.0881	1.0669	-2.4656	-0.1374	-3.9695	
0.562	0.0486	0.0881	1.0669	-2.4656	-0.1374	-3.9695	
0.562	0.0486	0.0881	1.0669	-2.4656	-0.1374	-3.9695	
0.562	0.0486	0.0881	1.0669	-2.4656	-0.1374	-3.9695	
0.562	0.0486	0.0881	1.0669	-2.4656	-0.1374	-3.9695	
0.568	0.0024	-0.1536	1.0818	-4.8015	-0.0611	-0.9618	
0.568	0.0024	-0.1536	1.0818	-4.8015	-0.0611	-0.9618	
0.568	0.0024	-0.1536	1.0818	-4.8015	-0.0611	-0.9618	
0.568	0.0024	-0.1536	1.0818	-4.8015	-0.0611	-0.9618	
0.568	0.0024	-0.1536	1.0818	-4.8015	-0.0611	-0.9618	
0.574	0.0054	-0.0583	1.0681	-3.5954	-0.687	-1.3435	
0.574	0.0054	-0.0583	1.0681	-3.5954	-0.687	-1.3435	
0.574	0.0054	-0.0583	1.0681	-3.5954	-0.687	-1.3435	
0.574	0.0054	-0.0583	1.0681	-3.5954	-0.687	-1.3435	
0.574	0.0054	-0.0583	1.0681	-3.5954	-0.687	-1.3435	
0.574	0.0054	-0.0583	1.0681	-3.5954	-0.687	-1.3435	
0.58	0.0386	0.0098	1.0632	-3.1756	-3.1756	-4.2061	
0.58	0.0386	0.0098	1.0632	-3.1756	-3.1756	-4.2061	
0.58	0.0386	0.0098	1.0632	-3.1756	-3.1756	-4.2061	
0.58	0.0386	0.0098	1.0632	-3.1756	-3.1756	-4.2061	
0.58	0.0386	0.0098	1.0632	-3.1756	-3.1756	-4.2061	
0.587	0.0334	-0.1465	1.0596	-3.1527	0.5267	-2.2824	
0.587	0.0334	-0.1465	1.0596	-3.1527	0.5267	-2.2824	
0.587	0.0334	-0.1465	1.0596	-3.1527	0.5267	-2.2824	
0.587	0.0334	-0.1465	1.0596	-3.1527	0.5267	-2.2824	
0.587	0.0334	-0.1465	1.0596	-3.1527	0.5267	-2.2824	
0.587	0.0334	-0.1465	1.0596	-3.1527	0.5267	-2.2824	
0.587	0.0334	-0.1465	1.0596	-3.1527	0.5267	-2.2824	
0.593	0.0613	0.0864	1.0503	-2.916	-2.1374	-1.9924	
0.593	0.0613	0.0864	1.0503	-2.916	-2.1374	-1.9924	
0.593	0.0613	0.0864	1.0503	-2.916	-2.1374	-1.9924	
0.593	0.0613	0.0864	1.0503	-2.916	-2.1374	-1.9924	
0.593	0.0613	0.0864	1.0503	-2.916	-2.1374	-1.9924	
0.599	0.0452	-0.0493	1.1104	-4.3435	-1.2595	-2.5573	
0.599	0.0452	-0.0493	1.1104	-4.3435	-1.2595	-2.5573	
0.599	0.0452	-0.0493	1.1104	-4.3435	-1.2595	-2.5573	
0.599	0.0452	-0.0493	1.1104	-4.3435	-1.2595	-2.5573	
0.599	0.0452	-0.0493	1.1104	-4.3435	-1.2595	-2.5573	
0.605	0.0535	-0.0579	1.0908	-3.9924	0.3206	0.2214	
0.605	0.0535	-0.0579	1.0908	-3.9924	0.3206	0.2214	
0.605	0.0535	-0.0579	1.0908	-3.9924	0.3206	0.2214	
0.605	0.0535	-0.0579	1.0908	-3.9924	0.3206	0.2214	
0.605	0.0535	-0.0579	1.0908	-3.9924	0.3206	0.2214	
0.605	0.0535	-0.0579	1.0908	-3.9924	0.3206	0.2214	
0.611	0.0276	0.0625	1.0308	-3.3511	-0.6718	-1.2595	
0.611	0.0276	0.0625	1.0308	-3.3511	-0.6718	-1.2595	
0.611	0.0276	0.0625	1.0308	-3.3511	-0.6718	-1.2595	
0.611	0.0276	0.0625	1.0308	-3.3511	-0.6718	-1.2595	
0.611	0.0276	0.0625	1.0308	-3.3511	-0.6718	-1.2595	
0.617	0.0156	-0.0647	1.0752	-4.5038	-1.3053	-2.9466	
0.617	0.0156	-0.0647	1.0752	-4.5038	-1.3053	-2.9466	
0.617	0.0156	-0.0647	1.0752	-4.5038	-1.3053	-2.9466	
0.617	0.0156	-0.0647	1.0752	-4.5038	-1.3053	-2.9466	
0.617	0.0156	-0.0647	1.0752	-4.5038	-1.3053	-2.9466	
0.617	0.0156	-0.0647	1.0752	-4.5038	-1.3053	-2.9466	
0.623	0.0142	-0.1516	1.0647	-3.7252	-0.5115	-0.7557	
0.623	0.0142	-0.1516	1.0647	-3.7252	-0.5115	-0.7557	
0.623	0.0142	-0.1516	1.0647	-3.7252	-0.5115	-0.7557	
0.623	0.0142	-0.1516	1.0647	-3.7252	-0.5115	-0.7557	
0.623	0.0142	-0.1516	1.0647	-3.7252	-0.5115	-0.7557	
0.623	0.0142	-0.1516	1.0647	-3.7252	-0.5115	-0.7557	
0.63	0.0442	0.0605	1.0986	-3.771	-1.4427	-3.2901	
0.63	0.0442	0.0605	1.0986	-3.771	-1.4427	-3.2901	
0.63	0.0442	0.0605	1.0986	-3.771	-1.4427	-3.2901	
0.63	0.0442	0.0605	1.0986	-3.771	-1.4427	-3.2901	
0.63	0.0442	0.0605	1.0986	-3.771	-1.4427	-3.2901	
0.636	0.042	-0.1646	1.092	-4.3969	-1.4809	-3.626	
0.636	0.042	-0.1646	1.092	-4.3969	-1.4809	-3.626	
0.636	0.042	-0.1646	1.092	-4.3969	-1.4809	-3.626	
0.636	0.042	-0.1646	1.092	-4.3969	-1.4809	-3.626	
0.636	0.042	-0.1646	1.092	-4.3969	-1.4809	-3.626	
0.642	0.0674	-0.0471	1.0696	-3.0382	0.4122	-0.9084	
0.642	0.0674	-0.0471	1.0696	-3.0382	0.4122	-0.9084	
0.642	0.0674	-0.0471	1.0696	-3.0382	0.4122	-0.9084	
0.642	0.0674	-0.0471	1.0696	-3.0382	0.4122	-0.9084	
0.642	0.0674	-0.0471	1.0696	-3.0382	0.4122	-0.9084	
0.642	0.0674	-0.0471	1.0696	-3.0382	0.4122	-0.9084	
0.648	0.0356	0.0129	1.0713	-4.0076	-0.2901	-1.7634	
0.648	0.0356	0.0129	1.0713	-4.0076	-0.2901	-1.7634	
0.648	0.0356	0.0129	1.0713	-4.0076	-0.2901	-1.7634	
0.648	0.0356	0.0129	1.0713	-4.0076	-0.2901	-1.7634	
0.648	0.0356	0.0129	1.0713	-4.0076	-0.2901	-1.7634	
0.648	0.0356	0.0129	1.0713	-4.0076	-0.2901	-1.7634	
0.654	0.0361	-0.0042	1.0417	-3.4198	-1.542	-3.2672	
0.654	0.0361	-0.0042	1.0417	-3.4198	-1.542	-3.2672	
0.654	0.0361	-0.0042	1.0417	-3.4198	-1.542	-3.2672	
0.654	0.0361	-0.0042	1.0417	-3.4198	-1.542	-3.2672	
0.654	0.0361	-0.0042	1.0417	-3.4198	-1.542	-3.2672	
0.66	-0.0063	0.022	1.0718	-4.5954	-0.1374	-1.0153	
0.66	-0.0063	0.022	1.0718	-4.5954	-0.1374	-1.0153	
0.66	-0.0063	0.022	1.0718	-4.5954	-0.1374	-1.0153	
0.66	-0.0063	0.022	1.0718	-4.5954	-0.1374	-1.0153	
0.66	-0.0063	0.022	1.0718	-4.5954	-0.1374	-1.0153	
0.66	-0.0063	0.022	1.0718	-4.5954	-0.1374	-1.0153	
0.666	0.0427	-0.1487	1.0935	-4.9542	-1.9389	0.3969	
0.666	0.0427	-0.1487	1.0935	-4.9542	-1.9389	0.3969	
0.666	0.0427	-0.1487	1.0935	-4.9542	-1.9389	0.3969	
0.666	0.0427	-0.1487	1.0935	-4.9542	-1.9389	0.3969	
0.666	0.0427	-0.1487	1.0935	-4.9542	-1.9389	0.3969	
0.673	0.0291	0.0281	1.1079	-4.374	-0.374	-2.4275	
