time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0461	0.0693	1.1062	-5.2977	-1.458	-2.1679	
0.044	0.022	-0.2402	1.1079	-3.1832	-0.5649	0.1069	
0.074	0.0767	-0.0608	1.0996	-3.9924	-1.7634	-1.8702	
0.105	0.0398	-0.104	1.0945	-4.1603	-1.771	-1.916	
0.13	0.0239	-0.0417	1.0823	-3.0076	0.0153	-2.1527	
0.16	0.0466	-0.0784	1.0999	-4.5191	-1.0076	-0.0992	
0.191	0.0134	0.03	1.1094	-4.145	0.8321	-5.5649	
0.222	0.03	-0.126	1.084	-1.6565	-1.9847	1.2443	
0.246	0.0586	-0.0593	1.0605	-3.626	-1.5191	2.6031	
0.277	0.0078	-0.0637	1.0503	-3.4046	-0.687	-6.4809	
0.308	0.0664	-0.0735	1.0315	-2.542	-1.5573	2.2824	
0.34	0.0229	0.0862	1.0723	-3.5573	-0.2137	-4.9847	
0.37	0.0237	-0.2263	1.0942	-2.7481	-1.6183	1.7481	
0.395	-0.0056	0.0195	1.084	-2.7252	-0.9084	3.0534	
0.426	0.0342	-0.0779	1.0654	-2.9313	0.8397	-5.3282	
0.444	0.0476	0.043	1.0332	-2.5573	-0.7786	-3.8015	
0.444	0.0476	0.043	1.0332	-2.5573	-0.7786	-3.8015	
0.444	0.0476	0.043	1.0332	-2.5573	-0.7786	-3.8015	
0.45	0.0625	-0.092	1.0847	-3.5191	-0.6412	-20791	
0.45	0.0625	-0.092	1.0847	-3.5191	-0.6412	-20791	
0.45	0.0625	-0.092	1.0847	-3.5191	-0.6412	-20791	
0.45	0.0625	-0.092	1.0847	-3.5191	-0.6412	-20791	
0.45	0.0625	-0.092	1.0847	-3.5191	-0.6412	-20791	
0.525	0.0359	-0.1565	1.0637	-3.1527	-0.8931	0.1908	
0.525	0.0359	-0.1565	1.0637	-3.1527	-0.8931	0.1908	
0.525	0.0359	-0.1565	1.0637	-3.1527	-0.8931	0.1908	
0.525	0.0359	-0.1565	1.0637	-3.1527	-0.8931	0.1908	
0.525	0.0359	-0.1565	1.0637	-3.1527	-0.8931	0.1908	
0.525	0.0359	-0.1565	1.0637	-3.1527	-0.8931	0.1908	
0.525	0.0359	-0.1565	1.0637	-3.1527	-0.8931	0.1908	
0.531	0.0327	0.021	1.0903	-3.4351	-1.229	-2.2137	
0.531	0.0327	0.021	1.0903	-3.4351	-1.229	-2.2137	
0.531	0.0327	0.021	1.0903	-3.4351	-1.229	-2.2137	
0.531	0.0327	0.021	1.0903	-3.4351	-1.229	-2.2137	
0.531	0.0327	0.021	1.0903	-3.4351	-1.229	-2.2137	
0.537	0.0261	-0.0303	1.0525	-2.6412	-2.1069	-3.542	
0.537	0.0261	-0.0303	1.0525	-2.6412	-2.1069	-3.542	
0.537	0.0261	-0.0303	1.0525	-2.6412	-2.1069	-3.542	
0.537	0.0261	-0.0303	1.0525	-2.6412	-2.1069	-3.542	
0.537	0.0261	-0.0303	1.0525	-2.6412	-2.1069	-3.542	
0.537	0.0261	-0.0303	1.0525	-2.6412	-2.1069	-3.542	
0.543	0.0476	-0.0989	1.0427	-3.1527	0.0992	-0.1221	
0.543	0.0476	-0.0989	1.0427	-3.1527	0.0992	-0.1221	
0.543	0.0476	-0.0989	1.0427	-3.1527	0.0992	-0.1221	
0.543	0.0476	-0.0989	1.0427	-3.1527	0.0992	-0.1221	
0.543	0.0476	-0.0989	1.0427	-3.1527	0.0992	-0.1221	
0.55	0.0388	-0.0195	1.1082	-4.4962	-1.5191	0.8397	
0.55	0.0388	-0.0195	1.1082	-4.4962	-1.5191	0.8397	
0.55	0.0388	-0.0195	1.1082	-4.4962	-1.5191	0.8397	
0.55	0.0388	-0.0195	1.1082	-4.4962	-1.5191	0.8397	
0.55	0.0388	-0.0195	1.1082	-4.4962	-1.5191	0.8397	
0.556	0.0637	0.0354	1.0696	-3.6031	-0.8931	-5.3282	
0.556	0.0637	0.0354	1.0696	-3.6031	-0.8931	-5.3282	
0.556	0.0637	0.0354	1.0696	-3.6031	-0.8931	-5.3282	
0.556	0.0637	0.0354	1.0696	-3.6031	-0.8931	-5.3282	
0.556	0.0637	0.0354	1.0696	-3.6031	-0.8931	-5.3282	
0.556	0.0637	0.0354	1.0696	-3.6031	-0.8931	-5.3282	
0.556	0.0637	0.0354	1.0696	-3.6031	-0.8931	-5.3282	
0.562	0.0222	-0.1035	1.0769	-3.4351	-0.1756	-2.7176	
0.562	0.0222	-0.1035	1.0769	-3.4351	-0.1756	-2.7176	
0.562	0.0222	-0.1035	1.0769	-3.4351	-0.1756	-2.7176	
0.562	0.0222	-0.1035	1.0769	-3.4351	-0.1756	-2.7176	
0.562	0.0222	-0.1035	1.0769	-3.4351	-0.1756	-2.7176	
0.568	0.0325	-0.1401	1.093	-2.6794	-1.6565	2.1527	
0.568	0.0325	-0.1401	1.093	-2.6794	-1.6565	2.1527	
0.568	0.0325	-0.1401	1.093	-2.6794	-1.6565	2.1527	
0.568	0.0325	-0.1401	1.093	-2.6794	-1.6565	2.1527	
0.568	0.0325	-0.1401	1.093	-2.6794	-1.6565	2.1527	
0.574	0.0059	0.0635	1.0234	-3.4198	-1.0458	-2.4504	
0.574	0.0059	0.0635	1.0234	-3.4198	-1.0458	-2.4504	
0.574	0.0059	0.0635	1.0234	-3.4198	-1.0458	-2.4504	
0.574	0.0059	0.0635	1.0234	-3.4198	-1.0458	-2.4504	
0.574	0.0059	0.0635	1.0234	-3.4198	-1.0458	-2.4504	
0.574	0.0059	0.0635	1.0234	-3.4198	-1.0458	-2.4504	
0.58	0.052	-0.0974	1.0925	-3.7176	0.3053	-5.626	
0.58	0.052	-0.0974	1.0925	-3.7176	0.3053	-5.626	
0.58	0.052	-0.0974	1.0925	-3.7176	0.3053	-5.626	
0.58	0.052	-0.0974	1.0925	-3.7176	0.3053	-5.626	
0.58	0.052	-0.0974	1.0925	-3.7176	0.3053	-5.626	
0.586	0.033	-0.2056	1.0779	-1.6336	-1.458	0.855	
0.586	0.033	-0.2056	1.0779	-1.6336	-1.458	0.855	
0.586	0.033	-0.2056	1.0779	-1.6336	-1.458	0.855	
0.586	0.033	-0.2056	1.0779	-1.6336	-1.458	0.855	
0.586	0.033	-0.2056	1.0779	-1.6336	-1.458	0.855	
0.593	0.0339	0.0425	1.0625	-2.6336	-1.6947	1.0534	
0.593	0.0339	0.0425	1.0625	-2.6336	-1.6947	1.0534	
0.593	0.0339	0.0425	1.0625	-2.6336	-1.6947	1.0534	
0.593	0.0339	0.0425	1.0625	-2.6336	-1.6947	1.0534	
0.593	0.0339	0.0425	1.0625	-2.6336	-1.6947	1.0534	
0.593	0.0339	0.0425	1.0625	-2.6336	-1.6947	1.0534	
0.593	0.0339	0.0425	1.0625	-2.6336	-1.6947	1.0534	
0.599	0.0173	0.0837	1.0593	-3.3359	-0.1908	-7.1298	
0.599	0.0173	0.0837	1.0593	-3.3359	-0.1908	-7.1298	
0.599	0.0173	0.0837	1.0593	-3.3359	-0.1908	-7.1298	
0.599	0.0173	0.0837	1.0593	-3.3359	-0.1908	-7.1298	
0.599	0.0173	0.0837	1.0593	-3.3359	-0.1908	-7.1298	
0.605	0.0288	-0.113	1.0701	-2.916	-0.5725	-3.5573	
0.605	0.0288	-0.113	1.0701	-2.916	-0.5725	-3.5573	
0.605	0.0288	-0.113	1.0701	-2.916	-0.5725	-3.5573	
0.605	0.0288	-0.113	1.0701	-2.916	-0.5725	-3.5573	
0.605	0.0288	-0.113	1.0701	-2.916	-0.5725	-3.5573	
0.605	0.0288	-0.113	1.0701	-2.916	-0.5725	-3.5573	
