time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.025	-4.29492e-05	0.000900425	0.202763	-7.57091e-05	-0.00798854	-5.40282e-05	-7.47441e-05	0.07851	-5.40834e-05	0	0.000792576	0.00450144	-0.0116002	0.247498
0.05	-4.29466e-05	0.000930207	0.202763	-7.57107e-05	-0.00798847	-5.40306e-05	-7.47458e-05	0.0785101	-5.40865e-05	0	0.00160633	0.00450136	-0.0115595	0.247497
0.075	-4.29423e-05	0.000980727	0.202763	-7.57135e-05	-0.00798836	-5.40347e-05	-7.47486e-05	0.0785102	-5.40918e-05	0	0.00246299	0.00450122	-0.0114905	0.247494
0.1	-4.29362e-05	0.00105333	0.202763	-7.57174e-05	-0.0079882	-5.40405e-05	-7.47527e-05	0.0785104	-5.40995e-05	0	0.00338546	0.00450103	-0.0113913	0.247489
0.125	-4.2928e-05	0.00114997	0.202763	-7.57226e-05	-0.00798798	-5.40482e-05	-7.47582e-05	0.0785106	-5.41096e-05	0	0.00439838	0.00450078	-0.0112594	0.247484
0.15	-4.29176e-05	0.00127322	0.202763	-7.57293e-05	-0.00798771	-5.4058e-05	-7.47651e-05	0.0785109	-5.41225e-05	0	0.00552881	0.00450045	-0.011091	0.247476
0.175	-4.29046e-05	0.00142636	0.202763	-7.57375e-05	-0.00798736	-5.40701e-05	-7.47737e-05	0.0785112	-5.41384e-05	0	0.00680696	0.00450005	-0.0108819	0.247467
0.2	-4.28889e-05	0.00161351	0.202764	-7.57476e-05	-0.00798694	-5.40847e-05	-7.47842e-05	0.0785116	-5.41577e-05	0	0.00826696	0.00449957	-0.0106263	0.247456
0.225	-4.28701e-05	0.00183964	0.202764	-7.57598e-05	-0.00798644	-5.41022e-05	-7.47969e-05	0.0785121	-5.41808e-05	0	0.00994783	0.00449898	-0.0103176	0.247443
0.25	-4.28476e-05	0.00211082	0.202764	-7.57743e-05	-0.00798583	-5.41229e-05	-7.48121e-05	0.0785127	-5.42083e-05	0	0.0118945	0.00449828	-0.00994743	0.247428
0.275	-4.2821e-05	0.00243428	0.202765	-7.57917e-05	-0.0079851	-5.41473e-05	-7.48302e-05	0.0785134	-5.42408e-05	0	0.0141589	0.00449746	-0.00950598	0.247409
0.3	-4.27897e-05	0.00281866	0.202765	-7.58123e-05	-0.00798424	-5.41758e-05	-7.48517e-05	0.0785143	-5.42788e-05	0	0.0168016	0.00449649	-0.0089815	0.247387
0.325	-4.2753e-05	0.00327425	0.202766	-7.58366e-05	-0.00798322	-5.42087e-05	-7.48771e-05	0.0785153	-5.43232e-05	0	0.0198932	0.00449535	-0.00836005	0.247362
0.35	-4.27101e-05	0.0038132	0.202767	-7.58653e-05	-0.00798201	-5.42468e-05	-7.4907e-05	0.0785165	-5.43747e-05	0	0.0235163	0.00449402	-0.00762512	0.247332
0.375	-4.26604e-05	0.00444993	0.202768	-7.58991e-05	-0.00798059	-5.42902e-05	-7.49423e-05	0.0785179	-5.4434e-05	0	0.0277677	0.00449248	-0.0067572	0.247298
0.4	-4.26028e-05	0.00520145	0.202769	-7.59388e-05	-0.00797891	-5.43396e-05	-7.49838e-05	0.0785196	-5.45021e-05	0	0.0327609	0.0044907	-0.00573326	0.247258
0.425	-4.25365e-05	0.00608785	0.20277	-7.59854e-05	-0.00797692	-5.4395e-05	-7.50326e-05	0.0785216	-5.45796e-05	0	0.0386294	0.00448865	-0.00452618	0.247212
0.45	-4.24607e-05	0.00713281	0.202771	-7.60401e-05	-0.00797459	-5.44564e-05	-7.50897e-05	0.0785239	-5.46671e-05	0	0.0455299	0.0044863	-0.00310401	0.247159
0.475	-4.23745e-05	0.00836427	0.202772	-7.61041e-05	-0.00797184	-5.45234e-05	-7.51567e-05	0.0785267	-5.47647e-05	0	0.0536469	0.00448364	-0.00142917	0.247099
0.5	-4.22905e-05	0.00981515	0.202774	-7.61788e-05	-0.0079686	-5.4595e-05	-7.5235e-05	0.0785299	-5.48724e-05	0	0.0631972	0.00448063	0.000542599	0.247032
0	-4.22905e-05	0.00981515	0.202774	-7.61788e-05	-0.0079686	-5.4595e-05	-7.5235e-05	0.0785299	-5.48724e-05	0	0.0631972	0.00448063	0.000542599	0.247032
