time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.013	0.3547	1.0232	1.012	-0.9771	-2.0611	-6.916	
0.043	-0.1804	-0.8437	1.1206	-1.9313	-3.6641	4.7099	
0.074	0.1501	-0.2021	1.1501	-9.8321	2.2137	-15.9695	
0.106	0.0615	1.0967	1.2205	-0.5038	-3.7863	-3.7481	
0.13	-0.2803	-0.3147	1.0735	-7.0763	0.7328	12.6641	
0.161	0.1846	0.6531	0.9199	-2.0687	-2.2061	-2.542	
0.193	-0.1975	-0.1165	0.9512	6.0687	-6.3511	-0.2824	
0.224	0.0281	-0.8567	1.0728	-14.084	1.4504	-12.229	
0.254	-0.0715	0.7109	1.0896	-5.3588	-4.2977	1.229	
0.279	-0.1741	-0.2566	1.0176	-6.3053	1.4275	5.7023	
0.311	0.3152	1.313	1.1113	3.1145	-2.2748	-8.5649	
0.341	-0.2297	-0.9497	1.0466	1.2748	-2.229	3.542	
0.372	0.1252	0.0576	1.1172	-12.4046	3.1527	-12.3511	
0.398	0.0977	0.2944	1.1228	6.4733	-4.3969	-1.1298	
0.428	-0.0742	-0.7412	1.0916	-12.9084	-0.2443	-2.771	
0.447	0.0168	0.1565	1.0378	6.1832	-3.5954	-0.8397	
0.447	0.0168	0.1565	1.0378	6.1832	-3.5954	-0.8397	
0.447	0.0168	0.1565	1.0378	6.1832	-3.5954	-0.8397	
0.453	0.1736	0.2056	0.969	-2.3817	-3.1298	-0.778	
0.453	0.1736	0.2056	0.969	-2.3817	-3.1298	-0.778	
0.453	0.1736	0.2056	0.969	-2.3817	-3.1298	-0.778	
0.453	0.1736	0.2056	0.969	-2.3817	-3.1298	-0.778	
0.453	0.1736	0.2056	0.969	-2.3817	-3.1298	-0.778	
0.67	0.1003	0.064	1.2683	-14.8779	3.3969	-4.916	
0.67	0.1003	0.064	1.2683	-14.8779	3.3969	-4.916	
0.67	0.1003	0.064	1.2683	-14.8779	3.3969	-4.916	
0.67	0.1003	0.064	1.2683	-14.8779	3.3969	-4.916	
0.67	0.1003	0.064	1.2683	-14.8779	3.3969	-4.916	
0.67	0.1003	0.064	1.2683	-14.8779	3.3969	-4.916	
0.676	0.0632	-0.7676	1.1616	-11.9466	0.9771	-7.7939	
0.676	0.0632	-0.7676	1.1616	-11.9466	0.9771	-7.7939	
0.676	0.0632	-0.7676	1.1616	-11.9466	0.9771	-7.7939	
0.676	0.0632	-0.7676	1.1616	-11.9466	0.9771	-7.7939	
0.676	0.0632	-0.7676	1.1616	-11.9466	0.9771	-7.7939	
0.676	0.0632	-0.7676	1.1616	-11.9466	0.9771	-7.7939	
0.682	-0.05	0.0476	0.9607	-1.687	1.2214	5.0305	
0.682	-0.05	0.0476	0.9607	-1.687	1.2214	5.0305	
0.682	-0.05	0.0476	0.9607	-1.687	1.2214	5.0305	
0.682	-0.05	0.0476	0.9607	-1.687	1.2214	5.0305	
0.682	-0.05	0.0476	0.9607	-1.687	1.2214	5.0305	
0.689	-0.0923	-0.9939	1.1077	4.5191	-0.8168	-3.5115	
0.689	-0.0923	-0.9939	1.1077	4.5191	-0.8168	-3.5115	
0.689	-0.0923	-0.9939	1.1077	4.5191	-0.8168	-3.5115	
0.689	-0.0923	-0.9939	1.1077	4.5191	-0.8168	-3.5115	
0.689	-0.0923	-0.9939	1.1077	4.5191	-0.8168	-3.5115	
0.689	-0.0923	-0.9939	1.1077	4.5191	-0.8168	-3.5115	
0.695	-0.2053	-0.1875	0.9824	1.2137	-4.7252	3.1374	
0.695	-0.2053	-0.1875	0.9824	1.2137	-4.7252	3.1374	
0.695	-0.2053	-0.1875	0.9824	1.2137	-4.7252	3.1374	
0.695	-0.2053	-0.1875	0.9824	1.2137	-4.7252	3.1374	
0.695	-0.2053	-0.1875	0.9824	1.2137	-4.7252	3.1374	
0.701	0.2666	0.1355	1.0227	6.8779	-4.4198	-4.8321	
0.701	0.2666	0.1355	1.0227	6.8779	-4.4198	-4.8321	
0.701	0.2666	0.1355	1.0227	6.8779	-4.4198	-4.8321	
0.701	0.2666	0.1355	1.0227	6.8779	-4.4198	-4.8321	
0.701	0.2666	0.1355	1.0227	6.8779	-4.4198	-4.8321	
0.707	-0.0283	1.0625	1.2307	-6.0992	-0.0611	-1.9466	
0.707	-0.0283	1.0625	1.2307	-6.0992	-0.0611	-1.9466	
0.707	-0.0283	1.0625	1.2307	-6.0992	-0.0611	-1.9466	
0.707	-0.0283	1.0625	1.2307	-6.0992	-0.0611	-1.9466	
0.707	-0.0283	1.0625	1.2307	-6.0992	-0.0611	-1.9466	
0.707	-0.0283	1.0625	1.2307	-6.0992	-0.0611	-1.9466	
0.707	-0.0283	1.0625	1.2307	-6.0992	-0.0611	-1.9466	
0.713	0.3103	0.4417	1.032	-6.4809	-0.5191	-3.5649	
0.713	0.3103	0.4417	1.032	-6.4809	-0.5191	-3.5649	
0.713	0.3103	0.4417	1.032	-6.4809	-0.5191	-3.5649	
0.713	0.3103	0.4417	1.032	-6.4809	-0.5191	-3.5649	
0.713	0.3103	0.4417	1.032	-6.4809	-0.5191	-3.5649	
0.719	0.0361	0.0652	1.1448	-12.9389	2.7252	-5.6565	
0.719	0.0361	0.0652	1.1448	-12.9389	2.7252	-5.6565	
0.719	0.0361	0.0652	1.1448	-12.9389	2.7252	-5.6565	
0.719	0.0361	0.0652	1.1448	-12.9389	2.7252	-5.6565	
0.719	0.0361	0.0652	1.1448	-12.9389	2.7252	-5.6565	
0.725	0.1421	-0.6504	1.0535	-13.5649	1.3282	-6.4885	
0.725	0.1421	-0.6504	1.0535	-13.5649	1.3282	-6.4885	
0.725	0.1421	-0.6504	1.0535	-13.5649	1.3282	-6.4885	
0.725	0.1421	-0.6504	1.0535	-13.5649	1.3282	-6.4885	
0.725	0.1421	-0.6504	1.0535	-13.5649	1.3282	-6.4885	
0.725	0.1421	-0.6504	1.0535	-13.5649	1.3282	-6.4885	
0.732	-0.1489	-0.2861	1.0759	-4.5954	3.1603	4.3817	
0.732	-0.1489	-0.2861	1.0759	-4.5954	3.1603	4.3817	
0.732	-0.1489	-0.2861	1.0759	-4.5954	3.1603	4.3817	
0.732	-0.1489	-0.2861	1.0759	-4.5954	3.1603	4.3817	
0.732	-0.1489	-0.2861	1.0759	-4.5954	3.1603	4.3817	
0.732	-0.1489	-0.2861	1.0759	-4.5954	3.1603	4.3817	
0.738	-0.0867	-1.0212	1.1472	6.626	-0.8855	-0.8473	
0.738	-0.0867	-1.0212	1.1472	6.626	-0.8855	-0.8473	
0.738	-0.0867	-1.0212	1.1472	6.626	-0.8855	-0.8473	
0.738	-0.0867	-1.0212	1.1472	6.626	-0.8855	-0.8473	
0.738	-0.0867	-1.0212	1.1472	6.626	-0.8855	-0.8473	
0.745	-0.1704	0.0073	0.9463	3.2519	-6.8855	-2.3664	
0.745	-0.1704	0.0073	0.9463	3.2519	-6.8855	-2.3664	
0.745	-0.1704	0.0073	0.9463	3.2519	-6.8855	-2.3664	
0.745	-0.1704	0.0073	0.9463	3.2519	-6.8855	-2.3664	
0.745	-0.1704	0.0073	0.9463	3.2519	-6.8855	-2.3664	
0.745	-0.1704	0.0073	0.9463	3.2519	-6.8855	-2.3664	
0.751	0.1899	0.127	0.937	-0.4962	-4.9084	0.8473	
0.751	0.1899	0.127	0.937	-0.4962	-4.9084	0.8473	
0.751	0.1899	0.127	0.937	-0.4962	-4.9084	0.8473	
0.751	0.1899	0.127	0.937	-0.4962	-4.9084	0.8473	
