time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0535	0.0413	1.0293	-2.1298	-1.7405	-4.9008	
0.043	0.0242	-0.1113	1.061	-3.1145	-0.7176	0.9695	
0.074	0.0662	0.0317	1.0471	-2.6031	0.2901	-3.1374	
0.105	0.0449	-0.0208	1.0452	-2.4351	-1.145	-2.8626	
0.13	0.0359	-0.1201	1.0591	-4.8321	-1.8626	-0.5496	
0.161	0.011	-0.0464	1.0486	-3.5115	-0.5649	-1.1679	
0.191	0.0315	-0.05	1.0828	-2.7481	-0.4809	-2.8702	
0.222	0.0205	-0.001	1.0754	-1.7863	-2.0305	-1.5649	
0.247	0.0237	-0.0994	1.0881	-3.8702	-0.1603	-0.5344	
0.277	0.0352	0.0173	1.0681	-3.1145	0.2137	-2.5496	
0.308	0.0215	-0.0725	1.0664	-1.9771	-1.3893	-2.0763	
0.339	0.0295	-0.0186	1.0662	-4.5038	-0.9313	-2.7786	
0.364	0.0344	-0.0188	1.0579	-4.0458	-0.5725	-2.8397	
0.395	0.0225	-0.082	1.0657	-2.9618	-1.1832	-0.1069	
0.426	0.0132	0.0674	1.0828	-3.1298	-0.1832	-2.916	
0.444	0.0396	-0.0193	1.0715	-3.6565	-1.9847	-1.855	
0.444	0.0396	-0.0193	1.0715	-3.6565	-1.9847	-1.855	
0.4	3.06688e-41	0	0	0	0	6.86636e-44	
0.4	3.06688e-41	0	0	0	0	6.86636e-44	
0.4	3.06688e-41	0	0	0	0	6.86636e-44	
0.4	3.06688e-41	0	0	0	0	6.86636e-44	
1.475	0.0093	-0.1106	1.0911	-5.2824	-0.0153	0.0763	
1.475	0.0093	-0.1106	1.0911	-5.2824	-0.0153	0.0763	
1.475	0.0093	-0.1106	1.0911	-5.2824	-0.0153	0.0763	
1.475	0.0093	-0.1106	1.0911	-5.2824	-0.0153	0.0763	
1.475	0.0093	-0.1106	1.0911	-5.2824	-0.0153	0.0763	
1.475	0.0093	-0.1106	1.0911	-5.2824	-0.0153	0.0763	
1.482	0.0112	-0.0754	1.0688	-3.458	-1.2137	-0.4885	
1.482	0.0112	-0.0754	1.0688	-3.458	-1.2137	-0.4885	
1.482	0.0112	-0.0754	1.0688	-3.458	-1.2137	-0.4885	
1.482	0.0112	-0.0754	1.0688	-3.458	-1.2137	-0.4885	
1.482	0.0112	-0.0754	1.0688	-3.458	-1.2137	-0.4885	
1.488	0.0461	-0.0066	1.0415	-1.6794	-1.0611	-3.084	
1.488	0.0461	-0.0066	1.0415	-1.6794	-1.0611	-3.084	
1.488	0.0461	-0.0066	1.0415	-1.6794	-1.0611	-3.084	
1.488	0.0461	-0.0066	1.0415	-1.6794	-1.0611	-3.084	
1.488	0.0461	-0.0066	1.0415	-1.6794	-1.0611	-3.084	
1.494	0.02	-0.1013	1.0679	-3.2137	-1.084	-2.626	
1.494	0.02	-0.1013	1.0679	-3.2137	-1.084	-2.626	
1.494	0.02	-0.1013	1.0679	-3.2137	-1.084	-2.626	
1.494	0.02	-0.1013	1.0679	-3.2137	-1.084	-2.626	
1.494	0.02	-0.1013	1.0679	-3.2137	-1.084	-2.626	
1.494	0.02	-0.1013	1.0679	-3.2137	-1.084	-2.626	
1.5	0.0383	-0.0005	1.1028	-1.0382	-2.0916	-2.9389	
1.5	0.0383	-0.0005	1.1028	-1.0382	-2.0916	-2.9389	
1.5	0.0383	-0.0005	1.1028	-1.0382	-2.0916	-2.9389	
1.5	0.0383	-0.0005	1.1028	-1.0382	-2.0916	-2.9389	
1.5	0.0383	-0.0005	1.1028	-1.0382	-2.0916	-2.9389	
1.506	0.0503	-0.0068	1.0654	-3.313	-1.0992	-0.8092	
1.506	0.0503	-0.0068	1.0654	-3.313	-1.0992	-0.8092	
