time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0239	-0.1396	1.1006	-4.2443	-0.374	4.4733	
0.043	0.0569	0.0837	1.064	-2.3053	-0.1832	-5.1527	
0.073	0.0586	-0.1624	1.064	-3.2901	-2.4046	-0.1832	
0.104	0.0518	0.0991	1.0513	-4.458	-0.7023	-2.9695	
0.13	0.0435	-0.041	1.1387	-2.1679	-0.5038	-3.6107	
0.16	0.0254	0.031	1.0881	-2.6718	0.0076	0	
0.191	0.0706	-0.0034	1.0662	-3.8626	-1.1985	-2.6489	
0.222	0.0486	-0.0396	1.0793	-4.9542	-2.8702	-3.3206	
0.246	0.0464	-0.1011	1.0701	-3.5191	-1.4275	-5	
0.277	0.0627	0.0547	1.0679	-1.9008	-2.2519	1.8702	
0.308	0.0371	0.0522	1.1104	-3.6107	1.542	-6.7557	
0.339	0.0356	-0.0557	1.1135	-4.9466	-0.542	3.0305	
0.37	0.0623	0.1123	1.1052	-6.6718	-1.2519	-5.6183	
0.401	0.0164	-0.2212	1.0596	-4.3969	0.7176	0.0305	
0.426	0.0237	-0.0454	1.0862	-2.6718	-0.3206	3.5344	
0.45	0.0315	-0.0012	1.1375	-3.3053	0.4198	0.2061	
0.45	0.0315	-0.0012	1.1375	-3.3053	0.4198	0.2061	
2	-1	-2.1527	0	0	0	4.62428e-44	
2	-1	-2.1527	0	0	0	4.62428e-44	
2	-1	-2.1527	0	0	0	4.62428e-44	
2	-1	-2.1527	0	0	0	4.62428e-44	
2	-1	-2.1527	0	0	0	4.62428e-44	
0.611	0.0283	0.0403	1.0398	-3.0916	-0.4962	-4.1145	
0.611	0.0283	0.0403	1.0398	-3.0916	-0.4962	-4.1145	
0.611	0.0283	0.0403	1.0398	-3.0916	-0.4962	-4.1145	
0.611	0.0283	0.0403	1.0398	-3.0916	-0.4962	-4.1145	
0.611	0.0283	0.0403	1.0398	-3.0916	-0.4962	-4.1145	
0.611	0.0283	0.0403	1.0398	-3.0916	-0.4962	-4.1145	
0.617	-0.011	-0.1279	1.1179	-4.4198	-0.1221	-0.2214	
0.617	-0.011	-0.1279	1.1179	-4.4198	-0.1221	-0.2214	
0.617	-0.011	-0.1279	1.1179	-4.4198	-0.1221	-0.2214	
0.617	-0.011	-0.1279	1.1179	-4.4198	-0.1221	-0.2214	
0.617	-0.011	-0.1279	1.1179	-4.4198	-0.1221	-0.2214	
0.623	0.0305	0.0393	1.0466	-3.5115	-2.2672	-2.145	
0.623	0.0305	0.0393	1.0466	-3.5115	-2.2672	-2.145	
0.623	0.0305	0.0393	1.0466	-3.5115	-2.2672	-2.145	
0.623	0.0305	0.0393	1.0466	-3.5115	-2.2672	-2.145	
0.623	0.0305	0.0393	1.0466	-3.5115	-2.2672	-2.145	
0.623	0.0305	0.0393	1.0466	-3.5115	-2.2672	-2.145	
0.629	0.0098	-0.054	1.082	-4.7481	-1.7863	-3.1298	
0.629	0.0098	-0.054	1.082	-4.7481	-1.7863	-3.1298	
0.629	0.0098	-0.054	1.082	-4.7481	-1.7863	-3.1298	
0.629	0.0098	-0.054	1.082	-4.7481	-1.7863	-3.1298	
0.629	0.0098	-0.054	1.082	-4.7481	-1.7863	-3.1298	
0.629	0.0098	-0.054	1.082	-4.7481	-1.7863	-3.1298	
0.636	0.0779	-0.0913	1.0417	-3.2672	-0.0992	-1.5344	
0.636	0.0779	-0.0913	1.0417	-3.2672	-0.0992	-1.5344	
