time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	-0.0901	-0.1589	1.0295	-4.3893	-1.4962	-0.3511	
0.044	0.0728	0.0737	1.1292	-3.8015	-0.9771	-2.6718	
0.075	-0.032	-0.0715	1.0334	-3.3664	-1.5496	-1.6412	
0.099	-0.0261	0.0017	1.0183	-2.4198	-1.1298	-1.1298	
0.13	0.0403	0.0125	1.063	-4.9084	-0.8015	-1.5038	
0.161	-0.0298	-0.1072	1.0535	-3.6718	-1.0076	-1.1832	
0.191	0.0764	0.0249	1.106	-2.6489	-0.8779	-2.9237	
0.216	0.0361	-0.0046	1.0837	-3.8473	-0.5573	-2.0153	
0.248	-0.0242	-0.051	1.0764	-2.4733	-1.2214	-3.5573	
0.279	-0.0447	-0.1658	1.0625	-3.1527	-1.2672	0.084	
0.309	0.0654	0.0188	1.0881	-1.2901	-0.8321	-3.5038	
0.334	0.0623	-0.0542	1.051	-4.2672	-0.7863	-2.4504	
0.365	-0.0354	-0.0522	1.0422	-4.1603	-0.9084	-1.4656	
0.395	0.0566	0.0027	1.0757	-4.5725	-0.8779	-1.7405	
0.427	-0.0481	-0.063	1.04	-5.8626	-1.4885	-1.6641	
0.445	0.0789	0.0618	1.0229	-4.1908	-1.6031	-1.3206	
0.445	0.0789	0.0618	1.0229	-4.1908	-1.6031	-1.3206	
0.445	0.0789	0.0618	1.0229	-4.1908	-1.6031	-1.3206	
-16718	-0.6336	-2.2977	0	0	0	4.62428e-44	
-16718	-0.6336	-2.2977	0	0	0	4.62428e-44	
-16718	-0.6336	-2.2977	0	0	0	4.62428e-44	
-16718	-0.6336	-2.2977	0	0	0	4.62428e-44	
-16718	-0.6336	-2.2977	0	0	0	4.62428e-44	
0.501	-0.0244	-0.0742	1.0339	-4.7176	-1.4885	-1.9618	
0.501	-0.0244	-0.0742	1.0339	-4.7176	-1.4885	-1.9618	
0.501	-0.0244	-0.0742	1.0339	-4.7176	-1.4885	-1.9618	
0.501	-0.0244	-0.0742	1.0339	-4.7176	-1.4885	-1.9618	
0.501	-0.0244	-0.0742	1.0339	-4.7176	-1.4885	-1.9618	
0.507	0.1094	-0.0344	1.0852	-3.2061	-1.0153	-2.3359	
0.507	0.1094	-0.0344	1.0852	-3.2061	-1.0153	-2.3359	
0.507	0.1094	-0.0344	1.0852	-3.2061	-1.0153	-2.3359	
0.507	0.1094	-0.0344	1.0852	-3.2061	-1.0153	-2.3359	
0.507	0.1094	-0.0344	1.0852	-3.2061	-1.0153	-2.3359	
0.507	0.1094	-0.0344	1.0852	-3.2061	-1.0153	-2.3359	
0.507	0.1094	-0.0344	1.0852	-3.2061	-1.0153	-2.3359	
0.513	0.0107	-0.1379	1.0942	-2.1832	-0.2366	-1.8168	
0.513	0.0107	-0.1379	1.0942	-2.1832	-0.2366	-1.8168	
0.513	0.0107	-0.1379	1.0942	-2.1832	-0.2366	-1.8168	
0.513	0.0107	-0.1379	1.0942	-2.1832	-0.2366	-1.8168	
0.513	0.0107	-0.1379	1.0942	-2.1832	-0.2366	-1.8168	
0.519	0.0029	-0.0571	1.0664	-3.7405	-0.6412	-2.2061	
0.519	0.0029	-0.0571	1.0664	-3.7405	-0.6412	-2.2061	
0.519	0.0029	-0.0571	1.0664	-3.7405	-0.6412	-2.2061	
0.519	0.0029	-0.0571	1.0664	-3.7405	-0.6412	-2.2061	
0.519	0.0029	-0.0571	1.0664	-3.7405	-0.6412	-2.2061	
0.525	0.0591	0.0808	1.0847	-3.6107	-0.7786	-2.0382	
0.525	0.0591	0.0808	1.0847	-3.6107	-0.7786	-2.0382	
0.525	0.0591	0.0808	1.0847	-3.6107	-0.7786	-2.0382	
0.525	0.0591	0.0808	1.0847	-3.6107	-0.7786	-2.0382	
0.525	0.0591	0.0808	1.0847	-3.6107	-0.7786	-2.0382	
0.531	0.0098	-0.0056	1.0955	-3.2748	-1.3893	-1.6412	
0.531	0.0098	-0.0056	1.0955	-3.2748	-1.3893	-1.6412	
0.531	0.0098	-0.0056	1.0955	-3.2748	-1.3893	-1.6412	
0.531	0.0098	-0.0056	1.0955	-3.2748	-1.3893	-1.6412	
0.531	0.0098	-0.0056	1.0955	-3.2748	-1.3893	-1.6412	
0.531	0.0098	-0.0056	1.0955	-3.2748	-1.3893	-1.6412	
0.538	0.0745	-0.0034	1.104	-3.855	-0.8473	-1.8473	
0.538	0.0745	-0.0034	1.104	-3.855	-0.8473	-1.8473	
0.538	0.0745	-0.0034	1.104	-3.855	-0.8473	-1.8473	
0.538	0.0745	-0.0034	1.104	-3.855	-0.8473	-1.8473	
0.538	0.0745	-0.0034	1.104	-3.855	-0.8473	-1.8473	
0.544	0.0269	-0.0925	1.1135	-2.5802	-0.6183	-1.1603	
0.544	0.0269	-0.0925	1.1135	-2.5802	-0.6183	-1.1603	
0.544	0.0269	-0.0925	1.1135	-2.5802	-0.6183	-1.1603	
0.544	0.0269	-0.0925	1.1135	-2.5802	-0.6183	-1.1603	
0.544	0.0269	-0.0925	1.1135	-2.5802	-0.6183	-1.1603	
0.544	0.0269	-0.0925	1.1135	-2.5802	-0.6183	-1.1603	
