time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0718	0.084	1.0991	-2.5191	-0.4351	-3.0305	
0.043	0.0168	-0.0437	1.0229	-3.1985	-1.229	-2.4351	
0.074	-0.0078	-0.1477	0.9841	-3.458	-1.8931	-1.1756	
0.099	0.0208	-0.0793	1.0303	-3.3206	-0.9695	-0.9618	
0.13	0.1047	0.0127	1.1519	-3.313	0.1527	-1.8779	
0.161	0.0347	-0.0198	1.0918	-2.1832	-0.4733	-1.4885	
0.191	0.063	0.0662	1.0767	-3.4122	-0.9008	-1.9466	
0.216	0.061	0.0237	1.136	-4.0458	-0.3511	-2.0153	
0.247	0.0217	-0.053	1.0476	-3.1298	-0.7405	-2.4504	
0.277	0.0288	-0.0696	1.0972	-2.687	-1.2443	-0.5649	
0.309	-0.002	0.0027	1.0889	-4.3817	-0.9771	-1.855	
0.334	0.0676	0.009	1.0764	-2.4885	-0.9847	-2.3206	
0.364	-0.0076	0.0237	1.0505	-2.7939	-1.4046	-1.7252	
0.395	-0.032	-0.1782	1.0417	-3.3664	-1.1069	-2.5115	
0.426	0.0269	-0.1123	1.071	-3.4809	-0.7863	-2.5878	
0.444	-0.0105	-0.0249	1.0576	-5.0611	-1.3282	-1.8855	
0.444	-0.0105	-0.0249	1.0576	-5.0611	-1.3282	-1.8855	
0.444	-0.0105	-0.0249	1.0576	-5.0611	-1.3282	-1.8855	
0.444	-0.0105	-0.0249	1.0576	-5.0611	-1.3282	-1.8855	
-0	1.0667	-4.4198	-1.1908	-0.7405	0	4.62428e-44	
-0	1.0667	-4.4198	-1.1908	-0.7405	0	4.62428e-44	
-0	1.0667	-4.4198	-1.1908	-0.7405	0	4.62428e-44	
-0	1.0667	-4.4198	-1.1908	-0.7405	0	4.62428e-44	
-0	1.0667	-4.4198	-1.1908	-0.7405	0	4.62428e-44	
0.599	0.0591	0.0227	1.0586	-2.0916	-0.458	-2.5878	
0.599	0.0591	0.0227	1.0586	-2.0916	-0.458	-2.5878	
0.599	0.0591	0.0227	1.0586	-2.0916	-0.458	-2.5878	
0.599	0.0591	0.0227	1.0586	-2.0916	-0.458	-2.5878	
0.599	0.0591	0.0227	1.0586	-2.0916	-0.458	-2.5878	
0.605	0.0032	-0.0273	1.0818	-3.7023	-0.3664	-1.2824	
0.605	0.0032	-0.0273	1.0818	-3.7023	-0.3664	-1.2824	
0.605	0.0032	-0.0273	1.0818	-3.7023	-0.3664	-1.2824	
0.605	0.0032	-0.0273	1.0818	-3.7023	-0.3664	-1.2824	
0.605	0.0032	-0.0273	1.0818	-3.7023	-0.3664	-1.2824	
0.605	0.0032	-0.0273	1.0818	-3.7023	-0.3664	-1.2824	
0.611	0.0557	-0.0027	1.0371	-2.4427	-0.5115	-1.9695	
0.611	0.0557	-0.0027	1.0371	-2.4427	-0.5115	-1.9695	
0.611	0.0557	-0.0027	1.0371	-2.4427	-0.5115	-1.9695	
0.611	0.0557	-0.0027	1.0371	-2.4427	-0.5115	-1.9695	
0.611	0.0557	-0.0027	1.0371	-2.4427	-0.5115	-1.9695	
0.617	0.0022	0.0149	1.1006	-2.2672	-0.9847	-2.7786	
0.617	0.0022	0.0149	1.1006	-2.2672	-0.9847	-2.7786	
0.617	0.0022	0.0149	1.1006	-2.2672	-0.9847	-2.7786	
0.617	0.0022	0.0149	1.1006	-2.2672	-0.9847	-2.7786	
