time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0674	-0.0659	1.1018	-2.2672	-0.4351	-2.3053	
0.043	0.0981	-0.0125	1.1035	-2.3435	-0.3359	-3.2595	
0.074	0.0078	-0.124	1.0967	-4.1145	-0.1679	-2.4733	
0.098	0.0532	0.0427	1.0654	-3.6641	-1.0382	-3.2748	
0.129	0.1052	-0.0034	1.0974	-3.3282	-0.771	-2.1221	
0.16	0.0742	-0.0869	1.0615	-3.5725	-1.0916	-1.0076	
0.192	0.0889	0.0588	1.0496	-2.542	-1.313	-1.6107	
0.216	-0.0483	-0.0735	1.033	-1.5191	-1.3664	-0.8626	
0.247	0.0244	-0.0623	1.0437	-5.2977	-1.3511	0.0611	
0.278	0.0771	0.0142	1.0986	-4.458	-0.8931	-1.9542	
0.308	-0.02	-0.0923	1.0735	-3.5038	-0.4122	-2.4122	
0.333	0.0264	-0.127	1.0532	-2.5878	-0.8626	-0.9389	
0.365	0.0476	-0.1599	1.0413	-3.9466	-0.8397	-1.8473	
0.395	0.0938	-0.0066	1.1147	-3.8855	-0.1298	-2.8092	
0.426	-0.0244	-0.0625	1.0281	-3.2824	-1.1756	-0.4504	
0.444	0.083	0.0803	1.0959	-1.9924	-0.916	-1.8168	
0.444	0.083	0.0803	1.0959	-1.9924	-0.916	-1.8168	
0.444	0.083	0.0803	1.0959	-1.9924	-0.916	-1.8168	
0.444	0.083	0.0803	1.0959	-1.9924	-0.916	-1.8168	
0.4403	-0.0496	1.0706	-3.5649	-0.4733	-3.5802	4.62428e-44	
0.4403	-0.0496	1.0706	-3.5649	-0.4733	-3.5802	4.62428e-44	
0.4403	-0.0496	1.0706	-3.5649	-0.4733	-3.5802	4.62428e-44	
0.4403	-0.0496	1.0706	-3.5649	-0.4733	-3.5802	4.62428e-44	
0.4403	-0.0496	1.0706	-3.5649	-0.4733	-3.5802	4.62428e-44	
0.4403	-0.0496	1.0706	-3.5649	-0.4733	-3.5802	4.62428e-44	
0.63	0.0103	-0.1243	1.0737	-3.8855	-1.2366	-0.5802	
0.63	0.0103	-0.1243	1.0737	-3.8855	-1.2366	-0.5802	
0.63	0.0103	-0.1243	1.0737	-3.8855	-1.2366	-0.5802	
0.63	0.0103	-0.1243	1.0737	-3.8855	-1.2366	-0.5802	
0.63	0.0103	-0.1243	1.0737	-3.8855	-1.2366	-0.5802	
0.63	0.0103	-0.1243	1.0737	-3.8855	-1.2366	-0.5802	
0.63	0.0103	-0.1243	1.0737	-3.8855	-1.2366	-0.5802	
0.636	0.0479	0.0298	1.0823	-1.9924	-0.5649	-3.4427	
0.636	0.0479	0.0298	1.0823	-1.9924	-0.5649	-3.4427	
0.636	0.0479	0.0298	1.0823	-1.9924	-0.5649	-3.4427	
0.636	0.0479	0.0298	1.0823	-1.9924	-0.5649	-3.4427	
0.636	0.0479	0.0298	1.0823	-1.9924	-0.5649	-3.4427	
0.642	0.0073	-0.1753	1.1064	-4.0763	-1.1221	-0.9695	
0.642	0.0073	-0.1753	1.1064	-4.0763	-1.1221	-0.9695	
0.642	0.0073	-0.1753	1.1064	-4.0763	-1.1221	-0.9695	
0.642	0.0073	-0.1753	1.1064	-4.0763	-1.1221	-0.9695	
0.642	0.0073	-0.1753	1.1064	-4.0763	-1.1221	-0.9695	
0.642	0.0073	-0.1753	1.1064	-4.0763	-1.1221	-0.9695	
0.648	0.0632	0.1108	1.0771	-5.5725	-0.7023	-2.3053	
0.648	0.0632	0.1108	1.0771	-5.5725	-0.7023	-2.3053	
0.648	0.0632	0.1108	1.0771	-5.5725	-0.7023	-2.3053	
0.648	0.0632	0.1108	1.0771	-5.5725	-0.7023	-2.3053	
0.648	0.0632	0.1108	1.0771	-5.5725	-0.7023	-2.3053	
0.654	0.0347	-0.0532	1.0339	-2.1756	-0.4809	-1.2901	
0.654	0.0347	-0.0532	1.0339	-2.1756	-0.4809	-1.2901	
0.654	0.0347	-0.0532	1.0339	-2.1756	-0.4809	-1.2901	
0.654	0.0347	-0.0532	1.0339	-2.1756	-0.4809	-1.2901	
0.654	0.0347	-0.0532	1.0339	-2.1756	-0.4809	-1.2901	
0.654	0.0347	-0.0532	1.0339	-2.1756	-0.4809	-1.2901	
0.661	0.0178	0.0088	1.0684	-4.084	-1.0611	-2.4885	
0.661	0.0178	0.0088	1.0684	-4.084	-1.0611	-2.4885	
0.661	0.0178	0.0088	1.0684	-4.084	-1.0611	-2.4885	
0.661	0.0178	0.0088	1.0684	-4.084	-1.0611	-2.4885	
0.661	0.0178	0.0088	1.0684	-4.084	-1.0611	-2.4885	
0.661	0.0178	0.0088	1.0684	-4.084	-1.0611	-2.4885	
0.667	0.0557	-0.1812	1.0562	-3.0687	-1.7405	-0.6183	
0.667	0.0557	-0.1812	1.0562	-3.0687	-1.7405	-0.6183	
0.667	0.0557	-0.1812	1.0562	-3.0687	-1.7405	-0.6183	
0.667	0.0557	-0.1812	1.0562	-3.0687	-1.7405	-0.6183	
0.667	0.0557	-0.1812	1.0562	-3.0687	-1.7405	-0.6183	
0.667	0.0557	-0.1812	1.0562	-3.0687	-1.7405	-0.6183	
0.673	0.0464	0.0066	1.1125	-2.4962	-0.3053	-3.4351	
0.673	0.0464	0.0066	1.1125	-2.4962	-0.3053	-3.4351	
0.673	0.0464	0.0066	1.1125	-2.4962	-0.3053	-3.4351	
0.673	0.0464	0.0066	1.1125	-2.4962	-0.3053	-3.4351	
0.673	0.0464	0.0066	1.1125	-2.4962	-0.3053	-3.4351	
0.673	0.0464	0.0066	1.1125	-2.4962	-0.3053	-3.4351	
0.679	0.0095	0.0435	0.9824	-2.0611	-1.8015	-0.3664	
0.679	0.0095	0.0435	0.9824	-2.0611	-1.8015	-0.3664	
0.679	0.0095	0.0435	0.9824	-2.0611	-1.8015	-0.3664	
0.679	0.0095	0.0435	0.9824	-2.0611	-1.8015	-0.3664	
0.679	0.0095	0.0435	0.9824	-2.0611	-1.8015	-0.3664	
0.685	0.1042	0.0344	1.1445	-3.916	-0.084	-2.8092	
0.685	0.1042	0.0344	1.1445	-3.916	-0.084	-2.8092	
0.685	0.1042	0.0344	1.1445	-3.916	-0.084	-2.8092	
0.685	0.1042	0.0344	1.1445	-3.916	-0.084	-2.8092	
0.685	0.1042	0.0344	1.1445	-3.916	-0.084	-2.8092	
0.685	0.1042	0.0344	1.1445	-3.916	-0.084	-2.8092	
0.691	-0.0647	-0.0955	1.0208	-5.5191	-1.2977	-0.8855	
0.691	-0.0647	-0.0955	1.0208	-5.5191	-1.2977	-0.8855	
0.691	-0.0647	-0.0955	1.0208	-5.5191	-1.2977	-0.8855	
0.691	-0.0647	-0.0955	1.0208	-5.5191	-1.2977	-0.8855	
0.691	-0.0647	-0.0955	1.0208	-5.5191	-1.2977	-0.8855	
0.691	-0.0647	-0.0955	1.0208	-5.5191	-1.2977	-0.8855	
0.697	0.1648	0.0266	1.1077	-3.4504	-0.2901	-2.5573	
0.697	0.1648	0.0266	1.1077	-3.4504	-0.2901	-2.5573	
0.697	0.1648	0.0266	1.1077	-3.4504	-0.2901	-2.5573	
0.697	0.1648	0.0266	1.1077	-3.4504	-0.2901	-2.5573	
0.697	0.1648	0.0266	1.1077	-3.4504	-0.2901	-2.5573	
0.697	0.1648	0.0266	1.1077	-3.4504	-0.2901	-2.5573	
0.704	-0.0923	-0.2581	1.1079	-4.3359	-0.9771	-1.3511	
0.704	-0.0923	-0.2581	1.1079	-4.3359	-0.9771	-1.3511	
0.704	-0.0923	-0.2581	1.1079	-4.3359	-0.9771	-1.3511	
0.704	-0.0923	-0.2581	1.1079	-4.3359	-0.9771	-1.3511	
0.704	-0.0923	-0.2581	1.1079	-4.3359	-0.9771	-1.3511	
0.704	-0.0923	-0.2581	1.1079	-4.3359	-0.9771	-1.3511	
0.71	0.0977	-0.0291	1.0737	-4.1908	-1.1069	-1.4733	
