time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0364	-0.0554	1.053	-3.9466	-1.6947	-2.1679	
0.043	0.0396	-0.1436	1.0471	-1.7634	-0.1603	-2.084	
0.074	0.0305	-0.1714	1.0996	-1.6565	0.1832	-2.4351	
0.105	0.0891	0.1064	1.0815	-5.5344	-0.2748	-2.0534	
0.13	0.054	0.0295	1.1067	-4.626	-1.145	-2.4504	
0.16	0.0022	-0.0332	1.0505	-3.4809	-1.4122	-2.1221	
0.191	0.0698	0.0452	1.062	-2.5496	-1.3817	-0.0534	
0.222	0.0295	-0.1228	1.0813	-1.4351	0.0076	-3.7176	
0.247	0.053	-0.0002	1.103	-3.9008	-0.6107	-2.2443	
0.277	0.0232	-0.1152	1.0906	-3.4885	-0.0305	-2.0153	
0.309	0.0793	0.1013	1.0364	-3.7023	-1.2443	-0.7634	
0.34	0.0137	0.1667	1.1008	-3.313	-1.6183	-1.8702	
0.364	0.009	-0.1262	1.084	-2.8626	-0.4198	-1.9695	
0.395	-0.0278	-0.0762	1.0889	-3.374	-0.8473	-1.9237	
0.426	0.0251	-0.0522	1.1389	-3.771	-0.5496	-0.626	
0.444	0.0488	0.1816	0.9995	-3.9542	-1.3893	-1.2595	
0.444	0.0488	0.1816	0.9995	-3.9542	-1.3893	-1.2595	
0.444	0.0488	0.1816	0.9995	-3.9542	-1.3893	-1.2595	
0.450009	-2	0	0	0	0	6.86636e-44	
0.450009	-2	0	0	0	0	6.86636e-44	
0.450009	-2	0	0	0	0	6.86636e-44	
0.611	0.0188	-0.1174	1.0796	-3.6947	-0.1145	-1.8626	
0.611	0.0188	-0.1174	1.0796	-3.6947	-0.1145	-1.8626	
0.611	0.0188	-0.1174	1.0796	-3.6947	-0.1145	-1.8626	
0.611	0.0188	-0.1174	1.0796	-3.6947	-0.1145	-1.8626	
0.611	0.0188	-0.1174	1.0796	-3.6947	-0.1145	-1.8626	
0.617	0.0298	-0.0828	1.052	-4.4809	-0.9618	-1.9847	
0.617	0.0298	-0.0828	1.052	-4.4809	-0.9618	-1.9847	
0.617	0.0298	-0.0828	1.052	-4.4809	-0.9618	-1.9847	
0.617	0.0298	-0.0828	1.052	-4.4809	-0.9618	-1.9847	
0.617	0.0298	-0.0828	1.052	-4.4809	-0.9618	-1.9847	
0.617	0.0298	-0.0828	1.052	-4.4809	-0.9618	-1.9847	
0.617	0.0298	-0.0828	1.052	-4.4809	-0.9618	-1.9847	
0.623	0.0107	-0.1475	1.0583	-3.5267	-1.3206	-2.2824	
0.623	0.0107	-0.1475	1.0583	-3.5267	-1.3206	-2.2824	
0.623	0.0107	-0.1475	1.0583	-3.5267	-1.3206	-2.2824	
0.623	0.0107	-0.1475	1.0583	-3.5267	-1.3206	-2.2824	
0.623	0.0107	-0.1475	1.0583	-3.5267	-1.3206	-2.2824	
0.629	0.0354	-0.0588	1.0515	-0.0229	-1.2443	-1.8015	
0.629	0.0354	-0.0588	1.0515	-0.0229	-1.2443	-1.8015	
0.629	0.0354	-0.0588	1.0515	-0.0229	-1.2443	-1.8015	
