time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.016	-0.0063	0.0391	0.967	1.9402	-0.0166	0.0151	
0.057	-0.0144	-0.1157	1.0369	1.9402	-0.0222	0.0149	
0.098	-0.0156	-0.0435	1.0183	1.9401	-0.0242	0.0148	
0.138	-0.0239	0.0012	0.9983	1.9401	-0.0228	0.0167	
0.179	-0.0261	0.0205	1.0352	1.9403	-0.0194	0.0167	
0.22	0.0227	0.0422	0.9863	1.9405	-0.0157	0.0157	
0.26	0.0425	-0.0674	1.0117	1.9404	-0.0161	0.0146	
0.301	0.019	-0.0513	0.9905	1.9407	-0.0132	0.0166	
0.334	0.0186	-0.1401	0.9951	1.9404	-0.0124	0.0165	
0.375	-0.0129	-0.075	1.0159	1.9406	-0.0133	0.0175	
0.416	-0.0398	-0.0134	0.9966	1.9406	-0.0149	0.0183	
0.457	-0.0652	0.0195	0.9639	1.9408	-0.017	0.0182	
0.497	-0.0383	-0.0549	0.9719	1.9408	-0.0186	0.0179	
0.538	0.0422	0.1816	0.9812	1.9406	-0.0169	0.0179	
0.579	0.0188	-0.0725	1.0291	1.9407	-0.0194	0.0192	
0.579	0.0188	-0.0725	1.0291	1.9407	-0.0194	0.0192	
0.579	0.0188	-0.0725	1.0291	1.9407	-0.0194	0.0192	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.587	-0.0269	-0.0164	0.989	1.9407	-0.0186	0.0212	
0.595	-0.0251	-0.0706	0.9812	1.9406	-0.0208	0.0215	
0.595	-0.0251	-0.0706	0.9812	1.9406	-0.0208	0.0215	
0.595	-0.0251	-0.0706	0.9812	1.9406	-0.0208	0.0215	
0.595	-0.0251	-0.0706	0.9812	1.9406	-0.0208	0.0215	
0.595	-0.0251	-0.0706	0.9812	1.9406	-0.0208	0.0215	
0.595	-0.0251	-0.0706	0.9812	1.9406	-0.0208	0.0215	
