time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0417	0.0747	1.0928	70.3929	-3.5206	-1.545	
0.08	0.0164	-0.0156	1.0796	70.1501	-3.4613	-1.4646	
0.13	0.0322	0.0317	1.0579	69.932	-3.8824	-1.6818	
0.17	0.0244	-0.0505	1.0381	69.7232	-3.574	-1.6257	
0.22	0.0432	-0.0066	1.0757	69.5069	-3.7716	-1.6371	
0.27	0.0576	-0.0305	1.054	69.2748	-3.8618	-1.6898	
0.32	0.0459	-0.0867	1.1165	69.021	-3.6524	-1.85	
0.36	0.0068	0.0544	1.0442	68.8199	-3.3169	-1.728	
0.41	0.022	-0.0503	1.0984	68.5955	-3.4244	-1.7854	
0.46	0.0303	-0.0737	1.0789	68.3399	-3.3853	-1.6824	
0.51	0.0181	-0.1226	1.0974	68.0932	-4.1032	-1.8488	
0.54	0.0042	-0.0342	1.0681	67.9433	-4.0304	-1.7585	
0.55	0.0178	0.0359	1.0444	67.9124	-3.8804	-1.7853	
0.55	0.0178	0.0359	1.0444	67.9124	-3.8804	-1.7853	
0.56	0.0381	-0.0693	1.0662	67.8832	-3.9762	-1.7995	
0.56	0.0381	-0.0693	1.0662	67.8832	-3.9762	-1.7995	
0.56	0.0381	-0.0693	1.0662	67.8832	-3.9762	-1.7995	
0.57	0.0068	-0.019	1.0571	67.8452	-3.9244	-1.7888	
0.57	0.0068	-0.019	1.0571	67.8452	-3.9244	-1.7888	
0.57	0.0068	-0.019	1.0571	67.8452	-3.9244	-1.7888	
0.58	0.0188	-0.156	1.1089	67.7832	-3.9169	-1.769	
0.58	0.0188	-0.156	1.1089	67.7832	-3.9169	-1.769	
0.59	0.0115	-0.1663	1.0745	67.7463	-4.0198	-1.5964	
0.59	0.0115	-0.1663	1.0745	67.7463	-4.0198	-1.5964	
0.59	0.0115	-0.1663	1.0745	67.7463	-4.0198	-1.5964	
0.6	0.03	0.0496	1.082	67.7122	-4.0841	-1.5914	
0.6	0.03	0.0496	1.082	67.7122	-4.0841	-1.5914	
0.61	-0.0247	-0.0642	1.0706	67.6417	-3.9776	-1.4375	
0.61	-0.0247	-0.0642	1.0706	67.6417	-3.9776	-1.4375	
0.61	-0.0247	-0.0642	1.0706	67.6417	-3.9776	-1.4375	
0.62	0.019	-0.0811	1.0391	67.5833	-4.0134	-1.3721	
0.62	0.019	-0.0811	1.0391	67.5833	-4.0134	-1.3721	
0.63	0.0244	-0.0032	1.0432	67.5467	-3.952	-1.5001	
0.63	0.0244	-0.0032	1.0432	67.5467	-3.952	-1.5001	
0.63	0.0244	-0.0032	1.0432	67.5467	-3.952	-1.5001	
0.64	0.0122	-0.1707	1.073	67.4951	-3.7828	-1.5175	
0.64	0.0122	-0.1707	1.073	67.4951	-3.7828	-1.5175	
0.65	0.0337	0.0098	1.0427	67.4306	-3.9643	-1.598	
0.65	0.0337	0.0098	1.0427	67.4306	-3.9643	-1.598	
0.65	0.0337	0.0098	1.0427	67.4306	-3.9643	-1.598	
0.66	0.0027	-0.0181	1.1331	67.388	-3.9551	-1.4583	
0.66	0.0027	-0.0181	1.1331	67.388	-3.9551	-1.4583	
0.67	0.0544	-0.1104	1.0525	67.3439	-3.8057	-1.4751	
0.67	0.0544	-0.1104	1.0525	67.3439	-3.8057	-1.4751	
0.67	0.0544	-0.1104	1.0525	67.3439	-3.8057	-1.4751	
0.68	0.0383	-0.0588	1.1567	67.3035	-3.8262	-1.5254	
0.68	0.0383	-0.0588	1.1567	67.3035	-3.8262	-1.5254	
0.69	0.0493	0.0923	1.0549	67.2322	-3.6024	-1.598	
0.69	0.0493	0.0923	1.0549	67.2322	-3.6024	-1.598	
0.69	0.0493	0.0923	1.0549	67.2322	-3.6024	-1.598	
0.7	0.0388	-0.0518	1.0925	67.1854	-3.6953	-1.6984	
0.7	0.0388	-0.0518	1.0925	67.1854	-3.6953	-1.6984	
0.71	0.0107	-0.019	1.0813	67.1439	-3.7448	-1.7339	
0.71	0.0107	-0.019	1.0813	67.1439	-3.7448	-1.7339	
0.71	0.0107	-0.019	1.0813	67.1439	-3.7448	-1.7339	
0.72	0.0476	0.1187	1.0532	67.07	-3.5066	-1.7339	
0.72	0.0476	0.1187	1.0532	67.07	-3.5066	-1.7339	
0.73	0.0144	-0.1726	1.0889	67.0326	-3.8133	-1.7345	
0.73	0.0144	-0.1726	1.0889	67.0326	-3.8133	-1.7345	
0.73	0.0144	-0.1726	1.0889	67.0326	-3.8133	-1.7345	
0.74	0.0151	0.0989	1.083	66.9846	-3.8192	-1.7229	
0.74	0.0151	0.0989	1.083	66.9846	-3.8192	-1.7229	
0.74	0.0151	0.0989	1.083	66.9846	-3.8192	-1.7229	
0.75	0.0264	-0.0591	1.0637	66.9375	-3.6713	-1.7516	
0.75	0.0264	-0.0591	1.0637	66.9375	-3.6713	-1.7516	
0.76	0.0146	-0.1904	1.0774	66.8783	-3.9174	-1.6818	
0.76	0.0146	-0.1904	1.0774	66.8783	-3.9174	-1.6818	
0.76	0.0146	-0.1904	1.0774	66.8783	-3.9174	-1.6818	
0.77	0.0513	0.1101	1.0959	66.8356	-3.9402	-1.6454	
0.77	0.0513	0.1101	1.0959	66.8356	-3.9402	-1.6454	
0.78	0.0061	-0.1416	1.0818	66.7916	-3.8107	-1.7198	
0.78	0.0061	-0.1416	1.0818	66.7916	-3.8107	-1.7198	
0.78	0.0061	-0.1416	1.0818	66.7916	-3.8107	-1.7198	
0.79	0.0066	-0.0471	1.0625	66.7577	-4.1013	-1.6791	
0.79	0.0066	-0.0471	1.0625	66.7577	-4.1013	-1.6791	
0.8	0.052	0.0083	1.114	66.683	-3.8722	-1.6825	
0.8	0.052	0.0083	1.114	66.683	-3.8722	-1.6825	
0.8	0.052	0.0083	1.114	66.683	-3.8722	-1.6825	
0.81	-0.0066	-0.1843	1.0852	66.6295	-3.7091	-1.6775	
0.81	-0.0066	-0.1843	1.0852	66.6295	-3.7091	-1.6775	
0.82	0.0515	0.0481	1.0808	66.5917	-3.993	-1.6926	
0.82	0.0515	0.0481	1.0808	66.5917	-3.993	-1.6926	
0.82	0.0515	0.0481	1.0808	66.5917	-3.993	-1.6926	
0.83	0.0352	0.042	1.0891	66.5208	-3.7514	-1.7401	
0.83	0.0352	0.042	1.0891	66.5208	-3.7514	-1.7401	
0.84	0.0242	-0.1016	1.0459	66.4744	-3.8219	-1.7027	
0.84	0.0242	-0.1016	1.0459	66.4744	-3.8219	-1.7027	
0.84	0.0242	-0.1016	1.0459	66.4744	-3.8219	-1.7027	
0.85	0.0315	0.0291	1.073	66.432	-3.8794	-1.7216	
