time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0559	-0.0342	1.0676	-146.639	-3.683	-1.4846	
0.08	0.0762	-0.0837	1.1274	-146.86	-3.5683	-1.4794	
0.12	0.0405	-0.0251	1.1021	-147.071	-3.6377	-1.5577	
0.17	0.0566	-0.156	1.0779	-147.299	-3.6987	-1.8477	
0.21	-0.0281	0.0508	1.0825	-147.489	-3.773	-1.7545	
0.26	0.0388	-0.0989	1.1433	-147.735	-3.5942	-1.8896	
0.3	-0.0247	-0.0625	1.0615	-147.934	-3.5845	-1.8113	
0.35	0.0242	-0.0127	1.0447	-148.152	-3.7292	-1.7253	
0.39	0.0781	-0.075	1.0947	-148.378	-3.4928	-1.7404	
0.44	-0.0425	-0.1545	1.0767	-148.62	-3.5703	-1.8115	
0.48	0.054	0.0022	1.061	-148.813	-3.2303	-1.7363	
0.51	0.0422	0.0288	1.0586	-148.935	-3.1659	-1.8674	
0.51	0.0422	0.0288	1.0586	-148.935	-3.1659	-1.8674	
0.52	-0.0303	-0.0845	1.0776	-148.978	-3.3232	-1.7459	
0.52	-0.0303	-0.0845	1.0776	-148.978	-3.3232	-1.7459	
0.52	-0.0303	-0.0845	1.0776	-148.978	-3.3232	-1.7459	
0.53	-0.0105	0.0073	1.1011	-149.023	-3.3203	-1.6748	
0.53	-0.0105	0.0073	1.1011	-149.023	-3.3203	-1.6748	
0.54	0.0371	-0.041	1.0818	-149.111	-3.091	-1.7425	
0.54	0.0371	-0.041	1.0818	-149.111	-3.091	-1.7425	
0.54	0.0371	-0.041	1.0818	-149.111	-3.091	-1.7425	
0.55	0.0388	0.0056	1.0466	-149.141	-3.0649	-1.656	
0.55	0.0388	0.0056	1.0466	-149.141	-3.0649	-1.656	
0.56	0.0073	-0.0396	1.0649	-149.17	-3.1424	-1.6803	
0.56	0.0073	-0.0396	1.0649	-149.17	-3.1424	-1.6803	
0.56	0.0073	-0.0396	1.0649	-149.17	-3.1424	-1.6803	
0.57	0.0115	0.0149	1.1382	-149.223	-3.0099	-1.5787	
0.57	0.0115	0.0149	1.1382	-149.223	-3.0099	-1.5787	
0.58	0.043	-0.0708	1.0947	-149.3	-3.1561	-1.5879	
0.58	0.043	-0.0708	1.0947	-149.3	-3.1561	-1.5879	
0.58	0.043	-0.0708	1.0947	-149.3	-3.1561	-1.5879	
0.59	0.0464	-0.0596	1.1143	-149.328	-3.1834	-1.5933	
0.59	0.0464	-0.0596	1.1143	-149.328	-3.1834	-1.5933	
0.6	0.0132	-0.0234	1.0686	-149.37	-3.1279	-1.7914	
0.6	0.0132	-0.0234	1.0686	-149.37	-3.1279	-1.7914	
0.6	0.0132	-0.0234	1.0686	-149.37	-3.1279	-1.7914	
0.61	-0.0706	-0.0398	1.071	-149.46	-3.0194	-1.6017	
0.61	-0.0706	-0.0398	1.071	-149.46	-3.0194	-1.6017	
0.61	-0.0706	-0.0398	1.071	-149.46	-3.0194	-1.6017	
0.62	0.1096	0.0239	1.0713	-149.494	-3.0702	-1.7761	
0.62	0.1096	0.0239	1.0713	-149.494	-3.0702	-1.7761	
0.63	-0.0701	0.1467	1.0696	-149.518	-3.1227	-1.6992	
0.63	-0.0701	0.1467	1.0696	-149.518	-3.1227	-1.6992	
0.63	-0.0701	0.1467	1.0696	-149.518	-3.1227	-1.6992	
0.64	0.0674	-0.0481	1.1147	-149.548	-3.1987	-1.7222	
0.64	0.0674	-0.0481	1.1147	-149.548	-3.1987	-1.7222	
0.65	0.0447	-0.0676	1.0845	-149.616	-3.2137	-1.8635	
0.65	0.0447	-0.0676	1.0845	-149.616	-3.2137	-1.8635	
0.65	0.0447	-0.0676	1.0845	-149.616	-3.2137	-1.8635	
0.66	0.1299	-0.0874	1.0942	-149.645	-3.2998	-1.8872	
0.66	0.1299	-0.0874	1.0942	-149.645	-3.2998	-1.8872	
0.67	0.0066	-0.1602	1.0842	-149.683	-3.1793	-1.7951	
