time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0173	0.0352	1.072	-3.3217	-3.6105	-1.7092	
0.08	0.0376	-0.0691	1.0762	-3.6228	-3.6207	-1.812	
0.13	-0.02	0.0469	1.0811	-3.8808	-3.2549	-1.8595	
0.17	0.071	-0.0537	1.0725	-4.0771	-3.4964	-1.9274	
0.22	0.103	-0.0933	1.1216	-4.343	-3.3174	-2.0972	
0.27	0.0613	-0.0281	1.063	-4.6313	-3.3021	-2.17	
0.32	0.0378	-0.0056	1.0742	-4.8663	-3.0833	-1.8075	
0.36	0.0457	-0.0291	1.0618	-5.1254	-2.7289	-1.7915	
0.41	-0.0442	-0.0569	1.0791	-5.3752	-3.2167	-1.71	
0.46	-0.03	-0.0652	1.0627	-5.6125	-3.2339	-1.6993	
0.49	0.0803	-0.0352	1.1077	-5.782	-3.0916	-1.9172	
0.49	0.0803	-0.0352	1.1077	-5.782	-3.0916	-1.9172	
0.5	0.0217	-0.0688	1.0544	-5.8291	-3.1466	-1.9374	
0.5	0.0217	-0.0688	1.0544	-5.8291	-3.1466	-1.9374	
0.51	0.0298	-0.1333	1.0969	-5.8806	-3.1938	-1.8357	
0.51	0.0298	-0.1333	1.0969	-5.8806	-3.1938	-1.8357	
0.51	0.0298	-0.1333	1.0969	-5.8806	-3.1938	-1.8357	
0.52	-0.002	-0.0579	1.0842	-5.9471	-3.2525	-1.7328	
0.52	-0.002	-0.0579	1.0842	-5.9471	-3.2525	-1.7328	
0.53	0.0378	-0.0164	1.0925	-5.9876	-3.0977	-1.7867	
0.53	0.0378	-0.0164	1.0925	-5.9876	-3.0977	-1.7867	
0.53	0.0378	-0.0164	1.0925	-5.9876	-3.0977	-1.7867	
0.54	0.0178	-0.0825	1.0879	-6.0327	-3.0099	-1.7218	
0.54	0.0178	-0.0825	1.0879	-6.0327	-3.0099	-1.7218	
0.55	0.0527	0.0095	1.0928	-6.0726	-3.1211	-1.5836	
0.55	0.0527	0.0095	1.0928	-6.0726	-3.1211	-1.5836	
0.55	0.0527	0.0095	1.0928	-6.0726	-3.1211	-1.5836	
0.56	0.0259	0.1431	1.1145	-6.1597	-2.9091	-1.6653	
0.56	0.0259	0.1431	1.1145	-6.1597	-2.9091	-1.6653	
0.57	-0.0037	-0.0083	1.074	-6.2106	-2.9775	-1.6693	
0.57	-0.0037	-0.0083	1.074	-6.2106	-2.9775	-1.6693	
0.57	-0.0037	-0.0083	1.074	-6.2106	-2.9775	-1.6693	
0.58	0.0547	0.0293	1.0522	-6.2649	-2.9986	-1.6726	
0.58	0.0547	0.0293	1.0522	-6.2649	-2.9986	-1.6726	
0.58	0.0547	0.0293	1.0522	-6.2649	-2.9986	-1.6726	
0.59	0.0186	-0.0725	1.0823	-6.3182	-2.8063	-1.7597	
0.59	0.0186	-0.0725	1.0823	-6.3182	-2.8063	-1.7597	
0.6	-0.0293	-0.1438	1.0496	-6.377	-3.2087	-1.6555	
0.6	-0.0293	-0.1438	1.0496	-6.377	-3.2087	-1.6555	
0.61	0.04	0.1228	1.0906	-6.4223	-3.2762	-1.6509	
0.61	0.04	0.1228	1.0906	-6.4223	-3.2762	-1.6509	
0.61	0.04	0.1228	1.0906	-6.4223	-3.2762	-1.6509	
0.62	0.0408	-0.0352	1.126	-6.4636	-3.3662	-1.6543	
0.62	0.0408	-0.0352	1.126	-6.4636	-3.3662	-1.6543	
0.63	0.0132	-0.0176	1.0972	-6.5095	-3.3665	-1.6188	
0.63	0.0132	-0.0176	1.0972	-6.5095	-3.3665	-1.6188	
0.63	0.0132	-0.0176	1.0972	-6.5095	-3.3665	-1.6188	
0.64	0.0701	0.0469	1.0842	-6.5569	-3.2258	-1.6427	
0.64	0.0701	0.0469	1.0842	-6.5569	-3.2258	-1.6427	
0.64	0.0701	0.0469	1.0842	-6.5569	-3.2258	-1.6427	
0.65	0.0222	0.002	1.0645	-6.6124	-3.0742	-1.7206	
0.65	0.0222	0.002	1.0645	-6.6124	-3.0742	-1.7206	
0.66	0.0544	0.051	1.0818	-6.6619	-2.9517	-1.6447	
0.66	0.0544	0.051	1.0818	-6.6619	-2.9517	-1.6447	
0.66	0.0544	0.051	1.0818	-6.6619	-2.9517	-1.6447	
0.67	0.041	0.0032	1.1035	-6.759	-2.6955	-1.736	
0.67	0.041	0.0032	1.1035	-6.759	-2.6955	-1.736	
0.68	-0.0193	-0.1138	1.0498	-6.7915	-2.8972	-1.8368	
0.68	-0.0193	-0.1138	1.0498	-6.7915	-2.8972	-1.8368	
0.68	-0.0193	-0.1138	1.0498	-6.7915	-2.8972	-1.8368	
0.69	0.0667	0.0796	1.0974	-6.8333	-2.9396	-1.7703	
0.69	0.0667	0.0796	1.0974	-6.8333	-2.9396	-1.7703	
0.7	0.0659	-0.0571	1.074	-6.9089	-2.8329	-1.977	
0.7	0.0659	-0.0571	1.074	-6.9089	-2.8329	-1.977	
0.7	0.0659	-0.0571	1.074	-6.9089	-2.8329	-1.977	
0.71	-0.0303	-0.123	1.0769	-6.95	-2.9585	-1.8088	
0.71	-0.0303	-0.123	1.0769	-6.95	-2.9585	-1.8088	
0.72	0.1003	0.0383	1.0664	-6.9877	-3.0111	-1.8503	
0.72	0.1003	0.0383	1.0664	-6.9877	-3.0111	-1.8503	
0.72	0.1003	0.0383	1.0664	-6.9877	-3.0111	-1.8503	
0.73	0.0098	0.052	1.0813	-7.0287	-2.8805	-1.9323	
0.73	0.0098	0.052	1.0813	-7.0287	-2.8805	-1.9323	
0.74	0.0593	-0.1206	1.0725	-7.1146	-2.8726	-1.9146	
0.74	0.0593	-0.1206	1.0725	-7.1146	-2.8726	-1.9146	
0.74	0.0593	-0.1206	1.0725	-7.1146	-2.8726	-1.9146	
0.75	0.0708	-0.0105	1.0806	-7.1413	-2.9387	-2.0321	
0.75	0.0708	-0.0105	1.0806	-7.1413	-2.9387	-2.0321	
0.76	0.0044	0.0859	1.0947	-7.1676	-3.0325	-2.0022	
0.76	0.0044	0.0859	1.0947	-7.1676	-3.0325	-2.0022	
0.76	0.0044	0.0859	1.0947	-7.1676	-3.0325	-2.0022	
0.77	0.0154	-0.0991	1.0986	-7.2048	-3.1094	-2.0099	
0.77	0.0154	-0.0991	1.0986	-7.2048	-3.1094	-2.0099	
0.78	-0.0098	0.0396	1.1494	-7.2514	-3.2812	-1.9944	
0.78	-0.0098	0.0396	1.1494	-7.2514	-3.2812	-1.9944	
0.78	-0.0098	0.0396	1.1494	-7.2514	-3.2812	-1.9944	
0.79	0.0552	0.0347	1.0967	-7.3141	-3.1323	-1.9529	
0.79	0.0552	0.0347	1.0967	-7.3141	-3.1323	-1.9529	
0.8	0.0977	0.0251	1.1213	-7.3388	-3.2204	-1.9849	
0.8	0.0977	0.0251	1.1213	-7.3388	-3.2204	-1.9849	
0.8	0.0977	0.0251	1.1213	-7.3388	-3.2204	-1.9849	
0.81	0.021	0.0276	1.0979	-7.3909	-2.9939	-1.9687	
0.81	0.021	0.0276	1.0979	-7.3909	-2.9939	-1.9687	
0.82	0.0374	0.0034	1.0801	-7.4371	-2.8847	-1.9232	
0.82	0.0374	0.0034	1.0801	-7.4371	-2.8847	-1.9232	
0.82	0.0374	0.0034	1.0801	-7.4371	-2.8847	-1.9232	
0.83	0.0259	-0.0088	1.0698	-7.4778	-2.9759	-1.9506	
0.83	0.0259	-0.0088	1.0698	-7.4778	-2.9759	-1.9506	
0.84	0.0144	0.1462	1.0801	-7.5032	-2.9284	-1.8261	
0.84	0.0144	0.1462	1.0801	-7.5032	-2.9284	-1.8261	
0.84	0.0144	0.1462	1.0801	-7.5032	-2.9284	-1.8261	
0.85	0.0181	-0.0581	1.1091	-7.55	-3.0477	-1.759	
0.85	0.0181	-0.0581	1.1091	-7.55	-3.0477	-1.759	
0.85	0.0181	-0.0581	1.1091	-7.55	-3.0477	-1.759	
0.86	0.0598	-0.147	1.1084	-7.5922	-3.1249	-1.75	
0.86	0.0598	-0.147	1.1084	-7.5922	-3.1249	-1.75	
0.87	0.0696	0.1655	1.0991	-7.6384	-2.9671	-1.7413	
0.87	0.0696	0.1655	1.0991	-7.6384	-2.9671	-1.7413	
0.87	0.0696	0.1655	1.0991	-7.6384	-2.9671	-1.7413	
0.88	0.0259	-0.0371	1.095	-7.6783	-3.0505	-1.7505	
0.88	0.0259	-0.0371	1.095	-7.6783	-3.0505	-1.7505	
0.89	0.0371	-0.0137	1.0657	-7.7285	-3.0497	-1.7334	
0.89	0.0371	-0.0137	1.0657	-7.7285	-3.0497	-1.7334	
0.89	0.0371	-0.0137	1.0657	-7.7285	-3.0497	-1.7334	
0.9	0.0569	0.0925	1.0757	-7.7745	-2.8736	-1.722	
0.9	0.0569	0.0925	1.0757	-7.7745	-2.8736	-1.722	
0.91	0.0417	-0.1204	1.0671	-7.8274	-2.9237	-1.7646	
0.91	0.0417	-0.1204	1.0671	-7.8274	-2.9237	-1.7646	
0.91	0.0417	-0.1204	1.0671	-7.8274	-2.9237	-1.7646	
0.92	0.0017	0.0046	1.0784	-7.8564	-3.1498	-1.9036	
0.92	0.0017	0.0046	1.0784	-7.8564	-3.1498	-1.9036	
0.93	0.0405	-0.0603	1.0688	-7.9137	-3.0786	-1.9366	
0.93	0.0405	-0.0603	1.0688	-7.9137	-3.0786	-1.9366	
0.93	0.0405	-0.0603	1.0688	-7.9137	-3.0786	-1.9366	
0.94	0.021	0.0085	1.0762	-7.9497	-3.1112	-1.8706	
0.94	0.021	0.0085	1.0762	-7.9497	-3.1112	-1.8706	
0.95	0.0229	-0.1096	1.0483	-7.9904	-3.186	-1.8625	
0.95	0.0229	-0.1096	1.0483	-7.9904	-3.186	-1.8625	
0.95	0.0229	-0.1096	1.0483	-7.9904	-3.186	-1.8625	
0.96	-0.0183	-0.0271	1.0452	-8.0496	-3.2003	-1.763	
0.96	-0.0183	-0.0271	1.0452	-8.0496	-3.2003	-1.763	
0.97	0.032	-0.0273	1.032	-8.0965	-3.0592	-1.8332	
0.97	0.032	-0.0273	1.032	-8.0965	-3.0592	-1.8332	
0.97	0.032	-0.0273	1.032	-8.0965	-3.0592	-1.8332	
0.98	-0.0142	-0.1152	1.0078	-8.1394	-3.0147	-1.7089	
0.98	-0.0142	-0.1152	1.0078	-8.1394	-3.0147	-1.7089	
0.99	-0.04	-0.2134	1.0249	-8.1866	-3.0295	-1.6938	
0.99	-0.04	-0.2134	1.0249	-8.1866	-3.0295	-1.6938	
0.99	-0.04	-0.2134	1.0249	-8.1866	-3.0295	-1.6938	
1	0.019	-0.1624	1.0942	-8.248	-3.2252	-1.7254	
1	0.019	-0.1624	1.0942	-8.248	-3.2252	-1.7254	
1.01	0.0037	-0.1379	1.031	-8.2701	-3.2874	-1.6876	
1.01	0.0037	-0.1379	1.031	-8.2701	-3.2874	-1.6876	
1.01	0.0037	-0.1379	1.031	-8.2701	-3.2874	-1.6876	
1.02	0.0449	-0.041	1.0691	-8.3054	-3.4381	-1.6655	
1.02	0.0449	-0.041	1.0691	-8.3054	-3.4381	-1.6655	
1.03	-0.0239	-0.1492	1.0837	-8.3459	-3.2795	-1.7117	
1.03	-0.0239	-0.1492	1.0837	-8.3459	-3.2795	-1.7117	
1.03	-0.0239	-0.1492	1.0837	-8.3459	-3.2795	-1.7117	
1.04	0.0371	-0.063	1.1553	-8.4056	-3.4538	-1.6576	
1.04	0.0371	-0.063	1.1553	-8.4056	-3.4538	-1.6576	
1.04	0.0371	-0.063	1.1553	-8.4056	-3.4538	-1.6576	
1.05	0.0332	-0.0593	1.0664	-8.4441	-3.5291	-1.765	
1.05	0.0332	-0.0593	1.0664	-8.4441	-3.5291	-1.765	
1.06	0.0059	0.0923	1.1321	-8.4871	-3.3909	-1.7378	
1.06	0.0059	0.0923	1.1321	-8.4871	-3.3909	-1.7378	
1.06	0.0059	0.0923	1.1321	-8.4871	-3.3909	-1.7378	
1.07	0.1436	-0.0173	1.123	-8.5675	-3.4003	-1.9458	
1.07	0.1436	-0.0173	1.123	-8.5675	-3.4003	-1.9458	
1.08	-0.0266	-0.0459	1.0957	-8.5778	-3.4671	-1.7371	
1.08	-0.0266	-0.0459	1.0957	-8.5778	-3.4671	-1.7371	
1.08	-0.0266	-0.0459	1.0957	-8.5778	-3.4671	-1.7371	
1.09	0.0898	0.0645	1.0635	-8.6338	-3.3241	-1.7332	
1.09	0.0898	0.0645	1.0635	-8.6338	-3.3241	-1.7332	
1.1	0.0984	-0.0474	1.114	-8.6784	-3.3756	-1.8402	
1.1	0.0984	-0.0474	1.114	-8.6784	-3.3756	-1.8402	
1.1	0.0984	-0.0474	1.114	-8.6784	-3.3756	-1.8402	
1.11	-0.0298	0.0095	1.0723	-8.7187	-3.3541	-1.7655	
1.11	-0.0298	0.0095	1.0723	-8.7187	-3.3541	-1.7655	
1.12	0.0271	-0.0562	1.106	-8.7728	-3.2347	-1.677	
1.12	0.0271	-0.0562	1.106	-8.7728	-3.2347	-1.677	
1.12	0.0271	-0.0562	1.106	-8.7728	-3.2347	-1.677	
1.13	0.0393	-0.0342	1.0659	-8.8113	-3.1932	-1.8434	
1.13	0.0393	-0.0342	1.0659	-8.8113	-3.1932	-1.8434	
1.14	-0.0286	-0.0378	1.0293	-8.8633	-3.0307	-1.8055	
1.14	-0.0286	-0.0378	1.0293	-8.8633	-3.0307	-1.8055	
1.14	-0.0286	-0.0378	1.0293	-8.8633	-3.0307	-1.8055	
1.15	0.0544	-0.1072	1.0796	-8.9237	-3.1533	-1.8854	
1.15	0.0544	-0.1072	1.0796	-8.9237	-3.1533	-1.8854	
1.16	-0.0103	-0.0864	1.0776	-8.9518	-3.2361	-1.9001	
1.16	-0.0103	-0.0864	1.0776	-8.9518	-3.2361	-1.9001	
1.16	-0.0103	-0.0864	1.0776	-8.9518	-3.2361	-1.9001	
1.17	0.1008	-0.0061	1.0828	-8.986	-3.3886	-1.7574	
1.17	0.1008	-0.0061	1.0828	-8.986	-3.3886	-1.7574	
1.18	0.0491	-0.002	1.052	-9.0285	-3.368	-1.9801	
1.18	0.0491	-0.002	1.052	-9.0285	-3.368	-1.9801	
1.18	0.0491	-0.002	1.052	-9.0285	-3.368	-1.9801	
1.19	-0.001	-0.0237	1.0449	-9.0909	-3.2353	-1.8424	
1.19	-0.001	-0.0237	1.0449	-9.0909	-3.2353	-1.8424	
1.2	0.0762	-0.0593	1.0903	-9.1296	-3.449	-1.8305	
1.2	0.0762	-0.0593	1.0903	-9.1296	-3.449	-1.8305	
1.2	0.0762	-0.0593	1.0903	-9.1296	-3.449	-1.8305	
1.21	0.0149	-0.0537	1.0586	-9.1582	-3.4414	-2.0497	
1.21	0.0149	-0.0537	1.0586	-9.1582	-3.4414	-2.0497	
1.22	-0.0073	-0.0051	1.0518	-9.2454	-3.2731	-1.8651	
1.22	-0.0073	-0.0051	1.0518	-9.2454	-3.2731	-1.8651	
1.22	-0.0073	-0.0051	1.0518	-9.2454	-3.2731	-1.8651	
1.23	0.0693	-0.1965	1.0916	-9.2926	-3.3437	-1.9671	
1.23	0.0693	-0.1965	1.0916	-9.2926	-3.3437	-1.9671	
1.24	-0.0437	-0.1292	1.1055	-9.3122	-3.3934	-1.9287	
1.24	-0.0437	-0.1292	1.1055	-9.3122	-3.3934	-1.9287	
1.24	-0.0437	-0.1292	1.1055	-9.3122	-3.3934	-1.9287	
1.25	0.0154	-0.0129	1.0208	-9.3639	-3.4465	-1.8193	
1.25	0.0154	-0.0129	1.0208	-9.3639	-3.4465	-1.8193	
1.26	0.0181	-0.1038	1.0325	-9.426	-3.4964	-1.882	
1.26	0.0181	-0.1038	1.0325	-9.426	-3.4964	-1.882	
1.26	0.0181	-0.1038	1.0325	-9.426	-3.4964	-1.882	
1.27	-0.0293	-0.0693	1.0168	-9.4534	-3.4537	-1.7567	
1.27	-0.0293	-0.0693	1.0168	-9.4534	-3.4537	-1.7567	
1.27	-0.0293	-0.0693	1.0168	-9.4534	-3.4537	-1.7567	
1.28	0.0212	-0.1606	1.1113	-9.4851	-3.508	-1.8034	
1.28	0.0212	-0.1606	1.1113	-9.4851	-3.508	-1.8034	
1.29	0.0088	-0.041	1.0532	-9.514	-3.8178	-1.8489	
1.29	0.0088	-0.041	1.0532	-9.514	-3.8178	-1.8489	
1.29	0.0088	-0.041	1.0532	-9.514	-3.8178	-1.8489	
1.3	-0.0427	-0.106	1.0562	-9.5835	-3.8345	-1.594	
1.3	-0.0427	-0.106	1.0562	-9.5835	-3.8345	-1.594	
1.31	0.0417	-0.0493	1.0928	-9.6193	-3.8867	-1.6306	
1.31	0.0417	-0.0493	1.0928	-9.6193	-3.8867	-1.6306	
1.31	0.0417	-0.0493	1.0928	-9.6193	-3.8867	-1.6306	
1.32	-0.0371	-0.0608	1.0857	-9.6397	-3.9876	-1.6602	
1.32	-0.0371	-0.0608	1.0857	-9.6397	-3.9876	-1.6602	
1.33	0.002	-0.0178	1.0339	-9.6765	-4.1104	-1.4653	
1.33	0.002	-0.0178	1.0339	-9.6765	-4.1104	-1.4653	
1.33	0.002	-0.0178	1.0339	-9.6765	-4.1104	-1.4653	
1.34	0.0969	-0.0691	1.1306	-9.7418	-3.9869	-1.6431	
1.34	0.0969	-0.0691	1.1306	-9.7418	-3.9869	-1.6431	
1.35	-0.0178	0.0366	1.0725	-9.7722	-3.9602	-1.5692	
1.35	-0.0178	0.0366	1.0725	-9.7722	-3.9602	-1.5692	
1.35	-0.0178	0.0366	1.0725	-9.7722	-3.9602	-1.5692	
1.36	0.0811	-0.0032	1.0967	-9.8085	-3.9482	-1.4411	
1.36	0.0811	-0.0032	1.0967	-9.8085	-3.9482	-1.4411	
1.37	0.075	0.1189	1.0977	-9.8803	-3.7253	-1.5829	
1.37	0.075	0.1189	1.0977	-9.8803	-3.7253	-1.5829	
1.37	0.075	0.1189	1.0977	-9.8803	-3.7253	-1.5829	
1.38	0.0251	-0.0186	1.1074	-9.9248	-3.7002	-1.4929	
1.38	0.0251	-0.0186	1.1074	-9.9248	-3.7002	-1.4929	
1.39	0.0664	-0.1577	1.1089	-9.9743	-3.58	-1.6328	
1.39	0.0664	-0.1577	1.1089	-9.9743	-3.58	-1.6328	
1.39	0.0664	-0.1577	1.1089	-9.9743	-3.58	-1.6328	
1.4	0.0044	0.0283	1.1111	-9.999	-3.6258	-1.7312	
1.4	0.0044	0.0283	1.1111	-9.999	-3.6258	-1.7312	
1.41	0.0386	-0.0237	1.0276	-10.0562	-3.4527	-1.6691	
1.41	0.0386	-0.0237	1.0276	-10.0562	-3.4527	-1.6691	
1.41	0.0386	-0.0237	1.0276	-10.0562	-3.4527	-1.6691	
1.42	0.0076	-0.229	1.0654	-10.0764	-3.7161	-1.7038	
1.42	0.0076	-0.229	1.0654	-10.0764	-3.7161	-1.7038	
1.43	0.0271	0.1526	1.0579	-10.1019	-3.6903	-1.6172	
1.43	0.0271	0.1526	1.0579	-10.1019	-3.6903	-1.6172	
1.43	0.0271	0.1526	1.0579	-10.1019	-3.6903	-1.6172	
1.44	0.051	-0.1165	1.0776	-10.1241	-3.7726	-1.6814	
1.44	0.051	-0.1165	1.0776	-10.1241	-3.7726	-1.6814	
1.44	0.051	-0.1165	1.0776	-10.1241	-3.7726	-1.6814	
1.45	-0.0081	-0.1089	1.0718	-10.157	-4.1167	-1.5896	
1.45	-0.0081	-0.1089	1.0718	-10.157	-4.1167	-1.5896	
1.46	-0.0051	0.0259	1.0659	-10.2038	-3.9644	-1.595	
1.46	-0.0051	0.0259	1.0659	-10.2038	-3.9644	-1.595	
1.46	-0.0051	0.0259	1.0659	-10.2038	-3.9644	-1.595	
1.47	0.01	-0.1252	1.1067	-10.2516	-4.041	-1.6571	
1.47	0.01	-0.1252	1.1067	-10.2516	-4.041	-1.6571	
1.48	-0.001	-0.0212	1.1206	-10.2834	-4.1079	-1.5312	
1.48	-0.001	-0.0212	1.1206	-10.2834	-4.1079	-1.5312	
1.48	-0.001	-0.0212	1.1206	-10.2834	-4.1079	-1.5312	
1.49	0.05	0.0935	1.1101	-10.3469	-3.9272	-1.4786	
1.49	0.05	0.0935	1.1101	-10.3469	-3.9272	-1.4786	
1.5	0.0698	-0.0012	1.0967	-10.4067	-3.9486	-1.6449	
1.5	0.0698	-0.0012	1.0967	-10.4067	-3.9486	-1.6449	
1.5	0.0698	-0.0012	1.0967	-10.4067	-3.9486	-1.6449	
1.51	0.0159	-0.0039	1.064	-10.4522	-3.9685	-1.7005	
1.51	0.0159	-0.0039	1.064	-10.4522	-3.9685	-1.7005	
1.52	0.0469	0.0408	1.1021	-10.4984	-3.8043	-1.7227	
1.52	0.0469	0.0408	1.1021	-10.4984	-3.8043	-1.7227	
1.52	0.0469	0.0408	1.1021	-10.4984	-3.8043	-1.7227	
1.53	0.0239	-0.1067	1.0947	-10.5503	-3.8955	-1.6255	
1.53	0.0239	-0.1067	1.0947	-10.5503	-3.8955	-1.6255	
1.54	0.0664	0.0381	1.1235	-10.597	-3.8874	-1.5613	
1.54	0.0664	0.0381	1.1235	-10.597	-3.8874	-1.5613	
1.54	0.0664	0.0381	1.1235	-10.597	-3.8874	-1.5613	
1.55	0.0781	-0.0078	1.1204	-10.6589	-3.739	-1.5838	
1.55	0.0781	-0.0078	1.1204	-10.6589	-3.739	-1.5838	
1.56	0.0332	0.0171	0.9163	-10.6938	-3.837	-1.6224	
1.56	0.0332	0.0171	0.9163	-10.6938	-3.837	-1.6224	
1.56	0.0332	0.0171	0.9163	-10.6938	-3.837	-1.6224	
1.57	0.2332	1.1226	0.5481	-10.7807	-3.7253	-1.7857	
1.57	0.2332	1.1226	0.5481	-10.7807	-3.7253	-1.7857	
1.58	0.0593	-0.3975	0.9128	-10.9085	-3.8417	-1.7951	
1.58	0.0593	-0.3975	0.9128	-10.9085	-3.8417	-1.7951	
1.58	0.0593	-0.3975	0.9128	-10.9085	-3.8417	-1.7951	
1.59	0.2957	0.0059	0.873	-11.0352	-4.0239	-1.789	
1.59	0.2957	0.0059	0.873	-11.0352	-4.0239	-1.789	
1.6	0.1069	0.1187	1.5042	-11.3349	-3.8224	-1.9146	
1.6	0.1069	0.1187	1.5042	-11.3349	-3.8224	-1.9146	
1.6	0.1069	0.1187	1.5042	-11.3349	-3.8224	-1.9146	
1.61	-0.1006	0.6299	1.2361	-11.448	-3.6367	-1.9242	
1.61	-0.1006	0.6299	1.2361	-11.448	-3.6367	-1.9242	
1.61	-0.1006	0.6299	1.2361	-11.448	-3.6367	-1.9242	
1.62	-0.019	-0.1011	1.7466	-11.6149	-3.7461	-1.9566	
1.62	-0.019	-0.1011	1.7466	-11.6149	-3.7461	-1.9566	
1.63	-0.0908	0.8396	1.3694	-11.6725	-3.679	-1.7463	
1.63	-0.0908	0.8396	1.3694	-11.6725	-3.679	-1.7463	
1.63	-0.0908	0.8396	1.3694	-11.6725	-3.679	-1.7463	
1.64	-0.0288	1.0212	1.0068	-11.7374	-3.6169	-1.757	
1.64	-0.0288	1.0212	1.0068	-11.7374	-3.6169	-1.757	
1.65	-0.1833	0.0239	0.8838	-11.7829	-3.7077	-1.6181	
1.65	-0.1833	0.0239	0.8838	-11.7829	-3.7077	-1.6181	
1.65	-0.1833	0.0239	0.8838	-11.7829	-3.7077	-1.6181	
1.66	-0.1343	0.668	1.177	-11.8735	-3.7275	-1.7305	
1.66	-0.1343	0.668	1.177	-11.8735	-3.7275	-1.7305	
1.67	-0.0396	-0.3049	1.0225	-11.7799	-3.9326	-1.703	
1.67	-0.0396	-0.3049	1.0225	-11.7799	-3.9326	-1.703	
1.67	-0.0396	-0.3049	1.0225	-11.7799	-3.9326	-1.703	
1.68	0.03	-0.6206	1.1782	-11.6419	-4.3625	-1.6676	
1.68	0.03	-0.6206	1.1782	-11.6419	-4.3625	-1.6676	
1.69	0.0186	-0.3762	1.114	-11.6256	-4.459	-1.6509	
1.69	0.0186	-0.3762	1.114	-11.6256	-4.459	-1.6509	
1.69	0.0186	-0.3762	1.114	-11.6256	-4.459	-1.6509	
1.7	0.0315	-0.5515	1.1235	-11.6354	-4.5751	-1.668	
1.7	0.0315	-0.5515	1.1235	-11.6354	-4.5751	-1.668	
1.71	-0.0068	-0.3608	1.1038	-11.662	-4.7931	-1.5976	
1.71	-0.0068	-0.3608	1.1038	-11.662	-4.7931	-1.5976	
1.71	-0.0068	-0.3608	1.1038	-11.662	-4.7931	-1.5976	
1.72	-0.0303	-0.0073	1.0388	-11.7125	-4.7683	-1.5398	
1.72	-0.0303	-0.0073	1.0388	-11.7125	-4.7683	-1.5398	
1.73	-0.0012	-0.1787	1.0664	-11.7538	-4.8567	-1.508	
1.73	-0.0012	-0.1787	1.0664	-11.7538	-4.8567	-1.508	
1.73	-0.0012	-0.1787	1.0664	-11.7538	-4.8567	-1.508	
1.74	0.0103	-0.1038	1.0688	-11.794	-5.1121	-1.5669	
1.74	0.0103	-0.1038	1.0688	-11.794	-5.1121	-1.5669	
1.75	0.0288	0.0662	1.0728	-11.8315	-5.0873	-1.4985	
1.75	0.0288	0.0662	1.0728	-11.8315	-5.0873	-1.4985	
1.75	0.0288	0.0662	1.0728	-11.8315	-5.0873	-1.4985	
1.76	0.0332	-0.1133	1.1169	-11.9127	-5.1263	-1.6047	
1.76	0.0332	-0.1133	1.1169	-11.9127	-5.1263	-1.6047	
1.77	0.0161	-0.0776	1.1023	-11.9633	-5.1403	-1.5951	
1.77	0.0161	-0.0776	1.1023	-11.9633	-5.1403	-1.5951	
1.77	0.0161	-0.0776	1.1023	-11.9633	-5.1403	-1.5951	
1.78	0.0408	0.0754	1.0486	-12.0078	-4.9904	-1.547	
1.78	0.0408	0.0754	1.0486	-12.0078	-4.9904	-1.547	
1.78	0.0408	0.0754	1.0486	-12.0078	-4.9904	-1.547	
1.79	0.0239	-0.1255	1.1082	-12.0728	-5.002	-1.5588	
1.79	0.0239	-0.1255	1.1082	-12.0728	-5.002	-1.5588	
1.8	0.0364	-0.0142	1.0579	-12.1145	-5.0706	-1.5756	
1.8	0.0364	-0.0142	1.0579	-12.1145	-5.0706	-1.5756	
1.8	0.0364	-0.0142	1.0579	-12.1145	-5.0706	-1.5756	
1.81	-0.0134	-0.0933	1.0872	-12.1552	-4.9142	-1.5756	
1.81	-0.0134	-0.0933	1.0872	-12.1552	-4.9142	-1.5756	
1.82	0.0073	-0.1343	1.0942	-12.2013	-4.8863	-1.5218	
1.82	0.0073	-0.1343	1.0942	-12.2013	-4.8863	-1.5218	
1.82	0.0073	-0.1343	1.0942	-12.2013	-4.8863	-1.5218	
1.83	0.0701	0.0215	1.0872	-12.2713	-4.8482	-1.5341	
1.83	0.0701	0.0215	1.0872	-12.2713	-4.8482	-1.5341	
1.84	0.0222	0.009	1.0701	-12.3166	-4.696	-1.5689	
1.84	0.0222	0.009	1.0701	-12.3166	-4.696	-1.5689	
1.84	0.0222	0.009	1.0701	-12.3166	-4.696	-1.5689	
1.85	0.0642	-0.082	1.0364	-12.3601	-4.6597	-1.4732	
1.85	0.0642	-0.082	1.0364	-12.3601	-4.6597	-1.4732	
