time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.025	-2.13388e-05	0.00102039	0.243037	-7.32403e-05	-0.00799016	5.51066e-05	-7.255e-05	0.0730535	5.50358e-05	0	0.000857069	0.00502111	-0.0123043	0.315026
0.05	-2.13382e-05	0.00105264	0.243037	-7.32418e-05	-0.00799008	5.51051e-05	-7.25516e-05	0.0730536	5.50337e-05	0	0.00173364	0.00502107	-0.0122586	0.315025
0.075	-2.13373e-05	0.00110721	0.243037	-7.32445e-05	-0.00798996	5.51026e-05	-7.25544e-05	0.0730537	5.50302e-05	0	0.00264965	0.00502099	-0.0121813	0.315023
0.1	-2.13359e-05	0.00118533	0.243037	-7.32483e-05	-0.00798978	5.5099e-05	-7.25584e-05	0.0730539	5.50253e-05	0	0.00362594	0.00502088	-0.0120705	0.31502
0.125	-2.13341e-05	0.00128879	0.243037	-7.32533e-05	-0.00798955	5.50943e-05	-7.25636e-05	0.0730541	5.50187e-05	0	0.00468473	0.00502074	-0.0119239	0.315016
0.15	-2.13319e-05	0.00141993	0.243037	-7.32596e-05	-0.00798925	5.50884e-05	-7.25703e-05	0.0730544	5.50105e-05	0	0.0058501	0.00502056	-0.011738	0.315011
0.175	-2.13291e-05	0.00158174	0.243037	-7.32674e-05	-0.00798889	5.50811e-05	-7.25784e-05	0.0730548	5.50003e-05	0	0.00714857	0.00502034	-0.0115086	0.315005
0.2	-2.13258e-05	0.00177791	0.243037	-7.32769e-05	-0.00798844	5.50724e-05	-7.25884e-05	0.0730552	5.49882e-05	0	0.00860968	0.00502007	-0.0112306	0.314998
0.225	-2.13218e-05	0.0020129	0.243037	-7.32882e-05	-0.00798791	5.50622e-05	-7.26002e-05	0.0730558	5.49738e-05	0	0.0102667	0.00501975	-0.0108976	0.31499
0.25	-2.13171e-05	0.00229204	0.243037	-7.33016e-05	-0.00798728	5.50502e-05	-7.26143e-05	0.0730564	5.49568e-05	0	0.0121572	0.00501937	-0.010502	0.31498
0.275	-2.13116e-05	0.0026217	0.243037	-7.33174e-05	-0.00798653	5.50364e-05	-7.26309e-05	0.0730572	5.49372e-05	0	0.0143244	0.00501894	-0.0100349	0.314968
