time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0505	0.0024	1.0916	-98.8414	-2.582	-1.8592	
0.08	0.011	-0.0483	1.0696	-99.1012	-2.6416	-1.9315	
0.13	0.0354	-0.0059	1.1172	-99.3346	-2.4605	-1.8145	
0.17	0.0476	-0.1082	1.1125	-99.5076	-2.8113	-1.8472	
0.22	-0.0095	-0.1138	1.0605	-99.7386	-2.7403	-1.8004	
0.26	-0.0012	-0.1685	1.0427	-99.9122	-3.0086	-1.8026	
0.31	0.0571	-0.1401	1.1042	-100.112	-3.027	-1.5676	
0.35	-0.0095	-0.1692	1.0706	-100.308	-3.2291	-1.6398	
0.4	0.0227	-0.1384	1.1045	-100.478	-3.4275	-1.7486	
0.45	0.0439	-0.002	1.0776	-100.724	-3.5506	-1.9662	
0.49	0.0425	0.0601	1.0771	-100.937	-3.1454	-2.15	
0.54	0.0476	-0.0349	1.1211	-101.232	-2.9672	-2.3169	
0.58	0.054	0.0098	1.0803	-101.446	-2.725	-2.2227	
0.6	0.0564	-0.0979	1.0994	-101.525	-2.6854	-2.0399	
0.6	0.0564	-0.0979	1.0994	-101.525	-2.6854	-2.0399	
0.6	0.0564	-0.0979	1.0994	-101.525	-2.6854	-2.0399	
0.61	0.05	-0.0576	1.0894	-101.561	-2.7445	-2.1521	
0.61	0.05	-0.0576	1.0894	-101.561	-2.7445	-2.1521	
0.62	-0.0049	0.0142	1.0491	-101.616	-2.831	-2.0987	
0.62	-0.0049	0.0142	1.0491	-101.616	-2.831	-2.0987	
0.62	-0.0049	0.0142	1.0491	-101.616	-2.831	-2.0987	
0.63	0.0264	-0.0864	1.1086	-101.646	-3.1082	-2.0884	
0.63	0.0264	-0.0864	1.1086	-101.646	-3.1082	-2.0884	
0.64	0.0105	-0.0632	1.0718	-101.67	-3.1537	-2.0668	
0.64	0.0105	-0.0632	1.0718	-101.67	-3.1537	-2.0668	
0.64	0.0105	-0.0632	1.0718	-101.67	-3.1537	-2.0668	
0.65	-0.0132	0.0029	1.0669	-101.707	-3.2383	-1.844	
0.65	-0.0132	0.0029	1.0669	-101.707	-3.2383	-1.844	
0.66	0.0581	-0.0647	1.0964	-101.749	-3.3678	-1.9434	
0.66	0.0581	-0.0647	1.0964	-101.749	-3.3678	-1.9434	
0.66	0.0581	-0.0647	1.0964	-101.749	-3.3678	-1.9434	
0.67	0.0225	0.083	1.0908	-101.785	-3.2248	-1.934	
0.67	0.0225	0.083	1.0908	-101.785	-3.2248	-1.934	
0.68	0.0464	-0.0918	1.0835	-101.823	-3.1948	-1.8397	
0.68	0.0464	-0.0918	1.0835	-101.823	-3.1948	-1.8397	
0.68	0.0464	-0.0918	1.0835	-101.823	-3.1948	-1.8397	
0.69	0.0461	-0.0706	1.1074	-101.86	-3.2204	-1.8617	
0.69	0.0461	-0.0706	1.1074	-101.86	-3.2204	-1.8617	
0.69	0.0461	-0.0706	1.1074	-101.86	-3.2204	-1.8617	
0.7	0.0259	0.1211	1.0803	-101.909	-3.2922	-1.8683	
0.7	0.0259	0.1211	1.0803	-101.909	-3.2922	-1.8683	
0.71	0.0417	-0.0566	1.0698	-101.967	-3.274	-1.8606	
0.71	0.0417	-0.0566	1.0698	-101.967	-3.274	-1.8606	
0.71	0.0417	-0.0566	1.0698	-101.967	-3.274	-1.8606	
0.72	0.0325	0.0276	1.063	-101.998	-3.295	-1.8674	
0.72	0.0325	0.0276	1.063	-101.998	-3.295	-1.8674	
0.73	0.0598	-0.0195	1.0876	-102.064	-3.0727	-1.9596	
0.73	0.0598	-0.0195	1.0876	-102.064	-3.0727	-1.9596	
0.73	0.0598	-0.0195	1.0876	-102.064	-3.0727	-1.9596	
0.74	0.0352	-0.0049	1.0454	-102.105	-2.9073	-1.9289	
0.74	0.0352	-0.0049	1.0454	-102.105	-2.9073	-1.9289	
0.75	0.053	0.0747	1.0894	-102.151	-2.9767	-2.013	
0.75	0.053	0.0747	1.0894	-102.151	-2.9767	-2.013	
0.75	0.053	0.0747	1.0894	-102.151	-2.9767	-2.013	
0.76	0.0425	-0.0591	1.0837	-102.191	-2.9565	-1.9103	
0.76	0.0425	-0.0591	1.0837	-102.191	-2.9565	-1.9103	
0.77	0.0129	-0.0496	1.0676	-102.242	-2.9918	-1.8611	
0.77	0.0129	-0.0496	1.0676	-102.242	-2.9918	-1.8611	
0.77	0.0129	-0.0496	1.0676	-102.242	-2.9918	-1.8611	
0.78	0.0156	-0.03	1.0862	-102.284	-2.8567	-1.7964	
0.78	0.0156	-0.03	1.0862	-102.284	-2.8567	-1.7964	
0.78	0.0156	-0.03	1.0862	-102.284	-2.8567	-1.7964	
0.79	-0.0063	-0.0757	1.0693	-102.32	-2.9503	-1.9629	
0.79	-0.0063	-0.0757	1.0693	-102.32	-2.9503	-1.9629	
0.8	-0.0186	-0.0559	1.0779	-102.366	-2.9726	-1.7686	
0.8	-0.0186	-0.0559	1.0779	-102.366	-2.9726	-1.7686	
0.81	0.0688	0.0222	1.0618	-102.419	-2.8764	-1.7832	
0.81	0.0688	0.0222	1.0618	-102.419	-2.8764	-1.7832	
0.81	0.0688	0.0222	1.0618	-102.419	-2.8764	-1.7832	
0.82	-0.033	-0.1492	1.0427	-102.45	-2.9461	-1.7979	
0.82	-0.033	-0.1492	1.0427	-102.45	-2.9461	-1.7979	
0.82	-0.033	-0.1492	1.0427	-102.45	-2.9461	-1.7979	
0.83	0.0439	0.0579	1.082	-102.483	-3.1968	-1.6851	
0.83	0.0439	0.0579	1.082	-102.483	-3.1968	-1.6851	
0.84	-0.0002	-0.0491	1.0676	-102.51	-3.2675	-1.6659	
0.84	-0.0002	-0.0491	1.0676	-102.51	-3.2675	-1.6659	
0.84	-0.0002	-0.0491	1.0676	-102.51	-3.2675	-1.6659	
0.85	-0.0554	-0.2153	1.0732	-102.533	-3.5442	-1.5088	
0.85	-0.0554	-0.2153	1.0732	-102.533	-3.5442	-1.5088	
0.86	0.0488	0.2219	1.0813	-102.549	-3.5456	-1.4484	
0.86	0.0488	0.2219	1.0813	-102.549	-3.5456	-1.4484	
0.86	0.0488	0.2219	1.0813	-102.549	-3.5456	-1.4484	
0.87	0.0234	-0.1101	1.0532	-102.579	-3.5091	-1.3627	
0.87	0.0234	-0.1101	1.0532	-102.579	-3.5091	-1.3627	
0.88	0.0188	-0.1013	1.0515	-102.613	-3.7876	-1.3102	
0.88	0.0188	-0.1013	1.0515	-102.613	-3.7876	-1.3102	
0.88	0.0188	-0.1013	1.0515	-102.613	-3.7876	-1.3102	
0.89	0.0251	0.0527	1.0303	-102.638	-3.7925	-1.3829	
0.89	0.0251	0.0527	1.0303	-102.638	-3.7925	-1.3829	
0.9	0.012	-0.0208	1.0732	-102.671	-3.8422	-1.344	
0.9	0.012	-0.0208	1.0732	-102.671	-3.8422	-1.344	
0.9	0.012	-0.0208	1.0732	-102.671	-3.8422	-1.344	
0.91	0.0513	0.0435	1.0984	-102.707	-3.7981	-1.2299	
0.91	0.0513	0.0435	1.0984	-102.707	-3.7981	-1.2299	
0.92	0.0588	0.012	1.0732	-102.767	-3.5651	-1.3526	
0.92	0.0588	0.012	1.0732	-102.767	-3.5651	-1.3526	
0.92	0.0588	0.012	1.0732	-102.767	-3.5651	-1.3526	
0.93	-0.0186	-0.2007	1.0842	-102.79	-3.8297	-1.2535	
0.93	-0.0186	-0.2007	1.0842	-102.79	-3.8297	-1.2535	
0.94	0.0642	0.031	1.074	-102.821	-3.8878	-1.3629	
0.94	0.0642	0.031	1.074	-102.821	-3.8878	-1.3629	
0.94	0.0642	0.031	1.074	-102.821	-3.8878	-1.3629	
0.95	0.0715	0.1074	1.0635	-102.856	-3.7356	-1.4302	
0.95	0.0715	0.1074	1.0635	-102.856	-3.7356	-1.4302	
0.96	0.0476	-0.0793	1.092	-102.917	-3.8964	-1.5614	
0.96	0.0476	-0.0793	1.092	-102.917	-3.8964	-1.5614	
0.96	0.0476	-0.0793	1.092	-102.917	-3.8964	-1.5614	
0.97	0.0422	0.0674	1.074	-102.958	-3.9446	-1.5905	
0.97	0.0422	0.0674	1.074	-102.958	-3.9446	-1.5905	
0.97	0.0422	0.0674	1.074	-102.958	-3.9446	-1.5905	
0.98	0.0344	-0.0532	1.0964	-103.007	-3.782	-1.6478	
0.98	0.0344	-0.0532	1.0964	-103.007	-3.782	-1.6478	
0.99	0.0012	0.0254	1.0996	-103.05	-3.8485	-1.736	
0.99	0.0012	0.0254	1.0996	-103.05	-3.8485	-1.736	
0.99	0.0012	0.0254	1.0996	-103.05	-3.8485	-1.736	
1	0.0842	-0.082	1.1096	-103.131	-3.7446	-1.877	
1	0.0842	-0.082	1.1096	-103.131	-3.7446	-1.877	
1.01	0.0378	-0.1169	1.0884	-103.153	-4.036	-1.8193	
1.01	0.0378	-0.1169	1.0884	-103.153	-4.036	-1.8193	
1.01	0.0378	-0.1169	1.0884	-103.153	-4.036	-1.8193	
1.02	0.0552	-0.0063	1.0989	-103.192	-4.0082	-1.7895	
1.02	0.0552	-0.0063	1.0989	-103.192	-4.0082	-1.7895	
1.03	0.0515	-0.0278	1.073	-103.24	-3.8597	-1.8737	
1.03	0.0515	-0.0278	1.073	-103.24	-3.8597	-1.8737	
1.03	0.0515	-0.0278	1.073	-103.24	-3.8597	-1.8737	
1.04	0.0117	-0.0593	1.0437	-103.304	-3.8211	-1.7221	
1.04	0.0117	-0.0593	1.0437	-103.304	-3.8211	-1.7221	
1.05	0.0598	0.0061	1.0889	-103.36	-3.7206	-1.6367	
1.05	0.0598	0.0061	1.0889	-103.36	-3.7206	-1.6367	
1.05	0.0598	0.0061	1.0889	-103.36	-3.7206	-1.6367	
1.06	0.0691	0.0105	1.0986	-103.4	-3.735	-1.562	
1.06	0.0691	0.0105	1.0986	-103.4	-3.735	-1.562	
1.07	0.0195	0.0413	1.0515	-103.427	-3.7368	-1.5356	
1.07	0.0195	0.0413	1.0515	-103.427	-3.7368	-1.5356	
1.07	0.0195	0.0413	1.0515	-103.427	-3.7368	-1.5356	
1.08	0.0542	-0.0071	1.0815	-103.494	-3.488	-1.5873	
1.08	0.0542	-0.0071	1.0815	-103.494	-3.488	-1.5873	
1.08	0.0542	-0.0071	1.0815	-103.494	-3.488	-1.5873	
1.09	-0.002	-0.0459	1.0503	-103.54	-3.5128	-1.5602	
1.09	-0.002	-0.0459	1.0503	-103.54	-3.5128	-1.5602	
1.1	0.0642	-0.0762	1.075	-103.586	-3.396	-1.4534	
1.1	0.0642	-0.0762	1.075	-103.586	-3.396	-1.4534	
1.1	0.0642	-0.0762	1.075	-103.586	-3.396	-1.4534	
1.11	0.0349	-0.0432	1.0796	-103.638	-3.3584	-1.7025	
1.11	0.0349	-0.0432	1.0796	-103.638	-3.3584	-1.7025	
1.12	0.0188	-0.0015	1.0903	-103.679	-3.3041	-1.5868	
1.12	0.0188	-0.0015	1.0903	-103.679	-3.3041	-1.5868	
1.12	0.0188	-0.0015	1.0903	-103.679	-3.3041	-1.5868	
1.13	0.0437	-0.0154	1.0708	-103.722	-3.2949	-1.731	
1.13	0.0437	-0.0154	1.0708	-103.722	-3.2949	-1.731	
1.14	0.0332	0.0066	1.0601	-103.772	-3.1404	-1.7383	
1.14	0.0332	0.0066	1.0601	-103.772	-3.1404	-1.7383	
1.14	0.0332	0.0066	1.0601	-103.772	-3.1404	-1.7383	
1.15	0.0139	-0.05	1.061	-103.836	-2.9799	-1.6313	
1.15	0.0139	-0.05	1.061	-103.836	-2.9799	-1.6313	
1.16	0.009	-0.1099	1.0686	-103.862	-3.0297	-1.6111	
1.16	0.009	-0.1099	1.0686	-103.862	-3.0297	-1.6111	
1.16	0.009	-0.1099	1.0686	-103.862	-3.0297	-1.6111	
1.17	-0.0239	0.0081	1.0574	-103.886	-3.2644	-1.4912	
1.17	-0.0239	0.0081	1.0574	-103.886	-3.2644	-1.4912	
1.18	0.0234	-0.0505	1.0635	-103.925	-3.345	-1.4851	
1.18	0.0234	-0.0505	1.0635	-103.925	-3.345	-1.4851	
1.18	0.0234	-0.0505	1.0635	-103.925	-3.345	-1.4851	
1.19	0	-0.1294	1.0708	-103.982	-3.359	-1.4732	
1.19	0	-0.1294	1.0708	-103.982	-3.359	-1.4732	
1.2	-0.0122	-0.0686	1.0398	-104.012	-3.4137	-1.4338	
1.2	-0.0122	-0.0686	1.0398	-104.012	-3.4137	-1.4338	
1.2	-0.0122	-0.0686	1.0398	-104.012	-3.4137	-1.4338	
1.21	-0.002	-0.0295	1.1035	-104.051	-3.3968	-1.4117	
1.21	-0.002	-0.0295	1.1035	-104.051	-3.3968	-1.4117	
1.22	-0.0032	-0.1599	1.0686	-104.098	-3.4802	-1.4336	
1.22	-0.0032	-0.1599	1.0686	-104.098	-3.4802	-1.4336	
1.22	-0.0032	-0.1599	1.0686	-104.098	-3.4802	-1.4336	
1.23	-0.0007	-0.0732	1.0601	-104.141	-3.5411	-1.4506	
1.23	-0.0007	-0.0732	1.0601	-104.141	-3.5411	-1.4506	
1.23	-0.0007	-0.0732	1.0601	-104.141	-3.5411	-1.4506	
1.24	0.073	0.1101	1.0471	-104.174	-3.4349	-1.4181	
1.24	0.073	0.1101	1.0471	-104.174	-3.4349	-1.4181	
1.25	0.0159	-0.1082	1.0457	-104.208	-3.5152	-1.4223	
1.25	0.0159	-0.1082	1.0457	-104.208	-3.5152	-1.4223	
1.25	0.0159	-0.1082	1.0457	-104.208	-3.5152	-1.4223	
1.26	-0.019	-0.0139	1.0896	-104.249	-3.673	-1.2609	
1.26	-0.019	-0.0139	1.0896	-104.249	-3.673	-1.2609	
1.27	0.0613	0.0298	1.0918	-104.282	-3.5286	-1.3563	
1.27	0.0613	0.0298	1.0918	-104.282	-3.5286	-1.3563	
1.27	0.0613	0.0298	1.0918	-104.282	-3.5286	-1.3563	
1.28	0.05	-0.0356	1.103	-104.321	-3.5968	-1.3275	
1.28	0.05	-0.0356	1.103	-104.321	-3.5968	-1.3275	
1.29	0.064	0.0459	1.1118	-104.354	-3.5828	-1.321	
1.29	0.064	0.0459	1.1118	-104.354	-3.5828	-1.321	
1.29	0.064	0.0459	1.1118	-104.354	-3.5828	-1.321	
1.3	0.0562	0.1162	1.0791	-104.414	-3.3568	-1.4051	
1.3	0.0562	0.1162	1.0791	-104.414	-3.3568	-1.4051	
1.31	0.001	-0.0955	1.0652	-104.463	-3.414	-1.4162	
1.31	0.001	-0.0955	1.0652	-104.463	-3.414	-1.4162	
1.31	0.001	-0.0955	1.0652	-104.463	-3.414	-1.4162	
1.32	0.0862	0.0994	1.115	-104.504	-3.5271	-1.5689	
1.32	0.0862	0.0994	1.115	-104.504	-3.5271	-1.5689	
1.33	0.0483	0.0439	1.0496	-104.539	-3.587	-1.5297	
1.33	0.0483	0.0439	1.0496	-104.539	-3.587	-1.5297	
1.33	0.0483	0.0439	1.0496	-104.539	-3.587	-1.5297	
1.34	0.0535	-0.0007	1.0803	-104.613	-3.4977	-1.517	
1.34	0.0535	-0.0007	1.0803	-104.613	-3.4977	-1.517	
1.35	0.0991	0.0266	1.061	-104.662	-3.5537	-1.6965	
1.35	0.0991	0.0266	1.061	-104.662	-3.5537	-1.6965	
1.35	0.0991	0.0266	1.061	-104.662	-3.5537	-1.6965	
1.36	0.022	-0.0298	1.0984	-104.713	-3.4456	-1.8046	
1.36	0.022	-0.0298	1.0984	-104.713	-3.4456	-1.8046	
1.36	0.022	-0.0298	1.0984	-104.713	-3.4456	-1.8046	
1.37	0.0645	-0.0366	1.0942	-104.767	-3.3036	-1.8357	
1.37	0.0645	-0.0366	1.0942	-104.767	-3.3036	-1.8357	
1.38	0.0227	0.0034	1.0732	-104.847	-3.1013	-1.9173	
1.38	0.0227	0.0034	1.0732	-104.847	-3.1013	-1.9173	
1.38	0.0227	0.0034	1.0732	-104.847	-3.1013	-1.9173	
1.39	0.0581	0.0369	1.0771	-104.889	-3.0973	-1.8612	
1.39	0.0581	0.0369	1.0771	-104.889	-3.0973	-1.8612	
1.4	0.0356	-0.0269	1.0845	-104.944	-2.9275	-1.921	
1.4	0.0356	-0.0269	1.0845	-104.944	-2.9275	-1.921	
1.4	0.0356	-0.0269	1.0845	-104.944	-2.9275	-1.921	
1.41	0.0176	-0.0454	1.1174	-105.025	-2.7426	-1.829	
1.41	0.0176	-0.0454	1.1174	-105.025	-2.7426	-1.829	
1.42	0.0667	0.0217	1.0654	-105.079	-2.5868	-1.851	
1.42	0.0667	0.0217	1.0654	-105.079	-2.5868	-1.851	
1.42	0.0667	0.0217	1.0654	-105.079	-2.5868	-1.851	
1.43	0.0364	0.0066	1.0703	-105.127	-2.6346	-1.8678	
1.43	0.0364	0.0066	1.0703	-105.127	-2.6346	-1.8678	
1.44	-0.0042	-0.1313	1.0735	-105.165	-2.7005	-1.9463	
1.44	-0.0042	-0.1313	1.0735	-105.165	-2.7005	-1.9463	
1.44	-0.0042	-0.1313	1.0735	-105.165	-2.7005	-1.9463	
1.45	0.0667	0.0061	1.1379	-105.244	-2.6792	-2.0265	
1.45	0.0667	0.0061	1.1379	-105.244	-2.6792	-2.0265	
1.46	0.0498	0.1033	1.0806	-105.309	-2.5253	-2.0527	
1.46	0.0498	0.1033	1.0806	-105.309	-2.5253	-2.0527	
1.46	0.0498	0.1033	1.0806	-105.309	-2.5253	-2.0527	
1.47	0.0269	-0.1167	1.053	-105.359	-2.7133	-2.1654	
1.47	0.0269	-0.1167	1.053	-105.359	-2.7133	-2.1654	
1.47	0.0269	-0.1167	1.053	-105.359	-2.7133	-2.1654	
1.48	0.0085	-0.0674	1.0859	-105.403	-2.7392	-2.137	
1.48	0.0085	-0.0674	1.0859	-105.403	-2.7392	-2.137	
1.49	0.0222	-0.0706	1.0945	-105.473	-2.8819	-2.0314	
1.49	0.0222	-0.0706	1.0945	-105.473	-2.8819	-2.0314	
1.49	0.0222	-0.0706	1.0945	-105.473	-2.8819	-2.0314	
1.5	0.0288	-0.0708	1.085	-105.514	-3.0362	-1.8877	
1.5	0.0288	-0.0708	1.085	-105.514	-3.0362	-1.8877	
1.51	-0.0203	-0.0601	1.1265	-105.555	-3.1909	-1.9796	
1.51	-0.0203	-0.0601	1.1265	-105.555	-3.1909	-1.9796	
1.51	-0.0203	-0.0601	1.1265	-105.555	-3.1909	-1.9796	
1.52	0.0232	0.0054	1.0906	-105.595	-3.1773	-1.9329	
1.52	0.0232	0.0054	1.0906	-105.595	-3.1773	-1.9329	
1.53	0.0347	-0.1084	1.0911	-105.685	-3.1749	-1.9156	
1.53	0.0347	-0.1084	1.0911	-105.685	-3.1749	-1.9156	
1.53	0.0347	-0.1084	1.0911	-105.685	-3.1749	-1.9156	
1.54	0.0771	-0.0054	1.0918	-105.718	-3.2345	-1.938	
1.54	0.0771	-0.0054	1.0918	-105.718	-3.2345	-1.938	
1.55	0.0266	-0.1948	1.0613	-105.774	-3.1537	-1.8678	
1.55	0.0266	-0.1948	1.0613	-105.774	-3.1537	-1.8678	
1.55	0.0266	-0.1948	1.0613	-105.774	-3.1537	-1.8678	
1.56	-0.009	-0.2673	1.0718	-105.835	-3.2152	-1.9323	
1.56	-0.009	-0.2673	1.0718	-105.835	-3.2152	-1.9323	
1.56	-0.009	-0.2673	1.0718	-105.835	-3.2152	-1.9323	
1.57	0.0476	-0.0322	1.1062	-105.927	-3.1889	-2.0037	
1.57	0.0476	-0.0322	1.1062	-105.927	-3.1889	-2.0037	
1.58	0.0051	-0.2053	1.0957	-105.974	-3.0309	-2.0179	
1.58	0.0051	-0.2053	1.0957	-105.974	-3.0309	-2.0179	
1.58	0.0051	-0.2053	1.0957	-105.974	-3.0309	-2.0179	
1.59	-0.0103	-0.1736	1.0439	-106.012	-3.2601	-2.1138	
1.59	-0.0103	-0.1736	1.0439	-106.012	-3.2601	-2.1138	
1.6	0.0291	-0.0176	1.0969	-106.075	-3.2006	-2.0807	
1.6	0.0291	-0.0176	1.0969	-106.075	-3.2006	-2.0807	
1.6	0.0291	-0.0176	1.0969	-106.075	-3.2006	-2.0807	
1.61	0.0173	-0.1099	1.0771	-106.131	-3.2916	-2.0793	
1.61	0.0173	-0.1099	1.0771	-106.131	-3.2916	-2.0793	
1.62	0.0127	-0.0959	1.0937	-106.151	-3.5614	-2.0098	
1.62	0.0127	-0.0959	1.0937	-106.151	-3.5614	-2.0098	
1.62	0.0127	-0.0959	1.0937	-106.151	-3.5614	-2.0098	
1.63	0.0356	0.1357	1.0781	-106.189	-3.5694	-1.9639	
1.63	0.0356	0.1357	1.0781	-106.189	-3.5694	-1.9639	
1.64	-0.0352	-0.1624	1.0774	-106.249	-3.5676	-1.9316	
1.64	-0.0352	-0.1624	1.0774	-106.249	-3.5676	-1.9316	
1.64	-0.0352	-0.1624	1.0774	-106.249	-3.5676	-1.9316	
1.65	-0.0049	-0.1721	1.1184	-106.27	-3.8403	-1.9249	
1.65	-0.0049	-0.1721	1.1184	-106.27	-3.8403	-1.9249	
1.66	0.0107	-0.0527	1.0786	-106.306	-3.6768	-1.9007	
1.66	0.0107	-0.0527	1.0786	-106.306	-3.6768	-1.9007	
1.66	0.0107	-0.0527	1.0786	-106.306	-3.6768	-1.9007	
1.67	-0.0188	-0.2234	1.0649	-106.325	-3.8244	-1.8604	
1.67	-0.0188	-0.2234	1.0649	-106.325	-3.8244	-1.8604	
1.68	0.0115	0.0217	1.0718	-106.388	-3.8005	-1.839	
1.68	0.0115	0.0217	1.0718	-106.388	-3.8005	-1.839	
1.68	0.0115	0.0217	1.0718	-106.388	-3.8005	-1.839	
1.69	-0.0007	-0.1086	1.0752	-106.414	-3.8572	-1.828	
1.69	-0.0007	-0.1086	1.0752	-106.414	-3.8572	-1.828	
1.69	-0.0007	-0.1086	1.0752	-106.414	-3.8572	-1.828	
1.7	-0.0083	-0.0779	1.0706	-106.446	-3.91	-1.7819	
1.7	-0.0083	-0.0779	1.0706	-106.446	-3.91	-1.7819	
1.71	0.0728	0.0674	1.0767	-106.482	-3.8722	-1.6544	
1.71	0.0728	0.0674	1.0767	-106.482	-3.8722	-1.6544	
1.71	0.0728	0.0674	1.0767	-106.482	-3.8722	-1.6544	
1.72	0.032	-0.0332	1.0837	-106.536	-3.6344	-1.6777	
1.72	0.032	-0.0332	1.0837	-106.536	-3.6344	-1.6777	
1.73	-0.0225	-0.0781	1.0928	-106.578	-3.8026	-1.6167	
1.73	-0.0225	-0.0781	1.0928	-106.578	-3.8026	-1.6167	
1.73	-0.0225	-0.0781	1.0928	-106.578	-3.8026	-1.6167	
1.74	0.032	-0.05	1.0745	-106.617	-3.6288	-1.6452	
1.74	0.032	-0.05	1.0745	-106.617	-3.6288	-1.6452	
1.75	-0.0132	-0.1235	1.1111	-106.652	-3.6829	-1.7003	
1.75	-0.0132	-0.1235	1.1111	-106.652	-3.6829	-1.7003	
1.75	-0.0132	-0.1235	1.1111	-106.652	-3.6829	-1.7003	
1.76	0.0337	-0.0608	1.1099	-106.707	-3.6349	-1.7357	
1.76	0.0337	-0.0608	1.1099	-106.707	-3.6349	-1.7357	
