time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0667	-0.0229	1.0947	-112.341	-2.9872	-1.8626	
0.08	0.0754	-0.0718	1.0945	-112.569	-3.1161	-1.7266	
0.12	0.0061	-0.0698	1.051	-112.77	-3.0804	-1.8529	
0.17	0.0244	-0.0051	1.0762	-112.975	-3.5802	-1.5456	
0.21	0.0417	0.0164	1.0425	-113.176	-3.4369	-1.6518	
0.26	0.0078	-0.1162	1.0662	-113.399	-3.6871	-1.638	
0.3	0.0278	0.0066	1.0972	-113.569	-3.7956	-1.5508	
0.35	0.0095	-0.0432	1.0476	-113.83	-3.6108	-1.6296	
0.39	0.0132	0.0359	1.0691	-114.001	-3.6772	-1.3499	
0.44	0.0288	-0.1099	1.0732	-114.259	-3.5772	-1.3842	
0.47	0.0273	-0.092	1.0798	-114.386	-3.9254	-1.3704	
0.47	0.0273	-0.092	1.0798	-114.386	-3.9254	-1.3704	
0.48	0.0527	0.0254	1.0784	-114.416	-3.7736	-1.3934	
0.48	0.0527	0.0254	1.0784	-114.416	-3.7736	-1.3934	
0.48	0.0527	0.0254	1.0784	-114.416	-3.7736	-1.3934	
0.49	0.0322	-0.0964	1.0857	-114.458	-3.6297	-1.4824	
0.49	0.0322	-0.0964	1.0857	-114.458	-3.6297	-1.4824	
0.5	0.0276	-0.0906	1.0789	-114.502	-3.8803	-1.4277	
0.5	0.0276	-0.0906	1.0789	-114.502	-3.8803	-1.4277	
0.5	0.0276	-0.0906	1.0789	-114.502	-3.8803	-1.4277	
0.51	0.0671	0.0369	1.0483	-114.555	-3.8656	-1.4864	
0.51	0.0671	0.0369	1.0483	-114.555	-3.8656	-1.4864	
0.52	0.019	-0.0422	1.0601	-114.595	-3.7335	-1.4611	
0.52	0.019	-0.0422	1.0601	-114.595	-3.7335	-1.4611	
0.52	0.019	-0.0422	1.0601	-114.595	-3.7335	-1.4611	
0.53	-0.0037	-0.0115	1.0981	-114.642	-3.6501	-1.422	
0.53	-0.0037	-0.0115	1.0981	-114.642	-3.6501	-1.422	
0.53	-0.0037	-0.0115	1.0981	-114.642	-3.6501	-1.422	
0.54	0.0051	0.0276	1.052	-114.69	-3.5023	-1.4084	
0.54	0.0051	0.0276	1.052	-114.69	-3.5023	-1.4084	
0.55	0.05	-0.1108	1.0984	-114.761	-3.5267	-1.5541	
0.55	0.05	-0.1108	1.0984	-114.761	-3.5267	-1.5541	
0.55	0.05	-0.1108	1.0984	-114.761	-3.5267	-1.5541	
0.56	-0.0061	-0.0195	1.071	-114.803	-3.5551	-1.3714	
0.56	-0.0061	-0.0195	1.071	-114.803	-3.5551	-1.3714	
0.57	0.0042	-0.0068	1.0867	-114.85	-3.42	-1.3378	
0.57	0.0042	-0.0068	1.0867	-114.85	-3.42	-1.3378	
0.57	0.0042	-0.0068	1.0867	-114.85	-3.42	-1.3378	
0.58	0.0413	-0.1016	1.0918	-114.892	-3.3785	-1.4472	
0.58	0.0413	-0.1016	1.0918	-114.892	-3.3785	-1.4472	
0.59	0.0034	-0.0544	1.04	-114.941	-3.6197	-1.3564	
0.59	0.0034	-0.0544	1.04	-114.941	-3.6197	-1.3564	
0.59	0.0034	-0.0544	1.04	-114.941	-3.6197	-1.3564	
0.6	0.0505	0.094	1.0825	-114.981	-3.5837	-1.2846	
0.6	0.0505	0.094	1.0825	-114.981	-3.5837	-1.2846	
0.61	0.0117	-0.0657	1.0908	-115.021	-3.6742	-1.3143	
0.61	0.0117	-0.0657	1.0908	-115.021	-3.6742	-1.3143	
0.61	0.0117	-0.0657	1.0908	-115.021	-3.6742	-1.3143	
0.62	0.0063	0.052	1.0857	-115.075	-3.6854	-1.1263	
0.62	0.0063	0.052	1.0857	-115.075	-3.6854	-1.1263	
0.63	0.0486	0.0469	1.0701	-115.121	-3.5584	-1.135	
0.63	0.0486	0.0469	1.0701	-115.121	-3.5584	-1.135	
0.63	0.0486	0.0469	1.0701	-115.121	-3.5584	-1.135	
0.64	0.0081	-0.1013	1.0969	-115.17	-3.6156	-1.2626	
0.64	0.0081	-0.1013	1.0969	-115.17	-3.6156	-1.2626	
0.64	0.0081	-0.1013	1.0969	-115.17	-3.6156	-1.2626	
0.65	-0.001	-0.019	1.0818	-115.2	-3.8046	-1.1132	
0.65	-0.001	-0.019	1.0818	-115.2	-3.8046	-1.1132	
0.66	0.0771	-0.0359	1.073	-115.269	-3.6317	-1.2366	
0.66	0.0771	-0.0359	1.073	-115.269	-3.6317	-1.2366	
0.66	0.0771	-0.0359	1.073	-115.269	-3.6317	-1.2366	
0.67	0.0085	-0.0669	1.0554	-115.308	-3.6605	-1.2327	
0.67	0.0085	-0.0669	1.0554	-115.308	-3.6605	-1.2327	
0.68	0.0171	0.009	1.1001	-115.342	-3.6648	-1.2573	
0.68	0.0171	0.009	1.1001	-115.342	-3.6648	-1.2573	
0.68	0.0171	0.009	1.1001	-115.342	-3.6648	-1.2573	
0.69	0.0415	0.0059	1.0703	-115.393	-3.507	-1.2842	
0.69	0.0415	0.0059	1.0703	-115.393	-3.507	-1.2842	
0.7	0.0415	-0.1663	1.0784	-115.469	-3.4965	-1.3846	
0.7	0.0415	-0.1663	1.0784	-115.469	-3.4965	-1.3846	
0.7	0.0415	-0.1663	1.0784	-115.469	-3.4965	-1.3846	
0.71	-0.0015	0.022	1.0442	-115.494	-3.5558	-1.3613	
0.71	-0.0015	0.022	1.0442	-115.494	-3.5558	-1.3613	
0.72	0.0386	-0.054	1.0535	-115.545	-3.3949	-1.3243	
0.72	0.0386	-0.054	1.0535	-115.545	-3.3949	-1.3243	
