time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0083	0.0574	1.092	94.2016	-3.2052	-1.49	
0.08	0.0103	-0.0681	1.0332	94.0038	-3.2137	-1.6724	
0.13	0.0173	-0.1089	1.0586	93.7773	-3.0739	-1.4803	
0.17	0.0286	-0.0747	1.0762	93.5907	-3.3237	-1.473	
0.22	0.0388	-0.0388	1.0754	93.3588	-3.4512	-1.4373	
0.27	0.0388	0.1057	1.0718	93.157	-3.8206	-1.5776	
0.32	0.0344	0.033	1.0977	92.9358	-3.7149	-1.3878	
0.36	0.002	-0.0688	1.0928	92.7456	-3.664	-1.4916	
0.41	0.0232	-0.103	1.0667	92.4899	-3.6536	-1.2741	
0.46	0.0486	-0.0317	1.0955	92.2685	-3.589	-1.2821	
0.51	0.0481	-0.0313	1.075	92.0046	-3.3186	-1.5249	
0.55	0.0569	0.0127	1.0618	91.8142	-3.2449	-1.6001	
0.6	0.01	-0.1006	1.0686	91.6007	-3.337	-1.4486	
0.64	0.0642	-0.0598	1.0828	91.418	-3.346	-1.3621	
0.64	0.0642	-0.0598	1.0828	91.418	-3.346	-1.3621	
0.64	0.0642	-0.0598	1.0828	91.418	-3.346	-1.3621	
0.65	0.0427	0.009	1.0923	91.3864	-3.5258	-1.4362	
0.65	0.0427	0.009	1.0923	91.3864	-3.5258	-1.4362	
0.66	0.0381	-0.1008	1.0942	91.3319	-3.6362	-1.4199	
0.66	0.0381	-0.1008	1.0942	91.3319	-3.6362	-1.4199	
0.66	0.0381	-0.1008	1.0942	91.3319	-3.6362	-1.4199	
0.67	0.0776	0.0454	1.0823	91.2833	-3.4808	-1.4673	
0.67	0.0776	0.0454	1.0823	91.2833	-3.4808	-1.4673	
0.68	0.0166	-0.0273	1.0403	91.2435	-3.5009	-1.4815	
0.68	0.0166	-0.0273	1.0403	91.2435	-3.5009	-1.4815	
0.68	0.0166	-0.0273	1.0403	91.2435	-3.5009	-1.4815	
0.69	0.0369	-0.072	1.071	91.2019	-3.4471	-1.5858	
0.69	0.0369	-0.072	1.071	91.2019	-3.4471	-1.5858	
0.7	0.0291	-0.0186	1.0652	91.145	-3.6229	-1.709	
0.7	0.0291	-0.0186	1.0652	91.145	-3.6229	-1.709	
0.7	0.0291	-0.0186	1.0652	91.145	-3.6229	-1.709	
0.71	0.0327	-0.0215	1.0925	91.0969	-3.614	-1.62	
0.71	0.0327	-0.0215	1.0925	91.0969	-3.614	-1.62	
0.71	0.0327	-0.0215	1.0925	91.0969	-3.614	-1.62	
0.72	0.0149	-0.0989	1.1296	91.055	-3.5509	-1.7182	
0.72	0.0149	-0.0989	1.1296	91.055	-3.5509	-1.7182	
0.73	0.0308	0.0564	1.1023	91.0243	-3.7482	-1.5503	
0.73	0.0308	0.0564	1.1023	91.0243	-3.7482	-1.5503	
0.73	0.0308	0.0564	1.1023	91.0243	-3.7482	-1.5503	
0.74	0.0642	-0.0737	1.051	90.9579	-3.6303	-1.6855	
0.74	0.0642	-0.0737	1.051	90.9579	-3.6303	-1.6855	
0.75	0.0144	0.0813	1.0793	90.9229	-3.7103	-1.7108	
0.75	0.0144	0.0813	1.0793	90.9229	-3.7103	-1.7108	
0.75	0.0144	0.0813	1.0793	90.9229	-3.7103	-1.7108	
0.76	0.0281	-0.0562	1.0872	90.8903	-3.7839	-1.7087	
0.76	0.0281	-0.0562	1.0872	90.8903	-3.7839	-1.7087	
0.77	0.0232	0.0095	1.0898	90.8558	-3.842	-1.6264	
0.77	0.0232	0.0095	1.0898	90.8558	-3.842	-1.6264	
0.77	0.0232	0.0095	1.0898	90.8558	-3.842	-1.6264	
0.78	0.031	-0.0254	1.075	90.786	-3.6075	-1.5982	
0.78	0.031	-0.0254	1.075	90.786	-3.6075	-1.5982	
0.78	0.031	-0.0254	1.075	90.786	-3.6075	-1.5982	
0.79	0.0361	-0.0876	1.0757	90.754	-3.5709	-1.674	
0.79	0.0361	-0.0876	1.0757	90.754	-3.5709	-1.674	
0.8	0.0115	-0.0054	1.0674	90.7158	-3.6699	-1.62	
0.8	0.0115	-0.0054	1.0674	90.7158	-3.6699	-1.62	
0.8	0.0115	-0.0054	1.0674	90.7158	-3.6699	-1.62	
0.81	0.0313	-0.0234	1.0867	90.6725	-3.5148	-1.6136	
0.81	0.0313	-0.0234	1.0867	90.6725	-3.5148	-1.6136	
0.82	0.0208	-0.1252	1.0815	90.6072	-3.6867	-1.7066	
0.82	0.0208	-0.1252	1.0815	90.6072	-3.6867	-1.7066	
0.82	0.0208	-0.1252	1.0815	90.6072	-3.6867	-1.7066	
0.83	0.0393	0.0286	1.022	90.57	-3.7092	-1.6212	
0.83	0.0393	0.0286	1.022	90.57	-3.7092	-1.6212	
0.84	0.0574	-0.0854	1.071	90.515	-3.5352	-1.6977	
0.84	0.0574	-0.0854	1.071	90.515	-3.5352	-1.6977	
0.84	0.0574	-0.0854	1.071	90.515	-3.5352	-1.6977	
0.85	-0.0071	-0.1106	1.0696	90.4503	-3.6827	-1.7571	
0.85	-0.0071	-0.1106	1.0696	90.4503	-3.6827	-1.7571	
0.86	0.0205	-0.0881	1.1045	90.4199	-3.89	-1.7942	
0.86	0.0205	-0.0881	1.1045	90.4199	-3.89	-1.7942	
0.86	0.0205	-0.0881	1.1045	90.4199	-3.89	-1.7942	
0.87	0.0352	-0.0283	1.103	90.3726	-3.7166	-1.8245	
0.87	0.0352	-0.0283	1.103	90.3726	-3.7166	-1.8245	
0.87	0.0352	-0.0283	1.103	90.3726	-3.7166	-1.8245	
0.88	0.0403	-0.0049	1.0969	90.3374	-3.7708	-1.7797	
0.88	0.0403	-0.0049	1.0969	90.3374	-3.7708	-1.7797	
0.89	0.0342	-0.0229	1.0542	90.2683	-3.5778	-1.7377	
0.89	0.0342	-0.0229	1.0542	90.2683	-3.5778	-1.7377	
0.89	0.0342	-0.0229	1.0542	90.2683	-3.5778	-1.7377	
0.9	0.0332	-0.0439	1.0815	90.2195	-3.4276	-1.7486	
0.9	0.0332	-0.0439	1.0815	90.2195	-3.4276	-1.7486	
0.91	-0.0034	-0.0229	1.0969	90.1889	-3.4866	-1.7187	
0.91	-0.0034	-0.0229	1.0969	90.1889	-3.4866	-1.7187	
0.91	-0.0034	-0.0229	1.0969	90.1889	-3.4866	-1.7187	
0.92	0.0488	-0.0261	1.085	90.1401	-3.3532	-1.6616	
0.92	0.0488	-0.0261	1.085	90.1401	-3.3532	-1.6616	
0.93	0.0256	-0.1091	1.0825	90.0787	-3.5702	-1.7426	
0.93	0.0256	-0.1091	1.0825	90.0787	-3.5702	-1.7426	
0.93	0.0256	-0.1091	1.0825	90.0787	-3.5702	-1.7426	
0.94	0.0295	0.0127	1.0596	90.0361	-3.546	-1.6542	
0.94	0.0295	0.0127	1.0596	90.0361	-3.546	-1.6542	
0.95	0.0193	-0.0022	1.0603	90.0011	-3.6058	-1.5829	
0.95	0.0193	-0.0022	1.0603	90.0011	-3.6058	-1.5829	
0.95	0.0193	-0.0022	1.0603	90.0011	-3.6058	-1.5829	
0.96	0.0195	-0.0464	1.0845	89.9652	-3.6699	-1.5434	
0.96	0.0195	-0.0464	1.0845	89.9652	-3.6699	-1.5434	
0.96	0.0195	-0.0464	1.0845	89.9652	-3.6699	-1.5434	
0.97	0.0127	0.0125	1.0828	89.8841	-3.4221	-1.5223	
0.97	0.0127	0.0125	1.0828	89.8841	-3.4221	-1.5223	
0.98	0.0139	-0.0691	1.1033	89.8441	-3.4269	-1.4021	
0.98	0.0139	-0.0691	1.1033	89.8441	-3.4269	-1.4021	
0.98	0.0139	-0.0691	1.1033	89.8441	-3.4269	-1.4021	
0.99	0.0232	-0.0945	1.0698	89.8022	-3.3295	-1.4669	
0.99	0.0232	-0.0945	1.0698	89.8022	-3.3295	-1.4669	
1	0.0405	-0.0042	1.082	89.7698	-3.3829	-1.491	
1	0.0405	-0.0042	1.082	89.7698	-3.3829	-1.491	
1	0.0405	-0.0042	1.082	89.7698	-3.3829	-1.491	
1.01	0.0269	-0.0374	1.0764	89.6916	-3.1415	-1.5531	
1.01	0.0269	-0.0374	1.0764	89.6916	-3.1415	-1.5531	
1.02	0.0427	-0.0979	1.051	89.6545	-3.2355	-1.4696	
1.02	0.0427	-0.0979	1.051	89.6545	-3.2355	-1.4696	
1.02	0.0427	-0.0979	1.051	89.6545	-3.2355	-1.4696	
1.03	0.0225	0.0339	1.0896	89.6257	-3.2807	-1.5332	
1.03	0.0225	0.0339	1.0896	89.6257	-3.2807	-1.5332	
1.04	0.0364	-0.0239	1.0742	89.5522	-3.063	-1.5683	
1.04	0.0364	-0.0239	1.0742	89.5522	-3.063	-1.5683	
1.04	0.0364	-0.0239	1.0742	89.5522	-3.063	-1.5683	
1.05	0.0186	-0.1482	1.1179	89.5146	-3.3456	-1.5596	
1.05	0.0186	-0.1482	1.1179	89.5146	-3.3456	-1.5596	
1.05	0.0186	-0.1482	1.1179	89.5146	-3.3456	-1.5596	
1.06	0.052	0.0339	1.0774	89.4601	-3.1696	-1.5558	
1.06	0.052	0.0339	1.0774	89.4601	-3.1696	-1.5558	
1.07	0.0403	-0.1155	1.0913	89.4174	-3.0342	-1.6593	
1.07	0.0403	-0.1155	1.0913	89.4174	-3.0342	-1.6593	
1.07	0.0403	-0.1155	1.0913	89.4174	-3.0342	-1.6593	
1.08	0.0049	-0.0273	1.0449	89.3539	-3.1345	-1.5257	
1.08	0.0049	-0.0273	1.0449	89.3539	-3.1345	-1.5257	
