time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0442	-0.0549	1.0559	-110.593	-3.4302	-1.8446	
0.08	0.0378	0.0398	1.0676	-110.777	-3.392	-1.8447	
0.12	0.0005	0.0254	1.1255	-110.958	-3.1617	-2.0286	
0.17	0.0337	-0.1079	1.0767	-111.204	-2.8088	-2.109	
0.21	-0.021	-0.0417	1.0854	-111.412	-2.8562	-1.8137	
0.26	0.0508	0.0127	1.0645	-111.671	-2.962	-2.0017	
0.31	0.0684	-0.0996	1.1096	-111.938	-2.984	-2.0329	
0.35	0.0193	0.0264	1.0906	-112.113	-3.2317	-1.7743	
0.4	0.0066	0.0046	1.0569	-112.375	-2.5109	-1.5515	
0.44	0.0408	-0.1267	1.0962	-112.549	-2.924	-1.7609	
0.49	0.0601	-0.0193	1.0828	-112.736	-3.0584	-1.7049	
0.53	-0.0039	-0.1711	1.0771	-112.92	-3.3904	-1.8993	
0.58	0.0515	-0.1201	1.0933	-113.155	-3.4798	-1.8638	
0.59	-0.0205	-0.157	1.0435	-113.213	-3.6607	-1.8117	
0.59	-0.0205	-0.157	1.0435	-113.213	-3.6607	-1.8117	
0.6	0.0845	0.052	1.0654	-113.251	-3.6642	-1.7415	
0.6	0.0845	0.052	1.0654	-113.251	-3.6642	-1.7415	
0.61	0.0181	-0.2205	1.0725	-113.278	-3.7624	-1.8356	
0.61	0.0181	-0.2205	1.0725	-113.278	-3.7624	-1.8356	
0.61	0.0181	-0.2205	1.0725	-113.278	-3.7624	-1.8356	
0.62	0.0154	-0.0239	1.0417	-113.329	-3.8939	-1.7016	
0.62	0.0154	-0.0239	1.0417	-113.329	-3.8939	-1.7016	
0.63	0.0232	-0.0295	1.0657	-113.373	-3.7597	-1.6562	
0.63	0.0232	-0.0295	1.0657	-113.373	-3.7597	-1.6562	
0.63	0.0232	-0.0295	1.0657	-113.373	-3.7597	-1.6562	
0.64	-0.0039	-0.1582	1.0894	-113.396	-3.8471	-1.7052	
0.64	-0.0039	-0.1582	1.0894	-113.396	-3.8471	-1.7052	
0.65	-0.0024	-0.0342	1.0776	-113.418	-4.1257	-1.6445	
0.65	-0.0024	-0.0342	1.0776	-113.418	-4.1257	-1.6445	
0.65	-0.0024	-0.0342	1.0776	-113.418	-4.1257	-1.6445	
0.66	0.0867	0.0002	1.1106	-113.495	-3.9179	-1.6917	
0.66	0.0867	0.0002	1.1106	-113.495	-3.9179	-1.6917	
0.67	0.0623	-0.1553	1.0781	-113.521	-4.2245	-1.7762	
0.67	0.0623	-0.1553	1.0781	-113.521	-4.2245	-1.7762	
0.67	0.0623	-0.1553	1.0781	-113.521	-4.2245	-1.7762	
0.68	0.0657	0.0896	1.0796	-113.559	-4.286	-1.7206	
0.68	0.0657	0.0896	1.0796	-113.559	-4.286	-1.7206	
0.69	0.0605	0.0117	1.072	-113.605	-4.1393	-1.8258	
0.69	0.0605	0.0117	1.072	-113.605	-4.1393	-1.8258	
0.69	0.0605	0.0117	1.072	-113.605	-4.1393	-1.8258	
