L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.05495	-5.05495	0	-244.79	-110.29	
5.14286	-5.05495	0	-236.72	-110.29	
5.14286	-5.05495	0	-260.93	-110.29	
5.14286	-5.05495	0	-282.45	-110.29	
5.14286	-5.05495	0	-260.93	-99.53	
5.14286	-5.05495	0	-209.82	-110.29	
5.14286	-5.05495	0	-263.62	-110.29	
5.05495	-5.05495	0	-274.38	-2.69	
5.14286	-4.96703	0	-252.86	-59.18	
5.14286	-4.96703	0	-260.93	-110.29	
5.14286	-4.96703	0	-252.86	-10.76	
5.14286	-4.96703	0	-406.19	-115.67	
5.05495	-4.96703	0	-285.14	-107.6	
5.05495	-4.96703	0	-239.41	-107.6	
5.05495	-4.96703	0	-239.41	-110.29	
5.05495	-4.96703	0	-285.14	40.35	
5.05495	-4.87912	0	-435.78	-94.15	
4.96703	-4.87912	0	-341.63	-99.53	
5.05495	-4.87912	0	-290.52	48.42	
4.96703	-4.87912	0	-441.16	64.56	
4.87912	-4.7033	0	-398.12	-61.87	
4.79121	-4.7033	0	-328.18	-99.53	
4.7033	-4.79121	0	-301.28	-115.67	
4.7033	-4.52747	0	-314.73	72.63	
4.7033	-4.43956	0	-435.78	-29.59	
4.52747	-4.35165	0	-395.43	-43.04	
4.43956	-4.26374	0	-411.57	53.8	
4.26374	-4.08791	0	-336.25	-107.6	
4.17582	-4	0	-285.14	8.07	
4	-3.73626	0	-279.76	-112.98	
3.64835	-3.64835	0	-433.09	-156.02	
3.56044	-3.38462	0	-344.32	-104.91	
3.20879	-3.03297	0	-406.19	45.73	
2.85714	-2.68132	0	-349.7	-86.08	
2.50549	-2.24176	0	-303.97	-72.63	
2.06593	-1.89011	0	-419.64	-21.52	
1.45055	-1.27473	0	-365.84	-13.45	
0.835165	-0.659341	0	-295.9	0	
0.131868	0.043956	0	-295.9	94.15	
-0.659341	0.923077	0	-406.19	45.73	
-1.71429	1.97802	0	-123.74	-217.89	
-1.97802	2.06593	0	-193.68	-110.29	
-2.76923	3.03297	0	-317.42	-217.89	
-3.64835	4.08791	0	-150.64	-381.98	
-4.43956	4.7033	0	-91.46	-481.51	
-5.14286	5.40659	0	-53.8	-583.73	
-5.84615	6.10989	0	69.94	-624.08	
-6.1978	6.37363	0	320.11	-602.56	
-6.63736	6.9011	0	236.72	-624.08	
-6.9011	7.25275	0	242.1	-642.91	
-7.25275	7.6044	0	252.86	-726.3	
-7.6044	7.69231	0	260.93	-441.16	
-7.86813	7.78022	0	677.88	-309.35	
-8.13187	7.95604	0	815.07	-381.98	
-8.21978	7.95604	0	825.83	-110.29	
-8.30769	7.86813	0	763.96	75.32	
-8.57143	8.04396	0	817.76	371.22	
-8.57143	7.95604	0	874.25	726.3	
-8.65934	7.95604	0	780.1	745.13	
-8.74725	7.95604	0	769.34	893.08	
-8.74725	8.04396	0	669.81	750.51	
-8.83516	8.04396	0	847.35	745.13	
-8.83516	8.04396	0	949.57	747.82	
-8.83516	8.04396	0	949.57	734.37	
-8.83516	8.04396	0	885.01	742.44	
-8.83516	8.04396	0	898.46	739.75	
-8.83516	8.04396	0	949.57	737.06	
-8.83516	8.04396	0	952.26	737.06	
-8.83516	8.04396	0	952.26	742.44	
-8.83516	8.04396	0	909.22	742.44	
-8.83516	8.04396	0	895.77	726.3	
-8.83516	8.04396	0	868.87	747.82	
-8.83516	8.04396	0	885.01	755.89	
-8.74725	8.04396	0	893.08	755.89	
-8.83516	8.04396	0	928.05	755.89	
-8.83516	8.04396	0	963.02	753.2	
-8.83516	8.13187	0	941.5	489.58	
-8.83516	8.30769	0	973.78	147.95	
-8.83516	8.48352	0	938.81	-145.26	
-8.83516	8.48352	0	925.36	-263.62	
-8.83516	8.48352	0	914.6	-301.28	
-8.83516	8.48352	0	936.12	-357.77	
-8.83516	8.48352	0	919.98	-441.16	
-8.83516	8.57143	0	922.67	-468.06	
-8.83516	8.57143	0	976.47	-505.72	
-8.83516	8.48352	0	973.78	-344.32	
-8.83516	8.48352	0	976.47	-247.48	
-8.83516	8.3956	0	979.16	-78.01	
-8.83516	8.30769	0	979.16	37.66	
-8.83516	8.30769	0	901.15	199.06	
-8.83516	8.21978	0	930.74	384.67	
-8.83516	8.13187	0	925.36	548.76	
-8.83516	8.13187	0	898.46	559.52	
-8.83516	8.13187	0	928.05	559.52	
-8.83516	8.13187	0	976.47	516.48	
-8.83516	8.13187	0	979.16	562.21	
-8.83516	8.13187	0	930.74	562.21	
-8.83516	8.13187	0	938.81	562.21	
-8.83516	8.13187	0	928.05	489.58	
-8.83516	8.13187	0	936.12	543.38	
-8.74725	8.13187	0	930.74	562.21	
-8.74725	8.13187	0	914.6	564.9	
-8.83516	8.13187	0	906.53	564.9	
-8.83516	8.13187	0	930.74	564.9	
-8.83516	8.13187	0	941.5	567.59	
-8.83516	8.13187	0	938.81	535.31	
-8.83516	8.21978	0	925.36	363.15	
-8.83516	8.21978	0	925.36	190.99	
-8.83516	8.30769	0	925.36	131.81	
-8.83516	8.3956	0	995.3	-123.74	
-8.83516	8.3956	0	995.3	-142.57	
-8.83516	8.3956	0	995.3	-250.17	
-8.83516	8.48352	0	995.3	-266.31	
-8.83516	8.48352	0	995.3	-293.21	
-8.83516	8.48352	0	992.61	-207.13	
-8.83516	8.3956	0	997.99	-156.02	
-8.83516	8.3956	0	936.12	-69.94	
-8.83516	8.3956	0	997.99	21.52	
-8.83516	8.30769	0	997.99	83.39	
-8.83516	8.30769	0	997.99	166.78	
-8.83516	8.21978	0	952.26	312.04	
-8.83516	8.21978	0	995.3	363.15	
-8.83516	8.13187	0	933.43	548.76	
-8.83516	8.13187	0	941.5	567.59	
-8.83516	8.13187	0	893.08	556.83	
-8.83516	8.13187	0	944.19	567.59	
-8.83516	8.13187	0	971.09	570.28	
-8.83516	8.13187	0	936.12	538	
-8.83516	8.13187	0	997.99	556.83	
-8.83516	8.13187	0	930.74	570.28	
-8.74725	8.13187	0	903.84	538	
-8.83516	8.13187	0	933.43	572.97	
-8.83516	8.13187	0	901.15	451.92	
-8.83516	8.21978	0	925.36	390.05	
-8.83516	8.21978	0	997.99	363.15	
-8.83516	8.30769	0	1006.06	164.09	
-8.83516	8.30769	0	938.81	61.87	
-8.83516	8.3956	0	946.88	-83.39	
-8.83516	8.3956	0	938.81	-51.11	
-8.83516	8.3956	0	930.74	-134.5	
-8.83516	8.3956	0	936.12	-110.29	
-8.83516	8.3956	0	946.88	-80.7	
-8.83516	8.3956	0	941.5	-72.63	
-8.83516	8.30769	0	1011.44	8.07	
-8.83516	8.30769	0	936.12	104.91	
-8.83516	8.30769	0	941.5	164.09	
-8.83516	8.30769	0	1008.75	182.92	
-8.83516	8.21978	0	936.12	347.01	
-8.83516	8.21978	0	1011.44	371.22	
-8.74725	8.21978	0	952.26	441.16	
-8.83516	8.13187	0	922.67	481.51	
-8.83516	8.13187	0	965.71	511.1	
-8.83516	8.13187	0	957.64	548.76	
-8.83516	8.13187	0	954.95	538	
-8.74725	8.13187	0	922.67	419.64	
-8.83516	8.21978	0	941.5	511.1	
-8.83516	8.13187	0	949.57	403.5	
-8.83516	8.21978	0	919.98	379.29	
-8.83516	8.21978	0	944.19	325.49	
-8.83516	8.30769	0	957.64	172.16	
-8.83516	8.30769	0	949.57	169.47	
-8.83516	8.30769	0	957.64	118.36	
-8.83516	8.3956	0	952.26	5.38	
-8.83516	8.30769	0	933.43	-8.07	
-8.83516	8.3956	0	941.5	10.76	
-8.83516	8.30769	0	944.19	24.21	
-8.83516	8.30769	0	933.43	142.57	
-8.83516	8.30769	0	925.36	172.16	
-8.83516	8.30769	0	914.6	174.85	
-8.83516	8.30769	0	917.29	177.54	
-8.83516	8.30769	0	968.4	231.34	
-8.83516	8.30769	0	968.4	314.73	
-8.83516	8.21978	0	917.29	368.53	
-8.83516	8.21978	0	944.19	381.98	
-8.83516	8.21978	0	922.67	379.29	
-8.83516	8.21978	0	911.91	381.98	
-8.83516	8.21978	0	930.74	381.98	
-8.83516	8.21978	0	973.78	381.98	
-8.83516	8.21978	0	941.5	381.98	
-8.83516	8.21978	0	954.95	349.7	
-8.83516	8.21978	0	933.43	290.52	
-8.83516	8.30769	0	936.12	231.34	
-8.83516	8.30769	0	944.19	204.44	
-8.74725	8.30769	0	936.12	177.54	
-8.83516	8.30769	0	965.71	177.54	
-8.83516	8.30769	0	973.78	177.54	
-8.83516	8.30769	0	928.05	180.23	
-8.83516	8.30769	0	944.19	180.23	
-8.83516	8.30769	0	933.43	180.23	
-8.83516	8.30769	0	928.05	196.37	
-8.83516	8.30769	0	957.64	225.96	
-8.83516	8.30769	0	909.22	314.73	
-8.83516	8.21978	0	930.74	355.08	
-8.83516	8.21978	0	911.91	368.53	
-8.83516	8.21978	0	938.81	387.36	
-8.83516	8.21978	0	933.43	387.36	
-8.83516	8.21978	0	922.67	390.05	
-8.83516	8.21978	0	893.08	390.05	
-8.83516	8.21978	0	922.67	390.05	
-8.83516	8.21978	0	957.64	285.14	
-8.83516	8.30769	0	917.29	360.46	
-8.83516	8.21978	0	938.81	287.83	
-8.83516	8.30769	0	930.74	234.03	
-8.83516	8.30769	0	949.57	225.96	
-8.83516	8.21978	0	933.43	215.2	
-8.83516	8.30769	0	930.74	185.61	
-8.83516	8.30769	0	917.29	185.61	
-8.83516	8.30769	0	936.12	185.61	
-8.83516	8.30769	0	952.26	185.61	
-8.83516	8.30769	0	930.74	217.89	
-8.83516	8.21978	0	938.81	244.79	
-8.83516	8.30769	0	928.05	317.42	
-8.83516	8.30769	0	930.74	301.28	
-8.83516	8.21978	0	949.57	373.91	
-8.83516	8.21978	0	949.57	392.74	
-8.83516	8.21978	0	893.08	392.74	
-8.83516	8.21978	0	914.6	384.67	
-8.83516	8.21978	0	917.29	387.36	
-8.83516	8.21978	0	946.88	392.74	
-8.83516	8.21978	0	914.6	363.15	
-8.83516	8.21978	0	938.81	392.74	
-8.83516	8.21978	0	914.6	287.83	
-8.83516	8.21978	0	930.74	247.48	
-8.83516	8.30769	0	949.57	207.13	
-8.83516	8.21978	0	928.05	196.37	
-8.83516	8.30769	0	909.22	193.68	
-8.83516	8.30769	0	941.5	193.68	
-8.83516	8.30769	0	933.43	193.68	
-8.83516	8.21978	0	941.5	215.2	
-8.83516	8.21978	0	930.74	209.82	
-8.83516	8.30769	0	925.36	236.72	
-8.83516	8.21978	0	941.5	352.39	
-8.83516	8.30769	0	928.05	360.46	
-8.83516	8.21978	0	901.15	365.84	
-8.83516	8.21978	0	930.74	333.56	
-8.83516	8.21978	0	903.84	381.98	
-8.83516	8.21978	0	903.84	349.7	
-8.83516	8.21978	0	895.77	395.43	
-8.83516	8.21978	0	933.43	400.81	
-8.83516	8.21978	0	919.98	320.11	
-8.83516	8.21978	0	909.22	312.04	
-8.83516	8.21978	0	906.53	260.93	
-8.83516	8.30769	0	928.05	223.27	
-8.83516	8.21978	0	909.22	209.82	
-8.74725	8.30769	0	933.43	225.96	
-8.83516	8.30769	0	909.22	250.17	
-8.83516	8.30769	0	909.22	285.14	
-8.83516	8.30769	0	914.6	231.34	
-8.83516	8.30769	0	946.88	234.03	
-8.83516	8.21978	0	901.15	298.59	
-8.83516	8.21978	0	911.91	271.69	
-8.83516	8.30769	0	938.81	314.73	
-8.83516	8.21978	0	930.74	314.73	
-8.83516	8.21978	0	909.22	403.5	
-8.83516	8.21978	0	911.91	355.08	
-8.83516	8.21978	0	909.22	398.12	
-8.83516	8.21978	0	909.22	384.67	
-8.83516	8.21978	0	914.6	406.19	
-8.83516	8.21978	0	914.6	368.53	
-8.83516	8.30769	0	911.91	317.42	
-8.83516	8.21978	0	922.67	341.63	
-8.83516	8.30769	0	917.29	263.62	
-8.83516	8.21978	0	922.67	287.83	
-8.83516	8.30769	0	917.29	207.13	
-8.83516	8.30769	0	917.29	220.58	
-8.83516	8.21978	0	917.29	209.82	
-8.83516	8.30769	0	917.29	247.48	
-8.83516	8.21978	0	919.98	228.65	
-8.83516	8.30769	0	919.98	306.66	
-8.83516	8.21978	0	944.19	349.7	
-8.83516	8.30769	0	922.67	285.14	
-8.83516	8.21978	0	922.67	355.08	
-8.83516	8.30769	0	933.43	349.7	
-8.83516	8.30769	0	936.12	371.22	
-8.83516	8.21978	0	922.67	379.29	
-8.83516	8.30769	0	925.36	381.98	
-8.83516	8.30769	0	922.67	322.8	
-8.83516	8.30769	0	928.05	293.21	
-8.83516	8.30769	0	925.36	244.79	
-8.83516	8.21978	0	925.36	252.86	
-8.83516	8.30769	0	928.05	312.04	
-8.83516	8.30769	0	928.05	255.55	
-8.83516	8.30769	0	928.05	209.82	
-8.83516	8.30769	0	930.74	212.51	
-8.83516	8.30769	0	933.43	209.82	
-8.83516	8.30769	0	930.74	212.51	
-8.83516	8.30769	0	930.74	209.82	
-8.83516	8.30769	0	933.43	209.82	
-8.83516	8.30769	0	936.12	209.82	
-8.83516	8.30769	0	933.43	209.82	
-8.83516	8.30769	0	933.43	209.82	
-8.83516	8.30769	0	938.81	209.82	
-8.83516	8.30769	0	936.12	212.51	
-8.83516	8.21978	0	938.81	244.79	
-8.83516	8.21978	0	938.81	271.69	
-8.83516	8.30769	0	963.02	290.52	
-8.83516	8.21978	0	938.81	282.45	
-8.74725	8.21978	0	930.74	244.79	
-8.83516	8.21978	0	938.81	274.38	
-8.83516	8.30769	0	938.81	220.58	
-8.83516	8.30769	0	946.88	255.55	
-8.83516	8.30769	0	944.19	217.89	
-8.83516	8.30769	0	946.88	228.65	
-8.83516	8.30769	0	941.5	215.2	
-8.83516	8.30769	0	944.19	215.2	
-8.83516	8.30769	0	944.19	215.2	
-8.83516	8.30769	0	946.88	277.07	
-8.83516	8.30769	0	946.88	217.89	
-8.83516	8.21978	0	949.57	309.35	
-8.83516	8.21978	0	944.19	274.38	
-8.83516	8.21978	0	946.88	279.76	
-8.83516	8.21978	0	946.88	290.52	
-8.83516	8.30769	0	944.19	341.63	
-8.83516	8.30769	0	946.88	293.21	
-8.83516	8.30769	0	949.57	271.69	
-8.83516	8.21978	0	949.57	336.25	
-8.83516	8.30769	0	946.88	344.32	
-8.83516	8.21978	0	952.26	295.9	
-8.83516	8.30769	0	949.57	234.03	
-8.83516	8.21978	0	952.26	220.58	
-8.83516	8.30769	0	936.12	234.03	
-8.83516	8.21978	0	946.88	220.58	
-8.83516	8.30769	0	898.46	263.62	
-8.74725	8.21978	0	688.64	414.26	
-8.65934	8.21978	0	634.84	406.19	
-8.57143	8.21978	0	406.19	433.09	
-8.57143	8.21978	0	368.53	433.09	
-8.57143	8.21978	0	371.22	411.57	
-8.65934	8.21978	0	465.37	258.24	
-8.65934	8.30769	0	567.59	228.65	
-8.65934	8.30769	0	610.63	223.27	
-8.65934	8.30769	0	618.7	255.55	
-8.65934	8.30769	0	575.66	231.34	
-8.65934	8.30769	0	578.35	228.65	
-8.65934	8.30769	0	572.97	225.96	
-8.65934	8.30769	0	581.04	277.07	
-8.65934	8.21978	0	572.97	309.35	
-8.65934	8.21978	0	572.97	314.73	
-8.65934	8.21978	0	572.97	371.22	
-8.65934	8.30769	0	572.97	322.8	
-8.65934	8.21978	0	572.97	263.62	
-8.65934	8.30769	0	572.97	263.62	
-8.65934	8.30769	0	570.28	223.27	
-8.65934	8.30769	0	575.66	228.65	
-8.65934	8.30769	0	589.11	263.62	
-8.65934	8.30769	0	581.04	228.65	
-8.65934	8.30769	0	581.04	228.65	
-8.65934	8.21978	0	581.04	234.03	
-8.65934	8.30769	0	624.08	231.34	
-8.65934	8.30769	0	581.04	242.1	
-8.65934	8.30769	0	581.04	228.65	
-8.65934	8.30769	0	583.73	231.34	
-8.65934	8.30769	0	583.73	263.62	
-8.65934	8.30769	0	583.73	271.69	
-8.65934	8.21978	0	583.73	290.52	
-8.65934	8.30769	0	583.73	282.45	
-8.65934	8.21978	0	589.11	390.05	
-8.65934	8.30769	0	583.73	400.81	
-8.65934	8.30769	0	583.73	301.28	
-8.65934	8.30769	0	583.73	234.03	
-8.65934	8.30769	0	583.73	282.45	
-8.65934	8.30769	0	586.42	274.38	
-8.65934	8.30769	0	586.42	252.86	
-8.65934	8.30769	0	586.42	231.34	
-8.65934	8.21978	0	591.8	234.03	
-8.65934	8.30769	0	586.42	234.03	
-8.65934	8.30769	0	589.11	255.55	
-8.65934	8.30769	0	589.11	244.79	
-8.65934	8.30769	0	589.11	239.41	
-8.65934	8.30769	0	589.11	236.72	
-8.65934	8.30769	0	591.8	287.83	
-8.65934	8.30769	0	589.11	255.55	
-8.65934	8.21978	0	589.11	236.72	
-8.65934	8.30769	0	589.11	239.41	
-8.65934	8.30769	0	589.11	266.31	
-8.65934	8.21978	0	589.11	236.72	
-8.65934	8.30769	0	591.8	263.62	
-8.65934	8.30769	0	591.8	266.31	
-8.65934	8.21978	0	591.8	236.72	
-8.65934	8.30769	0	591.8	242.1	
-8.65934	8.30769	0	594.49	236.72	
-8.65934	8.30769	0	591.8	255.55	
-8.65934	8.30769	0	591.8	239.41	
-8.65934	8.30769	0	591.8	239.41	
-8.65934	8.30769	0	591.8	236.72	
-8.65934	8.30769	0	591.8	271.69	
-8.65934	8.30769	0	594.49	239.41	
-8.65934	8.30769	0	594.49	236.72	
-8.65934	8.30769	0	594.49	274.38	
-8.65934	8.30769	0	597.18	236.72	
-8.65934	8.30769	0	597.18	236.72	
-8.65934	8.30769	0	597.18	242.1	
-8.65934	8.30769	0	597.18	239.41	
-8.65934	8.30769	0	597.18	239.41	
-8.65934	8.30769	0	607.94	239.41	
-8.65934	8.30769	0	597.18	239.41	
-8.65934	8.30769	0	602.56	239.41	
-8.74725	8.30769	0	602.56	263.62	
-8.65934	8.30769	0	599.87	303.97	
-8.65934	8.30769	0	599.87	244.79	
-8.65934	8.21978	0	602.56	309.35	
-8.65934	8.30769	0	599.87	274.38	
-8.65934	8.30769	0	599.87	258.24	
-8.65934	8.21978	0	599.87	285.14	
-8.65934	8.21978	0	602.56	309.35	
-8.65934	8.30769	0	602.56	255.55	
-8.74725	8.30769	0	599.87	258.24	
-8.65934	8.21978	0	597.18	242.1	
-8.65934	8.30769	0	599.87	242.1	
-8.65934	8.30769	0	602.56	282.45	
-8.65934	8.30769	0	629.46	242.1	
-8.65934	8.30769	0	605.25	242.1	
-8.65934	8.30769	0	599.87	269	
-8.65934	8.30769	0	605.25	242.1	
-8.65934	8.30769	0	599.87	242.1	
-8.65934	8.30769	0	642.91	242.1	
-8.65934	8.30769	0	602.56	269	
-8.65934	8.30769	0	610.63	244.79	
-8.65934	8.30769	0	607.94	250.17	
-8.65934	8.30769	0	607.94	244.79	
-8.65934	8.30769	0	602.56	244.79	
-8.65934	8.30769	0	607.94	244.79	
-8.65934	8.30769	0	610.63	247.48	
-8.65934	8.30769	0	607.94	242.1	
-8.65934	8.30769	0	607.94	255.55	
-8.65934	8.30769	0	607.94	242.1	
-8.65934	8.30769	0	642.91	247.48	
-8.65934	8.30769	0	613.32	244.79	
-8.65934	8.30769	0	613.32	293.21	
-8.65934	8.30769	0	610.63	244.79	
-8.65934	8.30769	0	613.32	242.1	
-8.65934	8.21978	0	613.32	250.17	
-8.65934	8.30769	0	610.63	244.79	
-8.65934	8.30769	0	613.32	282.45	
-8.65934	8.30769	0	613.32	247.48	
-8.65934	8.30769	0	613.32	247.48	
-8.65934	8.30769	0	613.32	244.79	
-8.65934	8.30769	0	616.01	287.83	
-8.65934	8.30769	0	616.01	255.55	
-8.65934	8.30769	0	634.84	279.76	
-8.65934	8.30769	0	618.7	255.55	
-8.65934	8.30769	0	626.77	252.86	
-8.65934	8.30769	0	621.39	250.17	
-8.65934	8.30769	0	621.39	250.17	
-8.65934	8.30769	0	621.39	247.48	
-8.65934	8.30769	0	624.08	279.76	
-8.65934	8.30769	0	621.39	252.86	
-8.65934	8.30769	0	621.39	250.17	
-8.65934	8.30769	0	624.08	250.17	
-8.65934	8.30769	0	624.08	258.24	
-8.65934	8.30769	0	624.08	250.17	
-8.65934	8.30769	0	624.08	252.86	
-8.65934	8.30769	0	621.39	250.17	
-8.65934	8.30769	0	621.39	250.17	
-8.65934	8.30769	0	624.08	247.48	
-8.65934	8.30769	0	624.08	255.55	
-8.65934	8.30769	0	624.08	258.24	
-8.65934	8.30769	0	624.08	260.93	
-8.65934	8.30769	0	624.08	250.17	
-8.65934	8.30769	0	645.6	252.86	
-8.65934	8.30769	0	634.84	252.86	
-8.65934	8.30769	0	624.08	252.86	
-8.65934	8.30769	0	621.39	252.86	
-8.65934	8.30769	0	650.98	252.86	
-8.65934	8.30769	0	624.08	250.17	
-8.65934	8.30769	0	626.77	250.17	
-8.65934	8.30769	0	618.7	301.28	
-8.65934	8.30769	0	621.39	349.7	
-8.65934	8.30769	0	626.77	384.67	
-8.65934	8.21978	0	624.08	363.15	
-8.65934	8.30769	0	640.22	403.5	
-8.65934	8.21978	0	629.46	416.95	
-8.65934	8.21978	0	637.53	293.21	
-8.65934	8.30769	0	629.46	338.94	
-8.65934	8.21978	0	629.46	309.35	
-8.65934	8.30769	0	629.46	269	
-8.65934	8.30769	0	626.77	258.24	
-8.65934	8.30769	0	626.77	258.24	
-8.65934	8.30769	0	632.15	255.55	
-8.65934	8.30769	0	632.15	255.55	
-8.65934	8.30769	0	683.26	255.55	
-8.65934	8.30769	0	629.46	252.86	
-8.65934	8.30769	0	626.77	252.86	
-8.65934	8.30769	0	648.29	252.86	
-8.65934	8.30769	0	632.15	252.86	
-8.65934	8.30769	0	632.15	260.93	
-8.65934	8.21978	0	632.15	293.21	
-8.65934	8.30769	0	634.84	293.21	
-8.65934	8.30769	0	634.84	336.25	
-8.65934	8.30769	0	634.84	338.94	
-8.65934	8.21978	0	659.05	411.57	
-8.65934	8.21978	0	650.98	309.35	
-8.65934	8.30769	0	664.43	441.16	
-8.74725	8.30769	0	632.15	376.6	
-8.65934	8.30769	0	637.53	363.15	
-8.65934	8.30769	0	640.22	357.77	
-8.65934	8.21978	0	629.46	435.78	
-8.65934	8.21978	0	626.77	441.16	
-8.65934	8.30769	0	624.08	360.46	
-8.65934	8.30769	0	648.29	355.08	
-8.65934	8.30769	0	669.81	338.94	
-8.65934	8.30769	0	637.53	293.21	
-8.65934	8.30769	0	640.22	274.38	
-8.65934	8.30769	0	640.22	258.24	
